Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.939	COMP43	(0.934 COMP15) (0.933 COMP22) (0.928 COMP57) (0.920 COMP1) (0.842 COMP7) (0.825 COMP32) (0.725 COMP2) (0.623 COMP14) (0.523 COMP31) (0.521 COMP30) (0.488 COMP20) (0.421 COMP26/COMP28/COMP40/COMP41) (0.400 COMP27) (0.363 COMP24/COMP52) (0.352 COMP16/COMP18/COMP53/COMP54) (0.325 COMP11/COMP8) (0.305 COMP12) (0.286 COMP13) (0.277 COMP19) (0.212 COMP6) (0.183 COMP55) (0.176 COMP4) (0.149 COMP38) (0.147 COMP37/COMP39) (0.145 COMP33) (0.136 COMP51) (0.132 COMP34/COMP36) (0.126 COMP10) (0.117 COMP23/COMP25) (0.109 COMP29/COMP45) (0.105 COMP5) (0.104 COMP47)
Aldehyde dehydrogenase substrate	0.934	COMP57	(0.899 COMP14) (0.821 COMP43) (0.809 COMP22) (0.804 COMP15) (0.783 COMP1) (0.700 COMP32) (0.379 COMP10) (0.354 COMP2) (0.336 COMP20) (0.311 COMP26/COMP28/COMP40/COMP41) (0.304 COMP30) (0.301 COMP27) (0.294 COMP16/COMP18/COMP53/COMP54) (0.290 COMP7) (0.265 COMP24/COMP52) (0.256 COMP12) (0.211 COMP19) (0.210 COMP31) (0.204 COMP33) (0.189 COMP55) (0.185 COMP6) (0.146 COMP11/COMP8) (0.141 COMP38) (0.132 COMP37/COMP39) (0.125 COMP13) (0.119 COMP5) (0.118 COMP23/COMP25) (0.108 COMP34/COMP36) (0.102 COMP29)
Aldehyde oxidase substrate	0.692	COMP14	(0.666 COMP32) (0.332 COMP57) (0.318 COMP33) (0.306 COMP31) (0.283 COMP12) (0.255 COMP16/COMP18/COMP53/COMP54) (0.239 COMP9) (0.234 COMP44) (0.225 COMP17) (0.223 COMP55) (0.222 COMP43) (0.198 COMP22/COMP24/COMP52) (0.192 COMP2) (0.186 COMP26/COMP28/COMP40/COMP41) (0.178 COMP15) (0.172 COMP7) (0.170 COMP1) (0.166 COMP20/COMP27) (0.139 COMP48)
Aldose reductase substrate	0.992	COMP57	(0.968 COMP31) (0.885 COMP14) (0.826 COMP43) (0.797 COMP22) (0.760 COMP15) (0.737 COMP1) (0.725 COMP10) (0.644 COMP47) (0.562 COMP0/COMP35/COMP42) (0.442 COMP56) (0.379 COMP46) (0.312 COMP24/COMP52) (0.297 COMP12) (0.258 COMP55) (0.248 COMP16/COMP18/COMP53/COMP54) (0.201 COMP33) (0.194 COMP2/COMP26/COMP28/COMP40/COMP41) (0.187 COMP34/COMP36/COMP37/COMP38/COMP39) (0.182 COMP32) (0.179 COMP20/COMP27) (0.177 COMP5/COMP7) (0.148 COMP13) (0.126 COMP17)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.390 COMP20) (0.381 COMP26/COMP28/COMP40/COMP41) (0.333 COMP33) (0.318 COMP16/COMP18/COMP53/COMP54) (0.274 COMP12) (0.172 COMP55) (0.171 COMP17/COMP7) (0.170 COMP31) (0.141 COMP2) (0.134 COMP44) (0.132 COMP24/COMP52) (0.123 COMP49) (0.114 COMP48) (0.103 COMP32) (0.099 COMP43) (0.098 COMP22) (0.094 COMP9) (0.067 COMP15)
CYP1A2 inhibitor	0.945	COMP48	(0.934 COMP5) (0.914 COMP49) (0.478 COMP4) (0.397 COMP56) (0.341 COMP30) (0.322 COMP14) (0.280 COMP46) (0.233 COMP32) (0.227 COMP6) (0.182 COMP43) (0.178 COMP27) (0.173 COMP9)
CYP1A2 substrate	0.925	COMP5	(0.912 COMP48) (0.905 COMP49) (0.792 COMP4) (0.691 COMP14) (0.655 COMP30) (0.654 COMP15) (0.644 COMP32) (0.615 COMP43) (0.600 COMP27) (0.590 COMP22) (0.572 COMP56) (0.557 COMP46) (0.551 COMP7) (0.532 COMP26/COMP28/COMP40/COMP41) (0.513 COMP20) (0.497 COMP12) (0.428 COMP16/COMP18/COMP53/COMP54) (0.427 COMP1) (0.423 COMP21/COMP50) (0.410 COMP2) (0.389 COMP9) (0.375 COMP29) (0.368 COMP31) (0.360 COMP6) (0.358 COMP17) (0.354 COMP23/COMP25) (0.342 COMP57) (0.313 COMP33) (0.306 COMP24/COMP52) (0.263 COMP13) (0.240 COMP11/COMP8) (0.237 COMP55) (0.230 COMP34/COMP36) (0.225 COMP51) (0.217 COMP19) (0.214 COMP47) (0.200 COMP0/COMP35/COMP37/COMP39/COMP42)
CYP24 inhibitor	0.024	COMP9	(0.021 COMP6)
CYP2A6 inhibitor	0.390	COMP32	(0.205 COMP44) (0.192 COMP4) (0.183 COMP1) (0.164 COMP9) (0.152 COMP6) (0.135 COMP14) (0.127 COMP49) (0.115 COMP5) (0.095 COMP29) (0.093 COMP48) (0.091 COMP43/COMP57) (0.089 COMP33) (0.086 COMP17) (0.083 COMP23/COMP25) (0.080 COMP22) (0.078 COMP12) (0.074 COMP11/COMP8) (0.073 COMP16/COMP18/COMP53/COMP54) (0.067 COMP15) (0.066 COMP26/COMP28/COMP40/COMP41)
CYP2B6 inhibitor	0.469	COMP5	(0.430 COMP27) (0.429 COMP7) (0.391 COMP26/COMP28/COMP40/COMP41) (0.375 COMP20) (0.374 COMP48) (0.356 COMP49) (0.353 COMP30) (0.333 COMP2) (0.330 COMP16/COMP18/COMP53/COMP54) (0.319 COMP1) (0.315 COMP15) (0.295 COMP22) (0.289 COMP43) (0.287 COMP12) (0.279 COMP11/COMP17/COMP8) (0.267 COMP6) (0.260 COMP9) (0.255 COMP4) (0.250 COMP57) (0.240 COMP31) (0.239 COMP19) (0.225 COMP32) (0.222 COMP14) (0.218 COMP24/COMP52) (0.210 COMP33) (0.185 COMP55) (0.153 COMP23/COMP25/COMP44) (0.150 COMP29)
