Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.628	COMP60	(0.567 COMP683) (0.431 COMP868)
Acetylcholine release stimulant	0.115	COMP868	(0.109 COMP60) (0.098 COMP683)
Actinic keratosis treatment	0.255	COMP683	(0.242 COMP60) (0.215 COMP868)
Acute neurologic disorders treatment	0.251	COMP60	(0.225 COMP683)
Acute respiratory distress syndrome (ARDS) treatment	0.129	COMP868	(0.127 COMP683)
Age-related macular degeneration treatment	0.228	COMP60	(0.211 COMP683) (0.165 COMP868)
Anabolic	0.164	COMP60	(0.163 COMP683) (0.147 COMP868)
Analeptic	0.569	COMP683	(0.542 COMP60) (0.506 COMP868)
Andropause treatment	0.066	COMP60/COMP868	
Anesthetic	0.302	COMP868	(0.207 COMP60) (0.171 COMP683)
Anesthetic general	0.478	COMP868	(0.421 COMP60) (0.384 COMP683)
Anesthetic inhalation	0.087	COMP868	(0.071 COMP683) (0.065 COMP60)
Anesthetic local	0.249	COMP868	(0.190 COMP60) (0.147 COMP683)
Angiogenesis stimulant	0.364	COMP683	(0.346 COMP868) (0.319 COMP60)
Antiacne	0.317	COMP60	(0.315 COMP683) (0.193 COMP868)
Antialcoholic	0.242	COMP683	(0.231 COMP868) (0.230 COMP60)
Antiallergic	0.198	COMP60	(0.195 COMP683)
Antiamyloidogenic	0.419	COMP683	(0.380 COMP60) (0.354 COMP868)
Antianemic	0.342	COMP60	(0.294 COMP683) (0.161 COMP868)
Antianginal	0.213	COMP868	
Antianorexic	0.191	COMP60	(0.147 COMP683) (0.141 COMP868)
Antiarthritic	0.361	COMP60	(0.342 COMP683)
Antibacterial	0.506	COMP683	(0.481 COMP60) (0.404 COMP868)
Antibiotic	0.130	COMP683	(0.118 COMP60) (0.100 COMP868)
Antibiotic Anthracycline-like	0.022	COMP60/COMP868	(0.021 COMP683)
Antibiotic Naphthyridine-like	0.039	COMP683	(0.037 COMP60)
Antibiotic Quinolone-like	0.030	COMP683	(0.027 COMP60) (0.019 COMP868)
Anticataract	0.154	COMP683	(0.130 COMP60) (0.100 COMP868)
Anticholelithogenic	0.203	COMP60	(0.182 COMP683) (0.126 COMP868)
Antidiabetic	0.559	COMP683	(0.538 COMP60) (0.264 COMP868)
Antidiabetic (type 1)	0.190	COMP60	(0.145 COMP683)
Antidiabetic (type 2)	0.392	COMP60	(0.370 COMP683)
Antidiabetic symptomatic	0.407	COMP683	(0.348 COMP60) (0.279 COMP868)
Antidiarrheal	0.296	COMP60	(0.253 COMP683) (0.128 COMP868)
