Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.825	COMP32	(0.138 COMP1951) (0.131 COMP1394/COMP816) (0.121 COMP1950) (0.106 COMP825) (0.105 COMP1957)
Aldehyde dehydrogenase substrate	0.700	COMP32	(0.171 COMP816) (0.170 COMP1394) (0.141 COMP825) (0.123 COMP1093/COMP1957)
Aldehyde oxidase substrate	0.666	COMP32	(0.332 COMP1950) (0.316 COMP1956) (0.312 COMP1954) (0.279 COMP820) (0.267 COMP1459) (0.260 COMP1394) (0.255 COMP1951) (0.236 COMP1093) (0.220 COMP1957) (0.177 COMP1955/COMP816) (0.174 COMP825) (0.166 COMP1949) (0.143 COMP1953) (0.138 COMP737)
Aldose reductase substrate	0.417	COMP1954	(0.379 COMP46) (0.279 COMP1957) (0.231 COMP1955) (0.188 COMP1950) (0.186 COMP1956) (0.182 COMP32) (0.155 COMP816) (0.138 COMP1394) (0.131 COMP737/COMP825)
Arylamine N-Acetyltransferase substrate	0.774	COMP816	(0.374 COMP825) (0.332 COMP1093) (0.312 COMP820) (0.295 COMP1954) (0.283 COMP1957) (0.191 COMP1459) (0.175 COMP1394) (0.173 COMP1949) (0.163 COMP1955) (0.161 COMP1956) (0.160 COMP1950) (0.149 COMP1951) (0.123 COMP1953) (0.103 COMP32)
CYP1A2 inhibitor	0.806	COMP1953	(0.378 COMP737) (0.286 COMP1459) (0.285 COMP1394) (0.280 COMP46) (0.259 COMP1951) (0.233 COMP32) (0.186 COMP1956) (0.176 COMP1093) (0.171 COMP1954)
CYP1A2 substrate	0.947	COMP737	(0.644 COMP32) (0.595 COMP1953) (0.557 COMP46) (0.504 COMP1394) (0.344 COMP1956) (0.312 COMP1093) (0.241 COMP1955) (0.240 COMP1957) (0.235 COMP1951) (0.232 COMP1954) (0.227 COMP816) (0.219 COMP1950) (0.192 COMP1949)
CYP24 inhibitor	0.037	COMP1394	
CYP2A6 inhibitor	0.390	COMP32	(0.236 COMP1459) (0.215 COMP1093) (0.187 COMP1956) (0.135 COMP1955) (0.112 COMP1949) (0.097 COMP1394) (0.077 COMP1953) (0.071 COMP1954)
CYP2B6 inhibitor	0.438	COMP1953	(0.343 COMP1093) (0.305 COMP1394) (0.297 COMP1955) (0.288 COMP1459) (0.284 COMP1956) (0.251 COMP816) (0.242 COMP1954) (0.241 COMP1951) (0.227 COMP737) (0.225 COMP32) (0.221 COMP1949) (0.184 COMP820) (0.181 COMP1950) (0.178 COMP1957) (0.149 COMP825)
CYP2C19 inhibitor	0.710	COMP737	(0.567 COMP1459) (0.496 COMP1954) (0.469 COMP1953) (0.424 COMP1951) (0.419 COMP1394) (0.408 COMP820) (0.389 COMP32) (0.310 COMP1950) (0.292 COMP1956) (0.290 COMP1093) (0.264 COMP46)
CYP2C19 substrate	0.855	COMP737	(0.608 COMP32) (0.566 COMP46) (0.479 COMP1394) (0.477 COMP1953) (0.400 COMP1956) (0.279 COMP1093) (0.275 COMP1955) (0.199 COMP816) (0.182 COMP1957)
CYP2C9 inhibitor	0.633	COMP737	(0.534 COMP1950) (0.522 COMP1953) (0.399 COMP1394) (0.398 COMP1459) (0.357 COMP1954) (0.290 COMP1951) (0.283 COMP820) (0.221 COMP1956)
CYP2C9 substrate	0.809	COMP737	(0.735 COMP46) (0.656 COMP32) (0.474 COMP1394) (0.454 COMP1953) (0.418 COMP1956) (0.390 COMP1093) (0.343 COMP816) (0.304 COMP1955) (0.293 COMP1951) (0.263 COMP1954) (0.255 COMP1957) (0.215 COMP1950)
CYP2D6 inhibitor	0.513	COMP1459	(0.290 COMP1950) (0.260 COMP1954) (0.253 COMP1956) (0.251 COMP1093) (0.249 COMP820) (0.236 COMP1394) (0.233 COMP737) (0.187 COMP1951)
CYP2D6 substrate	0.702	COMP737	(0.494 COMP1394) (0.459 COMP1093) (0.447 COMP32) (0.398 COMP816) (0.372 COMP1956) (0.347 COMP1955) (0.341 COMP1953) (0.327 COMP46) (0.239 COMP1949) (0.200 COMP825) (0.190 COMP1957)
CYP3A4 inhibitor	0.441	COMP1459	(0.393 COMP737) (0.353 COMP1950) (0.329 COMP1953) (0.310 COMP1954) (0.302 COMP820) (0.277 COMP1394) (0.257 COMP1951) (0.209 COMP1956) (0.198 COMP46)
CYP3A4 substrate	0.755	COMP46	(0.723 COMP737) (0.546 COMP32) (0.428 COMP1394) (0.355 COMP1953) (0.349 COMP1956) (0.322 COMP1093) (0.301 COMP816) (0.288 COMP1955) (0.247 COMP1950) (0.221 COMP1954) (0.195 COMP1957)
FMO1 substrate	0.659	COMP1956	(0.643 COMP32) (0.614 COMP816) (0.584 COMP1093) (0.571 COMP1394) (0.516 COMP825) (0.511 COMP1955) (0.509 COMP1957) (0.416 COMP1949) (0.372 COMP1953/COMP1954) (0.366 COMP820) (0.301 COMP737) (0.265 COMP1951) (0.250 COMP1459) (0.223 COMP1950)
FMO3 substrate	0.879	COMP816	(0.628 COMP1093) (0.590 COMP1956) (0.568 COMP825) (0.514 COMP1394) (0.492 COMP820) (0.468 COMP1949) (0.463 COMP1955) (0.441 COMP1957) (0.409 COMP1459) (0.364 COMP32) (0.350 COMP1954) (0.302 COMP1951) (0.272 COMP737) (0.262 COMP1950) (0.227 COMP1953)
