Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.442	COMP1956	(0.326 COMP1394) (0.293 COMP32) (0.248 COMP1093) (0.211 COMP1955) (0.187 COMP1953) (0.141 COMP1957) (0.113 COMP737)
Acetylcholine release stimulant	0.164	COMP1956	(0.137 COMP1093/COMP1394) (0.126 COMP32) (0.125 COMP1459) (0.117 COMP1954) (0.102 COMP1955)
Actinic keratosis treatment	0.189	COMP32/COMP737	(0.183 COMP1394) (0.149 COMP1953) (0.141 COMP1957) (0.135 COMP816) (0.128 COMP1093) (0.118 COMP1956) (0.106 COMP1955) (0.092 COMP825) (0.089 COMP1951) (0.087 COMP1954) (0.082 COMP1949/COMP46)
Acute neurologic disorders treatment	0.523	COMP816	(0.442 COMP820) (0.325 COMP825) (0.320 COMP1093) (0.289 COMP1955) (0.182 COMP1394) (0.180 COMP1954)
Acute respiratory distress syndrome (ARDS) treatment	0.349	COMP46	(0.236 COMP1955) (0.213 COMP816) (0.192 COMP820) (0.146 COMP1951) (0.131 COMP1093) (0.122 COMP1950) (0.121 COMP1954)
Age-related macular degeneration treatment	0.289	COMP816	(0.270 COMP1093) (0.227 COMP825) (0.211 COMP1955) (0.203 COMP1957) (0.190 COMP1394) (0.180 COMP1949) (0.175 COMP820)
Allergic rhinitis treatment	0.393	COMP1954	
Alzheimer's disease treatment	0.663	COMP737	(0.593 COMP1953) (0.575 COMP46)
Amyotrophic lateral sclerosis treatment	0.296	COMP1955	(0.205 COMP1956) (0.204 COMP1093) (0.196 COMP1953)
Anabolic	0.167	COMP1394	(0.159 COMP32) (0.150 COMP816) (0.148 COMP1956) (0.146 COMP1093) (0.142 COMP737) (0.131 COMP1957) (0.129 COMP1955) (0.118 COMP825) (0.112 COMP1953) (0.109 COMP1949)
Analeptic	0.684	COMP820	(0.608 COMP1459) (0.581 COMP1955) (0.579 COMP816) (0.486 COMP32) (0.458 COMP1093) (0.430 COMP1956) (0.422 COMP1394) (0.407 COMP46) (0.395 COMP1954) (0.380 COMP1950) (0.334 COMP737) (0.320 COMP825) (0.318 COMP1957) (0.296 COMP1951) (0.274 COMP1949) (0.230 COMP1953)
Analgesic. opioid	0.143	COMP1394	(0.094 COMP816) (0.082 COMP1956) (0.079 COMP1955) (0.072 COMP1093) (0.067 COMP737)
Anesthetic	0.272	COMP32	(0.199 COMP1955) (0.180 COMP1956) (0.176 COMP1394) (0.166 COMP1093) (0.147 COMP816)
Anesthetic general	0.553	COMP32	(0.438 COMP1394) (0.411 COMP1955) (0.394 COMP1956) (0.385 COMP1093) (0.292 COMP816) (0.258 COMP1951) (0.253 COMP1954) (0.251 COMP1957) (0.216 COMP1949) (0.213 COMP820) (0.180 COMP825) (0.158 COMP1950) (0.155 COMP1459) (0.145 COMP46)
Anesthetic inhalation	0.325	COMP1093	(0.189 COMP1955/COMP1956) (0.129 COMP1949) (0.118 COMP32) (0.088 COMP1957) (0.078 COMP816) (0.076 COMP1394) (0.065 COMP1459) (0.053 COMP825)
Anesthetic local	0.244	COMP1955	(0.202 COMP1093/COMP1956) (0.160 COMP1394) (0.156 COMP816)
Angiogenesis inhibitor	0.429	COMP737	(0.277 COMP46) (0.265 COMP1953) (0.232 COMP1394)
Angiogenesis stimulant	0.763	COMP46	(0.567 COMP816) (0.480 COMP820) (0.470 COMP1093) (0.393 COMP825) (0.374 COMP1954) (0.373 COMP1955) (0.354 COMP1459) (0.348 COMP737) (0.337 COMP1953) (0.336 COMP1949) (0.330 COMP1950) (0.317 COMP1957) (0.303 COMP1951) (0.286 COMP1394)
Antiacne	0.153	COMP46	(0.125 COMP816) (0.107 COMP1394) (0.105 COMP1951)
Antialcoholic	0.483	COMP737	(0.381 COMP816) (0.355 COMP1093) (0.316 COMP1955) (0.271 COMP32) (0.247 COMP1394) (0.242 COMP1956) (0.224 COMP1949) (0.221 COMP820) (0.218 COMP825) (0.197 COMP1953) (0.195 COMP1459) (0.184 COMP1954) (0.165 COMP1957)
Antiallergic	0.407	COMP1954	(0.220 COMP1394) (0.194 COMP1951)
Antiamyloidogenic	0.753	COMP46	(0.708 COMP737) (0.568 COMP1953) (0.340 COMP1955) (0.297 COMP1394) (0.293 COMP820) (0.291 COMP816) (0.267 COMP1093) (0.213 COMP1459) (0.185 COMP1951) (0.160 COMP1956) (0.159 COMP32) (0.153 COMP1954)
Antianemic	0.376	COMP1954	(0.276 COMP816) (0.241 COMP1950) (0.223 COMP820) (0.213 COMP1957) (0.191 COMP1951) (0.187 COMP1459) (0.175 COMP1394) (0.170 COMP1093) (0.161 COMP32) (0.146 COMP825) (0.130 COMP1956) (0.121 COMP1955)
Antianginal	0.606	COMP1949	(0.579 COMP1957) (0.523 COMP825) (0.259 COMP1093) (0.257 COMP816) (0.189 COMP1955) (0.176 COMP820)
Antianorexic	0.452	COMP1955	(0.373 COMP816) (0.364 COMP1093) (0.348 COMP32) (0.281 COMP1949) (0.279 COMP1394) (0.256 COMP825) (0.228 COMP1956) (0.161 COMP1957/COMP820) (0.112 COMP1459)
Antiarrhythmic	0.596	COMP1949	(0.478 COMP1957) (0.355 COMP825) (0.255 COMP1093) (0.196 COMP1955) (0.160 COMP1459) (0.140 COMP1956)
Antiarthritic	0.521	COMP1955	(0.497 COMP816) (0.455 COMP46) (0.305 COMP1953) (0.260 COMP1394)
Antiasthmatic	0.260	COMP1954	
Antibacterial	0.791	COMP46	(0.544 COMP737) (0.492 COMP1953) (0.476 COMP816) (0.398 COMP1093) (0.387 COMP1955) (0.355 COMP32) (0.332 COMP1394) (0.319 COMP1957) (0.288 COMP825) (0.273 COMP1949) (0.270 COMP1951) (0.251 COMP1956)
Antibiotic	0.279	COMP46	(0.104 COMP816) (0.101 COMP737) (0.092 COMP1955) (0.086 COMP1093) (0.082 COMP32) (0.081 COMP1956) (0.077 COMP1957) (0.070 COMP1394) (0.065 COMP1953)
Antibiotic Aminoglycoside-like	0.087	COMP46	(0.068 COMP1093) (0.048 COMP1955) (0.047 COMP1949) (0.045 COMP816) (0.034 COMP737)
Antibiotic Anthracycline-like	0.031	COMP46	(0.025 COMP1093) (0.024 COMP1956) (0.023 COMP1394/COMP1955) (0.019 COMP737/COMP816)
Antibiotic Glycopeptide-like	0.208	COMP46	(0.089 COMP1955) (0.084 COMP1093) (0.075 COMP816) (0.068 COMP737) (0.060 COMP1953) (0.049 COMP1394)
Antibiotic Macrolide-like	0.023	COMP46	
Antibiotic Naphthyridine-like	0.029	COMP32	(0.027 COMP816)
Antibiotic Oxazolidinone-like	0.008	COMP32	
Antibiotic Quinolone-like	0.024	COMP1956	(0.022 COMP32) (0.020 COMP1093)
Antibiotic Tetracycline-like	0.021	COMP1956	(0.016 COMP32)
Anticataract	0.324	COMP820	(0.270 COMP816) (0.261 COMP1954) (0.203 COMP1950) (0.202 COMP1459) (0.192 COMP1951) (0.183 COMP32) (0.173 COMP1955) (0.169 COMP1093) (0.114 COMP1394) (0.102 COMP1956/COMP825) (0.095 COMP46) (0.091 COMP1953)
Anticholelithogenic	0.140	COMP1394	(0.131 COMP1957) (0.092 COMP737) (0.087 COMP825) (0.081 COMP1093) (0.080 COMP1953) (0.079 COMP816) (0.077 COMP1956) (0.072 COMP1949) (0.069 COMP1955) (0.065 COMP32)
Anticoagulant	0.443	COMP816	(0.415 COMP1093) (0.297 COMP825) (0.273 COMP1950) (0.231 COMP1957) (0.212 COMP1955) (0.189 COMP1949) (0.182 COMP820)
Anticonvulsant	0.280	COMP1955	(0.277 COMP1954) (0.270 COMP820) (0.259 COMP1093) (0.256 COMP816) (0.222 COMP1459) (0.172 COMP1956) (0.148 COMP32)
Antidiabetic	0.832	COMP1950	(0.825 COMP46) (0.808 COMP737) (0.554 COMP1953) (0.482 COMP1954) (0.422 COMP1394) (0.364 COMP1957) (0.340 COMP816) (0.262 COMP820)
Antidiabetic (type 1)	0.191	COMP816	(0.168 COMP1954) (0.147 COMP820) (0.130 COMP737) (0.128 COMP1951)
Antidiabetic (type 2)	0.440	COMP737	(0.352 COMP46) (0.328 COMP1950) (0.256 COMP1394) (0.222 COMP816) (0.197 COMP1954)
Antidiabetic symptomatic	0.503	COMP1954	(0.462 COMP1950) (0.461 COMP46) (0.411 COMP737) (0.394 COMP1953) (0.281 COMP816) (0.197 COMP1957)
Antidiarrheal	0.280	COMP820	(0.266 COMP816) (0.261 COMP46) (0.209 COMP1394) (0.203 COMP825) (0.193 COMP737) (0.187 COMP1953) (0.151 COMP1093)
Antidote	0.765	COMP46	(0.629 COMP816) (0.499 COMP737) (0.420 COMP1953) (0.419 COMP825) (0.324 COMP1093) (0.268 COMP1957) (0.243 COMP1955) (0.229 COMP1394) (0.228 COMP1949) (0.224 COMP820) (0.217 COMP1954) (0.202 COMP1956) (0.194 COMP1951) (0.145 COMP1950) (0.134 COMP1459)
Antidote. heavy metal	0.354	COMP816	(0.195 COMP1093) (0.166 COMP825) (0.141 COMP1957) (0.120 COMP1953) (0.113 COMP1394) (0.108 COMP1956) (0.096 COMP1955) (0.089 COMP737) (0.087 COMP1949) (0.074 COMP1954) (0.057 COMP46)
Antidote. mercury	0.332	COMP1956	(0.265 COMP32) (0.258 COMP1093) (0.206 COMP1394) (0.205 COMP1957) (0.192 COMP1954) (0.175 COMP1951) (0.169 COMP1949/COMP1955) (0.145 COMP1459) (0.141 COMP1950/COMP816) (0.120 COMP820) (0.110 COMP825) (0.100 COMP1953)
Antidote. organophosphates	0.174	COMP1956	(0.155 COMP1093) (0.138 COMP32) (0.117 COMP1955) (0.114 COMP1957) (0.112 COMP1394) (0.111 COMP1949) (0.101 COMP816) (0.091 COMP1459/COMP1954) (0.086 COMP825) (0.082 COMP1951) (0.079 COMP820) (0.077 COMP1950)
Antieczematic	0.318	COMP32	(0.238 COMP1954) (0.178 COMP816/COMP825) (0.176 COMP820) (0.138 COMP1951)
Antieczematic atopic	0.237	COMP1954	
Antiemetic	0.107	COMP1956	
Antiemphysemic	0.059	COMP1955	
Antiepileptic	0.271	COMP1955	(0.246 COMP1093) (0.231 COMP820) (0.229 COMP816) (0.198 COMP1954)
Antifibrinolytic	0.143	COMP1093	
Antifungal	0.597	COMP46	(0.486 COMP32) (0.374 COMP1953) (0.367 COMP737) (0.353 COMP1093) (0.348 COMP1955) (0.345 COMP816) (0.337 COMP1951) (0.235 COMP1394) (0.180 COMP820)
Antifungal (Aspergillus)	0.119	COMP1394	(0.115 COMP1956) (0.106 COMP32) (0.099 COMP1093) (0.095 COMP1953)
Antifungal (Candida)	0.190	COMP1949	(0.162 COMP1955) (0.152 COMP825) (0.148 COMP820) (0.144 COMP1950) (0.136 COMP1093/COMP816) (0.127 COMP1954) (0.125 COMP1459) (0.124 COMP1951) (0.120 COMP1957) (0.116 COMP1394) (0.102 COMP32) (0.096 COMP1956)
