Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.874	COMP685	(0.805 COMP708) (0.589 COMP691) (0.538 COMP478/COMP499/COMP513/COMP624) (0.469 COMP1061) (0.366 COMP501) (0.174 COMP9) (0.163 COMP16/COMP18/COMP54) (0.146 COMP1427) (0.140 COMP1425/COMP473) (0.139 COMP179) (0.138 COMP1560) (0.127 COMP505) (0.126 COMP616) (0.124 COMP297) (0.119 COMP40) (0.104 COMP8) (0.103 COMP27) (0.099 COMP1/COMP6) (0.094 COMP544) (0.092 COMP480) (0.090 COMP141) (0.089 COMP20/COMP336) (0.086 COMP1561)
AR expression inhibitor	0.991	COMP478/COMP499/COMP513/COMP624	(0.972 COMP691) (0.970 COMP1555) (0.968 COMP685) (0.958 COMP1061) (0.941 COMP708) (0.938 COMP1564) (0.884 COMP1) (0.870 COMP1565/COMP1579) (0.855 COMP1570/COMP1575) (0.844 COMP1567) (0.843 COMP1556) (0.832 COMP100) (0.827 COMP1566) (0.825 COMP1563) (0.816 COMP1557/COMP1568) (0.805 COMP1572/COMP1574) (0.793 COMP1573/COMP1577) (0.792 COMP1580) (0.790 COMP1581) (0.783 COMP1558) (0.772 COMP1559) (0.756 COMP1576) (0.736 COMP336) (0.732 COMP1583) (0.706 COMP1177/COMP524) (0.697 COMP1569) (0.694 COMP1561) (0.670 COMP1425) (0.658 COMP8) (0.640 COMP335) (0.619 COMP1582) (0.615 COMP476) (0.578 COMP1562) (0.575 COMP297) (0.556 COMP40) (0.524 COMP27) (0.504 COMP16/COMP18/COMP54) (0.484 COMP20) (0.471 COMP141) (0.440 COMP295) (0.387 COMP179/COMP505) (0.347 COMP473) (0.338 COMP1578) (0.321 COMP1560) (0.299 COMP480) (0.278 COMP616) (0.268 COMP6) (0.264 COMP501) (0.255 COMP1427) (0.222 COMP9)
CTGF expression inhibitor	0.840	COMP1573/COMP1577	(0.835 COMP1557/COMP1568/COMP1570/COMP1575/COMP1581) (0.829 COMP1566) (0.823 COMP1563) (0.821 COMP1559) (0.815 COMP1556) (0.811 COMP1565/COMP1579) (0.802 COMP1576) (0.801 COMP100) (0.787 COMP1567) (0.778 COMP336) (0.777 COMP40) (0.766 COMP16/COMP18/COMP54) (0.750 COMP1583) (0.748 COMP1569) (0.742 COMP27) (0.740 COMP1574) (0.710 COMP505) (0.706 COMP1558) (0.704 COMP1572/COMP478/COMP499/COMP513/COMP624) (0.688 COMP1580) (0.686 COMP473) (0.678 COMP20) (0.635 COMP179) (0.611 COMP501) (0.554 COMP1561) (0.533 COMP1560) (0.484 COMP1578) (0.463 COMP1) (0.456 COMP1061) (0.453 COMP480) (0.436 COMP9) (0.413 COMP544) (0.376 COMP616) (0.363 COMP1425) (0.353 COMP1427) (0.343 COMP476) (0.342 COMP6) (0.340 COMP1571/COMP1582) (0.308 COMP295) (0.303 COMP708) (0.302 COMP1177/COMP524) (0.294 COMP297) (0.267 COMP8) (0.264 COMP141) (0.257 COMP691) (0.254 COMP335) (0.244 COMP1562) (0.207 COMP685)
GRP78 expression inhibitor	0.040	COMP480	(0.033 COMP16/COMP18/COMP54) (0.027 COMP473/COMP501) (0.025 COMP1427) (0.024 COMP1562) (0.023 COMP40) (0.022 COMP9) (0.021 COMP20/COMP27) (0.020 COMP179/COMP505/COMP544/COMP616)
ICAM1 expression inhibitor	0.571	COMP335	(0.558 COMP1562) (0.524 COMP708) (0.511 COMP27) (0.508 COMP1555) (0.500 COMP20) (0.482 COMP1580) (0.480 COMP1563) (0.478 COMP1566) (0.477 COMP40) (0.476 COMP1557/COMP1568/COMP1570/COMP1575) (0.472 COMP100) (0.471 COMP1567) (0.468 COMP1556) (0.465 COMP691) (0.463 COMP1565/COMP1572/COMP1579) (0.461 COMP1561) (0.460 COMP1574) (0.457 COMP685) (0.452 COMP1558) (0.442 COMP1560) (0.436 COMP16/COMP18/COMP54) (0.433 COMP1425) (0.427 COMP6) (0.426 COMP505) (0.424 COMP1564/COMP1578) (0.413 COMP1582) (0.412 COMP616) (0.405 COMP544) (0.401 COMP1581) (0.400 COMP1573/COMP1577) (0.395 COMP179) (0.392 COMP1061) (0.387 COMP480) (0.386 COMP1427/COMP1576) (0.384 COMP1559) (0.379 COMP1583) (0.373 COMP336) (0.370 COMP297) (0.360 COMP9) (0.354 COMP473) (0.353 COMP141) (0.350 COMP476) (0.347 COMP1569) (0.340 COMP1177/COMP524) (0.274 COMP501) (0.246 COMP8) (0.240 COMP295) (0.238 COMP1)
LDLR expression enhancer	0.431	COMP685	(0.413 COMP691) (0.369 COMP708) (0.345 COMP1557/COMP1568) (0.334 COMP1583) (0.329 COMP1566) (0.327 COMP1569) (0.319 COMP1555) (0.315 COMP1565/COMP1579) (0.314 COMP1573/COMP1577) (0.307 COMP1574) (0.306 COMP100/COMP1563) (0.305 COMP336) (0.299 COMP1580) (0.295 COMP1559/COMP1570/COMP1575) (0.293 COMP1581) (0.289 COMP1576) (0.287 COMP1572) (0.279 COMP1556) (0.273 COMP1177/COMP524) (0.263 COMP1567) (0.262 COMP179) (0.260 COMP476) (0.259 COMP1558) (0.255 COMP505) (0.245 COMP1425) (0.229 COMP616) (0.227 COMP473) (0.226 COMP27) (0.225 COMP544) (0.223 COMP1/COMP9) (0.214 COMP8) (0.211 COMP20) (0.210 COMP40) (0.195 COMP480) (0.192 COMP501) (0.178 COMP1582/COMP16/COMP18/COMP54) (0.173 COMP1564) (0.166 COMP6) (0.162 COMP1061) (0.158 COMP1560) (0.152 COMP1571) (0.140 COMP1561) (0.139 COMP1578)
NOS2 expression inhibitor	0.972	COMP335	(0.962 COMP1562) (0.902 COMP1557/COMP1568) (0.893 COMP1566) (0.879 COMP1563) (0.859 COMP1570/COMP1575) (0.826 COMP1556) (0.823 COMP1565/COMP1579) (0.800 COMP1574) (0.794 COMP1573/COMP1577) (0.785 COMP1567) (0.773 COMP1581) (0.764 COMP1558/COMP1561) (0.762 COMP1559/COMP1572) (0.749 COMP100) (0.747 COMP1582) (0.745 COMP1576) (0.743 COMP1580) (0.741 COMP1569) (0.694 COMP1583) (0.655 COMP336) (0.640 COMP1177/COMP524) (0.614 COMP691) (0.604 COMP141/COMP295) (0.544 COMP297) (0.542 COMP27) (0.522 COMP1425) (0.521 COMP476) (0.515 COMP40) (0.502 COMP20) (0.495 COMP505) (0.488 COMP8) (0.485 COMP179) (0.467 COMP1) (0.461 COMP708) (0.460 COMP1578) (0.445 COMP16/COMP18/COMP54) (0.439 COMP480) (0.431 COMP685) (0.427 COMP1061) (0.402 COMP6) (0.397 COMP616) (0.384 COMP1560) (0.376 COMP473) (0.369 COMP544) (0.358 COMP9) (0.337 COMP501) (0.331 COMP1555) (0.290 COMP478/COMP499/COMP513/COMP624) (0.271 COMP1427) (0.161 COMP1571) (0.155 COMP1564)
NOS3 expression enhancer	0.588	COMP335	(0.552 COMP1562) (0.368 COMP1561) (0.332 COMP1565/COMP1579) (0.325 COMP1566) (0.316 COMP1573/COMP1577) (0.314 COMP1563) (0.313 COMP100/COMP1557/COMP1568/COMP1570/COMP1575) (0.312 COMP336) (0.304 COMP1580) (0.303 COMP1581) (0.288 COMP1582) (0.270 COMP1559) (0.269 COMP1556) (0.262 COMP1567) (0.253 COMP1583) (0.247 COMP1576) (0.236 COMP1574) (0.234 COMP1569) (0.227 COMP1572) (0.218 COMP1425) (0.202 COMP1558) (0.191 COMP1061) (0.171 COMP8) (0.170 COMP40) (0.160 COMP179) (0.153 COMP1571) (0.141 COMP20/COMP27) (0.140 COMP297) (0.132 COMP505) (0.131 COMP616) (0.130 COMP480) (0.129 COMP9)
NOS3 expression inhibitor	0.842	COMP27	(0.823 COMP20) (0.764 COMP40) (0.736 COMP1561) (0.710 COMP1562) (0.675 COMP1582) (0.664 COMP16/COMP18/COMP54) (0.638 COMP335) (0.556 COMP8) (0.539 COMP100) (0.536 COMP1563) (0.526 COMP1566) (0.523 COMP1581) (0.518 COMP1557/COMP1568/COMP1570/COMP1575) (0.515 COMP336) (0.513 COMP1573/COMP1577) (0.510 COMP297) (0.508 COMP1556) (0.503 COMP1583) (0.502 COMP1559/COMP1580) (0.499 COMP1565/COMP1579) (0.490 COMP1567) (0.486 COMP473) (0.476 COMP1574/COMP1576) (0.467 COMP1569) (0.460 COMP179/COMP505) (0.454 COMP1572) (0.449 COMP1555) (0.444 COMP1558) (0.440 COMP1425) (0.394 COMP480) (0.384 COMP1177/COMP524) (0.369 COMP1560) (0.367 COMP708) (0.362 COMP476) (0.344 COMP9) (0.325 COMP1061) (0.315 COMP616) (0.314 COMP1427) (0.309 COMP478/COMP499/COMP513/COMP624) (0.287 COMP544) (0.286 COMP1578) (0.284 COMP1564) (0.273 COMP501) (0.228 COMP691) (0.227 COMP1) (0.200 COMP141/COMP295)
TNF expression inhibitor	0.952	COMP1562	(0.938 COMP708) (0.927 COMP335) (0.905 COMP685) (0.892 COMP20) (0.887 COMP1177/COMP524) (0.881 COMP27) (0.870 COMP8) (0.859 COMP691) (0.857 COMP40) (0.843 COMP476) (0.796 COMP1557/COMP1568) (0.782 COMP1566) (0.774 COMP1425) (0.764 COMP1578) (0.763 COMP16/COMP18/COMP54) (0.762 COMP1563) (0.744 COMP1573/COMP1577) (0.731 COMP1570/COMP1575) (0.724 COMP1581) (0.709 COMP1559) (0.699 COMP100) (0.696 COMP1556) (0.691 COMP1569) (0.688 COMP1565/COMP1579/COMP1583) (0.678 COMP1574/COMP1576) (0.667 COMP336) (0.657 COMP1580) (0.653 COMP1567) (0.636 COMP1572) (0.615 COMP1560) (0.611 COMP1061) (0.607 COMP505) (0.601 COMP1) (0.596 COMP1558) (0.590 COMP473) (0.583 COMP179) (0.562 COMP297) (0.535 COMP616) (0.530 COMP1561) (0.499 COMP544) (0.496 COMP6) (0.493 COMP141) (0.491 COMP480) (0.479 COMP1582) (0.469 COMP9) (0.448 COMP478/COMP499/COMP513/COMP624) (0.407 COMP295) (0.406 COMP501) (0.342 COMP1427) (0.315 COMP1571) (0.210 COMP1555)
