Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.494	COMP271	
Acetylcholine release stimulant	0.121	COMP2437	(0.118 COMP271)
Actinic keratosis treatment	0.383	COMP77	(0.181 COMP271)
Acute respiratory distress syndrome (ARDS) treatment	0.152	COMP77	
Age-related macular degeneration treatment	0.227	COMP271	(0.178 COMP77)
Alzheimer's disease treatment	0.428	COMP77	
Amyotrophic lateral sclerosis treatment	0.685	COMP77	
Anabolic	0.213	COMP77	(0.138 COMP271)
Analeptic	0.762	COMP77	(0.485 COMP271) (0.173 COMP2437)
Andropause treatment	0.080	COMP77	
Anesthetic	0.828	COMP77	(0.192 COMP271)
Anesthetic general	0.807	COMP77	(0.411 COMP271) (0.188 COMP2437)
Anesthetic inhalation	0.065	COMP77	(0.061 COMP271)
Anesthetic local	0.180	COMP271	(0.136 COMP77)
Angiogenesis inhibitor	0.245	COMP2437	
Angiogenesis stimulant	0.361	COMP77	(0.292 COMP271)
Antiacne	0.560	COMP77	(0.216 COMP271)
Antialcoholic	0.285	COMP77	(0.174 COMP271)
Antiallergic	0.269	COMP271	
Antiamyloidogenic	0.460	COMP271	(0.333 COMP2437)
Antianemic	0.266	COMP271	(0.144 COMP2437)
Antianginal	0.139	COMP271	
Antianorexic	0.161	COMP271	
Antiarthritic	0.304	COMP271	
Antibacterial	0.465	COMP77	(0.437 COMP271) (0.320 COMP2437)
Antibiotic	0.097	COMP271	(0.084 COMP77)
Antibiotic Anthracycline-like	0.023	COMP271	
Antibiotic Naphthyridine-like	0.028	COMP271	
Antibiotic Quinolone-like	0.021	COMP271	(0.019 COMP2437)
Antibiotic Trimethoprim-like	0.019	COMP271	
Anticataract	0.809	COMP77	
Anticholelithogenic	0.293	COMP77	(0.183 COMP271)
Antidiabetic	0.633	COMP77	(0.368 COMP271)
Antidiabetic (type 1)	0.251	COMP77	
Antidiabetic (type 2)	0.364	COMP77	(0.256 COMP271)
Antidiabetic symptomatic	0.304	COMP77	(0.288 COMP271) (0.201 COMP2437)
Antidiarrheal	0.239	COMP77	(0.231 COMP271) (0.183 COMP2437)
Antidote	0.313	COMP271	(0.126 COMP2437)
Antidote. heavy metal	0.183	COMP271	(0.069 COMP2437)
Antidote. mercury	0.136	COMP271	
Antidote. organophosphates	0.088	COMP2437	(0.083 COMP271)
Antieczematic	0.221	COMP271	(0.144 COMP77)
Antiepileptic	0.577	COMP77	
Antifungal	0.544	COMP77	(0.195 COMP271) (0.182 COMP2437)
Antifungal (Aspergillus)	0.147	COMP271	(0.097 COMP2437)
Antifungal (Cryptococcus)	0.133	COMP77	
Antifungal (Pneumocystis)	0.273	COMP271	(0.164 COMP2437)
Antifungal enhancer	0.298	COMP77	(0.252 COMP271) (0.216 COMP2437)
Antiglaucomic	0.197	COMP271	
Antihelmintic	0.183	COMP77	(0.175 COMP271)
Antihelmintic (Fasciola)	0.152	COMP271	
Antihelmintic (Nematodes)	0.242	COMP271	
Antihelmintic (Trematoda)	0.175	COMP271	(0.147 COMP2437)
Antihemophilic	0.087	COMP271	(0.081 COMP2437)
Antihemorrhagic	0.188	COMP271	(0.172 COMP77) (0.134 COMP2437)
Antihypercholesterolemic	0.974	COMP77	(0.592 COMP271) (0.165 COMP2437)
Antihyperlipoproteinemic	0.932	COMP77	(0.379 COMP271)
Antihypermotility	0.097	COMP271	
Antihypertensive	0.473	COMP77	(0.215 COMP271)
Antihypertriglyceridemic	0.471	COMP271	(0.270 COMP77)
Antihypotensive	0.421	COMP271	(0.286 COMP2437) (0.192 COMP77)
Antihypoxic	0.438	COMP271	(0.225 COMP2437) (0.180 COMP77)
Antiinfertility. female	0.527	COMP77	(0.111 COMP271)
Antiinflammatory	0.848	COMP77	(0.445 COMP271)
Antiischemic	0.237	COMP271	
Antileukemic	0.721	COMP2437	(0.433 COMP77) (0.388 COMP271)
Antimitotic	0.514	COMP2437	(0.389 COMP271)
Antimutagenic	0.795	COMP271	(0.400 COMP2437)
Antimycobacterial	0.182	COMP271	
Antimycoplasmal	0.106	COMP271	(0.056 COMP2437)
Antineoplastic (bladder cancer)	0.539	COMP2437	
Antineoplastic (bone cancer)	0.253	COMP2437	(0.183 COMP271) (0.172 COMP77)
Antineoplastic (brain cancer)	0.434	COMP2437	(0.344 COMP77) (0.329 COMP271)
Antineoplastic (breast cancer)	0.655	COMP2437	(0.613 COMP77) (0.412 COMP271)
Antineoplastic (carcinoma)	0.404	COMP2437	(0.149 COMP271)
Antineoplastic (cervical cancer)	0.670	COMP2437	(0.312 COMP77) (0.284 COMP271)
Antineoplastic (colon cancer)	0.764	COMP2437	(0.271 COMP77) (0.253 COMP271)
Antineoplastic (colorectal cancer)	0.769	COMP2437	(0.285 COMP77) (0.276 COMP271)
Antineoplastic (endocrine cancer)	0.341	COMP77	(0.300 COMP2437) (0.290 COMP271)
Antineoplastic (gastric cancer)	0.431	COMP2437	(0.164 COMP271)
Antineoplastic (glioblastoma multiforme)	0.561	COMP2437	(0.323 COMP77) (0.228 COMP271)
Antineoplastic (glioma)	0.563	COMP2437	(0.375 COMP77) (0.243 COMP271)
Antineoplastic (liver cancer)	0.512	COMP77	(0.404 COMP2437) (0.294 COMP271)
Antineoplastic (lung cancer)	0.738	COMP2437	(0.488 COMP77) (0.318 COMP271)
Antineoplastic (lymphocytic leukemia)	0.425	COMP2437	(0.203 COMP271)
Antineoplastic (lymphoma)	0.363	COMP77	(0.267 COMP2437) (0.196 COMP271)
Antineoplastic (melanoma)	0.629	COMP2437	(0.451 COMP77) (0.303 COMP271)
Antineoplastic (multiple myeloma)	0.341	COMP2437	(0.302 COMP77) (0.212 COMP271)
Antineoplastic (myeloid leukemia)	0.251	COMP2437	
Antineoplastic (non-small cell lung cancer)	0.729	COMP2437	(0.286 COMP271) (0.161 COMP77)
Antineoplastic (osteosarcoma)	0.388	COMP2437	(0.329 COMP271)
Antineoplastic (ovarian cancer)	0.581	COMP2437	(0.479 COMP77) (0.283 COMP271)
Antineoplastic (pancreatic cancer)	0.527	COMP77	(0.400 COMP2437) (0.275 COMP271)
Antineoplastic (renal cancer)	0.428	COMP2437	(0.389 COMP77) (0.250 COMP271)
Antineoplastic (sarcoma)	0.406	COMP2437	(0.333 COMP77) (0.286 COMP271)
Antineoplastic (small cell lung cancer)	0.468	COMP2437	(0.312 COMP271)
Antineoplastic (solid tumors)	0.555	COMP2437	
Antineoplastic (squamous cell carcinoma)	0.372	COMP2437	(0.228 COMP271)
