Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.934	COMP15	(0.933 COMP1422/COMP509) (0.928 COMP499/COMP513/COMP57) (0.825 COMP32) (0.725 COMP2) (0.654 COMP1151) (0.638 COMP473/COMP488) (0.472 COMP1119) (0.421 COMP40/COMP41) (0.400 COMP27) (0.371 COMP1064/COMP988) (0.365 COMP162) (0.354 COMP479) (0.345 COMP2275) (0.335 COMP1160) (0.332 COMP77) (0.330 COMP2280/COMP2281/COMP403) (0.269 COMP62) (0.243 COMP259) (0.230 COMP2289) (0.212 COMP729) (0.205 COMP2270) (0.164 COMP2277) (0.161 COMP101) (0.132 COMP179/COMP505) (0.121 COMP2276) (0.117 COMP2274) (0.104 COMP2273)
Aldehyde dehydrogenase substrate	0.934	COMP499/COMP513/COMP57	(0.809 COMP1422/COMP509) (0.804 COMP15) (0.700 COMP32) (0.354 COMP2) (0.338 COMP1160) (0.327 COMP473/COMP488) (0.311 COMP40/COMP41) (0.301 COMP27) (0.298 COMP1064/COMP988) (0.274 COMP479) (0.222 COMP729) (0.203 COMP1119) (0.199 COMP2280/COMP2281/COMP403) (0.198 COMP1151) (0.195 COMP259) (0.174 COMP2275) (0.172 COMP101) (0.149 COMP2277) (0.122 COMP162) (0.118 COMP2274) (0.115 COMP2270) (0.111 COMP179/COMP505)
Aldehyde oxidase substrate	0.666	COMP32	(0.361 COMP729) (0.332 COMP499/COMP513/COMP57) (0.250 COMP101) (0.249 COMP1064/COMP988) (0.217 COMP1160) (0.216 COMP505) (0.212 COMP473/COMP488) (0.203 COMP2285) (0.198 COMP1422/COMP509) (0.192 COMP2) (0.186 COMP40/COMP41) (0.185 COMP2290) (0.184 COMP179) (0.178 COMP15) (0.176 COMP2271/COMP2275) (0.169 COMP63) (0.166 COMP27) (0.163 COMP2287) (0.158 COMP1151) (0.156 COMP479) (0.149 COMP265)
Aldose reductase substrate	0.992	COMP499/COMP513/COMP57	(0.797 COMP1422/COMP509) (0.760 COMP15) (0.615 COMP2277) (0.562 COMP0/COMP35/COMP42) (0.443 COMP471) (0.375 COMP2282) (0.356 COMP62) (0.335 COMP2284) (0.216 COMP729) (0.214 COMP473/COMP488) (0.194 COMP2/COMP40/COMP41) (0.182 COMP32) (0.179 COMP27) (0.150 COMP2283) (0.148 COMP2272) (0.144 COMP2286) (0.143 COMP2276) (0.142 COMP2290) (0.138 COMP2288) (0.133 COMP2285/COMP63) (0.130 COMP2280/COMP2281/COMP403)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.383 COMP2282) (0.381 COMP40/COMP41) (0.329 COMP729) (0.247 COMP2285) (0.204 COMP63) (0.178 COMP2284) (0.176 COMP2290) (0.175 COMP1064/COMP988) (0.141 COMP2/COMP2287) (0.133 COMP179) (0.131 COMP473/COMP488) (0.123 COMP505) (0.121 COMP101) (0.111 COMP2271) (0.103 COMP32) (0.100 COMP2288) (0.098 COMP1422/COMP509) (0.094 COMP1119) (0.090 COMP265) (0.078 COMP2275) (0.077 COMP1151) (0.067 COMP15)
CYP1A2 inhibitor	0.942	COMP265	(0.903 COMP2287) (0.901 COMP2271/COMP2288) (0.801 COMP2290) (0.792 COMP63) (0.713 COMP2285) (0.701 COMP1881) (0.481 COMP2270) (0.413 COMP101) (0.361 COMP2284) (0.335 COMP2272) (0.318 COMP729) (0.305 COMP259) (0.289 COMP2276) (0.273 COMP2283) (0.262 COMP2286) (0.247 COMP1151) (0.235 COMP471) (0.233 COMP32) (0.232 COMP1064/COMP988) (0.223 COMP1119) (0.219 COMP179) (0.217 COMP2275) (0.215 COMP505) (0.209 COMP2273) (0.197 COMP473/COMP488) (0.191 COMP2282) (0.178 COMP27) (0.176 COMP1160)
CYP1A2 substrate	0.944	COMP2272	(0.928 COMP1881) (0.923 COMP2283) (0.917 COMP2286) (0.830 COMP2287) (0.773 COMP2285) (0.770 COMP2276) (0.762 COMP2273) (0.759 COMP63) (0.730 COMP2271) (0.707 COMP101) (0.696 COMP265) (0.654 COMP15/COMP2290) (0.644 COMP32) (0.635 COMP471) (0.621 COMP2278) (0.600 COMP27) (0.596 COMP2288) (0.590 COMP1422/COMP509) (0.532 COMP40/COMP41) (0.508 COMP2280/COMP2281/COMP403) (0.503 COMP729) (0.488 COMP473/COMP488) (0.473 COMP179) (0.447 COMP505) (0.430 COMP1151) (0.420 COMP2282) (0.410 COMP2) (0.376 COMP2289) (0.362 COMP1064/COMP988) (0.354 COMP2274) (0.352 COMP2284) (0.342 COMP499/COMP513/COMP57) (0.317 COMP1119) (0.312 COMP2270) (0.270 COMP1160) (0.269 COMP77) (0.268 COMP2277) (0.252 COMP259) (0.239 COMP479) (0.238 COMP2275) (0.200 COMP0/COMP35/COMP42) (0.191 COMP62)
CYP24 inhibitor	0.060	COMP77	(0.024 COMP62) (0.022 COMP179)
CYP2A6 inhibitor	0.390	COMP32	(0.245 COMP259) (0.200 COMP1119) (0.183 COMP1160) (0.161 COMP1064/COMP988) (0.158 COMP63) (0.140 COMP1151) (0.133 COMP2287) (0.131 COMP729) (0.128 COMP2285) (0.115 COMP2275) (0.101 COMP162/COMP265) (0.096 COMP2290) (0.093 COMP101/COMP179) (0.091 COMP499/COMP513/COMP57) (0.089 COMP505) (0.083 COMP2274) (0.080 COMP1422/COMP509) (0.067 COMP15/COMP2276) (0.066 COMP2288/COMP40/COMP41)
CYP2B6 inhibitor	0.522	COMP1119	(0.515 COMP2271) (0.503 COMP63) (0.444 COMP2290) (0.437 COMP2285) (0.430 COMP27) (0.426 COMP265) (0.423 COMP259) (0.418 COMP2287) (0.391 COMP40/COMP41) (0.373 COMP2275) (0.367 COMP473/COMP488) (0.360 COMP2288) (0.357 COMP729) (0.351 COMP1064/COMP988) (0.333 COMP2) (0.330 COMP101) (0.321 COMP1151) (0.315 COMP15) (0.309 COMP162) (0.295 COMP1422/COMP509) (0.285 COMP505) (0.267 COMP179) (0.255 COMP1160) (0.250 COMP499/COMP513/COMP57) (0.246 COMP2280/COMP2281/COMP403) (0.236 COMP1881) (0.225 COMP32) (0.216 COMP2283) (0.215 COMP2270) (0.213 COMP2272) (0.212 COMP479) (0.208 COMP2286) (0.153 COMP2274) (0.152 COMP77) (0.146 COMP2273)
CYP2C19 inhibitor	0.701	COMP2272	(0.700 COMP2286) (0.686 COMP2283) (0.637 COMP265) (0.628 COMP2287) (0.615 COMP1881) (0.604 COMP2288) (0.580 COMP2271) (0.548 COMP63) (0.542 COMP162) (0.540 COMP2290) (0.515 COMP2285) (0.509 COMP259) (0.494 COMP1160) (0.472 COMP101) (0.460 COMP2278) (0.439 COMP1119) (0.433 COMP1151) (0.432 COMP2) (0.420 COMP2273) (0.414 COMP27) (0.397 COMP729) (0.389 COMP32) (0.384 COMP40/COMP41) (0.380 COMP505) (0.379 COMP2274) (0.378 COMP179) (0.376 COMP479) (0.360 COMP471) (0.331 COMP1064/COMP988) (0.326 COMP473/COMP488) (0.311 COMP2275) (0.271 COMP2270) (0.261 COMP77) (0.231 COMP1422/COMP509)
CYP2C19 substrate	0.917	COMP62	(0.897 COMP77) (0.823 COMP2272) (0.792 COMP471) (0.784 COMP1881) (0.756 COMP2283) (0.753 COMP2286) (0.716 COMP1119) (0.711 COMP15) (0.678 COMP1422/COMP27/COMP509) (0.647 COMP2280/COMP2281/COMP403) (0.632 COMP40/COMP41) (0.626 COMP2289) (0.608 COMP32) (0.594 COMP2285) (0.588 COMP101) (0.585 COMP179/COMP2271/COMP2282) (0.568 COMP473/COMP488) (0.559 COMP1151) (0.555 COMP505) (0.552 COMP2278/COMP63) (0.550 COMP2276) (0.546 COMP2277) (0.531 COMP265) (0.527 COMP2290) (0.526 COMP729) (0.523 COMP2273) (0.522 COMP2284) (0.516 COMP2287) (0.511 COMP162) (0.489 COMP2) (0.488 COMP1064/COMP988) (0.483 COMP2288) (0.475 COMP499/COMP513/COMP57) (0.439 COMP2275) (0.423 COMP2274) (0.307 COMP479) (0.255 COMP259) (0.253 COMP1160) (0.246 COMP0/COMP35/COMP42) (0.228 COMP2270)
CYP2C9 inhibitor	0.637	COMP2287	(0.610 COMP2272) (0.586 COMP265) (0.564 COMP2283) (0.561 COMP2271) (0.551 COMP63) (0.545 COMP2285) (0.514 COMP2290) (0.505 COMP2288) (0.493 COMP2286) (0.488 COMP1881) (0.363 COMP101) (0.360 COMP729) (0.347 COMP1160/COMP179) (0.344 COMP505) (0.341 COMP1151) (0.315 COMP2273/COMP27) (0.308 COMP259) (0.307 COMP1119) (0.285 COMP2275) (0.279 COMP40/COMP41) (0.270 COMP1064/COMP988) (0.265 COMP2) (0.264 COMP473/COMP488) (0.214 COMP2278)
CYP2C9 substrate	0.884	COMP2282	(0.825 COMP2284) (0.803 COMP2272) (0.793 COMP62) (0.779 COMP27) (0.778 COMP2283) (0.775 COMP2273) (0.772 COMP2286) (0.745 COMP2289) (0.737 COMP40/COMP41) (0.717 COMP77) (0.691 COMP2277/COMP2280/COMP2281/COMP403) (0.680 COMP101/COMP2278) (0.665 COMP2285) (0.656 COMP32) (0.629 COMP2287) (0.609 COMP15/COMP505) (0.599 COMP179) (0.592 COMP63) (0.591 COMP2290) (0.587 COMP1151) (0.572 COMP2271) (0.571 COMP1422/COMP509) (0.538 COMP729) (0.523 COMP265/COMP473/COMP488) (0.517 COMP2288) (0.511 COMP1064/COMP988) (0.495 COMP471) (0.490 COMP2274) (0.483 COMP499/COMP513/COMP57) (0.474 COMP2276) (0.466 COMP2) (0.465 COMP2275) (0.450 COMP1881) (0.421 COMP1119) (0.392 COMP479) (0.297 COMP0/COMP35/COMP42) (0.286 COMP2270) (0.253 COMP1160) (0.248 COMP162) (0.202 COMP259)
CYP2D6 inhibitor	0.285	COMP259	(0.270 COMP2286) (0.251 COMP2272) (0.226 COMP729) (0.223 COMP505) (0.218 COMP1064/COMP988) (0.198 COMP179) (0.196 COMP101) (0.186 COMP2283) (0.184 COMP2274)
CYP2D6 substrate	0.715	COMP2272	(0.682 COMP2283) (0.679 COMP2286) (0.648 COMP101) (0.630 COMP1119) (0.580 COMP2273) (0.555 COMP499/COMP513/COMP57) (0.548 COMP2278) (0.484 COMP27) (0.467 COMP473/COMP488) (0.452 COMP63) (0.447 COMP32) (0.446 COMP2271) (0.443 COMP2280/COMP2281/COMP403) (0.442 COMP40/COMP41) (0.437 COMP77) (0.428 COMP729) (0.425 COMP162) (0.418 COMP265) (0.410 COMP179) (0.409 COMP15) (0.404 COMP1881) (0.391 COMP2287) (0.386 COMP2) (0.383 COMP505) (0.380 COMP62) (0.377 COMP1064/COMP988) (0.375 COMP2277) (0.374 COMP2274) (0.370 COMP1422/COMP509) (0.357 COMP2285) (0.344 COMP2289) (0.339 COMP2275) (0.338 COMP2290) (0.333 COMP2284) (0.332 COMP2288) (0.312 COMP471) (0.300 COMP1151) (0.289 COMP2282) (0.212 COMP479)
CYP3A4 inhibitor	0.448	COMP162	(0.391 COMP2272) (0.381 COMP2286) (0.370 COMP265) (0.353 COMP2287) (0.329 COMP101) (0.325 COMP2288) (0.306 COMP2283) (0.303 COMP2271) (0.302 COMP63) (0.299 COMP1881) (0.290 COMP2290) (0.282 COMP2285) (0.259 COMP1160) (0.237 COMP2278) (0.230 COMP2289/COMP729) (0.224 COMP2274) (0.222 COMP1119) (0.216 COMP2) (0.208 COMP259) (0.194 COMP1064/COMP988)
CYP3A4 substrate	0.899	COMP62	(0.883 COMP77) (0.771 COMP2282) (0.741 COMP2289) (0.723 COMP2272) (0.722 COMP2284) (0.710 COMP471) (0.689 COMP2283) (0.687 COMP2286) (0.659 COMP2273) (0.656 COMP2280/COMP2281/COMP403) (0.650 COMP2276) (0.646 COMP1881) (0.643 COMP2277) (0.639 COMP499/COMP513/COMP57) (0.612 COMP2278) (0.611 COMP27) (0.597 COMP15) (0.594 COMP2) (0.556 COMP2287) (0.555 COMP40/COMP41) (0.554 COMP2285) (0.546 COMP32) (0.544 COMP1422/COMP509) (0.536 COMP0/COMP35/COMP42) (0.523 COMP63) (0.514 COMP2274/COMP473/COMP488) (0.502 COMP101) (0.477 COMP2271) (0.476 COMP2290) (0.462 COMP505) (0.458 COMP2288) (0.457 COMP179) (0.428 COMP479) (0.427 COMP265) (0.424 COMP729) (0.398 COMP1151) (0.389 COMP1064/COMP988) (0.359 COMP2270) (0.330 COMP2275) (0.328 COMP1119) (0.251 COMP162) (0.212 COMP259) (0.203 COMP1160)
FMO1 substrate	0.707	COMP473/COMP488	(0.705 COMP1064/COMP988) (0.668 COMP2274) (0.658 COMP40/COMP41) (0.653 COMP729) (0.643 COMP32) (0.639 COMP27) (0.629 COMP499/COMP513/COMP57) (0.621 COMP101) (0.620 COMP1151) (0.619 COMP2) (0.608 COMP2275) (0.602 COMP179) (0.596 COMP1422/COMP509) (0.573 COMP15) (0.567 COMP1160) (0.559 COMP505) (0.556 COMP479) (0.537 COMP2285) (0.535 COMP259) (0.527 COMP1119) (0.484 COMP63) (0.480 COMP2290) (0.475 COMP2287) (0.465 COMP2271) (0.439 COMP162) (0.404 COMP265) (0.353 COMP2288) (0.349 COMP2280/COMP2281/COMP403) (0.314 COMP2286) (0.310 COMP2272) (0.301 COMP1881) (0.300 COMP2283) (0.270 COMP2278) (0.240 COMP2276) (0.213 COMP2270)
FMO3 substrate	0.565	COMP1151	(0.533 COMP1064/COMP988) (0.532 COMP729) (0.528 COMP40/COMP41) (0.507 COMP101) (0.497 COMP27) (0.496 COMP473/COMP488) (0.441 COMP2275) (0.408 COMP2) (0.406 COMP179) (0.395 COMP499/COMP513/COMP57) (0.366 COMP505) (0.364 COMP32) (0.362 COMP1422/COMP509) (0.349 COMP1119) (0.336 COMP15) (0.324 COMP2285/COMP479) (0.323 COMP259/COMP63) (0.317 COMP1160) (0.310 COMP2274) (0.291 COMP162) (0.266 COMP2287) (0.256 COMP2286) (0.253 COMP2290) (0.252 COMP2272) (0.249 COMP2283) (0.236 COMP1881) (0.235 COMP2271) (0.206 COMP2280/COMP2281/COMP403) (0.204 COMP265) (0.201 COMP2288)
Flavin-containing monooxygenase substrate	0.636	COMP1151	(0.605 COMP1064/COMP988) (0.574 COMP729) (0.550 COMP473/COMP488) (0.509 COMP40/COMP41) (0.455 COMP27) (0.442 COMP2274/COMP32) (0.423 COMP101) (0.416 COMP2275) (0.381 COMP2) (0.378 COMP1160) (0.376 COMP499/COMP513/COMP57) (0.365 COMP179) (0.344 COMP479) (0.333 COMP2285) (0.329 COMP1422/COMP509) (0.324 COMP63) (0.319 COMP505) (0.296 COMP15) (0.287 COMP1119) (0.281 COMP259) (0.264 COMP2287) (0.228 COMP2290) (0.221 COMP2286) (0.214 COMP162) (0.213 COMP2283) (0.211 COMP2272) (0.205 COMP1881) (0.199 COMP2271) (0.181 COMP2280/COMP2281/COMP265/COMP403)
GST A substrate	0.961	COMP1422/COMP509	(0.954 COMP15) (0.948 COMP40/COMP41) (0.940 COMP27) (0.893 COMP473/COMP488) (0.892 COMP499/COMP513/COMP57) (0.880 COMP1064/COMP988) (0.879 COMP1151) (0.844 COMP2) (0.822 COMP729) (0.820 COMP162/COMP2275) (0.720 COMP479) (0.710 COMP32) (0.689 COMP2274) (0.679 COMP259) (0.648 COMP1119) (0.638 COMP101) (0.552 COMP179/COMP505) (0.551 COMP2286) (0.545 COMP2272) (0.537 COMP2283) (0.533 COMP2285/COMP63) (0.528 COMP1160) (0.476 COMP1881) (0.450 COMP2287) (0.408 COMP2290) (0.390 COMP2280/COMP2281/COMP403) (0.335 COMP2288) (0.331 COMP265) (0.294 COMP2271) (0.266 COMP2276) (0.261 COMP2278) (0.217 COMP2273) (0.204 COMP0/COMP35/COMP42) (0.202 COMP2289)
