Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.538	COMP499/COMP57	(0.362 COMP77) (0.346 COMP697/COMP889) (0.324 COMP389/COMP390) (0.314 COMP921) (0.253 COMP919) (0.240 COMP285) (0.231 COMP55) (0.225 COMP887) (0.214 COMP860) (0.189 COMP537/COMP871/COMP895) (0.185 COMP189) (0.182 COMP683) (0.171 COMP60) (0.163 COMP16/COMP18/COMP53/COMP54) (0.162 COMP34/COMP36) (0.159 COMP62) (0.154 COMP905) (0.151 COMP864/COMP878) (0.148 COMP733/COMP875) (0.147 COMP724) (0.146 COMP114/COMP131) (0.145 COMP49) (0.144 COMP124/COMP512/COMP715/COMP721/COMP810/COMP882) (0.141 COMP48) (0.140 COMP488) (0.139 COMP144/COMP19) (0.137 COMP282) (0.136 COMP238/COMP772) (0.133 COMP109/COMP136/COMP145) (0.128 COMP271) (0.126 COMP37/COMP39/COMP616) (0.123 COMP930) (0.119 COMP26/COMP28/COMP322/COMP40/COMP41/COMP879) (0.117 COMP43) (0.116 COMP861/COMP869/COMP911) (0.115 COMP892) (0.114 COMP38) (0.113 COMP868) (0.112 COMP872) (0.111 COMP178) (0.108 COMP927) (0.105 COMP856) (0.103 COMP27/COMP59/COMP888) (0.102 COMP191) (0.097 COMP924) (0.094 COMP544/COMP876) (0.091 COMP910) (0.090 COMP141/COMP264/COMP547) (0.089 COMP20) (0.086 COMP774/COMP891) (0.083 COMP2)
AR expression inhibitor	0.991	COMP499/COMP57	(0.953 COMP724) (0.937 COMP48/COMP49) (0.927 COMP34/COMP36) (0.906 COMP856) (0.894 COMP774/COMP891) (0.870 COMP191/COMP282) (0.856 COMP37/COMP39) (0.843 COMP733/COMP875) (0.805 COMP512/COMP715/COMP721/COMP810/COMP882) (0.793 COMP46) (0.790 COMP38) (0.786 COMP910/COMP927) (0.775 COMP857) (0.771 COMP903) (0.763 COMP892) (0.755 COMP860) (0.735 COMP920) (0.731 COMP302) (0.728 COMP922) (0.725 COMP913) (0.723 COMP43) (0.713 COMP861/COMP911) (0.700 COMP59/COMP888/COMP907) (0.683 COMP850/COMP893/COMP902) (0.666 COMP238/COMP772) (0.659 COMP389/COMP390) (0.654 COMP930) (0.652 COMP697/COMP889) (0.649 COMP918) (0.645 COMP906) (0.642 COMP851) (0.640 COMP862/COMP905) (0.637 COMP894/COMP916) (0.631 COMP683) (0.627 COMP915) (0.625 COMP859) (0.591 COMP537/COMP871/COMP895) (0.587 COMP887) (0.581 COMP178) (0.580 COMP926) (0.571 COMP909) (0.568 COMP908) (0.559 COMP879/COMP881/COMP890/COMP896) (0.556 COMP26/COMP28/COMP40/COMP41) (0.542 COMP885) (0.540 COMP60) (0.539 COMP912) (0.538 COMP917) (0.536 COMP109/COMP136/COMP145) (0.535 COMP900) (0.528 COMP919) (0.524 COMP27) (0.523 COMP923) (0.520 COMP924) (0.517 COMP868) (0.516 COMP189) (0.512 COMP854) (0.507 COMP877) (0.504 COMP16/COMP18/COMP53/COMP54) (0.498 COMP925) (0.493 COMP921) (0.485 COMP77) (0.484 COMP20) (0.479 COMP62) (0.474 COMP271) (0.471 COMP141/COMP264/COMP547) (0.457 COMP285) (0.448 COMP867) (0.446 COMP869) (0.445 COMP123/COMP161) (0.440 COMP870) (0.437 COMP401/COMP886) (0.436 COMP866) (0.424 COMP273/COMP404/COMP880/COMP883/COMP897/COMP898/COMP899) (0.411 COMP55) (0.383 COMP876) (0.363 COMP322) (0.351 COMP2) (0.347 COMP488) (0.343 COMP124) (0.338 COMP864/COMP878) (0.307 COMP874) (0.283 COMP853) (0.278 COMP616) (0.276 COMP901) (0.272 COMP855) (0.261 COMP144/COMP19) (0.255 COMP114/COMP131) (0.246 COMP863) (0.243 COMP872) (0.222 COMP852) (0.195 COMP31/COMP858/COMP904)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.916 COMP724) (0.912 COMP191) (0.899 COMP856) (0.868 COMP34/COMP36) (0.838 COMP919) (0.826 COMP37/COMP39) (0.821 COMP389/COMP390) (0.817 COMP870) (0.814 COMP861/COMP901/COMP911) (0.811 COMP77) (0.807 COMP697/COMP889) (0.802 COMP887) (0.783 COMP512/COMP715/COMP721/COMP810/COMP882) (0.777 COMP26/COMP28/COMP40/COMP41) (0.767 COMP285) (0.766 COMP16/COMP18/COMP43/COMP53/COMP54) (0.759 COMP38) (0.755 COMP59/COMP888) (0.751 COMP879) (0.742 COMP27) (0.738 COMP733/COMP875) (0.734 COMP862) (0.727 COMP859) (0.711 COMP866) (0.704 COMP499/COMP57/COMP60/COMP857) (0.691 COMP189) (0.686 COMP488/COMP868) (0.678 COMP20) (0.677 COMP271) (0.673 COMP869) (0.652 COMP683) (0.637 COMP876) (0.629 COMP913) (0.628 COMP920) (0.618 COMP903) (0.610 COMP322) (0.608 COMP46) (0.600 COMP921) (0.592 COMP922) (0.585 COMP916) (0.571 COMP2/COMP918) (0.563 COMP123/COMP161) (0.556 COMP892) (0.551 COMP144/COMP19/COMP774/COMP891) (0.521 COMP55) (0.467 COMP853) (0.457 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.450 COMP864/COMP878) (0.413 COMP544) (0.412 COMP863) (0.408 COMP905) (0.393 COMP872) (0.384 COMP880) (0.376 COMP616) (0.369 COMP31/COMP858/COMP904) (0.360 COMP401/COMP886) (0.353 COMP109/COMP114/COMP131/COMP136/COMP145/COMP537/COMP871/COMP895) (0.338 COMP894) (0.330 COMP900) (0.327 COMP926) (0.296 COMP908/COMP909) (0.288 COMP925) (0.284 COMP62) (0.279 COMP881/COMP890/COMP896/COMP923) (0.276 COMP915) (0.272 COMP906) (0.264 COMP141/COMP264/COMP547) (0.248 COMP860) (0.246 COMP867) (0.243 COMP912) (0.233 COMP917) (0.227 COMP178) (0.226 COMP929) (0.225 COMP850/COMP893) (0.213 COMP302) (0.202 COMP124) (0.201 COMP854) (0.197 COMP282) (0.191 COMP238/COMP772/COMP877)
GRP78 expression inhibitor	0.056	COMP894	(0.048 COMP189) (0.041 COMP926) (0.039 COMP905) (0.038 COMP55) (0.033 COMP16/COMP18/COMP53/COMP54/COMP683/COMP869) (0.032 COMP863/COMP864/COMP878) (0.030 COMP109/COMP136/COMP145/COMP322/COMP537/COMP60/COMP871/COMP895) (0.029 COMP31/COMP858/COMP904) (0.028 COMP857/COMP913) (0.027 COMP488/COMP918) (0.026 COMP867/COMP917) (0.025 COMP114/COMP131/COMP144/COMP19/COMP271) (0.024 COMP2/COMP868/COMP901/COMP903/COMP916/COMP922) (0.023 COMP26/COMP28/COMP40/COMP41/COMP859/COMP872/COMP908/COMP909/COMP920) (0.022 COMP860) (0.021 COMP20/COMP27/COMP697/COMP862/COMP879/COMP889/COMP925) (0.020 COMP544/COMP616/COMP880)
ICAM1 expression inhibitor	0.698	COMP924	(0.688 COMP238/COMP772) (0.679 COMP178) (0.664 COMP930) (0.639 COMP929) (0.633 COMP34/COMP36) (0.628 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.627 COMP401/COMP886) (0.611 COMP46) (0.600 COMP894) (0.598 COMP860) (0.596 COMP867) (0.593 COMP874) (0.584 COMP37/COMP39) (0.572 COMP913) (0.569 COMP857) (0.568 COMP927) (0.566 COMP903) (0.564 COMP49) (0.562 COMP926) (0.561 COMP282) (0.560 COMP48) (0.557 COMP922) (0.556 COMP724/COMP902/COMP920) (0.551 COMP892/COMP907) (0.549 COMP910) (0.543 COMP866) (0.542 COMP38) (0.538 COMP909) (0.529 COMP850/COMP893) (0.522 COMP915) (0.514 COMP908) (0.512 COMP917) (0.511 COMP27/COMP918) (0.508 COMP916) (0.504 COMP906) (0.500 COMP20) (0.495 COMP62) (0.493 COMP905) (0.486 COMP925) (0.484 COMP877) (0.481 COMP872) (0.480 COMP389/COMP390) (0.477 COMP26/COMP28/COMP40/COMP41/COMP854) (0.476 COMP697/COMP889) (0.470 COMP774/COMP891) (0.463 COMP60) (0.460 COMP919) (0.459 COMP189) (0.456 COMP191) (0.453 COMP851/COMP862) (0.452 COMP887) (0.451 COMP859) (0.449 COMP123/COMP161) (0.448 COMP900) (0.446 COMP683) (0.445 COMP856) (0.442 COMP59/COMP888) (0.441 COMP923) (0.436 COMP16/COMP18/COMP53/COMP54) (0.433 COMP912/COMP921) (0.432 COMP271) (0.429 COMP512/COMP715/COMP721/COMP810/COMP882) (0.426 COMP881/COMP890/COMP896) (0.418 COMP733/COMP875) (0.413 COMP77) (0.412 COMP616) (0.411 COMP861/COMP911) (0.405 COMP285/COMP544) (0.400 COMP537/COMP871/COMP895) (0.394 COMP901) (0.391 COMP876) (0.386 COMP114/COMP131) (0.384 COMP863/COMP868) (0.381 COMP144/COMP19) (0.372 COMP322/COMP885) (0.371 COMP109/COMP136/COMP145) (0.354 COMP488) (0.353 COMP141/COMP264/COMP547) (0.352 COMP2) (0.350 COMP879) (0.337 COMP124/COMP31/COMP858/COMP869/COMP904) (0.332 COMP880) (0.328 COMP43) (0.326 COMP864/COMP878) (0.290 COMP55) (0.283 COMP852) (0.255 COMP870) (0.254 COMP855) (0.201 COMP302)
LDLR expression enhancer	0.421	COMP919	(0.414 COMP733/COMP875) (0.393 COMP512/COMP715/COMP721/COMP810/COMP882) (0.365 COMP724/COMP77) (0.349 COMP48/COMP921) (0.339 COMP861/COMP911) (0.330 COMP856) (0.315 COMP191) (0.314 COMP49) (0.312 COMP887) (0.306 COMP271) (0.278 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.273 COMP401/COMP886) (0.272 COMP683) (0.271 COMP860) (0.269 COMP868) (0.266 COMP389/COMP390) (0.262 COMP60) (0.256 COMP285/COMP929) (0.251 COMP34/COMP36) (0.249 COMP59/COMP697/COMP888/COMP889/COMP903) (0.246 COMP922) (0.244 COMP916) (0.242 COMP857) (0.239 COMP876) (0.238 COMP855) (0.235 COMP302) (0.234 COMP918) (0.231 COMP880) (0.229 COMP616/COMP852) (0.228 COMP905) (0.227 COMP488) (0.226 COMP27) (0.225 COMP544) (0.220 COMP866) (0.218 COMP869) (0.211 COMP20) (0.210 COMP26/COMP28/COMP40/COMP41/COMP870) (0.209 COMP862) (0.208 COMP322) (0.206 COMP37/COMP39) (0.203 COMP2) (0.198 COMP859) (0.194 COMP537/COMP871/COMP895) (0.189 COMP124/COMP189/COMP38) (0.187 COMP123/COMP161) (0.183 COMP282) (0.179 COMP881/COMP890/COMP896) (0.178 COMP16/COMP18/COMP53/COMP54) (0.176 COMP864/COMP878) (0.175 COMP863) (0.158 COMP109/COMP136/COMP145/COMP238/COMP772) (0.155 COMP31/COMP858/COMP904) (0.147 COMP43) (0.143 COMP853) (0.141 COMP144/COMP19/COMP879) (0.139 COMP912) (0.138 COMP872/COMP930) (0.137 COMP774/COMP891)
NOS2 expression inhibitor	0.967	COMP46	(0.952 COMP920) (0.939 COMP902) (0.938 COMP913) (0.926 COMP892) (0.913 COMP907) (0.903 COMP48) (0.879 COMP59/COMP888) (0.871 COMP49) (0.869 COMP724) (0.861 COMP191) (0.847 COMP282) (0.822 COMP512/COMP715/COMP721/COMP810/COMP882) (0.821 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.805 COMP856) (0.786 COMP894) (0.767 COMP62/COMP733/COMP875) (0.761 COMP910) (0.760 COMP867) (0.737 COMP401/COMP886) (0.730 COMP927) (0.707 COMP929) (0.697 COMP862) (0.670 COMP859/COMP903) (0.668 COMP861/COMP911) (0.655 COMP922) (0.653 COMP916) (0.649 COMP887) (0.632 COMP918) (0.626 COMP38) (0.604 COMP141/COMP264/COMP547) (0.603 COMP77) (0.602 COMP857) (0.596 COMP238/COMP772/COMP876) (0.585 COMP389/COMP390) (0.575 COMP866) (0.571 COMP930) (0.567 COMP915) (0.563 COMP302) (0.561 COMP34/COMP36) (0.558 COMP697/COMP889) (0.552 COMP926) (0.547 COMP37/COMP39) (0.546 COMP917) (0.542 COMP27) (0.526 COMP860) (0.525 COMP850/COMP893) (0.522 COMP905) (0.519 COMP852) (0.515 COMP26/COMP28/COMP285/COMP40/COMP41) (0.509 COMP123/COMP161) (0.508 COMP271/COMP909/COMP919) (0.507 COMP906) (0.504 COMP908) (0.503 COMP880) (0.502 COMP20) (0.485 COMP921) (0.479 COMP178) (0.468 COMP855) (0.466 COMP774/COMP891) (0.458 COMP923) (0.457 COMP60) (0.450 COMP877) (0.448 COMP879) (0.445 COMP16/COMP18/COMP53/COMP54) (0.431 COMP868) (0.426 COMP189) (0.425 COMP900) (0.417 COMP851) (0.413 COMP872) (0.412 COMP537/COMP871/COMP895) (0.411 COMP683/COMP924) (0.404 COMP854/COMP881/COMP890/COMP896) (0.403 COMP885) (0.402 COMP870) (0.397 COMP616) (0.392 COMP869) (0.385 COMP863/COMP925) (0.384 COMP2/COMP901) (0.376 COMP144/COMP19/COMP488) (0.372 COMP124) (0.369 COMP544) (0.364 COMP864/COMP878) (0.361 COMP322) (0.358 COMP109/COMP136/COMP145/COMP43) (0.357 COMP31/COMP858/COMP904) (0.353 COMP912) (0.321 COMP55) (0.290 COMP499/COMP57) (0.271 COMP114/COMP131) (0.148 COMP853)
NOS3 expression enhancer	0.767	COMP774/COMP891	(0.722 COMP46) (0.721 COMP34/COMP36) (0.717 COMP724) (0.703 COMP48) (0.697 COMP49) (0.682 COMP733/COMP875) (0.673 COMP389/COMP390) (0.672 COMP697/COMP889) (0.669 COMP892) (0.668 COMP512/COMP715/COMP721/COMP810/COMP882) (0.662 COMP920) (0.660 COMP913) (0.647 COMP37/COMP39) (0.633 COMP856) (0.606 COMP907) (0.603 COMP902) (0.599 COMP191/COMP919) (0.577 COMP38) (0.550 COMP887) (0.508 COMP894) (0.504 COMP926) (0.500 COMP861/COMP911) (0.483 COMP59/COMP888/COMP909) (0.467 COMP867) (0.461 COMP908) (0.435 COMP683) (0.420 COMP850/COMP893) (0.387 COMP868) (0.381 COMP60) (0.365 COMP62) (0.350 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.346 COMP917) (0.337 COMP925) (0.333 COMP401/COMP886) (0.331 COMP912) (0.324 COMP285) (0.319 COMP857) (0.296 COMP862) (0.294 COMP905) (0.285 COMP859) (0.283 COMP271) (0.264 COMP915) (0.263 COMP77) (0.252 COMP854) (0.251 COMP877) (0.209 COMP903) (0.204 COMP880) (0.203 COMP302) (0.199 COMP322) (0.186 COMP189) (0.183 COMP866) (0.180 COMP921) (0.177 COMP929) (0.173 COMP851) (0.170 COMP26/COMP28/COMP40/COMP41) (0.152 COMP885/COMP900) (0.151 COMP906) (0.150 COMP922) (0.141 COMP20/COMP27) (0.139 COMP864/COMP878) (0.131 COMP616/COMP918) (0.127 COMP855) (0.125 COMP876/COMP916)
NOS3 expression inhibitor	0.960	COMP31/COMP858/COMP904	(0.939 COMP919) (0.910 COMP77) (0.902 COMP874) (0.893 COMP62) (0.887 COMP867) (0.880 COMP921) (0.869 COMP866) (0.862 COMP285) (0.842 COMP27) (0.839 COMP892) (0.834 COMP49) (0.831 COMP724) (0.827 COMP48) (0.823 COMP20) (0.815 COMP913) (0.811 COMP920) (0.764 COMP26/COMP28/COMP40/COMP41) (0.757 COMP46) (0.741 COMP850/COMP893) (0.734 COMP863) (0.725 COMP894) (0.708 COMP189) (0.703 COMP191/COMP856) (0.698 COMP912) (0.686 COMP926) (0.674 COMP512/COMP715/COMP721/COMP733/COMP810/COMP875/COMP882) (0.664 COMP16/COMP18/COMP53/COMP54) (0.662 COMP861/COMP911) (0.645 COMP909) (0.634 COMP905) (0.627 COMP908) (0.622 COMP59/COMP860/COMP888) (0.601 COMP917) (0.591 COMP857) (0.568 COMP864/COMP878) (0.564 COMP774/COMP891) (0.557 COMP55) (0.555 COMP851) (0.541 COMP43) (0.534 COMP925) (0.532 COMP2) (0.530 COMP902) (0.526 COMP697/COMP889) (0.520 COMP907) (0.510 COMP869) (0.509 COMP885/COMP903) (0.508 COMP915) (0.506 COMP389/COMP390) (0.502 COMP930) (0.500 COMP537/COMP871/COMP879/COMP895) (0.499 COMP282) (0.498 COMP178/COMP910) (0.492 COMP924) (0.489 COMP922) (0.486 COMP488) (0.482 COMP853) (0.475 COMP854) (0.473 COMP927) (0.470 COMP238/COMP772) (0.458 COMP877) (0.454 COMP887) (0.453 COMP862) (0.451 COMP60) (0.439 COMP38/COMP901) (0.437 COMP109/COMP136/COMP145) (0.435 COMP868) (0.433 COMP683) (0.432 COMP859) (0.426 COMP123/COMP161) (0.418 COMP37/COMP39) (0.402 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.400 COMP271/COMP881/COMP890/COMP896) (0.399 COMP906) (0.394 COMP876) (0.389 COMP900) (0.388 COMP918) (0.383 COMP916) (0.373 COMP401/COMP886) (0.368 COMP322) (0.366 COMP34/COMP36) (0.363 COMP880) (0.344 COMP872) (0.315 COMP616) (0.314 COMP114/COMP131) (0.309 COMP499/COMP57) (0.296 COMP923) (0.287 COMP544) (0.275 COMP870) (0.270 COMP144/COMP19) (0.266 COMP302) (0.202 COMP124) (0.200 COMP141/COMP264/COMP547) (0.189 COMP929)
TNF expression inhibitor	0.991	COMP874	(0.951 COMP892) (0.949 COMP34/COMP36) (0.944 COMP920) (0.942 COMP62) (0.941 COMP913) (0.914 COMP37/COMP39) (0.902 COMP919) (0.899 COMP77) (0.892 COMP20) (0.882 COMP921) (0.881 COMP27) (0.877 COMP48) (0.873 COMP38) (0.869 COMP46/COMP59/COMP888) (0.857 COMP26/COMP28/COMP40/COMP41) (0.849 COMP724) (0.847 COMP49) (0.836 COMP191) (0.833 COMP887) (0.823 COMP861/COMP911) (0.814 COMP894) (0.811 COMP282) (0.809 COMP238/COMP772) (0.801 COMP389/COMP390) (0.796 COMP856) (0.789 COMP867) (0.772 COMP697/COMP860/COMP889) (0.771 COMP926) (0.763 COMP16/COMP18/COMP53/COMP54) (0.755 COMP285) (0.733 COMP864/COMP878) (0.715 COMP930) (0.710 COMP910) (0.703 COMP927) (0.695 COMP512/COMP715/COMP721/COMP810/COMP882) (0.681 COMP902) (0.678 COMP189) (0.675 COMP862) (0.674 COMP900) (0.665 COMP901) (0.661 COMP881/COMP890/COMP896) (0.659 COMP857) (0.658 COMP302) (0.657 COMP905) (0.651 COMP271/COMP733/COMP875) (0.650 COMP178) (0.648 COMP2/COMP859) (0.641 COMP903) (0.636 COMP774/COMP891) (0.624 COMP922) (0.621 COMP850/COMP879/COMP893/COMP906/COMP916) (0.619 COMP60) (0.611 COMP907) (0.610 COMP918) (0.609 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.608 COMP915) (0.598 COMP909) (0.594 COMP917/COMP923) (0.592 COMP869) (0.590 COMP488) (0.587 COMP123/COMP161) (0.585 COMP908) (0.584 COMP683) (0.580 COMP866) (0.578 COMP876) (0.572 COMP55) (0.571 COMP851) (0.569 COMP912) (0.568 COMP868) (0.559 COMP924) (0.557 COMP863) (0.546 COMP401/COMP886) (0.540 COMP925) (0.535 COMP616) (0.527 COMP109/COMP136/COMP145) (0.523 COMP31/COMP43/COMP858/COMP904) (0.517 COMP322) (0.511 COMP885) (0.504 COMP854) (0.499 COMP544) (0.495 COMP877) (0.494 COMP880) (0.493 COMP141/COMP264/COMP547) (0.475 COMP144/COMP19) (0.474 COMP853) (0.468 COMP537/COMP871/COMP895) (0.459 COMP870) (0.456 COMP124) (0.448 COMP499/COMP57) (0.441 COMP872) (0.383 COMP929) (0.342 COMP114/COMP131) (0.270 COMP852) (0.233 COMP855)
