Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.939	COMP43	(0.928 COMP499/COMP57) (0.725 COMP2) (0.638 COMP488) (0.581 COMP863) (0.580 COMP141/COMP264/COMP547) (0.541 COMP870) (0.523 COMP31/COMP858/COMP904) (0.488 COMP20) (0.421 COMP26/COMP28/COMP40/COMP41) (0.411 COMP879) (0.400 COMP27) (0.371 COMP302/COMP861/COMP869/COMP911) (0.352 COMP16/COMP18/COMP53/COMP54) (0.332 COMP77) (0.327 COMP919) (0.322 COMP189) (0.314 COMP874) (0.312 COMP285) (0.307 COMP697/COMP889) (0.306 COMP389/COMP390) (0.302 COMP864/COMP878) (0.298 COMP921) (0.285 COMP910) (0.277 COMP144/COMP19) (0.269 COMP62) (0.260 COMP282) (0.254 COMP887) (0.232 COMP927) (0.213 COMP905) (0.197 COMP109/COMP136/COMP145) (0.196 COMP876) (0.189 COMP880) (0.186 COMP123/COMP161) (0.183 COMP55) (0.152 COMP60) (0.151 COMP537/COMP871/COMP895) (0.149 COMP38/COMP901) (0.147 COMP37/COMP39) (0.144 COMP929) (0.143 COMP683) (0.140 COMP872/COMP902/COMP926) (0.137 COMP774/COMP860/COMP891) (0.136 COMP917) (0.135 COMP271) (0.134 COMP907) (0.132 COMP34/COMP36) (0.131 COMP616) (0.130 COMP114/COMP131/COMP924) (0.129 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.125 COMP868) (0.124 COMP124/COMP930) (0.122 COMP238/COMP544/COMP772) (0.121 COMP401/COMP886) (0.117 COMP322/COMP852/COMP855/COMP866/COMP867) (0.114 COMP178) (0.108 COMP512/COMP715/COMP721/COMP810/COMP882/COMP885) (0.107 COMP920) (0.106 COMP908/COMP909) (0.105 COMP925) (0.104 COMP733/COMP857/COMP875/COMP912)
Aldehyde dehydrogenase substrate	0.934	COMP499/COMP57	(0.821 COMP43) (0.503 COMP870) (0.354 COMP2) (0.351 COMP141/COMP264/COMP547) (0.336 COMP20) (0.327 COMP488) (0.311 COMP26/COMP28/COMP40/COMP41) (0.301 COMP27) (0.299 COMP879) (0.298 COMP869) (0.294 COMP16/COMP18/COMP53/COMP54) (0.283 COMP189) (0.232 COMP863) (0.219 COMP389/COMP390) (0.217 COMP60) (0.215 COMP864/COMP878) (0.211 COMP144/COMP19/COMP697/COMP889) (0.210 COMP31/COMP858/COMP904) (0.206 COMP683/COMP887) (0.202 COMP271) (0.196 COMP876) (0.189 COMP55) (0.158 COMP868) (0.149 COMP322/COMP866) (0.141 COMP38) (0.136 COMP910) (0.132 COMP37/COMP39) (0.131 COMP926) (0.130 COMP867) (0.129 COMP302) (0.127 COMP927) (0.125 COMP282) (0.122 COMP917) (0.120 COMP902) (0.118 COMP774/COMP880/COMP891) (0.116 COMP123/COMP161) (0.109 COMP908) (0.108 COMP273/COMP34/COMP36/COMP404/COMP883/COMP897/COMP898/COMP899) (0.107 COMP907) (0.106 COMP916) (0.104 COMP918) (0.101 COMP909/COMP925) (0.099 COMP857/COMP920)
Aldehyde oxidase substrate	0.525	COMP870	(0.338 COMP863) (0.334 COMP189) (0.332 COMP499/COMP57) (0.322 COMP60) (0.316 COMP876) (0.306 COMP31/COMP858/COMP904) (0.303 COMP271) (0.295 COMP683) (0.289 COMP864/COMP878) (0.279 COMP322) (0.255 COMP16/COMP18/COMP53/COMP54) (0.249 COMP869) (0.223 COMP55) (0.222 COMP43) (0.219 COMP389/COMP390) (0.212 COMP488) (0.210 COMP868) (0.205 COMP887) (0.204 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.200 COMP853) (0.192 COMP2) (0.186 COMP26/COMP28/COMP40/COMP41) (0.180 COMP697/COMP889) (0.176 COMP616) (0.173 COMP191/COMP401/COMP886) (0.171 COMP857) (0.170 COMP859) (0.167 COMP862) (0.166 COMP20/COMP27) (0.162 COMP916) (0.158 COMP856) (0.156 COMP544/COMP918) (0.148 COMP866) (0.143 COMP879) (0.142 COMP123/COMP161) (0.141 COMP903) (0.139 COMP48/COMP512/COMP715/COMP721/COMP810/COMP882) (0.136 COMP922)
Aldose reductase substrate	0.992	COMP499/COMP57	(0.968 COMP31/COMP858/COMP904) (0.826 COMP43/COMP863) (0.520 COMP850/COMP893) (0.507 COMP913) (0.478 COMP867) (0.464 COMP917) (0.461 COMP920) (0.452 COMP894/COMP926) (0.427 COMP912) (0.392 COMP909) (0.379 COMP46) (0.377 COMP879) (0.368 COMP908) (0.358 COMP189/COMP864/COMP878) (0.356 COMP62) (0.354 COMP907) (0.350 COMP892) (0.346 COMP902) (0.269 COMP925) (0.267 COMP774/COMP891) (0.259 COMP885) (0.258 COMP55) (0.248 COMP16/COMP18/COMP53/COMP54) (0.214 COMP488) (0.212 COMP851) (0.204 COMP697/COMP889) (0.199 COMP881/COMP890/COMP896/COMP923) (0.197 COMP876) (0.194 COMP2/COMP26/COMP28/COMP40/COMP41) (0.190 COMP389/COMP390) (0.189 COMP901) (0.187 COMP34/COMP36/COMP37/COMP38/COMP39) (0.184 COMP915) (0.180 COMP887) (0.179 COMP20/COMP27) (0.177 COMP859) (0.172 COMP870) (0.167 COMP906) (0.165 COMP60) (0.164 COMP862) (0.161 COMP322) (0.160 COMP900) (0.159 COMP271) (0.152 COMP683) (0.137 COMP880) (0.133 COMP877) (0.128 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.125 COMP866)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.390 COMP20) (0.381 COMP26/COMP28/COMP40/COMP41) (0.373 COMP189) (0.350 COMP60) (0.332 COMP683) (0.318 COMP16/COMP18/COMP53/COMP54) (0.273 COMP863) (0.263 COMP864/COMP878) (0.238 COMP271) (0.234 COMP322) (0.219 COMP697/COMP889) (0.194 COMP191) (0.185 COMP389/COMP390) (0.175 COMP869) (0.172 COMP55) (0.170 COMP31/COMP858/COMP904) (0.167 COMP859/COMP868) (0.165 COMP856) (0.158 COMP862) (0.141 COMP2) (0.135 COMP913) (0.131 COMP488) (0.123 COMP49) (0.115 COMP887) (0.114 COMP48) (0.112 COMP920) (0.111 COMP866) (0.099 COMP43) (0.098 COMP879) (0.095 COMP861/COMP911) (0.094 COMP857) (0.084 COMP724) (0.066 COMP302)
CYP1A2 inhibitor	0.945	COMP48	(0.919 COMP724) (0.914 COMP49) (0.843 COMP191) (0.803 COMP856) (0.695 COMP59/COMP888) (0.547 COMP862) (0.532 COMP859) (0.490 COMP903) (0.475 COMP922) (0.431 COMP916) (0.430 COMP887) (0.427 COMP918) (0.381 COMP857) (0.375 COMP920) (0.362 COMP389/COMP390/COMP913) (0.352 COMP697/COMP889) (0.313 COMP866) (0.308 COMP870) (0.302 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.299 COMP512/COMP715/COMP721/COMP810/COMP882) (0.280 COMP46) (0.270 COMP733/COMP875) (0.266 COMP929) (0.260 COMP271/COMP401/COMP886) (0.232 COMP869) (0.221 COMP892) (0.217 COMP60) (0.216 COMP868) (0.205 COMP683) (0.197 COMP488) (0.185 COMP876) (0.182 COMP43) (0.178 COMP27/COMP322) (0.174 COMP616)
CYP1A2 substrate	0.978	COMP874	(0.932 COMP59/COMP888) (0.919 COMP724) (0.912 COMP48) (0.905 COMP49) (0.873 COMP861/COMP911) (0.842 COMP850/COMP893) (0.809 COMP919) (0.774 COMP856) (0.761 COMP857) (0.758 COMP191) (0.754 COMP870) (0.727 COMP733/COMP875) (0.725 COMP859) (0.712 COMP894) (0.706 COMP512/COMP715/COMP721/COMP810/COMP882) (0.693 COMP862) (0.678 COMP903) (0.652 COMP922) (0.615 COMP43) (0.610 COMP918) (0.602 COMP916) (0.600 COMP27) (0.584 COMP851) (0.575 COMP866) (0.574 COMP697/COMP889) (0.569 COMP389/COMP390) (0.564 COMP887) (0.557 COMP46/COMP863) (0.532 COMP26/COMP28/COMP40/COMP41) (0.521 COMP920) (0.513 COMP20) (0.505 COMP915) (0.488 COMP488) (0.453 COMP913) (0.450 COMP885) (0.445 COMP868) (0.440 COMP912) (0.430 COMP864/COMP878) (0.428 COMP16/COMP18/COMP53/COMP54) (0.421 COMP189) (0.410 COMP2/COMP616) (0.397 COMP683) (0.388 COMP855) (0.378 COMP906) (0.368 COMP31/COMP858/COMP904) (0.362 COMP869) (0.361 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.359 COMP60) (0.358 COMP401/COMP886) (0.354 COMP271) (0.342 COMP499/COMP57) (0.335 COMP917) (0.332 COMP881/COMP890/COMP896) (0.316 COMP901) (0.315 COMP905) (0.313 COMP929) (0.301 COMP892) (0.300 COMP879) (0.296 COMP876) (0.292 COMP852) (0.288 COMP123/COMP161/COMP867) (0.275 COMP322) (0.269 COMP77) (0.266 COMP544) (0.264 COMP774/COMP891) (0.262 COMP877) (0.260 COMP872) (0.254 COMP854) (0.252 COMP926) (0.237 COMP55) (0.236 COMP285/COMP923) (0.235 COMP141/COMP264/COMP547) (0.233 COMP880) (0.230 COMP34/COMP36) (0.221 COMP109/COMP136/COMP145) (0.217 COMP144/COMP19) (0.216 COMP921) (0.208 COMP302) (0.205 COMP900) (0.200 COMP37/COMP39/COMP860) (0.199 COMP537/COMP871/COMP895) (0.198 COMP907) (0.196 COMP853) (0.191 COMP62/COMP902)
CYP24 inhibitor	0.068	COMP124	(0.060 COMP285/COMP77) (0.036 COMP921) (0.034 COMP616/COMP919) (0.025 COMP141/COMP264/COMP547) (0.024 COMP62) (0.023 COMP123/COMP161) (0.021 COMP861/COMP905/COMP911)
CYP2A6 inhibitor	0.252	COMP141/COMP264/COMP547	(0.232 COMP859) (0.214 COMP862) (0.190 COMP870) (0.182 COMP302) (0.161 COMP869) (0.151 COMP616) (0.130 COMP857) (0.127 COMP49) (0.122 COMP322) (0.113 COMP544) (0.109 COMP191) (0.099 COMP918) (0.095 COMP856) (0.093 COMP48) (0.091 COMP189/COMP43/COMP499/COMP57) (0.082 COMP872) (0.080 COMP724) (0.079 COMP903/COMP916/COMP922) (0.073 COMP16/COMP18/COMP53/COMP54) (0.068 COMP863) (0.066 COMP26/COMP28/COMP40/COMP41)
CYP2B6 inhibitor	0.528	COMP191	(0.471 COMP856) (0.430 COMP27) (0.391 COMP26/COMP28/COMP40/COMP41) (0.379 COMP862) (0.375 COMP20/COMP859) (0.374 COMP48) (0.367 COMP488) (0.356 COMP49) (0.351 COMP869) (0.349 COMP141/COMP264/COMP302/COMP547) (0.333 COMP2) (0.330 COMP16/COMP18/COMP53/COMP54) (0.329 COMP724) (0.320 COMP887) (0.317 COMP697/COMP889) (0.315 COMP389/COMP390) (0.298 COMP189/COMP616) (0.289 COMP43) (0.278 COMP876) (0.276 COMP861/COMP911) (0.265 COMP863) (0.261 COMP123/COMP161) (0.250 COMP499/COMP57) (0.244 COMP124) (0.243 COMP271) (0.240 COMP31/COMP858/COMP904) (0.239 COMP144/COMP19/COMP322/COMP866) (0.238 COMP60) (0.237 COMP879) (0.235 COMP59/COMP888) (0.234 COMP544) (0.232 COMP868) (0.226 COMP870) (0.218 COMP880) (0.210 COMP273/COMP404/COMP683/COMP864/COMP878/COMP883/COMP897/COMP898/COMP899) (0.207 COMP918) (0.205 COMP916) (0.204 COMP872) (0.202 COMP857) (0.196 COMP512/COMP715/COMP721/COMP810/COMP882) (0.188 COMP929) (0.185 COMP55) (0.182 COMP903) (0.178 COMP853) (0.173 COMP922) (0.172 COMP109/COMP136/COMP145/COMP537/COMP871/COMP895) (0.169 COMP401/COMP886) (0.165 COMP733/COMP875) (0.162 COMP282) (0.161 COMP114/COMP131) (0.157 COMP905) (0.152 COMP77)
