Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.655	COMP919	(0.581 COMP77) (0.566 COMP285) (0.556 COMP921) (0.555 COMP910) (0.544 COMP26/COMP28/COMP40/COMP41) (0.541 COMP861/COMP911) (0.539 COMP927) (0.532 COMP282) (0.530 COMP27) (0.507 COMP16/COMP18/COMP53/COMP54) (0.506 COMP20/COMP860) (0.473 COMP178/COMP189) (0.467 COMP879) (0.465 COMP488) (0.461 COMP924) (0.456 COMP34/COMP36) (0.453 COMP2/COMP238/COMP772) (0.449 COMP38) (0.448 COMP905) (0.442 COMP124/COMP537/COMP871/COMP895) (0.441 COMP864/COMP869/COMP878) (0.436 COMP62) (0.432 COMP55) (0.429 COMP697/COMP889) (0.422 COMP863) (0.419 COMP60) (0.411 COMP37/COMP39) (0.410 COMP302) (0.408 COMP930) (0.407 COMP683) (0.405 COMP141/COMP264/COMP271/COMP547) (0.404 COMP109/COMP136/COMP145) (0.402 COMP31/COMP43/COMP858/COMP904) (0.398 COMP853) (0.394 COMP866) (0.392 COMP389/COMP390) (0.385 COMP322) (0.375 COMP887) (0.372 COMP868) (0.358 COMP499/COMP57) (0.349 COMP123/COMP161) (0.330 COMP880) (0.327 COMP114/COMP131) (0.323 COMP144/COMP19) (0.321 COMP872/COMP876/COMP929) (0.318 COMP512/COMP715/COMP721/COMP810/COMP882) (0.296 COMP401/COMP886) (0.295 COMP774/COMP891) (0.292 COMP733/COMP875) (0.285 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.277 COMP616) (0.276 COMP862) (0.260 COMP857) (0.252 COMP191) (0.251 COMP926) (0.249 COMP918) (0.244 COMP859) (0.237 COMP916/COMP922) (0.235 COMP870) (0.234 COMP59/COMP888) (0.231 COMP856) (0.227 COMP901) (0.222 COMP903) (0.210 COMP49) (0.205 COMP544) (0.201 COMP48) (0.200 COMP852) (0.192 COMP867) (0.187 COMP724) (0.185 COMP908/COMP909) (0.176 COMP855) (0.172 COMP925) (0.156 COMP912) (0.148 COMP900) (0.142 COMP917)
Carcinogenic	0.959	COMP62	(0.954 COMP850/COMP893) (0.949 COMP915) (0.944 COMP285) (0.940 COMP46) (0.925 COMP77) (0.906 COMP921) (0.899 COMP901) (0.885 COMP894) (0.867 COMP302) (0.866 COMP920) (0.849 COMP913/COMP917) (0.844 COMP851) (0.841 COMP912) (0.834 COMP919) (0.827 COMP861/COMP911/COMP926) (0.824 COMP881/COMP890/COMP896) (0.811 COMP909) (0.808 COMP908) (0.802 COMP43) (0.792 COMP123/COMP161/COMP925) (0.790 COMP724/COMP877) (0.789 COMP774/COMP891) (0.788 COMP733/COMP875) (0.775 COMP20) (0.771 COMP854) (0.768 COMP906) (0.765 COMP892) (0.755 COMP885) (0.753 COMP48) (0.750 COMP512/COMP715/COMP721/COMP810/COMP882) (0.748 COMP27) (0.735 COMP34/COMP36) (0.731 COMP499/COMP57) (0.724 COMP49) (0.723 COMP859) (0.720 COMP857) (0.716 COMP862) (0.714 COMP856) (0.708 COMP26/COMP28/COMP40/COMP41) (0.705 COMP31/COMP858/COMP904) (0.693 COMP55) (0.675 COMP191) (0.671 COMP141/COMP264/COMP547) (0.661 COMP37/COMP39) (0.656 COMP923) (0.636 COMP38) (0.634 COMP900) (0.628 COMP903) (0.607 COMP389/COMP390) (0.605 COMP864/COMP878) (0.602 COMP16/COMP18/COMP53/COMP54) (0.597 COMP697/COMP889) (0.589 COMP863) (0.582 COMP907) (0.566 COMP488) (0.564 COMP918) (0.559 COMP2/COMP59/COMP888) (0.552 COMP927) (0.543 COMP902) (0.539 COMP922) (0.522 COMP683) (0.516 COMP916) (0.499 COMP910) (0.497 COMP124) (0.493 COMP282) (0.480 COMP189) (0.469 COMP870) (0.445 COMP60) (0.434 COMP930) (0.433 COMP887) (0.422 COMP114/COMP131) (0.416 COMP178) (0.396 COMP868) (0.386 COMP238/COMP772) (0.376 COMP867) (0.372 COMP869) (0.369 COMP879) (0.367 COMP905) (0.365 COMP322) (0.354 COMP924) (0.298 COMP271) (0.271 COMP109/COMP136/COMP145) (0.248 COMP144/COMP19/COMP616) (0.246 COMP876) (0.232 COMP872) (0.225 COMP860) (0.222 COMP401/COMP886) (0.220 COMP874) (0.217 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.214 COMP544) (0.198 COMP929) (0.192 COMP866) (0.178 COMP855) (0.177 COMP537/COMP871/COMP895) (0.150 COMP853) (0.149 COMP880) (0.145 COMP852)
Carcinogenic. group 1	0.700	COMP850/COMP893	(0.683 COMP855) (0.608 COMP189) (0.573 COMP852) (0.528 COMP31/COMP858/COMP904) (0.511 COMP929) (0.508 COMP885) (0.472 COMP863) (0.461 COMP16/COMP18/COMP53/COMP54) (0.460 COMP864/COMP878) (0.445 COMP859) (0.441 COMP26/COMP28/COMP40/COMP41) (0.439 COMP915) (0.429 COMP917) (0.428 COMP851) (0.422 COMP913) (0.407 COMP862/COMP869) (0.397 COMP401/COMP886) (0.393 COMP20/COMP27) (0.389 COMP857) (0.383 COMP488) (0.379 COMP867) (0.378 COMP2) (0.367 COMP918) (0.361 COMP322) (0.358 COMP920) (0.353 COMP916/COMP922) (0.352 COMP881/COMP890/COMP896) (0.343 COMP868) (0.339 COMP870) (0.330 COMP926) (0.328 COMP55/COMP903) (0.321 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.318 COMP912) (0.315 COMP683/COMP894) (0.313 COMP49) (0.304 COMP697/COMP889) (0.300 COMP856) (0.294 COMP724) (0.285 COMP43) (0.280 COMP866) (0.273 COMP191) (0.270 COMP901) (0.268 COMP48) (0.267 COMP499/COMP57) (0.266 COMP60) (0.251 COMP271) (0.244 COMP876) (0.242 COMP616/COMP879) (0.236 COMP389/COMP390) (0.233 COMP923) (0.228 COMP544) (0.226 COMP302) (0.224 COMP892) (0.223 COMP887/COMP906) (0.219 COMP909) (0.215 COMP908) (0.211 COMP880) (0.201 COMP853) (0.199 COMP877) (0.195 COMP141/COMP264/COMP547) (0.193 COMP46) (0.190 COMP733/COMP875) (0.189 COMP59/COMP888) (0.184 COMP925) (0.179 COMP854) (0.176 COMP512/COMP715/COMP721/COMP810/COMP882) (0.171 COMP872) (0.161 COMP123/COMP161) (0.158 COMP114/COMP131) (0.157 COMP144/COMP19) (0.154 COMP905) (0.152 COMP907) (0.151 COMP124) (0.150 COMP900) (0.137 COMP109/COMP136/COMP145/COMP537/COMP871/COMP895)
Carcinogenic. group 2A	0.641	COMP929	(0.539 COMP855) (0.444 COMP401/COMP886) (0.387 COMP852) (0.378 COMP850/COMP893) (0.331 COMP917) (0.293 COMP273/COMP404/COMP883/COMP885/COMP897/COMP898/COMP899) (0.264 COMP915) (0.262 COMP881/COMP890/COMP896) (0.252 COMP863) (0.234 COMP926) (0.230 COMP894) (0.226 COMP31/COMP858/COMP904) (0.225 COMP322) (0.220 COMP869) (0.204 COMP859) (0.203 COMP913) (0.199 COMP851) (0.198 COMP870) (0.193 COMP868) (0.191 COMP2/COMP862) (0.190 COMP912) (0.189 COMP302) (0.184 COMP189) (0.180 COMP901) (0.177 COMP488) (0.176 COMP683/COMP920) (0.173 COMP923) (0.172 COMP857) (0.168 COMP918) (0.163 COMP916/COMP922) (0.158 COMP867) (0.150 COMP903) (0.147 COMP60) (0.146 COMP909) (0.145 COMP499/COMP57) (0.144 COMP616/COMP908) (0.141 COMP872) (0.140 COMP43) (0.138 COMP271) (0.128 COMP906) (0.127 COMP544/COMP907) (0.125 COMP853) (0.124 COMP733/COMP875) (0.122 COMP114/COMP131/COMP16/COMP18/COMP53/COMP54) (0.121 COMP697/COMP889) (0.118 COMP55/COMP59/COMP888) (0.117 COMP864/COMP878) (0.112 COMP856) (0.109 COMP877) (0.107 COMP925) (0.106 COMP141/COMP264/COMP547) (0.102 COMP389/COMP390) (0.101 COMP880) (0.099 COMP26/COMP28/COMP40/COMP41) (0.097 COMP876) (0.096 COMP512/COMP715/COMP721/COMP810/COMP882) (0.093 COMP887) (0.086 COMP191) (0.085 COMP854) (0.083 COMP46/COMP900) (0.082 COMP20/COMP27/COMP902) (0.079 COMP724) (0.077 COMP49/COMP905) (0.076 COMP124) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.509	COMP389/COMP390	(0.495 COMP697/COMP889) (0.450 COMP859) (0.388 COMP862) (0.348 COMP887) (0.344 COMP302) (0.328 COMP191) (0.305 COMP881/COMP890/COMP896) (0.304 COMP913) (0.296 COMP857) (0.286 COMP885) (0.276 COMP894) (0.272 COMP863) (0.269 COMP856) (0.264 COMP46) (0.257 COMP499/COMP57) (0.249 COMP869) (0.248 COMP189) (0.245 COMP929) (0.240 COMP918) (0.239 COMP920) (0.235 COMP55) (0.234 COMP60) (0.232 COMP49) (0.231 COMP124) (0.229 COMP864/COMP878) (0.228 COMP31/COMP43/COMP858/COMP904) (0.226 COMP48/COMP59/COMP888) (0.223 COMP322) (0.216 COMP870) (0.205 COMP683) (0.204 COMP903/COMP916) (0.203 COMP16/COMP18/COMP488/COMP53/COMP54) (0.201 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.200 COMP109/COMP136/COMP145) (0.193 COMP2) (0.191 COMP724) (0.185 COMP915) (0.181 COMP861/COMP911) (0.171 COMP866) (0.169 COMP926) (0.168 COMP271/COMP917) (0.165 COMP922) (0.162 COMP114/COMP131/COMP401/COMP879/COMP886) (0.161 COMP26/COMP28/COMP40/COMP41) (0.158 COMP537/COMP871/COMP895) (0.157 COMP923) (0.151 COMP901) (0.149 COMP905) (0.145 COMP141/COMP264/COMP547) (0.143 COMP868) (0.138 COMP851) (0.136 COMP774/COMP891) (0.135 COMP27) (0.134 COMP876) (0.130 COMP616) (0.129 COMP867) (0.119 COMP20) (0.118 COMP850/COMP893) (0.117 COMP123/COMP161/COMP512/COMP715/COMP721/COMP810/COMP882) (0.116 COMP872) (0.112 COMP144/COMP19) (0.108 COMP544) (0.099 COMP877) (0.094 COMP912) (0.091 COMP733/COMP875) (0.086 COMP854) (0.082 COMP909)
Carcinogenic. group 3	0.799	COMP49	(0.795 COMP859) (0.772 COMP141/COMP264/COMP547) (0.751 COMP48) (0.750 COMP862) (0.738 COMP43) (0.721 COMP499/COMP57) (0.672 COMP724) (0.632 COMP857) (0.533 COMP191) (0.519 COMP697/COMP889) (0.454 COMP26/COMP28/COMP40/COMP41) (0.439 COMP389/COMP390) (0.437 COMP856) (0.432 COMP60) (0.431 COMP16/COMP18/COMP53/COMP54) (0.412 COMP189) (0.401 COMP861/COMP911) (0.381 COMP27) (0.380 COMP903) (0.379 COMP683) (0.361 COMP913) (0.352 COMP869) (0.347 COMP488) (0.343 COMP31/COMP858/COMP904/COMP922) (0.342 COMP894) (0.337 COMP322) (0.332 COMP123/COMP161) (0.330 COMP918) (0.317 COMP20) (0.312 COMP868) (0.306 COMP863/COMP917) (0.300 COMP302) (0.298 COMP864/COMP878) (0.297 COMP920) (0.293 COMP916) (0.290 COMP850/COMP893) (0.286 COMP46) (0.277 COMP887) (0.272 COMP271) (0.268 COMP59/COMP888) (0.265 COMP2) (0.252 COMP144/COMP19) (0.248 COMP872) (0.244 COMP616/COMP892) (0.240 COMP77) (0.235 COMP544) (0.227 COMP774/COMP891) (0.216 COMP879) (0.208 COMP921) (0.206 COMP906) (0.205 COMP55) (0.203 COMP919) (0.190 COMP870) (0.188 COMP908) (0.183 COMP114/COMP131/COMP885/COMP909) (0.176 COMP851) (0.175 COMP512/COMP715/COMP721/COMP810/COMP882) (0.172 COMP881/COMP890/COMP896/COMP915/COMP923) (0.162 COMP901) (0.160 COMP912) (0.144 COMP124) (0.141 COMP733/COMP875) (0.131 COMP900/COMP905) (0.130 COMP62/COMP853) (0.126 COMP925) (0.116 COMP537/COMP871/COMP895) (0.115 COMP866) (0.114 COMP285) (0.112 COMP926) (0.106 COMP929) (0.098 COMP38) (0.097 COMP109/COMP136/COMP145) (0.096 COMP902)
Cardiodepressant	0.653	COMP919	(0.591 COMP861/COMP911) (0.569 COMP930) (0.566 COMP109/COMP136/COMP145) (0.547 COMP905) (0.503 COMP238/COMP772) (0.497 COMP866) (0.496 COMP271) (0.482 COMP488) (0.465 COMP60) (0.459 COMP863) (0.438 COMP869) (0.419 COMP853) (0.414 COMP864/COMP878) (0.413 COMP876) (0.412 COMP16/COMP18/COMP53/COMP54) (0.409 COMP868) (0.401 COMP31/COMP858/COMP904) (0.393 COMP683) (0.363 COMP921) (0.360 COMP282) (0.357 COMP77) (0.354 COMP189) (0.347 COMP879) (0.345 COMP322/COMP916) (0.342 COMP191) (0.337 COMP55) (0.329 COMP48/COMP918) (0.321 COMP512/COMP715/COMP721/COMP810/COMP882) (0.317 COMP887) (0.316 COMP26/COMP28/COMP40/COMP41) (0.314 COMP49) (0.313 COMP860) (0.304 COMP2) (0.299 COMP178) (0.295 COMP389/COMP390) (0.290 COMP929) (0.285 COMP37/COMP39/COMP856) (0.282 COMP537/COMP871/COMP895) (0.280 COMP922) (0.279 COMP903) (0.272 COMP901) (0.270 COMP285/COMP724) (0.264 COMP114/COMP131/COMP27) (0.261 COMP733/COMP875) (0.250 COMP697/COMP889) (0.245 COMP857) (0.242 COMP867) (0.241 COMP910) (0.239 COMP34/COMP36) (0.236 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.232 COMP927) (0.224 COMP499/COMP57/COMP852) (0.219 COMP124/COMP59/COMP888) (0.205 COMP774/COMP891) (0.200 COMP20/COMP616) (0.194 COMP926) (0.193 COMP870/COMP880) (0.180 COMP872) (0.170 COMP859) (0.167 COMP920) (0.166 COMP38) (0.163 COMP401/COMP862/COMP886) (0.160 COMP924) (0.159 COMP855) (0.137 COMP892) (0.135 COMP908)
Cytotoxic	0.901	COMP874	(0.788 COMP62) (0.658 COMP46/COMP850/COMP893) (0.653 COMP892) (0.640 COMP915/COMP920) (0.631 COMP912) (0.619 COMP917) (0.617 COMP913) (0.612 COMP881/COMP890/COMP896) (0.607 COMP77) (0.604 COMP921) (0.598 COMP894) (0.595 COMP238/COMP772) (0.591 COMP900) (0.589 COMP906) (0.586 COMP285) (0.585 COMP926) (0.577 COMP923) (0.576 COMP930) (0.568 COMP924) (0.566 COMP908) (0.561 COMP885) (0.559 COMP909) (0.555 COMP851) (0.554 COMP925) (0.552 COMP867/COMP910) (0.550 COMP34/COMP36) (0.548 COMP282) (0.543 COMP178) (0.541 COMP927) (0.535 COMP861/COMP911) (0.531 COMP37/COMP39) (0.521 COMP919) (0.511 COMP902) (0.505 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.504 COMP877/COMP907) (0.503 COMP860) (0.502 COMP733/COMP875) (0.500 COMP512/COMP715/COMP721/COMP810/COMP882) (0.499 COMP38) (0.498 COMP854) (0.494 COMP401/COMP886) (0.490 COMP59/COMP888) (0.480 COMP774/COMP891) (0.477 COMP20) (0.473 COMP43) (0.456 COMP27/COMP724) (0.454 COMP48) (0.435 COMP870) (0.433 COMP26/COMP28/COMP40/COMP41) (0.431 COMP856) (0.428 COMP191) (0.423 COMP49) (0.406 COMP903) (0.390 COMP864/COMP878) (0.388 COMP857) (0.387 COMP144/COMP19) (0.385 COMP922) (0.381 COMP918) (0.380 COMP916) (0.371 COMP929) (0.369 COMP905) (0.368 COMP862) (0.367 COMP852) (0.360 COMP16/COMP18/COMP2/COMP53/COMP54) (0.357 COMP855) (0.353 COMP859) (0.349 COMP123/COMP161) (0.340 COMP302) (0.330 COMP499/COMP57) (0.329 COMP544) (0.328 COMP189) (0.322 COMP141/COMP264/COMP547/COMP863) (0.321 COMP901) (0.319 COMP879) (0.314 COMP868) (0.295 COMP683) (0.291 COMP887) (0.290 COMP389/COMP390) (0.288 COMP697/COMP889) (0.285 COMP271/COMP880) (0.284 COMP60) (0.263 COMP488/COMP616) (0.259 COMP109/COMP136/COMP145/COMP876) (0.256 COMP869) (0.252 COMP124) (0.236 COMP866) (0.231 COMP872) (0.230 COMP31/COMP858/COMP904) (0.225 COMP537/COMP871/COMP895) (0.214 COMP114/COMP131) (0.212 COMP55) (0.199 COMP322) (0.178 COMP853)
DNA damaging	0.876	COMP46	(0.847 COMP912) (0.843 COMP850/COMP893) (0.823 COMP855) (0.804 COMP852) (0.743 COMP915) (0.735 COMP920) (0.717 COMP913) (0.678 COMP926) (0.668 COMP925) (0.666 COMP894) (0.655 COMP909) (0.646 COMP908) (0.629 COMP851) (0.620 COMP881/COMP890/COMP896) (0.616 COMP917) (0.606 COMP907) (0.591 COMP885) (0.568 COMP902) (0.567 COMP916) (0.551 COMP900) (0.544 COMP892/COMP906) (0.543 COMP856/COMP918) (0.537 COMP923) (0.519 COMP724) (0.500 COMP191) (0.491 COMP854) (0.488 COMP922) (0.486 COMP903) (0.485 COMP877) (0.483 COMP862) (0.479 COMP48) (0.463 COMP859) (0.445 COMP733/COMP875) (0.441 COMP49/COMP857) (0.437 COMP887) (0.422 COMP867) (0.416 COMP62/COMP870) (0.409 COMP512/COMP715/COMP721/COMP810/COMP882/COMP929) (0.403 COMP389/COMP390) (0.397 COMP697/COMP889) (0.380 COMP401/COMP886/COMP905) (0.371 COMP544) (0.363 COMP59/COMP861/COMP888/COMP911) (0.359 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.354 COMP868) (0.338 COMP189) (0.334 COMP16/COMP18/COMP53/COMP54) (0.318 COMP488) (0.307 COMP774/COMP891) (0.302 COMP144/COMP19) (0.296 COMP869) (0.294 COMP683) (0.290 COMP616) (0.288 COMP38) (0.279 COMP271/COMP853) (0.275 COMP26/COMP28/COMP40/COMP41) (0.268 COMP37/COMP39) (0.267 COMP31/COMP858/COMP904) (0.250 COMP880) (0.242 COMP60) (0.235 COMP34/COMP36/COMP863) (0.230 COMP322) (0.227 COMP123/COMP161) (0.226 COMP27) (0.224 COMP921) (0.200 COMP109/COMP136/COMP145) (0.197 COMP537/COMP871/COMP895) (0.194 COMP77) (0.190 COMP919) (0.182 COMP866) (0.180 COMP20) (0.165 COMP864/COMP878) (0.160 COMP2)
Embryotoxic	0.965	COMP62	(0.919 COMP919) (0.916 COMP921) (0.908 COMP77) (0.899 COMP285) (0.855 COMP894) (0.849 COMP861/COMP911) (0.844 COMP926) (0.839 COMP850/COMP893) (0.836 COMP901) (0.821 COMP909) (0.813 COMP915) (0.806 COMP774/COMP891) (0.797 COMP46) (0.795 COMP917) (0.788 COMP920) (0.763 COMP908) (0.761 COMP913) (0.739 COMP925) (0.727 COMP912) (0.712 COMP499/COMP57) (0.708 COMP892) (0.705 COMP55) (0.702 COMP26/COMP28/COMP40/COMP41) (0.689 COMP302) (0.685 COMP905) (0.675 COMP488/COMP867) (0.672 COMP907) (0.671 COMP16/COMP18/COMP53/COMP54) (0.662 COMP733/COMP875) (0.659 COMP31/COMP858/COMP904) (0.657 COMP906) (0.650 COMP141/COMP264/COMP547) (0.648 COMP902) (0.644 COMP27) (0.631 COMP512/COMP715/COMP721/COMP810/COMP882) (0.626 COMP20/COMP857) (0.620 COMP43) (0.571 COMP923) (0.568 COMP863) (0.564 COMP189) (0.559 COMP851) (0.557 COMP2) (0.555 COMP881/COMP890/COMP896) (0.545 COMP885) (0.531 COMP862) (0.529 COMP879) (0.519 COMP859) (0.517 COMP877) (0.516 COMP683) (0.513 COMP697/COMP889) (0.502 COMP389/COMP390) (0.500 COMP724) (0.497 COMP854) (0.494 COMP910) (0.472 COMP869) (0.471 COMP60) (0.466 COMP868) (0.461 COMP48) (0.458 COMP903) (0.438 COMP49) (0.436 COMP864/COMP878) (0.435 COMP900) (0.434 COMP856) (0.426 COMP109/COMP136/COMP145) (0.424 COMP918) (0.414 COMP59/COMP888) (0.408 COMP922) (0.397 COMP123/COMP161) (0.391 COMP191) (0.389 COMP916) (0.386 COMP282) (0.377 COMP887) (0.370 COMP927) (0.346 COMP271) (0.314 COMP876) (0.302 COMP860) (0.297 COMP544) (0.288 COMP853) (0.284 COMP872) (0.276 COMP322) (0.268 COMP144/COMP19) (0.261 COMP401/COMP886) (0.252 COMP866) (0.249 COMP870) (0.245 COMP616) (0.243 COMP273/COMP404/COMP883/COMP897/COMP898/COMP899) (0.236 COMP38) (0.232 COMP124) (0.216 COMP537/COMP871/COMP895) (0.214 COMP37/COMP39) (0.206 COMP930) (0.183 COMP924) (0.170 COMP114/COMP131) (0.163 COMP238/COMP772) (0.160 COMP34/COMP36) (0.154 COMP178) (0.147 COMP929)
