Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.346 COMP697) (0.216 COMP971) (0.214 COMP860) (0.212 COMP970) (0.210 COMP732/COMP975) (0.165 COMP969) (0.151 COMP972) (0.148 COMP875/COMP974) (0.144 COMP512/COMP715) (0.138 COMP725) (0.101 COMP247) (0.095 COMP968)
AR expression inhibitor	0.859	COMP971	(0.845 COMP732/COMP975) (0.843 COMP875/COMP974) (0.832 COMP970) (0.805 COMP512/COMP715) (0.755 COMP860) (0.754 COMP247) (0.717 COMP976) (0.716 COMP969) (0.685 COMP973) (0.673 COMP972) (0.652 COMP697) (0.646 COMP968) (0.559 COMP896) (0.555 COMP218) (0.523 COMP725) (0.485 COMP77)
CTGF expression inhibitor	0.812	COMP732/COMP975	(0.811 COMP77) (0.807 COMP697) (0.803 COMP971) (0.783 COMP512/COMP715) (0.738 COMP875/COMP974) (0.731 COMP218) (0.683 COMP725) (0.619 COMP247) (0.581 COMP976) (0.521 COMP968) (0.470 COMP973) (0.279 COMP896) (0.278 COMP970) (0.276 COMP969) (0.248 COMP860) (0.218 COMP972)
GRP78 expression inhibitor	0.055	COMP968	(0.030 COMP725) (0.022 COMP860) (0.021 COMP697)
ICAM1 expression inhibitor	0.651	COMP969	(0.620 COMP970) (0.611 COMP972) (0.598 COMP860) (0.532 COMP976) (0.528 COMP973) (0.493 COMP725) (0.484 COMP218) (0.480 COMP968) (0.476 COMP697) (0.458 COMP971) (0.454 COMP732/COMP975) (0.429 COMP512/COMP715) (0.426 COMP896) (0.418 COMP875/COMP974) (0.413 COMP77) (0.374 COMP247)
LDLR expression enhancer	0.616	COMP732/COMP975	(0.597 COMP971) (0.414 COMP875/COMP974) (0.393 COMP512/COMP715) (0.365 COMP77) (0.291 COMP218) (0.289 COMP247) (0.271 COMP860/COMP970) (0.249 COMP697) (0.247 COMP725) (0.214 COMP969) (0.202 COMP972) (0.179 COMP896) (0.177 COMP968)
NOS2 expression inhibitor	0.886	COMP976	(0.822 COMP512/COMP715) (0.804 COMP973) (0.774 COMP218) (0.767 COMP875/COMP974) (0.762 COMP247) (0.742 COMP732/COMP975) (0.725 COMP971) (0.685 COMP970) (0.603 COMP77) (0.558 COMP697) (0.545 COMP969) (0.527 COMP725) (0.526 COMP860) (0.485 COMP972) (0.420 COMP968) (0.404 COMP896)
NOS3 expression enhancer	0.715	COMP971	(0.707 COMP732/COMP975) (0.685 COMP976) (0.682 COMP875/COMP974) (0.672 COMP697) (0.668 COMP512/COMP715) (0.605 COMP247) (0.602 COMP968) (0.588 COMP973) (0.275 COMP725) (0.263 COMP77) (0.193 COMP218)
NOS3 expression inhibitor	0.910	COMP77	(0.729 COMP968) (0.715 COMP976) (0.682 COMP971) (0.674 COMP512/COMP715/COMP875/COMP974) (0.664 COMP732/COMP975) (0.648 COMP973) (0.624 COMP247) (0.622 COMP860) (0.590 COMP218) (0.556 COMP970) (0.530 COMP969) (0.526 COMP697) (0.482 COMP972) (0.477 COMP725) (0.400 COMP896)
TNF expression inhibitor	0.904	COMP973	(0.899 COMP77/COMP976) (0.819 COMP732/COMP975) (0.815 COMP971) (0.789 COMP970) (0.773 COMP218) (0.772 COMP697/COMP860) (0.706 COMP969) (0.695 COMP512/COMP715) (0.661 COMP896) (0.651 COMP875/COMP974) (0.628 COMP968) (0.599 COMP725) (0.575 COMP972) (0.557 COMP247)
VCAM1 expression inhibitor	0.600	COMP976	(0.599 COMP973) (0.511 COMP697) (0.492 COMP218) (0.481 COMP725) (0.355 COMP968) (0.341 COMP512/COMP715) (0.318 COMP875/COMP974) (0.285 COMP971) (0.282 COMP732/COMP975) (0.247 COMP247) (0.204 COMP77) (0.189 COMP896)
VEGF expression inhibitor	0.369	COMP218	(0.289 COMP512/COMP715) (0.267 COMP875/COMP974) (0.256 COMP247) (0.252 COMP732/COMP975) (0.248 COMP971) (0.232 COMP725) (0.228 COMP697) (0.226 COMP968) (0.179 COMP860) (0.156 COMP973)
