Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.581	COMP77	(0.506 COMP860) (0.452 COMP970) (0.449 COMP969) (0.439 COMP968) (0.438 COMP725) (0.429 COMP697) (0.416 COMP972) (0.354 COMP971) (0.346 COMP732/COMP975) (0.318 COMP512/COMP715) (0.292 COMP875/COMP974) (0.222 COMP247) (0.213 COMP218)
Carcinogenic	0.944	COMP973	(0.927 COMP976) (0.925 COMP77) (0.824 COMP896) (0.788 COMP875/COMP974) (0.750 COMP512/COMP715) (0.743 COMP971) (0.739 COMP732/COMP975) (0.597 COMP697) (0.588 COMP247) (0.515 COMP218) (0.471 COMP725) (0.466 COMP968) (0.252 COMP969) (0.250 COMP970) (0.225 COMP860) (0.171 COMP972)
Carcinogenic. group 1	0.544	COMP218	(0.364 COMP968) (0.352 COMP896) (0.304 COMP697) (0.291 COMP725) (0.190 COMP875/COMP974) (0.176 COMP512/COMP715) (0.137 COMP976)
Carcinogenic. group 2A	0.263	COMP218	(0.262 COMP896) (0.238 COMP968) (0.130 COMP725) (0.124 COMP875/COMP974) (0.121 COMP697) (0.096 COMP512/COMP715)
Carcinogenic. group 2B	0.495	COMP697	(0.305 COMP896) (0.235 COMP725) (0.216 COMP968) (0.185 COMP218) (0.134 COMP973) (0.125 COMP976) (0.117 COMP512/COMP715) (0.091 COMP875/COMP974)
Carcinogenic. group 3	0.519	COMP697	(0.466 COMP218) (0.415 COMP976) (0.362 COMP725) (0.357 COMP968) (0.331 COMP973) (0.240 COMP77) (0.175 COMP512/COMP715) (0.172 COMP896) (0.141 COMP875/COMP974) (0.113 COMP732/COMP975) (0.112 COMP971)
Cardiodepressant	0.426	COMP969	(0.392 COMP725) (0.383 COMP968) (0.381 COMP970) (0.357 COMP77) (0.339 COMP972) (0.321 COMP512/COMP715) (0.313 COMP860) (0.265 COMP218) (0.261 COMP875/COMP974) (0.250 COMP697) (0.227 COMP732/COMP975) (0.219 COMP971) (0.139 COMP247)
Cytotoxic	0.648	COMP973	(0.631 COMP976) (0.612 COMP896) (0.607 COMP77) (0.568 COMP969) (0.562 COMP970) (0.548 COMP972) (0.517 COMP247) (0.503 COMP860) (0.502 COMP875/COMP971/COMP974) (0.500 COMP512/COMP715/COMP732/COMP975) (0.425 COMP968) (0.402 COMP218) (0.288 COMP697) (0.263 COMP725)
DNA damaging	0.892	COMP973	(0.878 COMP976) (0.620 COMP896) (0.505 COMP218) (0.457 COMP971) (0.455 COMP732/COMP975) (0.445 COMP875/COMP974) (0.409 COMP512/COMP715) (0.397 COMP697) (0.333 COMP247) (0.292 COMP968) (0.194 COMP77) (0.184 COMP725) (0.181 COMP969) (0.175 COMP970)
Embryotoxic	0.908	COMP77	(0.716 COMP973) (0.663 COMP976) (0.662 COMP875/COMP974) (0.631 COMP512/COMP715) (0.630 COMP971) (0.608 COMP732/COMP975) (0.595 COMP968) (0.568 COMP725) (0.555 COMP896) (0.513 COMP697) (0.470 COMP247) (0.302 COMP860) (0.291 COMP218) (0.268 COMP970) (0.261 COMP972) (0.237 COMP969)
Eye irritation. high	0.561	COMP697	(0.525 COMP725) (0.413 COMP968) (0.198 COMP77) (0.177 COMP218) (0.173 COMP896) (0.171 COMP973) (0.158 COMP976) (0.133 COMP512/COMP715) (0.127 COMP875/COMP974) (0.122 COMP971)
Genotoxic	0.974	COMP732/COMP975	(0.970 COMP971) (0.936 COMP512/COMP715) (0.935 COMP875/COMP974) (0.821 COMP896) (0.806 COMP247) (0.666 COMP976) (0.513 COMP725) (0.491 COMP973) (0.481 COMP218) (0.390 COMP697) (0.357 COMP968)
Hypoglycemic	0.735	COMP247	(0.724 COMP875/COMP974) (0.714 COMP976) (0.710 COMP512/COMP715) (0.670 COMP973) (0.668 COMP968) (0.633 COMP971) (0.617 COMP732/COMP975) (0.574 COMP969) (0.533 COMP697) (0.439 COMP725) (0.412 COMP972) (0.404 COMP970) (0.384 COMP218) (0.358 COMP77) (0.288 COMP860) (0.201 COMP896)
Mutagenic	0.978	COMP973	(0.975 COMP976) (0.766 COMP247) (0.750 COMP896) (0.720 COMP875/COMP974) (0.698 COMP512/COMP715) (0.558 COMP697) (0.554 COMP732/COMP975) (0.549 COMP971) (0.457 COMP725) (0.434 COMP218) (0.391 COMP968) (0.236 COMP77)
