Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.709	COMP218	(0.533 COMP725) (0.484 COMP512/COMP715) (0.451 COMP875/COMP974) (0.446 COMP732/COMP975) (0.441 COMP971) (0.438 COMP968) (0.382 COMP247) (0.358 COMP697) (0.253 COMP860) (0.193 COMP972) (0.190 COMP896) (0.187 COMP969/COMP970)
Adenosine uptake inhibitor	0.034	COMP968	
Antiviral (CMV)	0.152	COMP968	
Apical sodium codependent bile acid transporter inhibitor	0.129	COMP247	(0.037 COMP77) (0.022 COMP968)
Electron transport complex I inhibitor	0.182	COMP218	(0.147 COMP512/COMP715) (0.140 COMP247) (0.138 COMP875/COMP974) (0.130 COMP732/COMP975) (0.129 COMP971) (0.124 COMP896)
Endocannabinoid uptake inhibitor	0.136	COMP697	(0.097 COMP725) (0.067 COMP968) (0.065 COMP218)
Equilibrative nucleoside transport protein inhibitor	0.057	COMP968	
Excitatory amino acid transporter EAAC1 inhibitor	0.343	COMP968	(0.329 COMP725) (0.279 COMP697) (0.099 COMP218)
Folate transporter 1 inhibitor	0.008	COMP968	
GABA transporter 1 inhibitor	0.019	COMP697	(0.016 COMP725)
GABA transporter 2 inhibitor	0.056	COMP697	(0.052 COMP725)
GABA transporter 3 inhibitor	0.077	COMP697	(0.072 COMP725) (0.031 COMP968)
GABA transporter inhibitor	0.035	COMP697	(0.032 COMP725) (0.020 COMP968)
GABA uptake inhibitor	0.077	COMP725	(0.067 COMP697) (0.053 COMP968) (0.035 COMP860)
Glycine transporter 2 inhibitor	0.100	COMP697	
Ileal bile acid transport inhibitor	0.071	COMP77	(0.029 COMP968)
Monocarboxylic acid transporter 1 inhibitor	0.028	COMP697	(0.023 COMP968) (0.022 COMP218)
Monocarboxylic acid transporter inhibitor	0.028	COMP697	(0.023 COMP968) (0.022 COMP218)
Multidrug resistance-associated protein 1 inhibitor	0.208	COMP218	(0.187 COMP976) (0.180 COMP875/COMP974) (0.171 COMP971) (0.166 COMP732/COMP975) (0.150 COMP512/COMP715) (0.147 COMP973) (0.127 COMP247)
Nucleoside transporters inhibitor	0.056	COMP968	(0.054 COMP218) (0.042 COMP725) (0.033 COMP512/COMP715)
P-glycoprotein inhibitor	0.618	COMP973	(0.589 COMP971) (0.568 COMP732/COMP975) (0.556 COMP976) (0.498 COMP969) (0.387 COMP218) (0.358 COMP972) (0.301 COMP875/COMP974) (0.299 COMP968) (0.288 COMP512/COMP715) (0.276 COMP860) (0.258 COMP970) (0.256 COMP247) (0.254 COMP697) (0.232 COMP77) (0.154 COMP896)
Sodium-dependent vitamin C transporter 2 inhibitor	0.120	COMP697	(0.098 COMP968) (0.096 COMP725) (0.048 COMP218)
Sodium/bile acid cotransporter inhibitor	0.573	COMP77	(0.468 COMP860) (0.443 COMP725) (0.418 COMP969/COMP970) (0.391 COMP972) (0.384 COMP968) (0.365 COMP697) (0.316 COMP218) (0.291 COMP896) (0.283 COMP512/COMP715) (0.255 COMP875/COMP974) (0.246 COMP247/COMP732/COMP975) (0.237 COMP971)
Sodium/glucose cotransporter 1 inhibitor	0.084	COMP512/COMP715	(0.081 COMP732/COMP875/COMP974/COMP975) (0.079 COMP971) (0.053 COMP247/COMP968) (0.042 COMP976) (0.025 COMP725) (0.022 COMP697/COMP973)
Sodium/glucose cotransporter 2 inhibitor	0.101	COMP968	(0.098 COMP512/COMP715) (0.089 COMP875/COMP974) (0.076 COMP976) (0.072 COMP247) (0.048 COMP973) (0.033 COMP732/COMP975) (0.032 COMP971) (0.028 COMP725)
Sodium/glucose cotransporter inhibitor	0.104	COMP512/COMP715	(0.098 COMP875/COMP974) (0.087 COMP968) (0.080 COMP247) (0.069 COMP732/COMP975) (0.067 COMP971) (0.059 COMP976) (0.038 COMP973) (0.025 COMP725)
Urate transporter 1 inhibitor	0.152	COMP725	(0.047 COMP697)
Vesicular acetylcholine transporter inhibitor	0.066	COMP968	
Vesicular glutamate transport inhibitor	0.052	COMP725	(0.034 COMP697) (0.026 COMP968)
