Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.338 COMP67) (0.240 COMP285) (0.225 COMP1221) (0.210 COMP1217) (0.201 COMP1230) (0.184 COMP1227) (0.172 COMP1226) (0.159 COMP62) (0.143 COMP1222) (0.130 COMP1224/COMP1231) (0.127 COMP1228) (0.121 COMP1223) (0.116 COMP1219) (0.099 COMP1225) (0.084 COMP1229)
AR expression inhibitor	0.857	COMP1225	(0.756 COMP67) (0.690 COMP294) (0.591 COMP1231) (0.587 COMP1221) (0.574 COMP1217/COMP1223) (0.500 COMP1222) (0.485 COMP77) (0.479 COMP62) (0.466 COMP1227) (0.465 COMP1224) (0.457 COMP1216/COMP1230/COMP285) (0.423 COMP1219/COMP1220) (0.400 COMP1218) (0.384 COMP1229) (0.378 COMP1228) (0.371 COMP1226)
CTGF expression inhibitor	0.871	COMP1225	(0.811 COMP77) (0.802 COMP1221) (0.792 COMP1223) (0.767 COMP285) (0.674 COMP294) (0.565 COMP1231) (0.368 COMP1216) (0.288 COMP1218) (0.284 COMP62) (0.264 COMP1224) (0.244 COMP1222) (0.235 COMP1217)
GRP78 expression inhibitor	0.028	COMP1231	(0.025 COMP1220)
ICAM1 expression inhibitor	0.639	COMP1220	(0.542 COMP294) (0.507 COMP1225) (0.495 COMP62) (0.452 COMP1221/COMP1223) (0.447 COMP1216/COMP1219) (0.431 COMP1228) (0.428 COMP1227/COMP1230) (0.426 COMP1217/COMP1229) (0.420 COMP1231) (0.413 COMP77) (0.409 COMP1226) (0.405 COMP285) (0.396 COMP67) (0.368 COMP1224) (0.363 COMP1222) (0.330 COMP1218)
LDLR expression enhancer	0.365	COMP77	(0.318 COMP1223) (0.312 COMP1221) (0.310 COMP294) (0.299 COMP1225) (0.256 COMP285) (0.192 COMP1231) (0.143 COMP1230) (0.142 COMP1228) (0.138 COMP1217) (0.136 COMP67)
NOS2 expression inhibitor	0.911	COMP1220	(0.866 COMP1225) (0.785 COMP1223) (0.767 COMP62) (0.719 COMP294) (0.695 COMP1216) (0.649 COMP1221) (0.603 COMP77) (0.580 COMP1219) (0.515 COMP285) (0.482 COMP1228) (0.474 COMP1226) (0.419 COMP1227) (0.406 COMP1229) (0.398 COMP1217) (0.373 COMP1230) (0.333 COMP1231) (0.329 COMP67) (0.277 COMP1224) (0.276 COMP1218) (0.252 COMP1222)
NOS3 expression enhancer	0.550	COMP1221	(0.482 COMP1225) (0.365 COMP62) (0.324 COMP285) (0.313 COMP1216) (0.263 COMP77) (0.259 COMP294) (0.207 COMP1220) (0.179 COMP1223) (0.123 COMP1227)
NOS3 expression inhibitor	0.910	COMP77	(0.893 COMP62) (0.862 COMP285) (0.648 COMP294) (0.647 COMP1225) (0.594 COMP1220) (0.544 COMP1216) (0.487 COMP1231) (0.481 COMP1229) (0.467 COMP1227) (0.454 COMP1221) (0.439 COMP1224) (0.428 COMP1226) (0.427 COMP1217) (0.425 COMP1219) (0.424 COMP1222) (0.408 COMP1228) (0.404 COMP1230) (0.400 COMP1223) (0.393 COMP1218) (0.331 COMP67)
TNF expression inhibitor	0.942	COMP62	(0.899 COMP77) (0.855 COMP1223) (0.833 COMP1221) (0.811 COMP1220) (0.760 COMP1216) (0.755 COMP285) (0.753 COMP1225) (0.744 COMP294) (0.689 COMP1227) (0.681 COMP1217) (0.653 COMP1226) (0.651 COMP1219) (0.618 COMP1228) (0.578 COMP1230) (0.559 COMP1231) (0.538 COMP1229) (0.523 COMP67) (0.513 COMP1222) (0.457 COMP1224) (0.442 COMP1218)
VCAM1 expression inhibitor	0.578	COMP1221	(0.485 COMP1223) (0.378 COMP294) (0.364 COMP1220) (0.352 COMP62) (0.342 COMP1225) (0.315 COMP1216) (0.216 COMP1231) (0.204 COMP77) (0.177 COMP1228) (0.173 COMP1219) (0.166 COMP1229) (0.160 COMP1217)
VEGF expression inhibitor	0.390	COMP1225	(0.266 COMP294) (0.240 COMP1221) (0.222 COMP1223)
