Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.619	COMP294	(0.425 COMP1225) (0.401 COMP1221) (0.289 COMP1223) (0.240 COMP1231)
Apical sodium codependent bile acid transporter inhibitor	0.037	COMP77	(0.028 COMP62) (0.024 COMP285)
Electron transport complex I inhibitor	0.207	COMP1225	(0.196 COMP1223) (0.166 COMP294) (0.128 COMP1221) (0.101 COMP1216)
Endocannabinoid uptake inhibitor	0.150	COMP1223	(0.135 COMP1221)
Excitatory amino acid transporter EAAC1 inhibitor	0.131	COMP1221	(0.099 COMP294)
GABA transporter 2 inhibitor	0.046	COMP1221	
GABA transporter 3 inhibitor	0.085	COMP1221	
GABA transporter inhibitor	0.025	COMP1221	
GABA uptake inhibitor	0.074	COMP1231	(0.048 COMP1217) (0.037 COMP1221)
Glycine transporter 2 inhibitor	0.062	COMP1221	
Ileal bile acid transport inhibitor	0.071	COMP77	(0.068 COMP62) (0.030 COMP285)
Monocarboxylic acid transporter 1 inhibitor	0.022	COMP1221/COMP1225	
Monocarboxylic acid transporter inhibitor	0.022	COMP1221/COMP1225	
Multidrug resistance-associated protein 1 inhibitor	0.351	COMP1225	(0.241 COMP294) (0.118 COMP1221)
Nucleoside transporters inhibitor	0.078	COMP1225	(0.036 COMP294) (0.030 COMP1221)
P-glycoprotein inhibitor	0.608	COMP1225	(0.454 COMP1223) (0.422 COMP294) (0.369 COMP1221) (0.277 COMP1231) (0.232 COMP77) (0.218 COMP1222) (0.209 COMP62) (0.207 COMP1227) (0.189 COMP285) (0.181 COMP1216) (0.171 COMP1226) (0.165 COMP1220) (0.164 COMP1230)
Sodium-dependent vitamin C transporter 2 inhibitor	0.059	COMP1221	(0.048 COMP294)
Sodium/bile acid cotransporter inhibitor	0.573	COMP77	(0.517 COMP285) (0.508 COMP62) (0.416 COMP1231) (0.405 COMP1226) (0.396 COMP1217) (0.395 COMP1227) (0.384 COMP1219) (0.359 COMP1229) (0.356 COMP1228) (0.354 COMP1224) (0.352 COMP67) (0.347 COMP1221) (0.346 COMP1222) (0.336 COMP1230) (0.334 COMP1218) (0.273 COMP1216) (0.266 COMP294) (0.238 COMP1220) (0.235 COMP1223) (0.196 COMP1225)
Sodium/glucose cotransporter 1 inhibitor	0.053	COMP1216	(0.033 COMP62) (0.032 COMP1220)
Sodium/glucose cotransporter 2 inhibitor	0.106	COMP1216	(0.085 COMP1220)
Sodium/glucose cotransporter inhibitor	0.089	COMP1216	(0.069 COMP1220) (0.028 COMP62)
Vesicle monoamine transporter inhibitor	0.037	COMP1223	
