Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.405	COMP436	(0.377 COMP450) (0.362 COMP77) (0.217 COMP448) (0.209 COMP434) (0.173 COMP451) (0.169 COMP435) (0.167 COMP460) (0.143 COMP430/COMP443) (0.141 COMP423/COMP425) (0.138 COMP431) (0.137 COMP424) (0.132 COMP413/COMP414) (0.122 COMP158) (0.118 COMP416) (0.112 COMP437) (0.108 COMP429) (0.106 COMP420) (0.103 COMP444) (0.102 COMP198) (0.092 COMP418) (0.091 COMP419/COMP452)
AR expression inhibitor	0.871	COMP418	(0.862 COMP198) (0.792 COMP411) (0.734 COMP433) (0.689 COMP429) (0.651 COMP420) (0.608 COMP417) (0.604 COMP416) (0.598 COMP415) (0.585 COMP451) (0.562 COMP426/COMP435/COMP458) (0.560 COMP443) (0.556 COMP423) (0.546 COMP442) (0.542 COMP434) (0.528 COMP419/COMP431) (0.523 COMP453) (0.522 COMP436) (0.513 COMP448) (0.512 COMP440) (0.511 COMP444) (0.505 COMP425/COMP449) (0.504 COMP460) (0.499 COMP450) (0.493 COMP430) (0.485 COMP77) (0.483 COMP452) (0.461 COMP421/COMP424) (0.460 COMP439) (0.452 COMP438/COMP454) (0.447 COMP432) (0.411 COMP427) (0.404 COMP437) (0.364 COMP447) (0.357 COMP441) (0.347 COMP413/COMP414) (0.339 COMP446) (0.335 COMP428) (0.277 COMP457) (0.235 COMP422) (0.224 COMP445) (0.218 COMP456)
CTGF expression inhibitor	0.903	COMP418	(0.902 COMP198) (0.857 COMP436) (0.824 COMP450) (0.811 COMP77) (0.802 COMP415) (0.714 COMP460) (0.513 COMP441) (0.505 COMP429) (0.416 COMP411) (0.407 COMP428) (0.398 COMP421) (0.386 COMP427/COMP439) (0.373 COMP444) (0.357 COMP419) (0.337 COMP426/COMP435/COMP458) (0.329 COMP420) (0.323 COMP448) (0.305 COMP433) (0.290 COMP440) (0.288 COMP453) (0.283 COMP158) (0.278 COMP424) (0.271 COMP442) (0.267 COMP451) (0.264 COMP422) (0.258 COMP425/COMP449) (0.256 COMP434) (0.250 COMP452) (0.240 COMP456) (0.230 COMP445) (0.228 COMP432) (0.227 COMP457) (0.221 COMP430) (0.218 COMP423) (0.210 COMP437) (0.206 COMP443) (0.195 COMP413/COMP414) (0.191 COMP431)
GRP78 expression inhibitor	0.065	COMP428	(0.058 COMP455) (0.052 COMP456) (0.043 COMP460) (0.031 COMP457) (0.029 COMP445) (0.027 COMP422) (0.020 COMP459)
ICAM1 expression inhibitor	0.706	COMP416	(0.692 COMP417) (0.561 COMP411) (0.557 COMP426/COMP458) (0.550 COMP449) (0.546 COMP433) (0.514 COMP451) (0.511 COMP418/COMP438/COMP454) (0.504 COMP430) (0.503 COMP434/COMP443) (0.501 COMP423) (0.496 COMP158) (0.491 COMP435) (0.489 COMP425) (0.488 COMP415/COMP421) (0.484 COMP429) (0.481 COMP419/COMP432) (0.480 COMP424) (0.476 COMP444) (0.475 COMP440) (0.473 COMP452) (0.468 COMP453) (0.467 COMP431) (0.457 COMP448/COMP460) (0.455 COMP442/COMP447) (0.454 COMP427) (0.453 COMP420) (0.452 COMP198) (0.445 COMP436) (0.435 COMP439) (0.430 COMP441) (0.427 COMP450) (0.413 COMP77) (0.396 COMP437) (0.321 COMP446) (0.320 COMP413/COMP414) (0.314 COMP428) (0.204 COMP457) (0.196 COMP445)
LDLR expression enhancer	0.467	COMP436	(0.378 COMP450) (0.365 COMP77) (0.356 COMP412) (0.353 COMP418) (0.286 COMP198) (0.240 COMP444) (0.233 COMP415) (0.223 COMP433) (0.211 COMP451) (0.209 COMP426/COMP435/COMP458) (0.200 COMP429) (0.199 COMP452) (0.194 COMP158) (0.193 COMP434/COMP460) (0.188 COMP448) (0.177 COMP423) (0.174 COMP419) (0.172 COMP443) (0.166 COMP446) (0.158 COMP441) (0.153 COMP428) (0.146 COMP431) (0.144 COMP425/COMP440/COMP449)
NOS2 expression inhibitor	0.959	COMP419/COMP452	(0.946 COMP440/COMP453) (0.941 COMP448) (0.938 COMP433) (0.931 COMP421/COMP426/COMP458) (0.926 COMP434) (0.925 COMP439/COMP442) (0.920 COMP418) (0.907 COMP411) (0.905 COMP449) (0.899 COMP429) (0.863 COMP427) (0.848 COMP415) (0.811 COMP451) (0.807 COMP198) (0.805 COMP435) (0.793 COMP417) (0.761 COMP430) (0.756 COMP424) (0.749 COMP443) (0.746 COMP423) (0.737 COMP425) (0.661 COMP436) (0.654 COMP444) (0.603 COMP77) (0.592 COMP438/COMP454) (0.573 COMP450) (0.525 COMP431) (0.522 COMP416) (0.511 COMP432) (0.484 COMP420/COMP441) (0.457 COMP158) (0.434 COMP437) (0.422 COMP460) (0.378 COMP422) (0.369 COMP457) (0.354 COMP413/COMP414) (0.319 COMP445) (0.315 COMP456) (0.312 COMP428) (0.310 COMP447) (0.238 COMP459) (0.188 COMP455) (0.168 COMP412/COMP446)
NOS3 expression enhancer	0.569	COMP411	(0.562 COMP198) (0.544 COMP418) (0.393 COMP415) (0.324 COMP436) (0.301 COMP450) (0.263 COMP77) (0.213 COMP429) (0.176 COMP433) (0.173 COMP431) (0.165 COMP453) (0.163 COMP460) (0.156 COMP444) (0.149 COMP417/COMP434) (0.148 COMP419) (0.142 COMP426/COMP435/COMP458) (0.140 COMP421) (0.136 COMP448) (0.135 COMP425/COMP446/COMP449) (0.134 COMP440) (0.125 COMP437) (0.124 COMP451) (0.122 COMP452)
NOS3 expression inhibitor	0.926	COMP436	(0.919 COMP450) (0.910 COMP77) (0.771 COMP411) (0.751 COMP448) (0.727 COMP429) (0.711 COMP460) (0.704 COMP434) (0.702 COMP198) (0.693 COMP452) (0.692 COMP419) (0.682 COMP421) (0.679 COMP433) (0.678 COMP418) (0.667 COMP431) (0.666 COMP426/COMP435/COMP458) (0.661 COMP453) (0.659 COMP444) (0.658 COMP437) (0.657 COMP451) (0.656 COMP440) (0.649 COMP413/COMP414) (0.633 COMP425/COMP449) (0.631 COMP439) (0.627 COMP424) (0.626 COMP423) (0.624 COMP443) (0.623 COMP427) (0.622 COMP430) (0.619 COMP442) (0.612 COMP438/COMP454) (0.578 COMP432) (0.551 COMP415) (0.546 COMP420) (0.504 COMP417) (0.481 COMP447) (0.472 COMP428) (0.466 COMP416) (0.365 COMP457) (0.343 COMP158) (0.328 COMP446) (0.272 COMP441) (0.205 COMP456) (0.204 COMP422) (0.190 COMP445)
TNF expression inhibitor	0.932	COMP436	(0.899 COMP77) (0.890 COMP411) (0.875 COMP450) (0.850 COMP418/COMP444) (0.838 COMP415) (0.830 COMP429) (0.820 COMP440) (0.794 COMP441) (0.792 COMP198) (0.765 COMP452) (0.753 COMP434) (0.721 COMP448) (0.709 COMP433) (0.702 COMP423) (0.700 COMP460) (0.697 COMP416) (0.685 COMP419) (0.680 COMP443) (0.672 COMP417/COMP426/COMP458) (0.670 COMP453) (0.662 COMP428) (0.640 COMP451) (0.615 COMP421) (0.595 COMP413/COMP414/COMP449) (0.586 COMP431) (0.585 COMP420) (0.582 COMP158) (0.579 COMP442) (0.553 COMP435) (0.548 COMP457) (0.534 COMP438/COMP454) (0.525 COMP430) (0.523 COMP439) (0.510 COMP432) (0.478 COMP425/COMP427) (0.460 COMP437) (0.429 COMP424) (0.417 COMP422) (0.382 COMP445) (0.376 COMP456) (0.332 COMP446) (0.257 COMP459) (0.231 COMP455) (0.216 COMP447)
VCAM1 expression inhibitor	0.626	COMP415	(0.514 COMP158) (0.413 COMP411) (0.405 COMP460) (0.361 COMP198) (0.358 COMP418) (0.292 COMP428) (0.288 COMP444) (0.256 COMP441) (0.242 COMP436) (0.226 COMP434) (0.224 COMP450) (0.215 COMP443) (0.214 COMP423) (0.204 COMP77) (0.201 COMP440) (0.200 COMP451) (0.197 COMP431) (0.185 COMP421/COMP429) (0.175 COMP457) (0.169 COMP419) (0.167 COMP430) (0.161 COMP425/COMP449) (0.160 COMP426/COMP435/COMP458) (0.158 COMP422)
VEGF expression inhibitor	0.469	COMP198	(0.458 COMP418) (0.325 COMP429) (0.321 COMP426/COMP458) (0.303 COMP451) (0.293 COMP441) (0.285 COMP435) (0.279 COMP448) (0.265 COMP433) (0.264 COMP419/COMP434/COMP449/COMP452) (0.258 COMP415) (0.247 COMP456) (0.245 COMP423) (0.244 COMP443) (0.240 COMP444) (0.238 COMP425) (0.230 COMP422) (0.229 COMP460) (0.227 COMP428) (0.226 COMP432/COMP445) (0.224 COMP442) (0.222 COMP438/COMP454) (0.220 COMP440) (0.218 COMP455) (0.207 COMP453) (0.205 COMP421) (0.201 COMP439) (0.198 COMP431) (0.196 COMP457) (0.195 COMP430) (0.191 COMP459) (0.186 COMP436) (0.184 COMP424) (0.179 COMP420) (0.162 COMP450) (0.158 COMP412) (0.157 COMP427)
