Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.353	COMP436	(0.338 COMP450) (0.332 COMP77) (0.327 COMP460) (0.303 COMP420) (0.215 COMP427) (0.191 COMP439) (0.167 COMP415) (0.164 COMP413/COMP414) (0.163 COMP428/COMP437) (0.161 COMP452) (0.157 COMP448) (0.154 COMP444) (0.152 COMP421) (0.148 COMP431) (0.147 COMP429) (0.144 COMP158/COMP425/COMP434/COMP449) (0.142 COMP440) (0.138 COMP416/COMP453) (0.134 COMP430) (0.133 COMP423/COMP433) (0.132 COMP419) (0.131 COMP424) (0.130 COMP443) (0.126 COMP417/COMP451) (0.122 COMP426/COMP435/COMP458) (0.114 COMP422) (0.113 COMP457) (0.112 COMP442) (0.106 COMP432)
Aldehyde dehydrogenase substrate	0.289	COMP460	(0.265 COMP420) (0.224 COMP428) (0.197 COMP422) (0.193 COMP457) (0.178 COMP415) (0.169 COMP456) (0.166 COMP427/COMP439) (0.161 COMP445) (0.148 COMP459) (0.140 COMP455) (0.115 COMP158) (0.104 COMP441)
Aldehyde oxidase substrate	0.308	COMP441	(0.302 COMP460) (0.295 COMP445) (0.247 COMP422) (0.242 COMP428) (0.234 COMP455) (0.197 COMP456) (0.164 COMP459) (0.162 COMP198) (0.149 COMP457)
Aldose reductase substrate	0.350	COMP411	(0.319 COMP460) (0.267 COMP420) (0.216 COMP428) (0.204 COMP417) (0.164 COMP436) (0.133 COMP450) (0.130 COMP198)
Arylamine N-Acetyltransferase substrate	0.529	COMP428	(0.428 COMP456) (0.410 COMP457) (0.371 COMP460) (0.357 COMP455) (0.206 COMP198) (0.174 COMP422/COMP445) (0.162 COMP441) (0.132 COMP459) (0.085 COMP415)
CYP1A2 inhibitor	0.979	COMP418	(0.796 COMP198) (0.728 COMP415) (0.405 COMP456) (0.339 COMP455) (0.307 COMP422) (0.283 COMP445) (0.253 COMP411) (0.243 COMP441)
CYP1A2 substrate	0.941	COMP434	(0.929 COMP448) (0.869 COMP441) (0.808 COMP419) (0.806 COMP418) (0.798 COMP440) (0.776 COMP421/COMP439) (0.746 COMP198) (0.721 COMP427) (0.704 COMP452) (0.692 COMP453) (0.645 COMP422) (0.639 COMP459) (0.599 COMP445) (0.549 COMP411) (0.469 COMP446) (0.438 COMP442) (0.427 COMP415) (0.425 COMP429) (0.406 COMP456) (0.400 COMP460) (0.393 COMP430) (0.382 COMP436) (0.379 COMP444) (0.378 COMP437) (0.370 COMP428) (0.365 COMP412) (0.362 COMP424) (0.355 COMP431) (0.342 COMP455) (0.326 COMP451) (0.318 COMP450) (0.312 COMP443) (0.302 COMP435) (0.296 COMP423) (0.295 COMP457) (0.269 COMP77) (0.250 COMP433) (0.224 COMP426/COMP458) (0.221 COMP425) (0.200 COMP432) (0.185 COMP420) (0.181 COMP158)
CYP24 inhibitor	0.070	COMP158	(0.066 COMP436/COMP450) (0.060 COMP77) (0.034 COMP437) (0.024 COMP415)
CYP2A6 inhibitor	0.356	COMP455	(0.216 COMP456) (0.150 COMP445) (0.143 COMP198) (0.136 COMP422) (0.115 COMP428) (0.081 COMP460) (0.067 COMP158)
CYP2B6 inhibitor	0.506	COMP198	(0.378 COMP418) (0.323 COMP428) (0.303 COMP460) (0.296 COMP441) (0.268 COMP456) (0.237 COMP415/COMP455) (0.232 COMP422) (0.227 COMP445) (0.226 COMP158) (0.198 COMP436) (0.174 COMP412) (0.160 COMP450) (0.152 COMP77)
