Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.427	COMP1909	(0.324 COMP389/COMP390) (0.225 COMP887) (0.215 COMP2278/COMP2348) (0.210 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.191 COMP2358) (0.182 COMP683) (0.166 COMP1448) (0.159 COMP62) (0.152 COMP2349) (0.148 COMP504) (0.144 COMP512/COMP715/COMP721/COMP810/COMP882) (0.118 COMP1237) (0.115 COMP241/COMP245) (0.112 COMP1449/COMP700) (0.111 COMP2364/COMP2366) (0.107 COMP1450) (0.104 COMP1497) (0.101 COMP2368/COMP251) (0.100 COMP1441) (0.098 COMP2362) (0.097 COMP2373) (0.096 COMP2343/COMP2352/COMP2354) (0.092 COMP2365/COMP2367) (0.090 COMP1438/COMP2370/COMP2374) (0.083 COMP1542/COMP2357/COMP2375)
AR expression inhibitor	0.889	COMP2285	(0.845 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.807 COMP504) (0.805 COMP512/COMP715/COMP721/COMP810/COMP882) (0.774 COMP2278/COMP2348) (0.754 COMP251) (0.718 COMP2355) (0.712 COMP1922/COMP2284) (0.709 COMP700) (0.707 COMP2282) (0.701 COMP2351) (0.686 COMP2375) (0.681 COMP2376) (0.663 COMP241/COMP245) (0.659 COMP389/COMP390) (0.643 COMP1923) (0.640 COMP1238/COMP335) (0.631 COMP683) (0.624 COMP1444) (0.621 COMP2374) (0.612 COMP2372) (0.610 COMP1438/COMP2352/COMP2370) (0.594 COMP1909) (0.589 COMP1538) (0.587 COMP887) (0.582 COMP1440) (0.578 COMP1562/COMP1918) (0.570 COMP2359/COMP693) (0.565 COMP1237) (0.560 COMP2343/COMP2354/COMP2367/COMP2368) (0.557 COMP1437) (0.555 COMP2356/COMP2363/COMP2369/COMP2371) (0.544 COMP1497) (0.541 COMP2347) (0.532 COMP2360) (0.526 COMP2346) (0.519 COMP1452) (0.518 COMP2349) (0.506 COMP1495) (0.498 COMP2364/COMP2366) (0.496 COMP1435/COMP2341/COMP2361) (0.492 COMP1448) (0.484 COMP2350) (0.479 COMP62) (0.473 COMP1449) (0.468 COMP1439/COMP1443/COMP1450) (0.467 COMP1537) (0.463 COMP2345) (0.451 COMP1542) (0.450 COMP2373) (0.439 COMP1441) (0.429 COMP2365) (0.420 COMP1451) (0.412 COMP2358) (0.403 COMP2357) (0.396 COMP2353) (0.365 COMP2342) (0.327 COMP2362) (0.195 COMP845)
CTGF expression inhibitor	0.862	COMP700	(0.850 COMP1438/COMP2370) (0.848 COMP2285/COMP241/COMP245) (0.822 COMP2367) (0.821 COMP389/COMP390) (0.815 COMP1237/COMP2368) (0.813 COMP1497) (0.812 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.811 COMP1922) (0.802 COMP887) (0.798 COMP2343/COMP2354) (0.792 COMP2351) (0.783 COMP512/COMP715/COMP721/COMP810/COMP882) (0.773 COMP2352) (0.768 COMP1449) (0.764 COMP1923) (0.751 COMP2349) (0.743 COMP1450) (0.737 COMP1448) (0.721 COMP2357) (0.719 COMP1909) (0.702 COMP2373) (0.696 COMP2364/COMP2366) (0.683 COMP2375) (0.665 COMP1441) (0.662 COMP504) (0.657 COMP2376) (0.652 COMP683) (0.637 COMP1542) (0.619 COMP251) (0.592 COMP2374) (0.586 COMP2353) (0.578 COMP2358) (0.549 COMP2362) (0.532 COMP2342) (0.527 COMP2356/COMP2363/COMP2369/COMP2371) (0.518 COMP2360) (0.515 COMP2365) (0.499 COMP2359) (0.494 COMP2284) (0.490 COMP2372) (0.435 COMP1437) (0.432 COMP693) (0.420 COMP1538) (0.376 COMP2282) (0.371 COMP2278/COMP2348) (0.369 COMP845) (0.365 COMP2346) (0.339 COMP1495) (0.330 COMP1452) (0.302 COMP1444) (0.285 COMP1439/COMP1443) (0.284 COMP62) (0.274 COMP1440) (0.271 COMP1435/COMP2341/COMP2361) (0.265 COMP1537) (0.261 COMP2345) (0.255 COMP2350) (0.254 COMP1238/COMP335) (0.244 COMP1562/COMP1918) (0.200 COMP2347)
GRP78 expression inhibitor	0.045	COMP1444	(0.034 COMP1439/COMP1443/COMP1542/COMP693) (0.033 COMP1435/COMP1495/COMP2282/COMP2341/COMP2361/COMP683) (0.031 COMP1440/COMP1538/COMP2345) (0.029 COMP1452/COMP2346/COMP2352/COMP845) (0.028 COMP1537/COMP2343/COMP2354) (0.027 COMP2353/COMP2358/COMP2364/COMP2366) (0.026 COMP1437) (0.025 COMP1923/COMP2284) (0.024 COMP1562/COMP1909/COMP1918) (0.023 COMP2351) (0.022 COMP1441/COMP1922) (0.021 COMP1448) (0.020 COMP1449/COMP1451/COMP2347/COMP2349/COMP241/COMP245)
ICAM1 expression inhibitor	0.636	COMP2355	(0.609 COMP693) (0.596 COMP1538) (0.584 COMP1444) (0.583 COMP1437) (0.580 COMP2346) (0.571 COMP1238/COMP335) (0.565 COMP2347) (0.562 COMP2284) (0.558 COMP1562/COMP1918) (0.543 COMP1495) (0.540 COMP1440) (0.533 COMP2282) (0.531 COMP1452) (0.524 COMP700) (0.522 COMP2375) (0.520 COMP1439/COMP1443) (0.516 COMP241/COMP245) (0.513 COMP2345) (0.510 COMP1537) (0.509 COMP1435/COMP2341/COMP2361) (0.501 COMP2278/COMP2348) (0.497 COMP1451) (0.495 COMP62) (0.490 COMP2372) (0.487 COMP2376) (0.483 COMP1438/COMP2370) (0.480 COMP389/COMP390) (0.476 COMP2364/COMP2366) (0.473 COMP2350) (0.472 COMP2367) (0.471 COMP2368) (0.468 COMP2374) (0.461 COMP2356/COMP2363/COMP2369/COMP2371) (0.454 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.452 COMP887) (0.451 COMP1909) (0.446 COMP683) (0.437 COMP2373) (0.429 COMP512/COMP715/COMP721/COMP810/COMP882) (0.412 COMP504) (0.390 COMP2285) (0.387 COMP2352) (0.381 COMP1237) (0.374 COMP251) (0.366 COMP2357) (0.353 COMP1448/COMP1922) (0.352 COMP1497) (0.343 COMP2360) (0.342 COMP2351) (0.341 COMP2349) (0.340 COMP1450) (0.337 COMP845) (0.333 COMP1449) (0.331 COMP1441) (0.326 COMP1923/COMP2343/COMP2354) (0.325 COMP2358) (0.315 COMP2359) (0.307 COMP2365) (0.273 COMP2342) (0.228 COMP2362) (0.211 COMP1542)
LDLR expression enhancer	0.616	COMP2273/COMP688/COMP723/COMP732/COMP975	(0.424 COMP2278/COMP2348) (0.393 COMP504/COMP512/COMP715/COMP721/COMP810/COMP882) (0.379 COMP1438/COMP2370) (0.374 COMP2367) (0.345 COMP2368) (0.316 COMP700) (0.312 COMP887) (0.307 COMP2373) (0.297 COMP241/COMP245) (0.296 COMP2374) (0.289 COMP251) (0.272 COMP683) (0.266 COMP389/COMP390) (0.263 COMP2285/COMP2375) (0.251 COMP1450) (0.246 COMP2376) (0.243 COMP2364/COMP2366) (0.241 COMP2359) (0.236 COMP2372) (0.235 COMP2352) (0.227 COMP1237) (0.224 COMP1909) (0.223 COMP2362) (0.222 COMP1497/COMP2360) (0.215 COMP1448) (0.210 COMP2349) (0.208 COMP1922) (0.205 COMP2343/COMP2354) (0.203 COMP1449) (0.202 COMP2351/COMP2358) (0.201 COMP1542) (0.199 COMP2357) (0.198 COMP2353) (0.194 COMP1923) (0.189 COMP2365) (0.187 COMP1441) (0.164 COMP1437) (0.155 COMP845) (0.148 COMP2356/COMP2363/COMP2369/COMP2371) (0.142 COMP2346)
NOS2 expression inhibitor	0.972	COMP1238/COMP335	(0.962 COMP1562/COMP1918) (0.920 COMP2347) (0.919 COMP1437) (0.908 COMP1538) (0.906 COMP2284) (0.897 COMP2346) (0.890 COMP1495/COMP2355) (0.882 COMP693) (0.879 COMP1452) (0.876 COMP1537) (0.823 COMP2356/COMP2363/COMP2369/COMP2371) (0.822 COMP512/COMP715/COMP721/COMP810/COMP882) (0.812 COMP1439/COMP1443) (0.809 COMP2345) (0.787 COMP2375) (0.781 COMP2374) (0.767 COMP62) (0.762 COMP251) (0.746 COMP1438/COMP2370) (0.742 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.724 COMP2372) (0.720 COMP2367) (0.715 COMP2282) (0.713 COMP1444/COMP1450) (0.709 COMP1237) (0.702 COMP2368/COMP2376) (0.699 COMP700) (0.690 COMP504) (0.687 COMP1435/COMP2341/COMP2361) (0.673 COMP1451) (0.669 COMP2350) (0.668 COMP241/COMP245) (0.667 COMP1497) (0.662 COMP2285) (0.654 COMP1441) (0.649 COMP2278/COMP2348/COMP887) (0.640 COMP1922) (0.636 COMP1449) (0.629 COMP2351) (0.623 COMP2343/COMP2354) (0.617 COMP2352) (0.610 COMP2357) (0.598 COMP1440) (0.585 COMP2359/COMP389/COMP390) (0.583 COMP1923) (0.575 COMP2360) (0.547 COMP2373) (0.522 COMP2365) (0.515 COMP1448) (0.509 COMP2362) (0.496 COMP2349) (0.478 COMP2342) (0.455 COMP1542) (0.449 COMP2364/COMP2366) (0.446 COMP1909) (0.430 COMP2353) (0.411 COMP683) (0.378 COMP2358) (0.357 COMP845)
NOS3 expression enhancer	0.707	COMP2273/COMP688/COMP723/COMP732/COMP975	(0.674 COMP504) (0.673 COMP1909/COMP389/COMP390) (0.672 COMP1538) (0.668 COMP512/COMP715/COMP721/COMP810/COMP882) (0.667 COMP693) (0.662 COMP2356/COMP2363/COMP2369/COMP2371) (0.637 COMP700) (0.622 COMP1437) (0.614 COMP1444) (0.605 COMP251) (0.599 COMP2346) (0.588 COMP1238/COMP335) (0.587 COMP1435/COMP2341/COMP2361) (0.586 COMP241/COMP245) (0.559 COMP2278/COMP2348) (0.552 COMP1452/COMP1562/COMP1918) (0.550 COMP887) (0.546 COMP1495) (0.540 COMP2364/COMP2366) (0.533 COMP2347) (0.526 COMP1440) (0.510 COMP1497) (0.503 COMP1439/COMP1443/COMP2282/COMP2375) (0.488 COMP2376) (0.485 COMP2284) (0.478 COMP2345) (0.475 COMP2359) (0.473 COMP2285) (0.464 COMP2353) (0.461 COMP1537) (0.459 COMP2350) (0.454 COMP1438/COMP2370) (0.441 COMP2349) (0.435 COMP683) (0.420 COMP2374) (0.399 COMP1451) (0.396 COMP2368) (0.388 COMP2367) (0.377 COMP2360) (0.373 COMP2352) (0.371 COMP1922) (0.367 COMP1237) (0.365 COMP62) (0.356 COMP2372) (0.339 COMP2373) (0.335 COMP2351) (0.314 COMP1448) (0.313 COMP2343/COMP2354) (0.290 COMP1449) (0.279 COMP1923) (0.277 COMP2358) (0.264 COMP1542) (0.244 COMP1450) (0.218 COMP1441) (0.202 COMP2365) (0.143 COMP2357) (0.130 COMP2342) (0.124 COMP2362) (0.121 COMP2355)
NOS3 expression inhibitor	0.960	COMP845	(0.893 COMP62) (0.821 COMP693) (0.820 COMP1538) (0.773 COMP1437) (0.767 COMP2346) (0.741 COMP1452) (0.733 COMP1495) (0.728 COMP1444) (0.710 COMP1562/COMP1918) (0.704 COMP700) (0.703 COMP2284) (0.700 COMP2345) (0.699 COMP241/COMP245) (0.694 COMP1439/COMP1443) (0.689 COMP2282) (0.682 COMP1537) (0.674 COMP512/COMP715/COMP721/COMP810/COMP882) (0.668 COMP1435/COMP2341/COMP2361) (0.664 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.650 COMP1440) (0.642 COMP2347) (0.638 COMP1238/COMP335) (0.637 COMP1451) (0.624 COMP251) (0.623 COMP504) (0.607 COMP2350) (0.599 COMP1438/COMP2370) (0.598 COMP2364/COMP2366) (0.574 COMP2368) (0.559 COMP2285) (0.545 COMP2367) (0.544 COMP2356/COMP2363/COMP2369/COMP2371) (0.542 COMP2352) (0.537 COMP1237) (0.527 COMP1922) (0.519 COMP2278/COMP2348) (0.516 COMP1497) (0.506 COMP389/COMP390) (0.500 COMP2355) (0.497 COMP2373) (0.483 COMP2351) (0.480 COMP2343/COMP2354) (0.479 COMP2376) (0.469 COMP2357) (0.464 COMP1909) (0.458 COMP2342/COMP2375) (0.454 COMP887) (0.446 COMP1441) (0.439 COMP1450) (0.435 COMP1448) (0.433 COMP683) (0.431 COMP2374) (0.428 COMP1923) (0.424 COMP1449/COMP2349) (0.398 COMP2359) (0.395 COMP2365) (0.391 COMP2360) (0.384 COMP2358) (0.382 COMP1542) (0.370 COMP2372) (0.335 COMP2353) (0.255 COMP2362)
TNF expression inhibitor	0.967	COMP2355	(0.952 COMP1562/COMP1918) (0.944 COMP1437) (0.942 COMP62) (0.927 COMP1238/COMP335) (0.923 COMP2346) (0.920 COMP693) (0.918 COMP1538) (0.894 COMP2284) (0.866 COMP1495) (0.859 COMP1452) (0.844 COMP1537) (0.833 COMP887) (0.819 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.801 COMP1438/COMP2370/COMP389/COMP390) (0.796 COMP1439/COMP1443) (0.788 COMP2282) (0.783 COMP1451) (0.768 COMP1444) (0.766 COMP1435/COMP2341/COMP2361) (0.764 COMP700) (0.756 COMP2345) (0.755 COMP2367) (0.737 COMP2368) (0.733 COMP2278/COMP2348) (0.730 COMP241/COMP245) (0.726 COMP2347) (0.695 COMP512/COMP715/COMP721/COMP810/COMP882) (0.669 COMP2374) (0.664 COMP1909) (0.660 COMP504) (0.657 COMP2375) (0.651 COMP1237) (0.646 COMP2357) (0.635 COMP2285) (0.634 COMP2350) (0.632 COMP1450) (0.631 COMP1497) (0.626 COMP2372) (0.621 COMP2376) (0.620 COMP1922) (0.618 COMP2351) (0.614 COMP2343/COMP2354) (0.610 COMP2373) (0.606 COMP2352) (0.605 COMP1440) (0.601 COMP2365) (0.586 COMP1449) (0.584 COMP1923/COMP683) (0.583 COMP1448) (0.580 COMP2356/COMP2363/COMP2369/COMP2371) (0.576 COMP2349) (0.570 COMP1441) (0.557 COMP2364/COMP2366/COMP251) (0.538 COMP2359) (0.523 COMP2362/COMP845) (0.506 COMP2360) (0.488 COMP2342) (0.482 COMP1542) (0.451 COMP2353) (0.448 COMP2358)
