Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.523	COMP845	(0.352 COMP2357) (0.334 COMP1909) (0.306 COMP389/COMP390) (0.269 COMP62) (0.254 COMP887) (0.249 COMP1441) (0.190 COMP2375) (0.167 COMP2376) (0.162 COMP700) (0.159 COMP2356/COMP2363/COMP2369/COMP2371) (0.154 COMP2359/COMP241/COMP245) (0.144 COMP2345) (0.143 COMP2372/COMP683) (0.142 COMP2352) (0.141 COMP2360/COMP2374) (0.140 COMP1438/COMP2370) (0.138 COMP1444/COMP2367) (0.137 COMP1538) (0.136 COMP2368) (0.135 COMP2364/COMP2366) (0.134 COMP693) (0.130 COMP1437) (0.127 COMP2346) (0.122 COMP2349) (0.121 COMP1923) (0.117 COMP2358) (0.114 COMP2351) (0.113 COMP1435/COMP2341/COMP2343/COMP2354/COMP2361) (0.112 COMP1452/COMP1497) (0.111 COMP1439/COMP1443/COMP1495) (0.108 COMP1537/COMP512/COMP715/COMP721/COMP810/COMP882) (0.106 COMP1237/COMP2373) (0.105 COMP1448/COMP1449/COMP1451) (0.104 COMP1922/COMP2273/COMP688/COMP723/COMP732/COMP975)
Aldehyde dehydrogenase substrate	0.219	COMP389/COMP390	(0.211 COMP1909) (0.210 COMP845) (0.206 COMP683/COMP887) (0.192 COMP700) (0.179 COMP1438/COMP2370) (0.175 COMP241/COMP245) (0.174 COMP2367) (0.164 COMP2368) (0.160 COMP2357) (0.159 COMP2375) (0.149 COMP1444) (0.148 COMP1538) (0.147 COMP1441) (0.146 COMP1437/COMP2364/COMP2366) (0.138 COMP2352/COMP693) (0.137 COMP2346) (0.132 COMP2358) (0.130 COMP2374/COMP2376) (0.129 COMP2359) (0.127 COMP2373) (0.126 COMP2372) (0.121 COMP1448/COMP2360) (0.116 COMP1440) (0.113 COMP1923/COMP2345) (0.112 COMP2349) (0.106 COMP1435/COMP2341/COMP2361) (0.099 COMP2351) (0.098 COMP1537)
Aldehyde oxidase substrate	0.306	COMP845	(0.295 COMP683) (0.287 COMP2364/COMP2366) (0.273 COMP1542) (0.244 COMP2367) (0.242 COMP700) (0.241 COMP2358) (0.240 COMP2352) (0.236 COMP1923) (0.227 COMP1438/COMP2353/COMP2370) (0.225 COMP241/COMP245) (0.222 COMP2373) (0.219 COMP2343/COMP2354/COMP389/COMP390) (0.216 COMP1909) (0.209 COMP2351) (0.205 COMP887) (0.203 COMP2285) (0.195 COMP1922/COMP2368) (0.194 COMP2359) (0.185 COMP1448) (0.181 COMP2357) (0.161 COMP1449) (0.158 COMP2360) (0.151 COMP2349) (0.142 COMP2362) (0.140 COMP1441) (0.139 COMP512/COMP715/COMP721/COMP810/COMP882)
Aldose reductase substrate	0.968	COMP845	(0.660 COMP1444) (0.642 COMP2345) (0.595 COMP1439/COMP1443) (0.592 COMP693) (0.574 COMP1495) (0.554 COMP1538) (0.542 COMP1452) (0.498 COMP2346) (0.495 COMP1537) (0.480 COMP1435/COMP2341/COMP2361) (0.474 COMP1437) (0.468 COMP1451) (0.466 COMP1440) (0.461 COMP1562/COMP1918) (0.440 COMP2347) (0.388 COMP2350) (0.375 COMP2282) (0.356 COMP62) (0.345 COMP2356/COMP2363/COMP2369/COMP2371) (0.336 COMP1238/COMP335) (0.335 COMP2284) (0.322 COMP2343/COMP2354) (0.298 COMP1923) (0.290 COMP1542) (0.287 COMP1441) (0.281 COMP2351) (0.264 COMP1922) (0.252 COMP2352) (0.245 COMP2355) (0.235 COMP1448) (0.228 COMP1449) (0.225 COMP2358/COMP2362) (0.224 COMP1909) (0.218 COMP2353) (0.190 COMP389/COMP390) (0.189 COMP2349) (0.188 COMP1450) (0.187 COMP1237) (0.180 COMP887) (0.170 COMP2365) (0.152 COMP2342/COMP683) (0.151 COMP1497) (0.133 COMP2285) (0.130 COMP2357)
Arylamine N-Acetyltransferase substrate	0.383	COMP2282	(0.381 COMP2352) (0.371 COMP2358) (0.361 COMP1923) (0.332 COMP683) (0.327 COMP2351) (0.326 COMP1448) (0.315 COMP2353) (0.313 COMP1542) (0.301 COMP2343/COMP2354) (0.289 COMP1922) (0.247 COMP2285) (0.222 COMP1449) (0.216 COMP2349) (0.190 COMP1237) (0.185 COMP389/COMP390) (0.180 COMP1497/COMP2359) (0.178 COMP2284) (0.177 COMP2360) (0.172 COMP1909) (0.170 COMP845) (0.169 COMP700) (0.166 COMP241/COMP245) (0.149 COMP2364/COMP2366) (0.140 COMP1441) (0.128 COMP2362) (0.118 COMP1439/COMP1443) (0.115 COMP887) (0.110 COMP2357) (0.102 COMP1435/COMP1450/COMP2341/COMP2361) (0.098 COMP1438/COMP2370) (0.095 COMP1495) (0.094 COMP2345) (0.093 COMP1452) (0.092 COMP2368) (0.085 COMP693) (0.077 COMP2350) (0.073 COMP1444) (0.068 COMP1538) (0.067 COMP2367)
CYP1A2 inhibitor	0.713	COMP2285	(0.660 COMP2374) (0.593 COMP1438/COMP2370) (0.589 COMP2368) (0.588 COMP2372) (0.587 COMP1450) (0.585 COMP2367) (0.538 COMP2373) (0.529 COMP2375) (0.525 COMP1922) (0.519 COMP1237) (0.514 COMP700) (0.510 COMP2362) (0.506 COMP2376) (0.503 COMP1497) (0.495 COMP241/COMP245) (0.491 COMP2351) (0.467 COMP1449) (0.459 COMP1923/COMP2365) (0.458 COMP2343/COMP2354) (0.430 COMP887) (0.415 COMP2352) (0.404 COMP1441) (0.389 COMP2342) (0.383 COMP2364/COMP2366) (0.362 COMP389/COMP390) (0.361 COMP2284) (0.352 COMP2359) (0.349 COMP1542) (0.341 COMP2360) (0.334 COMP2353) (0.331 COMP1448) (0.329 COMP2357) (0.299 COMP512/COMP715/COMP721/COMP810/COMP882) (0.286 COMP1909) (0.267 COMP1238/COMP335) (0.251 COMP2349) (0.247 COMP251) (0.230 COMP1437) (0.228 COMP2346) (0.226 COMP2358) (0.209 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.205 COMP683) (0.200 COMP1562/COMP1918) (0.191 COMP2282) (0.186 COMP1537) (0.175 COMP693) (0.174 COMP1495) (0.169 COMP1538)
CYP1A2 substrate	0.773	COMP2285	(0.762 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.717 COMP2359) (0.716 COMP1562/COMP1918) (0.710 COMP1922) (0.706 COMP512/COMP715/COMP721/COMP810/COMP882) (0.674 COMP2351) (0.669 COMP504) (0.662 COMP1497/COMP1923) (0.659 COMP1238/COMP335) (0.646 COMP700) (0.640 COMP1438/COMP2370) (0.639 COMP2360) (0.637 COMP2368) (0.630 COMP2343/COMP2354) (0.624 COMP241/COMP245) (0.621 COMP2278/COMP2348) (0.618 COMP1237) (0.616 COMP251) (0.615 COMP2367) (0.612 COMP1449) (0.602 COMP1441) (0.594 COMP1450) (0.590 COMP2352) (0.569 COMP389/COMP390) (0.567 COMP2353) (0.564 COMP887) (0.561 COMP2357) (0.544 COMP2373) (0.524 COMP2362) (0.515 COMP1909) (0.510 COMP1542) (0.500 COMP2349) (0.499 COMP2364/COMP2366) (0.483 COMP1448) (0.478 COMP2376) (0.461 COMP2365) (0.438 COMP2342) (0.421 COMP2374) (0.420 COMP2282) (0.414 COMP1538) (0.397 COMP683) (0.395 COMP2375) (0.385 COMP2358) (0.368 COMP845) (0.357 COMP1437) (0.354 COMP2346) (0.352 COMP2284) (0.342 COMP693) (0.317 COMP2345) (0.315 COMP1452) (0.311 COMP1495) (0.310 COMP1439/COMP1443) (0.301 COMP1537) (0.299 COMP2356/COMP2363/COMP2369/COMP2371) (0.294 COMP2372) (0.242 COMP1435/COMP2341/COMP2361) (0.238 COMP2347) (0.226 COMP2350) (0.218 COMP1451) (0.212 COMP1444) (0.191 COMP62)
CYP24 inhibitor	0.323	COMP2364/COMP2366	(0.136 COMP2373) (0.134 COMP241/COMP245) (0.109 COMP700) (0.095 COMP2368) (0.081 COMP1438/COMP2367/COMP2370) (0.060 COMP2374) (0.049 COMP2372) (0.044 COMP2375) (0.042 COMP2376) (0.038 COMP2357) (0.028 COMP2346) (0.027 COMP693) (0.026 COMP1450) (0.025 COMP1237/COMP1437/COMP1538/COMP2352) (0.024 COMP62) (0.023 COMP1542) (0.022 COMP2353) (0.021 COMP1497) (0.020 COMP2362)
CYP2A6 inhibitor	0.213	COMP1542	(0.188 COMP2364/COMP2366) (0.172 COMP2359) (0.152 COMP2362) (0.150 COMP2353) (0.143 COMP2360) (0.139 COMP1449) (0.132 COMP2352) (0.128 COMP2285) (0.119 COMP2343/COMP2354/COMP2357) (0.110 COMP2373) (0.109 COMP1237) (0.097 COMP241/COMP245) (0.090 COMP2358) (0.086 COMP1923) (0.079 COMP2351) (0.078 COMP2375/COMP700) (0.075 COMP1922) (0.071 COMP1450) (0.066 COMP1497/COMP2342/COMP2365)
CYP2B6 inhibitor	0.437	COMP2285	(0.353 COMP2357) (0.335 COMP1438/COMP2370) (0.331 COMP2368) (0.329 COMP700) (0.324 COMP2367) (0.320 COMP241/COMP245/COMP887) (0.315 COMP389/COMP390) (0.314 COMP2352) (0.310 COMP2364/COMP2366) (0.301 COMP2373) (0.294 COMP2375) (0.293 COMP2359) (0.290 COMP2360) (0.289 COMP1909) (0.288 COMP2343/COMP2354) (0.281 COMP1542) (0.269 COMP2351) (0.258 COMP1923) (0.253 COMP2374) (0.250 COMP1449) (0.243 COMP1922) (0.242 COMP2376) (0.240 COMP845) (0.238 COMP2353/COMP2362) (0.228 COMP1237) (0.226 COMP2372) (0.225 COMP1450) (0.210 COMP683) (0.209 COMP1497) (0.206 COMP2342) (0.196 COMP512/COMP715/COMP721/COMP810/COMP882) (0.193 COMP2349) (0.186 COMP1441) (0.178 COMP2365) (0.174 COMP1448) (0.168 COMP2358) (0.155 COMP251) (0.146 COMP2273/COMP688/COMP723/COMP732/COMP975)
