Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.436	COMP62	(0.419 COMP2352) (0.413 COMP2358) (0.407 COMP683) (0.402 COMP845) (0.396 COMP1909) (0.392 COMP389/COMP390) (0.382 COMP1448) (0.375 COMP887) (0.372 COMP241/COMP245) (0.368 COMP2368) (0.359 COMP2353) (0.356 COMP1542/COMP2349) (0.353 COMP2359) (0.346 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.345 COMP700) (0.344 COMP1497) (0.343 COMP1237) (0.339 COMP2357) (0.337 COMP2343/COMP2354) (0.333 COMP2278/COMP2348) (0.328 COMP2374) (0.327 COMP2375) (0.325 COMP1450) (0.322 COMP1438/COMP2370) (0.318 COMP512/COMP715/COMP721/COMP810/COMP882) (0.314 COMP2364/COMP2366/COMP2367) (0.309 COMP2376) (0.303 COMP1923) (0.301 COMP2373) (0.285 COMP1449) (0.282 COMP2351) (0.273 COMP2372) (0.272 COMP1441) (0.269 COMP1922) (0.262 COMP2362) (0.261 COMP2360) (0.251 COMP2342/COMP2365) (0.246 COMP504) (0.227 COMP2355) (0.226 COMP1444) (0.222 COMP251) (0.193 COMP2285) (0.176 COMP693) (0.173 COMP2346) (0.170 COMP1440) (0.160 COMP1538) (0.159 COMP1435/COMP1452/COMP2341/COMP2361) (0.153 COMP1495) (0.150 COMP1537) (0.149 COMP1437)
Carcinogenic	0.959	COMP62	(0.843 COMP1562/COMP1918) (0.836 COMP2350) (0.835 COMP1495) (0.829 COMP1444) (0.826 COMP2282) (0.822 COMP1452) (0.814 COMP1440) (0.807 COMP1439/COMP1443) (0.786 COMP2347) (0.781 COMP1435/COMP2341/COMP2361) (0.778 COMP1238/COMP335) (0.776 COMP2284) (0.771 COMP2345) (0.750 COMP1538/COMP512/COMP715/COMP721/COMP810/COMP882) (0.739 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.720 COMP693) (0.705 COMP845) (0.700 COMP2355) (0.699 COMP1537) (0.681 COMP2376) (0.676 COMP2360) (0.670 COMP2359) (0.669 COMP2285) (0.657 COMP1922) (0.645 COMP1497) (0.639 COMP2351) (0.638 COMP1237) (0.627 COMP2356/COMP2363/COMP2369/COMP2371) (0.624 COMP1437) (0.611 COMP1923) (0.608 COMP1449) (0.607 COMP389/COMP390) (0.606 COMP2343/COMP2354) (0.593 COMP1448) (0.591 COMP1441) (0.588 COMP251) (0.587 COMP2349) (0.584 COMP2346) (0.570 COMP504) (0.554 COMP2375) (0.539 COMP2352) (0.535 COMP2278/COMP2348) (0.534 COMP2357) (0.522 COMP683) (0.507 COMP1909) (0.483 COMP2372) (0.477 COMP2374) (0.448 COMP2353) (0.447 COMP700) (0.435 COMP1450) (0.433 COMP887) (0.432 COMP2358) (0.422 COMP1451) (0.405 COMP241/COMP245) (0.404 COMP1542) (0.371 COMP2342) (0.299 COMP1438/COMP2362/COMP2370) (0.287 COMP2364/COMP2366) (0.270 COMP2368) (0.248 COMP2367) (0.236 COMP2365) (0.195 COMP2373)
Carcinogenic. group 1	0.528	COMP845	(0.440 COMP1444) (0.428 COMP693) (0.425 COMP1542) (0.408 COMP2364/COMP2366) (0.396 COMP2352) (0.383 COMP2346) (0.381 COMP1538) (0.358 COMP2285) (0.347 COMP1437) (0.328 COMP2343/COMP2354) (0.318 COMP1909/COMP2357) (0.315 COMP683) (0.314 COMP241/COMP245) (0.311 COMP2353) (0.303 COMP2359) (0.296 COMP2373) (0.295 COMP1923) (0.291 COMP2282/COMP2368) (0.287 COMP2345) (0.282 COMP1440/COMP700) (0.274 COMP2360) (0.271 COMP1435/COMP2341/COMP2361) (0.265 COMP1438/COMP2370) (0.261 COMP1439/COMP1443) (0.257 COMP2351) (0.249 COMP1922) (0.242 COMP2367) (0.240 COMP2358) (0.236 COMP389/COMP390) (0.230 COMP1452) (0.225 COMP2284) (0.224 COMP1441) (0.223 COMP887) (0.220 COMP1495) (0.217 COMP2356/COMP2363/COMP2369/COMP2371) (0.209 COMP2349) (0.208 COMP1451) (0.201 COMP1537) (0.200 COMP1449) (0.194 COMP2362) (0.182 COMP1448) (0.179 COMP1237) (0.176 COMP512/COMP715/COMP721/COMP810/COMP882) (0.171 COMP2375) (0.167 COMP1562/COMP1918) (0.162 COMP1450) (0.157 COMP2376) (0.156 COMP2347) (0.154 COMP1497/COMP2365) (0.149 COMP2350) (0.148 COMP2374) (0.143 COMP2342) (0.132 COMP2372)
Carcinogenic. group 2A	0.398	COMP1542	(0.326 COMP1444) (0.319 COMP2345) (0.308 COMP1439/COMP1443) (0.298 COMP2364/COMP2366) (0.277 COMP2343/COMP2354) (0.271 COMP1495) (0.270 COMP693) (0.259 COMP1435/COMP2341/COMP2361) (0.247 COMP2353) (0.246 COMP1537/COMP1923) (0.245 COMP2346) (0.241 COMP1452/COMP1538/COMP2352) (0.228 COMP1437) (0.226 COMP845) (0.223 COMP2356/COMP2363/COMP2369/COMP2371) (0.215 COMP2351) (0.214 COMP1922) (0.211 COMP1451/COMP2362) (0.205 COMP2359) (0.202 COMP2373) (0.198 COMP1441) (0.195 COMP1440) (0.188 COMP1562/COMP1918) (0.182 COMP2358) (0.181 COMP2347) (0.179 COMP1909) (0.176 COMP1449/COMP2360/COMP683) (0.161 COMP2285) (0.158 COMP241/COMP245) (0.150 COMP2349) (0.144 COMP1450) (0.143 COMP2368) (0.142 COMP2282) (0.140 COMP1237/COMP700) (0.138 COMP2350/COMP2367) (0.132 COMP1448) (0.131 COMP1438/COMP2370) (0.102 COMP389/COMP390) (0.099 COMP2365) (0.096 COMP512/COMP715/COMP721/COMP810/COMP882) (0.094 COMP1238/COMP335) (0.093 COMP887) (0.087 COMP2342) (0.085 COMP2357) (0.084 COMP1497) (0.078 COMP2375) (0.072 COMP2284)
Carcinogenic. group 2B	0.723	COMP2359	(0.663 COMP2360) (0.655 COMP2343/COMP2354) (0.596 COMP1922) (0.591 COMP2351) (0.578 COMP1449) (0.558 COMP1923) (0.509 COMP389/COMP390) (0.504 COMP1909) (0.491 COMP1542) (0.490 COMP2353) (0.481 COMP1495) (0.479 COMP1237) (0.465 COMP2352) (0.454 COMP1439/COMP1443) (0.453 COMP1497) (0.403 COMP1441) (0.395 COMP1450) (0.386 COMP2362) (0.351 COMP1448) (0.348 COMP887) (0.346 COMP1452) (0.324 COMP2364/COMP2366) (0.316 COMP2347) (0.308 COMP700) (0.302 COMP2345) (0.288 COMP1562/COMP1918) (0.286 COMP1537/COMP241/COMP245) (0.279 COMP2358) (0.261 COMP2285/COMP2365) (0.259 COMP2349) (0.258 COMP693) (0.228 COMP845) (0.227 COMP1538) (0.226 COMP1444) (0.218 COMP2368) (0.217 COMP2375) (0.215 COMP2367) (0.212 COMP1438/COMP2370/COMP2373) (0.210 COMP2342) (0.205 COMP2376/COMP683) (0.199 COMP2346) (0.195 COMP1435/COMP2341/COMP2361) (0.194 COMP1437) (0.191 COMP1238/COMP335) (0.185 COMP2356/COMP2363/COMP2369/COMP2371) (0.182 COMP1451) (0.162 COMP2350) (0.143 COMP2357) (0.138 COMP2374) (0.130 COMP1440) (0.117 COMP512/COMP715/COMP721/COMP810/COMP882) (0.105 COMP2372) (0.100 COMP2282) (0.083 COMP2284)
Carcinogenic. group 3	0.746	COMP1449	(0.737 COMP1497) (0.721 COMP1237) (0.707 COMP2343/COMP2354) (0.690 COMP2359) (0.677 COMP1448) (0.668 COMP1441) (0.600 COMP1922) (0.575 COMP2353) (0.572 COMP2351) (0.568 COMP2352) (0.564 COMP2360) (0.545 COMP2358) (0.544 COMP1923) (0.519 COMP1542) (0.489 COMP2349) (0.462 COMP1450) (0.459 COMP1909) (0.448 COMP1439/COMP1443) (0.439 COMP389/COMP390) (0.426 COMP2350) (0.424 COMP1495) (0.416 COMP1452) (0.406 COMP241/COMP245) (0.405 COMP2362) (0.389 COMP700) (0.379 COMP683) (0.368 COMP2285/COMP2345) (0.348 COMP2364/COMP2366) (0.345 COMP2356/COMP2363/COMP2369/COMP2371) (0.343 COMP845) (0.300 COMP2342) (0.277 COMP887) (0.268 COMP2368) (0.265 COMP2357) (0.264 COMP1435/COMP2341/COMP2361) (0.254 COMP1537) (0.240 COMP693) (0.235 COMP1438/COMP2370) (0.232 COMP1440) (0.216 COMP2365) (0.209 COMP2373) (0.204 COMP1538) (0.199 COMP2375) (0.193 COMP2367) (0.185 COMP1444) (0.180 COMP2347) (0.175 COMP512/COMP715/COMP721/COMP810/COMP882) (0.168 COMP2376) (0.143 COMP2282) (0.141 COMP2346) (0.140 COMP2284) (0.130 COMP62) (0.123 COMP1437) (0.122 COMP2374) (0.113 COMP2273/COMP688/COMP723/COMP732/COMP975)
Cardiodepressant	0.555	COMP2360	(0.538 COMP2359) (0.481 COMP1923) (0.468 COMP2367) (0.453 COMP1438/COMP2370) (0.451 COMP2351) (0.430 COMP2353) (0.426 COMP1922/COMP2355/COMP700) (0.418 COMP2368) (0.415 COMP1448) (0.412 COMP2343/COMP2354) (0.408 COMP241/COMP245) (0.402 COMP2352) (0.401 COMP845) (0.400 COMP1497) (0.397 COMP2362) (0.393 COMP683) (0.385 COMP1449) (0.384 COMP2373) (0.382 COMP2358) (0.379 COMP2357) (0.374 COMP2375) (0.371 COMP1542) (0.368 COMP1450) (0.363 COMP2364/COMP2366) (0.355 COMP1237) (0.354 COMP1441) (0.344 COMP2285) (0.327 COMP2349) (0.323 COMP2372) (0.321 COMP512/COMP715/COMP721/COMP810/COMP882) (0.317 COMP887) (0.309 COMP2278/COMP2348) (0.295 COMP389/COMP390) (0.260 COMP1538) (0.251 COMP2365/COMP2374) (0.239 COMP1909) (0.228 COMP1437) (0.227 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.219 COMP1444) (0.213 COMP2376) (0.201 COMP2346) (0.197 COMP693) (0.195 COMP2342) (0.154 COMP2356/COMP2363/COMP2369/COMP2371) (0.152 COMP1439/COMP1443) (0.145 COMP1495) (0.139 COMP251) (0.131 COMP1537)
Cytotoxic	0.833	COMP2355	(0.788 COMP62) (0.749 COMP1562/COMP1918) (0.700 COMP1238/COMP335) (0.640 COMP2347) (0.638 COMP1452) (0.631 COMP1495) (0.616 COMP1537) (0.612 COMP1439/COMP1443) (0.611 COMP2345) (0.610 COMP1435/COMP2341/COMP2361) (0.599 COMP2350) (0.590 COMP2284) (0.588 COMP1538) (0.583 COMP1437) (0.581 COMP2356/COMP2363/COMP2369/COMP2371) (0.577 COMP2282) (0.575 COMP1444/COMP693) (0.568 COMP2346) (0.553 COMP1440) (0.550 COMP1451) (0.518 COMP504) (0.517 COMP251) (0.500 COMP2273/COMP512/COMP688/COMP715/COMP721/COMP723/COMP732/COMP810/COMP882/COMP975) (0.455 COMP2351) (0.451 COMP1441) (0.450 COMP1922) (0.449 COMP1497) (0.447 COMP1237) (0.422 COMP1923) (0.414 COMP2278/COMP2348) (0.408 COMP1450) (0.405 COMP2349) (0.404 COMP2343/COMP2354) (0.400 COMP1449) (0.392 COMP2359) (0.387 COMP2352) (0.381 COMP2285) (0.378 COMP1448) (0.356 COMP2372/COMP2375) (0.349 COMP2360) (0.346 COMP2376) (0.334 COMP2374) (0.332 COMP1438/COMP2370) (0.331 COMP700) (0.316 COMP2362) (0.311 COMP241/COMP245) (0.302 COMP2353) (0.295 COMP683) (0.294 COMP2368) (0.291 COMP887) (0.290 COMP2367/COMP389/COMP390) (0.287 COMP2365) (0.275 COMP1542) (0.262 COMP2358) (0.255 COMP2342) (0.235 COMP2357) (0.230 COMP845) (0.219 COMP1909) (0.205 COMP2364/COMP2366) (0.202 COMP2373) (0.150 COMP2344)
DNA damaging	0.758	COMP1238/COMP335	(0.749 COMP2347) (0.710 COMP1562/COMP1918) (0.693 COMP2345) (0.684 COMP1495) (0.680 COMP1537) (0.679 COMP2350) (0.675 COMP1435/COMP2341/COMP2361) (0.674 COMP1452) (0.664 COMP1437) (0.644 COMP1439/COMP1443) (0.631 COMP1444) (0.617 COMP1440) (0.616 COMP2346) (0.611 COMP1538) (0.607 COMP693) (0.565 COMP2284) (0.529 COMP2356/COMP2363/COMP2369/COMP2371) (0.524 COMP1922) (0.519 COMP2282) (0.511 COMP2285) (0.509 COMP2351) (0.485 COMP1451/COMP1923) (0.469 COMP1441/COMP2343/COMP2354) (0.455 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.437 COMP887) (0.431 COMP1450) (0.429 COMP2352) (0.428 COMP2278/COMP2348) (0.425 COMP1237) (0.420 COMP2349/COMP2353) (0.416 COMP62) (0.413 COMP1497) (0.409 COMP512/COMP715/COMP721/COMP810/COMP882) (0.403 COMP1542/COMP389/COMP390) (0.401 COMP1438/COMP2370) (0.396 COMP1449) (0.390 COMP2367) (0.385 COMP1909) (0.383 COMP2362) (0.382 COMP504) (0.376 COMP1448) (0.363 COMP700) (0.353 COMP2368) (0.345 COMP241/COMP245) (0.343 COMP2373) (0.334 COMP2364/COMP2366) (0.333 COMP251) (0.317 COMP2374) (0.314 COMP2372) (0.303 COMP2358) (0.294 COMP683) (0.276 COMP2359) (0.268 COMP2365) (0.267 COMP845) (0.261 COMP2375) (0.256 COMP2376) (0.238 COMP2360) (0.192 COMP2342)
Embryotoxic	0.965	COMP62	(0.847 COMP1562/COMP1918) (0.843 COMP1444) (0.815 COMP1440) (0.808 COMP1435/COMP2341/COMP2361) (0.776 COMP1495) (0.763 COMP1452) (0.754 COMP2345) (0.750 COMP1538) (0.745 COMP1439/COMP1443) (0.737 COMP1238/COMP335) (0.734 COMP2350) (0.731 COMP693) (0.727 COMP2347) (0.700 COMP2282) (0.682 COMP1537) (0.665 COMP1437) (0.659 COMP845) (0.650 COMP2346) (0.631 COMP512/COMP715/COMP721/COMP810/COMP882) (0.610 COMP1451) (0.608 COMP2273/COMP688/COMP723/COMP732/COMP975) (0.592 COMP2357) (0.575 COMP2284) (0.565 COMP2278/COMP2348) (0.537 COMP2376) (0.531 COMP2349) (0.524 COMP2356/COMP2363/COMP2369/COMP2371) (0.516 COMP683) (0.502 COMP389/COMP390) (0.481 COMP1448) (0.478 COMP2343/COMP2354) (0.476 COMP2351) (0.472 COMP2352) (0.470 COMP251) (0.469 COMP2359) (0.465 COMP1923/COMP2342) (0.463 COMP1441) (0.458 COMP1922) (0.455 COMP1909) (0.445 COMP504) (0.432 COMP1497) (0.416 COMP1237) (0.399 COMP2360) (0.386 COMP2358) (0.380 COMP1449) (0.377 COMP887) (0.375 COMP2285) (0.374 COMP2353) (0.360 COMP2375) (0.347 COMP1542) (0.326 COMP700) (0.318 COMP2344/COMP2355) (0.311 COMP241/COMP245) (0.286 COMP2374) (0.281 COMP1450) (0.249 COMP2364/COMP2366) (0.232 COMP1438/COMP2370) (0.231 COMP2372) (0.223 COMP2365) (0.221 COMP2368) (0.211 COMP2362) (0.197 COMP2367) (0.157 COMP2373)
