Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.307	COMP697/COMP889	(0.260 COMP984) (0.259 COMP1413) (0.233 COMP2411) (0.183 COMP2409) (0.168 COMP2406/COMP2408) (0.125 COMP1082) (0.115 COMP2407) (0.112 COMP2410) (0.108 COMP2402) (0.106 COMP2405)
Aldehyde dehydrogenase substrate	0.211	COMP697/COMP889	(0.209 COMP984) (0.130 COMP2406) (0.109 COMP1082)
Aldehyde oxidase substrate	0.404	COMP1082	(0.265 COMP984) (0.180 COMP697/COMP889) (0.173 COMP191/COMP2399) (0.162 COMP198) (0.157 COMP2404) (0.139 COMP48)
Aldose reductase substrate	0.667	COMP2406	(0.524 COMP2401) (0.507 COMP310) (0.483 COMP2402) (0.482 COMP305) (0.470 COMP2407) (0.442 COMP2410) (0.431 COMP2403) (0.404 COMP348) (0.379 COMP46) (0.221 COMP984) (0.204 COMP697/COMP889) (0.143 COMP2400) (0.130 COMP198)
Arylamine N-Acetyltransferase substrate	0.219	COMP697/COMP889	(0.206 COMP198) (0.196 COMP1082) (0.194 COMP191) (0.171 COMP984) (0.138 COMP2404) (0.135 COMP310) (0.123 COMP49) (0.115 COMP2399) (0.114 COMP48) (0.093 COMP2403) (0.075 COMP2402)
CYP1A2 inhibitor	0.945	COMP48	(0.914 COMP49) (0.843 COMP191) (0.841 COMP2404) (0.838 COMP2399) (0.796 COMP198) (0.782 COMP2400) (0.387 COMP2403) (0.362 COMP310) (0.355 COMP305) (0.352 COMP697/COMP889) (0.329 COMP2411) (0.284 COMP2402) (0.280 COMP46) (0.274 COMP984) (0.252 COMP348) (0.250 COMP1082) (0.212 COMP2401) (0.189 COMP2405)
CYP1A2 substrate	0.912	COMP48	(0.905 COMP49) (0.855 COMP2404) (0.823 COMP2399) (0.805 COMP2403) (0.758 COMP191) (0.746 COMP198) (0.741 COMP2405) (0.716 COMP2400) (0.640 COMP2401) (0.630 COMP984) (0.574 COMP697/COMP889) (0.559 COMP305) (0.557 COMP46) (0.544 COMP348) (0.488 COMP2402) (0.453 COMP310) (0.276 COMP1082) (0.205 COMP2411) (0.189 COMP2406) (0.185 COMP2410)
CYP24 inhibitor	0.067	COMP1413	(0.056 COMP2408) (0.051 COMP2409)
CYP2A6 inhibitor	0.228	COMP1082	(0.157 COMP2411) (0.143 COMP198) (0.127 COMP49) (0.109 COMP191) (0.093 COMP2404/COMP48) (0.083 COMP2399)
CYP2B6 inhibitor	0.528	COMP191	(0.506 COMP198) (0.374 COMP48) (0.356 COMP49) (0.325 COMP2404) (0.317 COMP697/COMP889) (0.316 COMP2399) (0.309 COMP984) (0.298 COMP2411) (0.278 COMP1082)
