Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.307	COMP1082	(0.303 COMP984) (0.296 COMP697/COMP889) (0.250 COMP198) (0.180 COMP191/COMP49) (0.173 COMP2403) (0.162 COMP2406) (0.148 COMP2399/COMP2404) (0.138 COMP310) (0.123 COMP48)
Acetylcholine release stimulant	0.174	COMP1082	(0.126 COMP984) (0.105 COMP697/COMP889) (0.097 COMP198)
Actinic keratosis treatment	0.408	COMP2405	(0.242 COMP1413) (0.224 COMP697/COMP889) (0.196 COMP1082) (0.167 COMP198) (0.165 COMP2409) (0.162 COMP191) (0.148 COMP49) (0.145 COMP2404) (0.143 COMP310/COMP48) (0.139 COMP2399) (0.130 COMP984) (0.115 COMP305) (0.112 COMP2402/COMP2408) (0.111 COMP2401/COMP2406) (0.095 COMP2403) (0.090 COMP2410) (0.087 COMP2407) (0.084 COMP348) (0.082 COMP46)
Acute neurologic disorders treatment	0.277	COMP2411	(0.251 COMP984)
Acute respiratory distress syndrome (ARDS) treatment	0.451	COMP2406	(0.424 COMP2401) (0.403 COMP2403) (0.366 COMP348) (0.349 COMP46) (0.347 COMP310) (0.344 COMP2402) (0.343 COMP1413) (0.341 COMP2409) (0.318 COMP305) (0.295 COMP2410) (0.289 COMP2407) (0.185 COMP984) (0.172 COMP697/COMP889) (0.141 COMP2408)
Age-related macular degeneration treatment	0.253	COMP1082	(0.165 COMP697/COMP889)
Alzheimer's disease treatment	0.653	COMP2410	(0.648 COMP2407) (0.575 COMP46) (0.557 COMP348) (0.539 COMP1413) (0.504 COMP191) (0.502 COMP48) (0.499 COMP305) (0.496 COMP2402) (0.493 COMP2411) (0.490 COMP2400) (0.466 COMP2405) (0.451 COMP49) (0.449 COMP198) (0.447 COMP2399) (0.444 COMP2404) (0.421 COMP310) (0.409 COMP2403) (0.313 COMP2401) (0.288 COMP2409)
Amyotrophic lateral sclerosis treatment	0.400	COMP1413	(0.275 COMP2411) (0.245 COMP1082) (0.199 COMP984) (0.190 COMP2399) (0.182 COMP2404) (0.180 COMP49) (0.177 COMP2408) (0.172 COMP48)
Anabolic	0.187	COMP1413	(0.185 COMP2409) (0.159 COMP2405) (0.154 COMP697/COMP889) (0.152 COMP984) (0.149 COMP198) (0.147 COMP191) (0.143 COMP2399) (0.139 COMP2404) (0.135 COMP2408/COMP49) (0.134 COMP2406) (0.133 COMP48) (0.120 COMP1082) (0.113 COMP2411) (0.103 COMP2403) (0.089 COMP310) (0.086 COMP2402)
Analeptic	0.793	COMP2406	(0.586 COMP2410) (0.572 COMP2402) (0.554 COMP2401) (0.545 COMP305) (0.541 COMP2407) (0.522 COMP310) (0.467 COMP2405) (0.462 COMP1413) (0.452 COMP984) (0.429 COMP2411) (0.427 COMP2403) (0.417 COMP348) (0.407 COMP1082/COMP46) (0.357 COMP697/COMP889) (0.320 COMP198) (0.313 COMP191/COMP2409) (0.311 COMP2404) (0.310 COMP2400) (0.297 COMP49) (0.290 COMP48) (0.274 COMP2399) (0.212 COMP2408)
Analgesic. non-opioid	0.237	COMP1082	
Analgesic. opioid	0.090	COMP984	(0.084 COMP2405) (0.069 COMP2404)
Andropause treatment	0.094	COMP2406	(0.084 COMP984) (0.077 COMP1413)
Anesthetic	0.465	COMP1413	(0.331 COMP2409) (0.264 COMP984) (0.244 COMP2408) (0.202 COMP697/COMP889)
Anesthetic general	0.604	COMP984	(0.601 COMP2406) (0.562 COMP1413) (0.492 COMP697/COMP889) (0.322 COMP2409) (0.297 COMP2407) (0.284 COMP2403) (0.266 COMP2401) (0.264 COMP2410) (0.263 COMP1082) (0.236 COMP2408) (0.233 COMP2402) (0.203 COMP305) (0.199 COMP310) (0.169 COMP348) (0.152 COMP2404) (0.149 COMP198/COMP2399) (0.145 COMP46)
Anesthetic inhalation	0.096	COMP984	(0.058 COMP2406) (0.057 COMP1082) (0.053 COMP198) (0.051 COMP1413) (0.050 COMP697/COMP889) (0.049 COMP2399/COMP2404/COMP2411)
Anesthetic local	0.158	COMP984	(0.101 COMP697/COMP889)
Angiogenesis inhibitor	0.428	COMP2405	(0.370 COMP2411) (0.320 COMP310) (0.286 COMP2410) (0.277 COMP46) (0.275 COMP2407) (0.270 COMP2401) (0.254 COMP348) (0.251 COMP191) (0.237 COMP2400) (0.235 COMP2403) (0.234 COMP2399) (0.233 COMP2406) (0.228 COMP48) (0.215 COMP2402) (0.209 COMP198) (0.208 COMP2404) (0.205 COMP305) (0.191 COMP49)
Angiogenesis stimulant	0.787	COMP2402	(0.784 COMP310) (0.773 COMP2406/COMP305) (0.772 COMP2401) (0.771 COMP348) (0.763 COMP46) (0.754 COMP2403) (0.676 COMP2410) (0.670 COMP2407) (0.411 COMP2404) (0.405 COMP2405) (0.398 COMP48) (0.397 COMP2399) (0.394 COMP49) (0.361 COMP191) (0.354 COMP198) (0.343 COMP697/COMP889) (0.334 COMP2400) (0.331 COMP984) (0.317 COMP2408) (0.309 COMP1413) (0.266 COMP2409)
Ankylosing spondylitis treatment	0.069	COMP1082	
Antiacne	0.527	COMP1413	(0.435 COMP2408) (0.380 COMP2409) (0.354 COMP697/COMP889) (0.317 COMP1082) (0.238 COMP2411) (0.227 COMP2406) (0.196 COMP2403/COMP2405) (0.180 COMP2401) (0.166 COMP348) (0.153 COMP46) (0.151 COMP310) (0.127 COMP305) (0.124 COMP2402) (0.111 COMP984)
Antialcoholic	0.372	COMP2405	(0.270 COMP1082) (0.256 COMP2402) (0.251 COMP305) (0.247 COMP310) (0.240 COMP984) (0.231 COMP191) (0.228 COMP198/COMP2404) (0.225 COMP48) (0.222 COMP49) (0.221 COMP2399) (0.184 COMP2406) (0.179 COMP697/COMP889) (0.178 COMP2410) (0.162 COMP2407) (0.155 COMP1413)
Antiallergic	0.430	COMP697/COMP889	(0.396 COMP2403) (0.324 COMP2401) (0.298 COMP1082) (0.265 COMP2405) (0.258 COMP2407) (0.256 COMP2399) (0.249 COMP2410) (0.243 COMP984) (0.236 COMP48) (0.196 COMP49) (0.188 COMP2404)
Antiamyloidogenic	0.753	COMP46	(0.751 COMP2405) (0.704 COMP348) (0.685 COMP2410) (0.626 COMP2407) (0.615 COMP305) (0.610 COMP2402) (0.595 COMP310) (0.573 COMP2400) (0.572 COMP191) (0.533 COMP2403) (0.519 COMP48) (0.511 COMP198) (0.469 COMP2401) (0.449 COMP49) (0.444 COMP2404) (0.442 COMP2399) (0.398 COMP697/COMP889) (0.251 COMP984) (0.192 COMP1082) (0.178 COMP2406)
Antianemic	0.343	COMP1082	(0.253 COMP697/COMP889) (0.197 COMP984) (0.166 COMP2399) (0.157 COMP2404) (0.135 COMP48) (0.129 COMP49) (0.123 COMP191) (0.117 COMP198)
Antianginal	0.127	COMP984	
Antianorexic	0.173	COMP984	(0.163 COMP1082)
Antiarrhythmic	0.171	COMP2405	(0.140 COMP2411)
Antiarthritic	0.461	COMP348	(0.455 COMP46) (0.443 COMP2403/COMP2407) (0.432 COMP2402) (0.430 COMP2401) (0.420 COMP2410) (0.404 COMP305) (0.345 COMP310) (0.335 COMP984) (0.303 COMP697/COMP889) (0.301 COMP1082)
Antiasthmatic	0.235	COMP1082	
Antibacterial	0.809	COMP2401	(0.791 COMP46) (0.788 COMP348) (0.754 COMP2403) (0.751 COMP2402) (0.744 COMP305) (0.720 COMP310) (0.702 COMP2410) (0.691 COMP2407) (0.678 COMP2406) (0.538 COMP2409) (0.535 COMP2408) (0.532 COMP2400) (0.519 COMP2404) (0.512 COMP48) (0.507 COMP2399) (0.506 COMP2405) (0.505 COMP49) (0.503 COMP2411) (0.487 COMP191) (0.479 COMP198) (0.473 COMP1413) (0.419 COMP697/COMP889) (0.369 COMP1082) (0.306 COMP984)
Antibiotic	0.327	COMP2401	(0.279 COMP46) (0.278 COMP348) (0.251 COMP2406) (0.249 COMP2402) (0.248 COMP2403) (0.229 COMP305) (0.224 COMP310) (0.217 COMP2410) (0.211 COMP2407) (0.168 COMP2408) (0.117 COMP2405) (0.108 COMP1413) (0.104 COMP2411) (0.097 COMP2409) (0.096 COMP2404) (0.095 COMP697/COMP889) (0.092 COMP2399) (0.085 COMP191/COMP198) (0.084 COMP48) (0.083 COMP49) (0.076 COMP1082) (0.075 COMP984) (0.066 COMP2400)
Antibiotic Aminoglycoside-like	0.112	COMP2401	(0.111 COMP2406) (0.103 COMP310) (0.100 COMP2402/COMP2407) (0.099 COMP305) (0.096 COMP2410) (0.091 COMP348) (0.087 COMP46) (0.086 COMP2403) (0.036 COMP2400)
Antibiotic Anthracycline-like	0.041	COMP2403	(0.039 COMP2401) (0.037 COMP348) (0.036 COMP2406) (0.032 COMP2402/COMP310) (0.031 COMP46/COMP984) (0.030 COMP305) (0.026 COMP2407/COMP2410) (0.022 COMP198) (0.020 COMP2404) (0.019 COMP191/COMP2399/COMP49) (0.018 COMP697/COMP889)
Antibiotic Glycopeptide-like	0.224	COMP310	(0.223 COMP2401) (0.219 COMP305) (0.218 COMP2402) (0.217 COMP2403) (0.211 COMP348) (0.208 COMP46) (0.193 COMP2407) (0.188 COMP2410) (0.183 COMP2406) (0.086 COMP198) (0.084 COMP191) (0.069 COMP48/COMP49) (0.059 COMP2404) (0.054 COMP2399) (0.049 COMP2400) (0.046 COMP2405)
Antibiotic Macrolide-like	0.024	COMP2401/COMP2403/COMP348	(0.023 COMP46) (0.018 COMP2406) (0.014 COMP2407) (0.013 COMP2410) (0.012 COMP2402/COMP310)
Antibiotic Naphthyridine-like	0.041	COMP1082	
Antibiotic Quinolone-like	0.029	COMP1082	
Antibiotic Tetracycline-like	0.017	COMP198/COMP2399/COMP2404	(0.016 COMP191/COMP2403/COMP49) (0.015 COMP48)
Anticataract	0.345	COMP1413	(0.225 COMP310) (0.213 COMP305) (0.210 COMP2402) (0.194 COMP2403) (0.174 COMP2401) (0.166 COMP198) (0.150 COMP191) (0.139 COMP2409) (0.136 COMP49) (0.133 COMP2404/COMP2408) (0.129 COMP697/COMP889) (0.124 COMP48) (0.123 COMP2399) (0.104 COMP348) (0.095 COMP1082/COMP46) (0.086 COMP984)
Anticholelithogenic	0.199	COMP1413	(0.182 COMP2409) (0.159 COMP2408) (0.153 COMP697/COMP889) (0.108 COMP984) (0.106 COMP198) (0.102 COMP191) (0.099 COMP1082) (0.086 COMP2404) (0.078 COMP2399) (0.077 COMP49) (0.075 COMP2405) (0.074 COMP48) (0.065 COMP310)
Anticoagulant	0.127	COMP2401	
Antidiabetic	0.879	COMP2407	(0.876 COMP2402) (0.872 COMP305) (0.870 COMP2410) (0.863 COMP310) (0.836 COMP2406) (0.832 COMP348) (0.825 COMP46) (0.813 COMP2401) (0.773 COMP2403) (0.698 COMP2405) (0.610 COMP1413) (0.548 COMP697/COMP889) (0.530 COMP1082) (0.488 COMP2400) (0.487 COMP984) (0.465 COMP48) (0.463 COMP2409) (0.461 COMP49) (0.460 COMP2404) (0.452 COMP2399) (0.439 COMP2411) (0.430 COMP191) (0.423 COMP198) (0.351 COMP2408)
Antidiabetic (type 1)	0.320	COMP2406	(0.247 COMP1082) (0.228 COMP2407) (0.194 COMP2402/COMP310) (0.181 COMP2410) (0.177 COMP305) (0.157 COMP2400) (0.138 COMP697/COMP889)
Antidiabetic (type 2)	0.589	COMP2406	(0.552 COMP2407) (0.520 COMP2410) (0.495 COMP310) (0.456 COMP1413) (0.445 COMP305) (0.440 COMP2402) (0.436 COMP1082) (0.420 COMP2405) (0.414 COMP2409) (0.365 COMP348) (0.361 COMP2401) (0.352 COMP46) (0.323 COMP697/COMP889) (0.294 COMP2403) (0.248 COMP2411) (0.238 COMP984) (0.193 COMP2408)
Antidiabetic symptomatic	0.536	COMP2410	(0.535 COMP2407) (0.527 COMP2411) (0.468 COMP310) (0.463 COMP2402) (0.461 COMP46) (0.459 COMP348) (0.457 COMP305) (0.433 COMP2405) (0.413 COMP697/COMP889) (0.378 COMP2403) (0.368 COMP191) (0.355 COMP198) (0.350 COMP2401) (0.332 COMP1082) (0.290 COMP48) (0.288 COMP1413) (0.273 COMP2404) (0.270 COMP2399) (0.266 COMP49) (0.252 COMP2400) (0.225 COMP984) (0.170 COMP2406)
Antidiarrheal	0.389	COMP2407	(0.376 COMP2410) (0.324 COMP984) (0.296 COMP2401) (0.286 COMP2402) (0.268 COMP2403/COMP310) (0.263 COMP2400) (0.261 COMP46) (0.258 COMP305) (0.257 COMP348) (0.216 COMP697/COMP889) (0.192 COMP2406) (0.191 COMP2404) (0.184 COMP191) (0.183 COMP2399) (0.178 COMP2405) (0.176 COMP2409) (0.172 COMP1082) (0.169 COMP198) (0.166 COMP48) (0.156 COMP2408) (0.152 COMP49) (0.150 COMP1413)
Antidote	0.765	COMP46	(0.745 COMP348) (0.691 COMP2402) (0.682 COMP305) (0.565 COMP2401) (0.519 COMP310) (0.489 COMP2403) (0.473 COMP697/COMP889) (0.447 COMP2405) (0.434 COMP48) (0.419 COMP2404) (0.412 COMP2399/COMP2400) (0.405 COMP49) (0.376 COMP191) (0.349 COMP198) (0.273 COMP984) (0.265 COMP2406) (0.240 COMP1082) (0.191 COMP2410) (0.175 COMP2407)
Antidote. heavy metal	0.191	COMP2404	(0.184 COMP2399) (0.183 COMP198) (0.181 COMP191) (0.177 COMP49) (0.174 COMP48) (0.149 COMP1082) (0.143 COMP984) (0.120 COMP2402) (0.108 COMP305) (0.105 COMP310) (0.099 COMP697/COMP889) (0.073 COMP2406) (0.071 COMP2401) (0.070 COMP2400) (0.065 COMP2403) (0.058 COMP348) (0.057 COMP46)
Antidote. mercury	0.238	COMP1082	(0.187 COMP984) (0.172 COMP697/COMP889) (0.152 COMP198) (0.140 COMP2399/COMP2404) (0.129 COMP191/COMP49) (0.109 COMP48)
Antidote. organophosphates	0.128	COMP1082	(0.118 COMP984) (0.097 COMP697/COMP889) (0.089 COMP2399) (0.088 COMP198) (0.084 COMP191) (0.083 COMP2404) (0.079 COMP49) (0.076 COMP48)
Antieczematic	0.255	COMP697/COMP889	(0.181 COMP1082) (0.147 COMP984) (0.126 COMP1413)
Antieczematic atopic	0.297	COMP1413	(0.189 COMP697/COMP889) (0.183 COMP1082) (0.146 COMP2411)
Antifibrinolytic	0.117	COMP1082	
Antifungal	0.604	COMP348	(0.597 COMP46) (0.594 COMP2401) (0.588 COMP2403) (0.560 COMP1413/COMP2406) (0.558 COMP2402) (0.556 COMP2409) (0.553 COMP305) (0.549 COMP310) (0.545 COMP2408) (0.492 COMP2407/COMP2410) (0.486 COMP2411) (0.413 COMP2405) (0.408 COMP2404) (0.401 COMP49) (0.394 COMP198) (0.391 COMP48) (0.389 COMP2399) (0.383 COMP191) (0.356 COMP2400) (0.328 COMP697/COMP889) (0.193 COMP984)
Antifungal (Aspergillus)	0.116	COMP191/COMP198	(0.112 COMP697/COMP889) (0.108 COMP2404/COMP984) (0.107 COMP1082) (0.105 COMP2399) (0.103 COMP2411/COMP48/COMP49)
Antifungal (Candida)	0.141	COMP2411	(0.121 COMP697/COMP889) (0.116 COMP984) (0.108 COMP1082)
Antifungal (Cryptococcus)	0.354	COMP348	(0.337 COMP2408) (0.333 COMP46) (0.299 COMP2406) (0.274 COMP2403) (0.256 COMP310) (0.242 COMP2401) (0.237 COMP305) (0.233 COMP2402) (0.196 COMP2407) (0.189 COMP2410) (0.182 COMP697/COMP889) (0.168 COMP1082) (0.164 COMP2409) (0.154 COMP984) (0.151 COMP198) (0.141 COMP2411) (0.138 COMP191) (0.136 COMP1413) (0.133 COMP49) (0.123 COMP2404/COMP48)
Antifungal (Pneumocystis)	0.226	COMP1082	(0.183 COMP984) (0.169 COMP697/COMP889) (0.146 COMP2399/COMP2404) (0.140 COMP198/COMP49) (0.127 COMP191/COMP48) (0.124 COMP2407/COMP2411) (0.120 COMP2403) (0.119 COMP2410) (0.117 COMP2402) (0.111 COMP305) (0.108 COMP2401) (0.106 COMP310)
Antifungal enhancer	0.533	COMP310	(0.526 COMP2406) (0.524 COMP2402) (0.521 COMP2401) (0.495 COMP2410) (0.466 COMP46) (0.459 COMP2403) (0.432 COMP2407) (0.431 COMP305) (0.404 COMP348) (0.301 COMP191) (0.283 COMP697/COMP889) (0.275 COMP198/COMP2411) (0.274 COMP2405) (0.245 COMP2404) (0.237 COMP2399) (0.236 COMP1413) (0.220 COMP48) (0.218 COMP2409) (0.212 COMP984) (0.197 COMP49) (0.140 COMP2408) (0.131 COMP2400)
Antiglaucomic	0.512	COMP2411	(0.376 COMP984) (0.328 COMP697/COMP889)
Antihelmintic	0.733	COMP2401	(0.727 COMP348/COMP46) (0.715 COMP2403) (0.657 COMP310) (0.654 COMP305) (0.652 COMP2402) (0.635 COMP2406) (0.563 COMP2410) (0.516 COMP2407) (0.473 COMP48) (0.471 COMP49) (0.464 COMP2404) (0.447 COMP2399) (0.379 COMP1413) (0.372 COMP191) (0.371 COMP198) (0.341 COMP2411) (0.330 COMP2405) (0.303 COMP697/COMP889) (0.267 COMP984) (0.243 COMP2408/COMP2409) (0.236 COMP2400)
Antihelmintic (Fasciola)	0.204	COMP697/COMP889	(0.183 COMP984) (0.178 COMP198) (0.164 COMP2399/COMP2404) (0.151 COMP191/COMP49) (0.134 COMP1082) (0.126 COMP48)
Antihelmintic (Nematodes)	0.366	COMP697/COMP889	(0.361 COMP2406) (0.357 COMP310) (0.347 COMP348) (0.334 COMP46) (0.317 COMP2401) (0.300 COMP2407) (0.293 COMP2405) (0.291 COMP2410) (0.287 COMP2402) (0.280 COMP305) (0.259 COMP198/COMP2403) (0.256 COMP984) (0.241 COMP191) (0.188 COMP2404) (0.181 COMP49) (0.178 COMP2399) (0.166 COMP48) (0.125 COMP1082)
Antihelmintic (Trematoda)	0.794	COMP48	(0.696 COMP49) (0.645 COMP2404) (0.627 COMP2399) (0.604 COMP191) (0.554 COMP2403) (0.547 COMP305) (0.524 COMP310) (0.511 COMP198) (0.509 COMP2402) (0.476 COMP46) (0.450 COMP2401) (0.387 COMP348) (0.202 COMP2400) (0.173 COMP984) (0.169 COMP697/COMP889) (0.136 COMP2405) (0.131 COMP2410) (0.120 COMP1082) (0.110 COMP2407)
Antihemophilic	0.100	COMP1082	(0.070 COMP984)
Antihemorrhagic	0.944	COMP348	(0.942 COMP46) (0.897 COMP2402) (0.895 COMP305) (0.858 COMP2403) (0.790 COMP2401) (0.728 COMP310) (0.678 COMP48) (0.669 COMP49) (0.666 COMP2404) (0.659 COMP2399) (0.590 COMP191) (0.573 COMP198) (0.546 COMP2411) (0.513 COMP2407) (0.501 COMP2406) (0.500 COMP2405) (0.498 COMP2400/COMP2410) (0.182 COMP984) (0.178 COMP697/COMP889) (0.177 COMP1413) (0.140 COMP2409) (0.109 COMP2408)
Antihypercholesterolemic	0.964	COMP1413	(0.931 COMP310) (0.919 COMP46) (0.912 COMP348) (0.905 COMP2407) (0.893 COMP2410) (0.886 COMP305) (0.878 COMP2402) (0.871 COMP2401) (0.851 COMP2409) (0.830 COMP2406) (0.810 COMP2403) (0.752 COMP2400) (0.732 COMP2408) (0.721 COMP2405) (0.663 COMP697/COMP889) (0.645 COMP191) (0.617 COMP198) (0.589 COMP2411) (0.557 COMP1082) (0.508 COMP48) (0.483 COMP49) (0.466 COMP2404) (0.452 COMP2399) (0.442 COMP984)
Antihyperlipoproteinemic	0.501	COMP1413	(0.497 COMP1082) (0.410 COMP2409) (0.331 COMP984) (0.300 COMP697/COMP889) (0.261 COMP198) (0.222 COMP191) (0.165 COMP2408) (0.163 COMP310) (0.156 COMP49) (0.155 COMP2405) (0.138 COMP48) (0.134 COMP2404) (0.125 COMP2399) (0.113 COMP2406)
Antihypermotility	0.107	COMP984	
Antihypertensive	0.533	COMP2409	(0.445 COMP1413) (0.327 COMP2408) (0.281 COMP1082) (0.215 COMP984)
Antihypertriglyceridemic	0.737	COMP348/COMP46	(0.729 COMP2402) (0.717 COMP305) (0.685 COMP2401) (0.681 COMP2405) (0.677 COMP2403) (0.674 COMP2404) (0.665 COMP2400) (0.663 COMP48) (0.657 COMP49) (0.653 COMP2399) (0.622 COMP310) (0.576 COMP697/COMP889) (0.554 COMP191) (0.539 COMP198) (0.509 COMP2406/COMP2410) (0.498 COMP2407) (0.458 COMP2411) (0.429 COMP984) (0.411 COMP1413) (0.362 COMP1082) (0.211 COMP2408) (0.187 COMP2409)
Antihypotensive	0.876	COMP46	(0.866 COMP348) (0.816 COMP2402) (0.801 COMP305) (0.708 COMP2403) (0.618 COMP2401) (0.585 COMP310) (0.488 COMP48) (0.478 COMP2404) (0.462 COMP2399) (0.459 COMP49) (0.446 COMP191) (0.421 COMP2407) (0.417 COMP198) (0.412 COMP2400) (0.410 COMP2410) (0.377 COMP2406) (0.367 COMP2405) (0.364 COMP984) (0.329 COMP697/COMP889) (0.269 COMP2411) (0.243 COMP1082) (0.189 COMP1413)
Antihypoxic	0.941	COMP46	(0.939 COMP348) (0.928 COMP2402/COMP305) (0.924 COMP2401) (0.914 COMP310) (0.889 COMP2403) (0.816 COMP2406) (0.683 COMP697/COMP889) (0.662 COMP2410) (0.655 COMP191) (0.646 COMP48) (0.639 COMP2399) (0.632 COMP198) (0.623 COMP2404/COMP49) (0.609 COMP2407) (0.500 COMP2400) (0.388 COMP2405) (0.369 COMP984) (0.327 COMP1082) (0.272 COMP2411)
Antiinfertility. female	0.466	COMP1413	(0.200 COMP2409) (0.148 COMP2408) (0.140 COMP2411) (0.126 COMP984)
Antiinflammatory	0.915	COMP2406	(0.895 COMP1413) (0.883 COMP2407) (0.882 COMP2410) (0.872 COMP2409) (0.868 COMP2401) (0.866 COMP46) (0.865 COMP2402/COMP348) (0.861 COMP2403) (0.857 COMP2408/COMP305) (0.841 COMP310) (0.812 COMP2400) (0.776 COMP2411) (0.745 COMP2399) (0.742 COMP2404/COMP48) (0.732 COMP2405) (0.724 COMP49) (0.696 COMP191) (0.666 COMP198) (0.622 COMP697/COMP889) (0.390 COMP1082) (0.351 COMP984)
Antiischemic	0.473	COMP305	(0.471 COMP2402) (0.452 COMP2401) (0.435 COMP348) (0.431 COMP46) (0.426 COMP310) (0.424 COMP2407) (0.414 COMP2410) (0.403 COMP2403) (0.326 COMP48) (0.325 COMP49) (0.314 COMP2404) (0.304 COMP2399) (0.301 COMP2405/COMP697/COMP889) (0.289 COMP2400) (0.263 COMP984) (0.260 COMP2406) (0.223 COMP2411) (0.212 COMP191) (0.201 COMP198)
