Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.039	COMP296	(0.038 COMP299) (0.036 COMP55)
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.016	COMP9	(0.012 COMP55)
1.3-Beta-glucan synthase inhibitor	0.032	COMP220/COMP301	(0.031 COMP293)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.044	COMP165	(0.027 COMP9)
12-Lipoxygenase inhibitor	0.869	COMP298/COMP48	(0.595 COMP294) (0.322 COMP9) (0.297 COMP302) (0.262 COMP299) (0.224 COMP296) (0.194 COMP301)
15-Lipoxygenase inhibitor	0.869	COMP48	(0.783 COMP294) (0.770 COMP298) (0.635 COMP299) (0.631 COMP296) (0.380 COMP302) (0.280 COMP9) (0.216 COMP295)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.209	COMP296	(0.197 COMP302) (0.157 COMP299) (0.046 COMP9) (0.045 COMP297) (0.036 COMP165/COMP295) (0.035 COMP155/COMP300)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.067	COMP48/COMP9	(0.063 COMP295) (0.060 COMP55) (0.050 COMP294) (0.048 COMP155)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.057	COMP55	(0.056 COMP9) (0.047 COMP294) (0.041 COMP296)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.603	COMP48	(0.471 COMP301) (0.255 COMP298) (0.232 COMP293) (0.114 COMP302) (0.112 COMP220) (0.105 COMP296) (0.102 COMP294) (0.089 COMP299/COMP9) (0.078 COMP55)
3C-Like protease (SARS coronavirus) inhibitor	0.109	COMP48	(0.080 COMP294) (0.078 COMP9)
3C-like protease (Human coronavirus) inhibitor	0.272	COMP9	(0.266 COMP294) (0.174 COMP295) (0.146 COMP298) (0.142 COMP48)
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.026	COMP295	
5 Hydroxytryptamine 1E antagonist	0.255	COMP9	(0.210 COMP48) (0.208 COMP302) (0.202 COMP298) (0.175 COMP295)
5 Hydroxytryptamine 2 agonist	0.054	COMP9	
5 Hydroxytryptamine 2B agonist	0.049	COMP9	
5 Hydroxytryptamine 3 agonist	0.060	COMP9	
5 Hydroxytryptamine 3A agonist	0.143	COMP9	
5 Hydroxytryptamine 3E antagonist	0.237	COMP9	(0.185 COMP155) (0.180 COMP296/COMP302) (0.178 COMP55) (0.169 COMP299)
5 Hydroxytryptamine 7 agonist	0.113	COMP9	
5 Hydroxytryptamine release inhibitor	0.573	COMP48	(0.563 COMP294) (0.556 COMP220) (0.545 COMP293) (0.541 COMP301) (0.536 COMP298) (0.471 COMP55) (0.455 COMP9) (0.360 COMP296/COMP299) (0.311 COMP155)
5 Hydroxytryptamine release stimulant	0.605	COMP220	(0.550 COMP301) (0.452 COMP9) (0.439 COMP302) (0.387 COMP294) (0.366 COMP293) (0.364 COMP296) (0.363 COMP299) (0.302 COMP55) (0.298 COMP48) (0.291 COMP298) (0.279 COMP295) (0.270 COMP297) (0.237 COMP155) (0.185 COMP165) (0.164 COMP300)
5 Hydroxytryptamine uptake stimulant	0.619	COMP294	(0.478 COMP295) (0.469 COMP297) (0.460 COMP48) (0.450 COMP298) (0.441 COMP55) (0.382 COMP9) (0.374 COMP220) (0.297 COMP302) (0.289 COMP300) (0.280 COMP155) (0.260 COMP165) (0.229 COMP296) (0.202 COMP299)
5-Alpha-reductase 1 inhibitor	0.077	COMP300	(0.047 COMP165/COMP295) (0.023 COMP9)
5-Alpha-reductase 2 inhibitor	0.068	COMP300	(0.053 COMP165) (0.024 COMP9) (0.019 COMP295/COMP55)
5-Alpha-reductase inhibitor	0.246	COMP165	(0.211 COMP295) (0.175 COMP300) (0.126 COMP297) (0.073 COMP9) (0.046 COMP155) (0.040 COMP55)
5-Lipoxygenase inhibitor	0.454	COMP48	(0.394 COMP298) (0.319 COMP294) (0.308 COMP299) (0.269 COMP302) (0.259 COMP296) (0.104 COMP9) (0.081 COMP293)
ABCA1 expression enhancer	0.231	COMP55	(0.180 COMP155) (0.174 COMP9) (0.141 COMP48) (0.124 COMP297) (0.093 COMP298)
AICAR transformylase inhibitor	0.077	COMP55	(0.060 COMP9)
AMP-activated protein kinase stimulant	0.567	COMP301	(0.408 COMP220) (0.337 COMP293) (0.304 COMP48) (0.277 COMP298) (0.161 COMP297) (0.148 COMP294) (0.120 COMP295) (0.116 COMP296) (0.092 COMP55)
AMPA 4 receptor antagonist	0.049	COMP9	(0.047 COMP55)
AMPA receptor agonist	0.058	COMP9	
AR expression inhibitor	0.937	COMP48	(0.853 COMP298) (0.771 COMP301) (0.731 COMP302) (0.725 COMP293) (0.706 COMP296) (0.690 COMP294) (0.653 COMP299) (0.575 COMP297) (0.554 COMP220) (0.440 COMP295) (0.411 COMP55) (0.408 COMP165) (0.227 COMP300) (0.222 COMP9) (0.181 COMP155)
ATP citrate lysase inhibitor	0.265	COMP55	(0.068 COMP48) (0.052 COMP9) (0.040 COMP155) (0.039 COMP298) (0.035 COMP294) (0.032 COMP297) (0.030 COMP165)
ATPase (Vacuolar H+) inhibitor	0.209	COMP155	(0.165 COMP297) (0.151 COMP220) (0.141 COMP294) (0.133 COMP300) (0.131 COMP293) (0.130 COMP9) (0.125 COMP301) (0.120 COMP295) (0.107 COMP299) (0.096 COMP296)
ATPase inhibitor	0.373	COMP220	(0.337 COMP297) (0.292 COMP9) (0.286 COMP295) (0.282 COMP293) (0.257 COMP155) (0.248 COMP301) (0.240 COMP294) (0.224 COMP299) (0.182 COMP296) (0.180 COMP302) (0.165 COMP300) (0.163 COMP55) (0.154 COMP165) (0.135 COMP48)
Abortion inducer	0.532	COMP296	(0.462 COMP299) (0.454 COMP295) (0.432 COMP55) (0.416 COMP165) (0.410 COMP302) (0.400 COMP297) (0.294 COMP300) (0.232 COMP9) (0.204 COMP155) (0.201 COMP48) (0.188 COMP294) (0.182 COMP298)
Acaricide	0.637	COMP9	(0.411 COMP297) (0.380 COMP300) (0.379 COMP155) (0.265 COMP55) (0.255 COMP295) (0.200 COMP296) (0.192 COMP299) (0.163 COMP294) (0.152 COMP220) (0.143 COMP165) (0.123 COMP48) (0.117 COMP302)
Acetyl-CoA transferase 1 inhibitor	0.251	COMP9	
Acetyl-CoA transferase 2 inhibitor	0.072	COMP299	(0.062 COMP9) (0.053 COMP293)
Acetyl-CoA transferase inhibitor	0.366	COMP9	(0.103 COMP299) (0.049 COMP296)
Acetylcholine M1 receptor antagonist	0.174	COMP297	(0.145 COMP299) (0.134 COMP295) (0.133 COMP296) (0.118 COMP9)
Acetylcholine M2 receptor agonist	0.051	COMP299	
Acetylcholine M4 receptor antagonist	0.065	COMP9	
Acetylcholine M5 receptor agonist	0.108	COMP9	
Acetylcholine antagonist	0.115	COMP155	
Acetylcholine muscarinic agonist	0.051	COMP9	
Acetylcholine nicotinic agonist	0.080	COMP55	
Acetylcholine nicotinic antagonist	0.123	COMP155	(0.081 COMP297) (0.074 COMP295) (0.073 COMP9)
Acetylcholine release stimulant	0.145	COMP9	(0.116 COMP299)
Acetylcholinesterase inhibitor	0.457	COMP48	(0.452 COMP294) (0.439 COMP298) (0.251 COMP155) (0.231 COMP301) (0.211 COMP300) (0.209 COMP293) (0.181 COMP220)
Acid ceramidase inhibitor	0.027	COMP9	
Aconitate hydratase inhibitor	0.862	COMP55	(0.095 COMP296) (0.086 COMP9) (0.069 COMP299) (0.062 COMP302) (0.056 COMP155) (0.053 COMP300) (0.047 COMP294)
Actinic keratosis treatment	0.393	COMP297	(0.256 COMP165) (0.241 COMP295) (0.218 COMP9) (0.176 COMP55) (0.155 COMP155) (0.145 COMP293/COMP300) (0.143 COMP48) (0.112 COMP299) (0.111 COMP301) (0.095 COMP220) (0.088 COMP298) (0.087 COMP296)
Acute neurologic disorders treatment	0.430	COMP299	(0.372 COMP296)
Acute respiratory distress syndrome (ARDS) treatment	0.349	COMP220	(0.315 COMP293) (0.298 COMP301) (0.218 COMP55) (0.166 COMP9)
Acyl-CoA dehydrogenase inhibitor	0.189	COMP55	(0.149 COMP296) (0.124 COMP302) (0.104 COMP299) (0.092 COMP9) (0.068 COMP297)
Adenine nucleotide translocase inhibitor	0.070	COMP220	(0.060 COMP301) (0.054 COMP55) (0.053 COMP293)
Adenosine A1 receptor agonist	0.027	COMP220	(0.024 COMP301)
Adenosine A3 receptor antagonist	0.077	COMP48	(0.071 COMP298)
Adenosine deaminase inhibitor	0.074	COMP301	(0.064 COMP48) (0.063 COMP55) (0.058 COMP220) (0.055 COMP293) (0.050 COMP296)
Adenosine uptake inhibitor	0.050	COMP300	(0.046 COMP295) (0.040 COMP9) (0.039 COMP297)
Adenylate cyclase 1 inhibitor	0.080	COMP9	(0.064 COMP297) (0.053 COMP302/COMP55) (0.048 COMP295) (0.043 COMP155)
Adenylate cyclase inhibitor	0.163	COMP220	(0.147 COMP55) (0.136 COMP301/COMP9) (0.127 COMP293)
Adenylate cyclase stimulant	0.218	COMP55	(0.198 COMP302) (0.185 COMP296) (0.183 COMP297) (0.181 COMP220) (0.180 COMP299) (0.172 COMP9) (0.168 COMP48) (0.165 COMP301) (0.163 COMP155) (0.160 COMP165) (0.158 COMP295) (0.154 COMP294) (0.145 COMP298) (0.143 COMP293) (0.140 COMP300)
Adenylate kinase inhibitor	0.324	COMP55	(0.199 COMP296) (0.181 COMP302) (0.153 COMP299) (0.148 COMP9) (0.132 COMP297) (0.096 COMP220) (0.095 COMP295) (0.091 COMP294)
Age-related macular degeneration treatment	0.263	COMP9	
Alcohol dehydrogenase inhibitor	0.491	COMP301	(0.435 COMP48) (0.390 COMP293) (0.202 COMP220) (0.201 COMP298) (0.154 COMP55) (0.143 COMP294) (0.089 COMP9)
Alcohol dehydrogenase substrate	0.792	COMP296	(0.481 COMP295) (0.474 COMP297) (0.387 COMP299) (0.371 COMP302) (0.183 COMP55) (0.124 COMP155) (0.109 COMP220) (0.106 COMP300)
Alcohol oxidase inhibitor	0.493	COMP55	(0.182 COMP296) (0.103 COMP9) (0.096 COMP299) (0.083 COMP48) (0.073 COMP294) (0.053 COMP297) (0.049 COMP302)
Aldehyde dehydrogenase inhibitor	0.587	COMP220	(0.448 COMP301) (0.396 COMP293) (0.283 COMP48) (0.187 COMP298/COMP299) (0.176 COMP294/COMP55) (0.172 COMP9) (0.164 COMP296) (0.115 COMP155) (0.112 COMP302)
Aldehyde dehydrogenase substrate	0.314	COMP295	(0.309 COMP297) (0.203 COMP296) (0.189 COMP55) (0.129 COMP302) (0.123 COMP299) (0.106 COMP220)
Aldehyde oxidase inhibitor	0.837	COMP48	(0.822 COMP298) (0.658 COMP294) (0.594 COMP55) (0.459 COMP296) (0.437 COMP9) (0.188 COMP299) (0.173 COMP301) (0.153 COMP295) (0.149 COMP155)
Aldehyde oxidase substrate	0.239	COMP9	(0.223 COMP55) (0.142 COMP298) (0.139 COMP48) (0.137 COMP294) (0.136 COMP299)
Aldose reductase inhibitor	0.440	COMP48	(0.359 COMP298) (0.352 COMP301) (0.329 COMP293) (0.217 COMP220) (0.211 COMP294) (0.155 COMP55)
Aldose reductase substrate	0.532	COMP220	(0.442 COMP301) (0.339 COMP293) (0.258 COMP55) (0.152 COMP296)
Aldosterone antagonist	0.094	COMP165	(0.087 COMP295) (0.069 COMP296) (0.055 COMP9) (0.050 COMP297/COMP55) (0.048 COMP302) (0.044 COMP299)
Alkaline phosphatase inhibitor	0.539	COMP298	(0.470 COMP301) (0.403 COMP48) (0.280 COMP293) (0.258 COMP294) (0.255 COMP220) (0.141 COMP9)
Alkylator	0.611	COMP293	(0.516 COMP301) (0.466 COMP220) (0.297 COMP299) (0.250 COMP296) (0.206 COMP298/COMP48) (0.198 COMP294) (0.162 COMP295) (0.154 COMP297) (0.125 COMP55) (0.116 COMP9) (0.114 COMP302) (0.101 COMP155)
Allergic rhinitis treatment	0.108	COMP55	
Alpha 1L adrenoreceptor agonist	0.120	COMP9	(0.064 COMP300)
Alpha 1L adrenoreceptor antagonist	0.057	COMP9	
Alpha 1d adrenoreceptor agonist	0.063	COMP9	
Alpha 2 adrenoreceptor agonist	0.056	COMP9	
Alpha 2a adrenoreceptor agonist	0.016	COMP9	
