Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.619	COMP294	(0.478 COMP295) (0.469 COMP297) (0.460 COMP48) (0.450 COMP298) (0.441 COMP55) (0.382 COMP9) (0.374 COMP220) (0.297 COMP302) (0.289 COMP300) (0.280 COMP155) (0.260 COMP165) (0.229 COMP296) (0.202 COMP299)
Adenosine uptake inhibitor	0.050	COMP300	(0.046 COMP295) (0.040 COMP9) (0.039 COMP297)
Antiviral (CMV)	0.151	COMP297	(0.130 COMP295) (0.106 COMP296)
Dopamine uptake inhibitor	0.056	COMP9	
Electron transport complex I inhibitor	0.419	COMP296	(0.260 COMP302) (0.255 COMP299) (0.220 COMP298) (0.195 COMP48) (0.166 COMP294) (0.139 COMP295) (0.122 COMP9) (0.116 COMP297)
Endocannabinoid uptake inhibitor	0.091	COMP296	(0.078 COMP302) (0.070 COMP299/COMP9)
Equilibrative nucleoside transport protein inhibitor	0.067	COMP220	(0.062 COMP301)
Excitatory amino acid transporter 1 inhibitor	0.022	COMP55	
Excitatory amino acid transporter 2 inhibitor	0.048	COMP55	
Excitatory amino acid transporter 3 inhibitor	0.030	COMP55	(0.026 COMP9)
Excitatory amino acid transporter EAAC1 inhibitor	0.435	COMP55	(0.205 COMP9) (0.161 COMP296) (0.121 COMP299) (0.112 COMP155) (0.110 COMP302) (0.099 COMP294)
Folate transporter 1 inhibitor	0.019	COMP55	
GABA transporter 1 inhibitor	0.017	COMP55	(0.015 COMP296)
GABA transporter 2 inhibitor	0.036	COMP55	
GABA transporter 3 inhibitor	0.057	COMP55	(0.031 COMP296)
GABA transporter inhibitor	0.027	COMP55	(0.020 COMP296)
GABA uptake inhibitor	0.078	COMP55	(0.054 COMP155) (0.045 COMP296) (0.043 COMP9) (0.035 COMP300)
Glycine transporter 2 inhibitor	0.092	COMP9	(0.042 COMP55)
Glycine transporter inhibitor	0.044	COMP9	
Ileal bile acid transport inhibitor	0.018	COMP9	(0.016 COMP55) (0.015 COMP220)
Multidrug resistance-associated protein 1 inhibitor	0.364	COMP48	(0.349 COMP298) (0.241 COMP294) (0.220 COMP301) (0.189 COMP293) (0.100 COMP220)
Nucleoside transporters inhibitor	0.079	COMP298	(0.062 COMP301) (0.053 COMP48) (0.045 COMP220) (0.036 COMP294)
P-glycoprotein inhibitor	0.615	COMP298	(0.606 COMP48) (0.469 COMP293) (0.436 COMP299) (0.422 COMP294) (0.388 COMP301) (0.315 COMP300) (0.249 COMP220) (0.237 COMP296) (0.230 COMP155) (0.166 COMP297) (0.163 COMP165)
Proline transporter inhibitor	0.015	COMP9	
Sodium-dependent vitamin C transporter 2 inhibitor	0.110	COMP55	(0.048 COMP294) (0.042 COMP9) (0.039 COMP296/COMP299) (0.031 COMP48)
Sodium/bile acid cotransporter inhibitor	0.411	COMP9	(0.400 COMP55) (0.363 COMP300) (0.266 COMP294) (0.249 COMP297) (0.210 COMP298) (0.209 COMP165) (0.204 COMP48)
Sodium/glucose cotransporter 1 inhibitor	0.135	COMP301	(0.108 COMP220) (0.083 COMP293) (0.040 COMP9)
Sodium/glucose cotransporter 2 inhibitor	0.133	COMP301	(0.129 COMP220) (0.110 COMP293) (0.046 COMP9) (0.026 COMP296) (0.024 COMP297)
Sodium/glucose cotransporter inhibitor	0.152	COMP301	(0.143 COMP220) (0.104 COMP293) (0.041 COMP9) (0.024 COMP297)
Sodium/hydrogen exchanger 3 inhibitor	0.012	COMP9	
Urate transporter 1 inhibitor	0.068	COMP9	(0.056 COMP55)
Vesicular glutamate transport inhibitor	0.029	COMP55	(0.020 COMP9)
