Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.412	COMP1254	(0.366 COMP501) (0.231 COMP55) (0.182 COMP683) (0.149 COMP984) (0.147 COMP724) (0.146 COMP131) (0.145 COMP49) (0.141 COMP48) (0.125 COMP2506/COMP2508) (0.113 COMP868) (0.103 COMP2509/COMP2510) (0.099 COMP6) (0.098 COMP153) (0.090 COMP141)
AR expression inhibitor	0.953	COMP724	(0.937 COMP48/COMP49) (0.856 COMP1254) (0.802 COMP2511) (0.794 COMP2509) (0.771 COMP301/COMP56) (0.758 COMP2505/COMP305) (0.631 COMP683) (0.580 COMP2510) (0.576 COMP2508) (0.538 COMP2506) (0.517 COMP868) (0.477 COMP2507) (0.471 COMP141/COMP2503/COMP2504) (0.413 COMP984) (0.411 COMP55) (0.338 COMP153) (0.268 COMP6) (0.264 COMP501) (0.255 COMP131)
CTGF expression inhibitor	0.928	COMP48	(0.919 COMP49) (0.916 COMP724) (0.775 COMP2510) (0.720 COMP2503/COMP2504) (0.686 COMP868) (0.674 COMP984) (0.664 COMP301/COMP56) (0.652 COMP683) (0.618 COMP2505/COMP305) (0.611 COMP501) (0.605 COMP2511) (0.553 COMP2509) (0.521 COMP55) (0.353 COMP131) (0.342 COMP6) (0.296 COMP2508) (0.264 COMP141) (0.257 COMP1254) (0.228 COMP153) (0.219 COMP2506)
GRP78 expression inhibitor	0.038	COMP55	(0.033 COMP683) (0.030 COMP2510) (0.027 COMP501) (0.026 COMP984) (0.025 COMP131/COMP2503/COMP2504/COMP2505/COMP305) (0.024 COMP868) (0.021 COMP2511) (0.020 COMP301/COMP56)
ICAM1 expression inhibitor	0.581	COMP2505/COMP305	(0.578 COMP301/COMP56) (0.576 COMP2511) (0.564 COMP49) (0.560 COMP48) (0.556 COMP724) (0.498 COMP153) (0.496 COMP2507) (0.469 COMP2503/COMP2504) (0.446 COMP683) (0.427 COMP6) (0.420 COMP984) (0.413 COMP2510) (0.401 COMP2506) (0.386 COMP131) (0.384 COMP868) (0.366 COMP1254) (0.359 COMP2509) (0.353 COMP141) (0.327 COMP2508) (0.290 COMP55) (0.274 COMP501)
LDLR expression enhancer	0.365	COMP724	(0.349 COMP48) (0.314 COMP49) (0.301 COMP2509) (0.275 COMP1254) (0.272 COMP683) (0.269 COMP868) (0.260 COMP2510) (0.243 COMP2503/COMP2504) (0.208 COMP153) (0.206 COMP984) (0.192 COMP501) (0.171 COMP2508) (0.166 COMP6)
NOS2 expression inhibitor	0.958	COMP301/COMP56	(0.949 COMP2505/COMP2511/COMP305) (0.903 COMP48) (0.871 COMP49) (0.869 COMP724) (0.715 COMP2509) (0.668 COMP2507) (0.604 COMP141) (0.578 COMP153) (0.576 COMP1254) (0.533 COMP2510) (0.531 COMP2503/COMP2504) (0.530 COMP984) (0.476 COMP2506) (0.467 COMP2508) (0.431 COMP868) (0.411 COMP683) (0.402 COMP6) (0.337 COMP501) (0.321 COMP55) (0.271 COMP131)
NOS3 expression enhancer	0.728	COMP2511	(0.721 COMP301/COMP56) (0.718 COMP2505/COMP305) (0.717 COMP724) (0.703 COMP48) (0.697 COMP49) (0.628 COMP2509) (0.435 COMP683) (0.387 COMP2510/COMP868) (0.380 COMP2507) (0.253 COMP1254) (0.242 COMP2503/COMP2504) (0.166 COMP984) (0.127 COMP2508)
NOS3 expression inhibitor	0.841	COMP2505/COMP305	(0.839 COMP2511) (0.837 COMP301/COMP56) (0.834 COMP49) (0.831 COMP724) (0.827 COMP48) (0.622 COMP2507/COMP2509) (0.557 COMP55) (0.504 COMP2510) (0.481 COMP984) (0.449 COMP1254) (0.441 COMP2503/COMP2504) (0.435 COMP868) (0.433 COMP683) (0.371 COMP2508) (0.314 COMP131) (0.295 COMP2506) (0.273 COMP501) (0.200 COMP141)
TNF expression inhibitor	0.951	COMP301/COMP56	(0.938 COMP2511) (0.937 COMP2505/COMP305) (0.877 COMP48) (0.849 COMP724) (0.847 COMP49) (0.749 COMP1254) (0.732 COMP2507) (0.660 COMP2506) (0.634 COMP153) (0.632 COMP2508) (0.606 COMP2510) (0.584 COMP683) (0.576 COMP2503/COMP2504) (0.572 COMP55) (0.568 COMP868) (0.551 COMP984) (0.520 COMP2509) (0.496 COMP6) (0.493 COMP141) (0.406 COMP501) (0.342 COMP131)
VCAM1 expression inhibitor	0.605	COMP2505/COMP305	(0.602 COMP301/COMP56) (0.575 COMP2511) (0.450 COMP984) (0.431 COMP2508) (0.409 COMP2503/COMP2504) (0.395 COMP2506) (0.389 COMP683) (0.387 COMP1254) (0.368 COMP2510) (0.352 COMP2507) (0.331 COMP55) (0.310 COMP868) (0.308 COMP49) (0.306 COMP48) (0.294 COMP141) (0.285 COMP724) (0.275 COMP153) (0.264 COMP6) (0.240 COMP501) (0.229 COMP2509) (0.205 COMP131)
VEGF expression inhibitor	0.433	COMP48	(0.402 COMP49) (0.394 COMP2503/COMP2504) (0.387 COMP724) (0.322 COMP868) (0.293 COMP2510) (0.248 COMP683) (0.241 COMP984) (0.237 COMP2509) (0.217 COMP301/COMP56) (0.206 COMP2505/COMP305) (0.202 COMP501) (0.200 COMP2511) (0.194 COMP55) (0.164 COMP6)
