Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.566	COMP683	(0.546 COMP2503/COMP2504) (0.507 COMP141) (0.500 COMP2510) (0.468 COMP868) (0.460 COMP48) (0.441 COMP49/COMP55) (0.429 COMP984) (0.426 COMP724) (0.384 COMP6) (0.379 COMP501) (0.355 COMP1254) (0.354 COMP131) (0.346 COMP2509) (0.261 COMP153) (0.238 COMP2508) (0.211 COMP2506)
Adenosine uptake inhibitor	0.095	COMP141	(0.048 COMP6) (0.033 COMP501)
Adrenaline uptake inhibitor	0.064	COMP2503/COMP2504	
Antiviral (CMV)	0.122	COMP141	
Apical sodium codependent bile acid transporter inhibitor	0.130	COMP2509	
Dopamine transporter inhibitor	0.053	COMP868	
Dopamine uptake inhibitor	0.069	COMP2503/COMP2504	(0.059 COMP2510) (0.058 COMP984) (0.054 COMP868)
Electron transport complex I inhibitor	0.295	COMP1254	(0.205 COMP49) (0.200 COMP2508) (0.195 COMP48) (0.183 COMP724) (0.144 COMP2506) (0.133 COMP2509) (0.122 COMP141) (0.116 COMP868) (0.112 COMP984) (0.101 COMP2510)
Endocannabinoid uptake inhibitor	0.146	COMP984	(0.137 COMP2510) (0.095 COMP1254/COMP868) (0.091 COMP683) (0.072 COMP501)
Equilibrative nucleoside transport protein inhibitor	0.063	COMP2505/COMP305	(0.062 COMP301/COMP56) (0.061 COMP2511) (0.059 COMP2507)
Excitatory amino acid transporter 1 inhibitor	0.022	COMP55	
Excitatory amino acid transporter 2 inhibitor	0.048	COMP55	
Excitatory amino acid transporter 3 inhibitor	0.030	COMP501/COMP55	
Excitatory amino acid transporter EAAC1 inhibitor	0.435	COMP55	(0.361 COMP683) (0.321 COMP2510) (0.281 COMP984) (0.229 COMP501) (0.197 COMP868) (0.168 COMP6) (0.144 COMP1254) (0.140 COMP2503/COMP2504) (0.129 COMP131) (0.115 COMP2508) (0.104 COMP49)
Folate transporter 1 inhibitor	0.019	COMP55	
GABA transporter 1 inhibitor	0.017	COMP55/COMP683/COMP984	
GABA transporter 2 inhibitor	0.043	COMP683	(0.037 COMP984) (0.036 COMP55) (0.027 COMP2508)
GABA transporter 3 inhibitor	0.062	COMP984	(0.060 COMP683) (0.057 COMP55) (0.051 COMP2510) (0.038 COMP868) (0.034 COMP501)
GABA transporter inhibitor	0.031	COMP683	(0.029 COMP984) (0.027 COMP55) (0.021 COMP2510) (0.020 COMP501)
GABA uptake inhibitor	0.086	COMP984	(0.081 COMP683) (0.078 COMP55) (0.068 COMP2510) (0.062 COMP131) (0.058 COMP141) (0.055 COMP501/COMP6) (0.050 COMP2508) (0.044 COMP153) (0.038 COMP1254)
Glycine transporter 2 inhibitor	0.074	COMP2510	(0.049 COMP984) (0.042 COMP55)
Ileal bile acid transport inhibitor	0.028	COMP2510	(0.019 COMP868/COMP984) (0.016 COMP55/COMP683)
Monocarboxylic acid transporter 1 inhibitor	0.031	COMP2508	(0.023 COMP49)
Monocarboxylic acid transporter inhibitor	0.031	COMP2508	(0.023 COMP49)
Multidrug resistance-associated protein 1 inhibitor	0.384	COMP724	(0.369 COMP49) (0.364 COMP48) (0.234 COMP2511) (0.220 COMP301/COMP56) (0.217 COMP2505/COMP305) (0.166 COMP868) (0.163 COMP683) (0.149 COMP2509) (0.108 COMP2510) (0.095 COMP984)
Nucleoside transporters inhibitor	0.080	COMP2510	(0.067 COMP2505/COMP305) (0.062 COMP301/COMP56) (0.057 COMP49) (0.053 COMP48) (0.049 COMP2511) (0.045 COMP984) (0.042 COMP724) (0.032 COMP683) (0.028 COMP868)
P-glycoprotein inhibitor	0.619	COMP724	(0.612 COMP49) (0.606 COMP48) (0.399 COMP2511) (0.388 COMP301/COMP56) (0.382 COMP2505/COMP305) (0.293 COMP868) (0.282 COMP2506) (0.264 COMP2509) (0.202 COMP683) (0.194 COMP984) (0.189 COMP153) (0.179 COMP2510) (0.175 COMP2508) (0.156 COMP2507)
Phosphate transporter inhibitor	0.052	COMP984	
Proline transporter inhibitor	0.014	COMP2510/COMP501	
