Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.148	COMP2519	(0.086 COMP2516)
AR expression inhibitor	0.876	COMP2514	(0.849 COMP2519) (0.813 COMP2512) (0.797 COMP2516) (0.772 COMP2515) (0.750 COMP2513) (0.734 COMP2518) (0.674 COMP2517)
CTGF expression inhibitor	0.844	COMP2516	(0.716 COMP2519) (0.670 COMP2515) (0.666 COMP2512) (0.591 COMP2514) (0.571 COMP2513) (0.488 COMP2518) (0.266 COMP2517)
ICAM1 expression inhibitor	0.476	COMP2512	(0.473 COMP2514) (0.459 COMP2513) (0.439 COMP2515) (0.436 COMP2518/COMP2519) (0.420 COMP2516) (0.380 COMP2517)
LDLR expression enhancer	0.286	COMP2517	(0.245 COMP2519) (0.241 COMP2516) (0.190 COMP2518) (0.184 COMP2513) (0.180 COMP2515) (0.177 COMP2514) (0.162 COMP2512)
NOS2 expression inhibitor	0.957	COMP2514	(0.926 COMP2519) (0.908 COMP2512) (0.896 COMP2513) (0.863 COMP2518) (0.847 COMP2515) (0.794 COMP2517) (0.793 COMP2516)
NOS3 expression enhancer	0.648	COMP2519	(0.628 COMP2514) (0.592 COMP2512) (0.506 COMP2518) (0.482 COMP2513) (0.472 COMP2516) (0.425 COMP2515) (0.122 COMP2517)
NOS3 expression inhibitor	0.637	COMP2516	(0.574 COMP2514) (0.515 COMP2515) (0.513 COMP2512) (0.500 COMP2519) (0.467 COMP2513) (0.405 COMP2518) (0.330 COMP2517)
TNF expression inhibitor	0.850	COMP2517	(0.698 COMP2515) (0.669 COMP2519) (0.646 COMP2516) (0.604 COMP2513) (0.588 COMP2512) (0.570 COMP2518) (0.554 COMP2514)
VCAM1 expression inhibitor	0.480	COMP2519	(0.378 COMP2518) (0.338 COMP2515) (0.336 COMP2513) (0.331 COMP2517) (0.325 COMP2516) (0.280 COMP2512) (0.231 COMP2514)
VEGF expression inhibitor	0.329	COMP2516	(0.224 COMP2518) (0.211 COMP2519) (0.201 COMP2513) (0.199 COMP2512) (0.172 COMP2515) (0.171 COMP2514)
