Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.532	COMP524	
Carcinogenic	0.836	COMP524	
Carcinogenic. group 1	0.205	COMP524	
Carcinogenic. group 2A	0.136	COMP524	
Carcinogenic. group 2B	0.138	COMP524	
Carcinogenic. group 3	0.149	COMP524	
Cytotoxic	0.329	COMP524	
DNA damaging	0.217	COMP524	
Embryotoxic	0.742	COMP524	
Eye irritation. high	0.811	COMP524	
Genotoxic	0.454	COMP524	
Hypoglycemic	0.456	COMP524	
Mutagenic	0.640	COMP524	
Pneumotoxic	0.241	COMP524	
Sensitization	0.424	COMP524	
Skin irritative effect	0.943	COMP524	
Teratogen	0.680	COMP524	
Ulceration	0.433	COMP524	
