Name	Activation_Prob	Compound	Another_Probs
ATPase inhibitor	0.186	COMP362	(0.147 COMP462) (0.138 COMP2159)
Acetylcholine M1 receptor antagonist	0.136	COMP2398	
Acetylcholinesterase inhibitor	0.145	COMP462	(0.136 COMP362) (0.105 COMP2159)
Acyl-CoA dehydrogenase inhibitor	0.380	COMP2398	
Adenosine A1 receptor agonist	0.806	COMP2398	(0.030 COMP362) (0.029 COMP2159/COMP357/COMP462)
Adenosine A2a receptor antagonist	0.900	COMP2398	
Adenosine deaminase inhibitor	0.983	COMP2398	(0.076 COMP462) (0.075 COMP362) (0.067 COMP2159) (0.045 COMP357)
Adenylate cyclase inhibitor	0.732	COMP2398	(0.244 COMP362) (0.222 COMP462) (0.201 COMP2159) (0.129 COMP357)
Adenylate kinase inhibitor	0.630	COMP2398	
Alcohol dehydrogenase inhibitor	0.397	COMP2398	(0.232 COMP362) (0.206 COMP462) (0.153 COMP2159) (0.097 COMP357)
Alkaline phosphatase inhibitor	0.276	COMP362	(0.217 COMP2159) (0.214 COMP462) (0.126 COMP357)
Alpha-mannosidase inhibitor	0.103	COMP357	(0.077 COMP2159/COMP462) (0.073 COMP362) (0.064 COMP2398)
Arginase inhibitor	0.074	COMP462	(0.073 COMP362) (0.062 COMP2398) (0.053 COMP2159) (0.039 COMP357)
Argininosuccinate synthase inhibitor	0.778	COMP2398	
CYP1A2 inhibitor	0.262	COMP462	(0.190 COMP362)
CYP2C9 inhibitor	0.352	COMP462	(0.340 COMP362) (0.242 COMP357) (0.237 COMP2159)
CYP3A4 inhibitor	0.201	COMP362	(0.195 COMP357)
Ca2+-transporting ATPase inhibitor	0.137	COMP2159/COMP362	(0.130 COMP462)
Cyclooxygenase 1 inhibitor	0.150	COMP462	(0.122 COMP362) (0.114 COMP2159) (0.108 COMP357)
Cyclooxygenase 2 inhibitor	0.135	COMP462	(0.107 COMP362) (0.104 COMP2159)
Cyclooxygenase inhibitor	0.176	COMP462	(0.138 COMP2159) (0.129 COMP357) (0.119 COMP362)
Cystathionine beta-synthase inhibitor	0.546	COMP462	(0.532 COMP362) (0.447 COMP2159) (0.300 COMP357)
DOPA decarboxylase inhibitor	0.105	COMP362	(0.104 COMP462)
Electron transport complex I inhibitor	0.155	COMP462	(0.140 COMP2159) (0.137 COMP362) (0.123 COMP357)
Estrogen agonist	0.202	COMP462	(0.146 COMP2159) (0.127 COMP357) (0.103 COMP362)
Fumarate hydratase inhibitor	0.843	COMP2398	
Glucose-6-phosphate isomerase inhibitor	0.079	COMP357	(0.074 COMP2159/COMP362/COMP462) (0.055 COMP2398)
Glutamate dehydrogenase inhibitor	0.852	COMP2398	(0.087 COMP362/COMP462) (0.076 COMP2159)
Heat shock protein 70 antagonist	0.656	COMP2398	(0.163 COMP362) (0.161 COMP462) (0.144 COMP2159)
Hexokinase inhibitor	0.525	COMP2398	(0.228 COMP462) (0.168 COMP362) (0.166 COMP2159) (0.120 COMP357)
Hypoxanthine phosphoribosyltransferase inhibitor	0.204	COMP2398	
MAO A inhibitor	0.118	COMP362	(0.097 COMP462)
MAO inhibitor	0.108	COMP362	
Na+ K+ transporting ATPase inhibitor	0.123	COMP462	(0.121 COMP362) (0.120 COMP2159) (0.116 COMP357)
Ornithine carbamoyltransferase inhibitor	0.748	COMP2398	
Peroxidase inhibitor	0.299	COMP462	(0.279 COMP362) (0.138 COMP2159)
Phosphofructokinase-1 inhibitor	0.870	COMP2398	(0.170 COMP2159/COMP362/COMP462) (0.115 COMP357)
Phosphoglycerate kinase inhibitor	0.623	COMP2398	(0.036 COMP362) (0.031 COMP462)
Phospholipase C inhibitor	0.485	COMP2398	(0.200 COMP2159/COMP462) (0.180 COMP362) (0.174 COMP357)
Phosphorylase inhibitor	0.220	COMP2398	(0.131 COMP462) (0.118 COMP362) (0.098 COMP2159)
S-adenosyl-L-homocysteine hydrolase inhibitor	0.424	COMP2398	
Topoisomerase I inhibitor	0.362	COMP362	(0.345 COMP357) (0.335 COMP2159) (0.332 COMP462) (0.235 COMP2398)
Topoisomerase II alpha inhibitor	0.332	COMP2159	(0.312 COMP462) (0.304 COMP362) (0.295 COMP357)
Triose-phosphate isomerase inhibitor	0.155	COMP2159/COMP362/COMP462	(0.100 COMP357) (0.083 COMP2398)
UDP-glucose 4-epimerase inhibitor	0.608	COMP2398	(0.465 COMP2159/COMP362/COMP462) (0.388 COMP357)
