Name	Activation_Prob	Compound	Another_Probs
Carcinogenic	0.814	COMP462	(0.812 COMP362) (0.761 COMP357) (0.743 COMP2159) (0.197 COMP2398)
Carcinogenic. group 1	0.261	COMP2159/COMP462	(0.239 COMP362) (0.207 COMP357) (0.191 COMP2398)
Carcinogenic. group 2A	0.227	COMP2398	(0.172 COMP362) (0.161 COMP2159) (0.149 COMP357) (0.130 COMP462)
Carcinogenic. group 2B	0.198	COMP362	(0.183 COMP462) (0.158 COMP2159) (0.139 COMP357)
Carcinogenic. group 3	0.420	COMP462	(0.348 COMP2159) (0.332 COMP362) (0.190 COMP357)
Cardiodepressant	0.558	COMP2398	(0.233 COMP362) (0.135 COMP2159) (0.133 COMP462)
Cytotoxic	0.692	COMP357	(0.644 COMP2159) (0.632 COMP362) (0.627 COMP2398) (0.623 COMP462)
DNA damaging	0.677	COMP362	(0.644 COMP462) (0.589 COMP2159) (0.561 COMP357) (0.438 COMP2398)
Embryotoxic	0.617	COMP2398	(0.555 COMP362) (0.512 COMP462) (0.472 COMP357) (0.452 COMP2159)
Eye irritation. high	0.135	COMP462	
Genotoxic	0.943	COMP357	(0.942 COMP362) (0.934 COMP462) (0.879 COMP2159)
Hypoglycemic	0.904	COMP2159	(0.897 COMP357) (0.894 COMP362) (0.854 COMP462) (0.192 COMP2398)
Mutagenic	0.962	COMP357	(0.939 COMP2159) (0.936 COMP462) (0.928 COMP362) (0.448 COMP2398)
Pneumotoxic	0.170	COMP362	(0.153 COMP2159/COMP462)
Sedative	0.145	COMP362	
Sensitization	0.537	COMP462	(0.507 COMP362) (0.479 COMP2159) (0.405 COMP357) (0.328 COMP2398)
Teratogen	0.659	COMP2398	(0.617 COMP362) (0.572 COMP462) (0.507 COMP2159) (0.465 COMP357)
Ulceration	0.314	COMP362	(0.247 COMP462)
