Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.392	COMP1966	(0.194 COMP1934) (0.186 COMP2412) (0.185 COMP290) (0.168 COMP112) (0.154 COMP543) (0.140 COMP2416/COMP292) (0.139 COMP19) (0.129 COMP2418) (0.123 COMP2415) (0.103 COMP2414) (0.098 COMP2417) (0.093 COMP1482/COMP2040) (0.092 COMP2413)
AR expression inhibitor	0.807	COMP1122	(0.788 COMP2040) (0.776 COMP290) (0.774 COMP1482) (0.742 COMP2414) (0.681 COMP2416/COMP292) (0.680 COMP1892) (0.654 COMP2415) (0.640 COMP543) (0.596 COMP112) (0.507 COMP2412) (0.491 COMP1966) (0.486 COMP497) (0.461 COMP1934) (0.427 COMP2418) (0.349 COMP2417) (0.341 COMP2413) (0.316 COMP1935) (0.261 COMP19)
CTGF expression inhibitor	0.884	COMP2040	(0.873 COMP1482) (0.856 COMP2414) (0.834 COMP1122) (0.672 COMP1934) (0.646 COMP2418) (0.551 COMP19) (0.451 COMP1892) (0.408 COMP543) (0.318 COMP497) (0.305 COMP2419) (0.303 COMP1966) (0.289 COMP2413) (0.278 COMP112) (0.271 COMP2416/COMP292) (0.230 COMP290) (0.215 COMP2412)
GRP78 expression inhibitor	0.039	COMP543	(0.026 COMP2419/COMP497) (0.025 COMP19) (0.023 COMP112) (0.021 COMP2418)
ICAM1 expression inhibitor	0.698	COMP290	(0.687 COMP2416/COMP292) (0.664 COMP2415) (0.502 COMP112) (0.493 COMP543) (0.423 COMP2040) (0.414 COMP1482) (0.413 COMP2414) (0.409 COMP1934/COMP2417) (0.408 COMP1935) (0.405 COMP2412) (0.401 COMP1122) (0.398 COMP2418) (0.383 COMP1966) (0.381 COMP19) (0.366 COMP2413) (0.273 COMP497) (0.257 COMP1892) (0.198 COMP2419)
LDLR expression enhancer	0.327	COMP2040	(0.317 COMP1482) (0.314 COMP2414) (0.299 COMP1122) (0.298 COMP1966) (0.228 COMP543) (0.227 COMP2412) (0.222 COMP290) (0.220 COMP112) (0.200 COMP2419) (0.196 COMP2418) (0.192 COMP2416/COMP292) (0.160 COMP1934) (0.149 COMP2417) (0.141 COMP19) (0.138 COMP2415)
NOS2 expression inhibitor	0.836	COMP2040	(0.831 COMP2414) (0.803 COMP1482) (0.775 COMP1122) (0.722 COMP290) (0.595 COMP2416/COMP292) (0.571 COMP2415) (0.537 COMP1892) (0.522 COMP543) (0.498 COMP1934) (0.495 COMP2418) (0.410 COMP112) (0.400 COMP1966) (0.376 COMP19) (0.343 COMP2419) (0.309 COMP2412) (0.308 COMP497) (0.277 COMP2413) (0.251 COMP2417) (0.208 COMP1935)
NOS3 expression enhancer	0.442	COMP2414	(0.429 COMP2040) (0.394 COMP1482) (0.329 COMP1122) (0.316 COMP1934) (0.294 COMP543) (0.179 COMP2418) (0.178 COMP1966)
NOS3 expression inhibitor	0.634	COMP543	(0.612 COMP2040) (0.607 COMP2414) (0.590 COMP1482) (0.528 COMP2416/COMP292) (0.523 COMP112) (0.521 COMP1122) (0.502 COMP2415/COMP2418) (0.497 COMP290) (0.492 COMP1966) (0.437 COMP1934) (0.422 COMP1892) (0.382 COMP1935) (0.361 COMP2412) (0.342 COMP2417) (0.276 COMP2413) (0.270 COMP19) (0.262 COMP497)
TNF expression inhibitor	0.884	COMP290	(0.799 COMP2040) (0.794 COMP1934) (0.769 COMP1482) (0.758 COMP2416/COMP292) (0.730 COMP1122) (0.718 COMP2414) (0.715 COMP2415) (0.687 COMP2418) (0.657 COMP543) (0.629 COMP112/COMP1966) (0.544 COMP1892) (0.539 COMP2412) (0.475 COMP19) (0.454 COMP497) (0.440 COMP2417) (0.388 COMP2419) (0.299 COMP2413) (0.221 COMP1935)
VCAM1 expression inhibitor	0.440	COMP2414	(0.421 COMP2040) (0.405 COMP1482) (0.366 COMP1934) (0.365 COMP1122) (0.346 COMP2418) (0.315 COMP1892) (0.261 COMP19) (0.251 COMP112) (0.237 COMP2419) (0.218 COMP543) (0.205 COMP497) (0.175 COMP1935)
VEGF expression inhibitor	0.477	COMP2040	(0.455 COMP1482) (0.411 COMP2414) (0.367 COMP1122) (0.245 COMP2419) (0.225 COMP112) (0.224 COMP2418) (0.216 COMP543) (0.210 COMP1966) (0.178 COMP1934) (0.175 COMP497) (0.156 COMP19)
