Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.471	COMP1892	(0.323 COMP2413) (0.277 COMP19) (0.213 COMP2418/COMP543) (0.179 COMP1934) (0.148 COMP1966) (0.141 COMP112) (0.125 COMP2412/COMP290) (0.124 COMP2415) (0.116 COMP2416/COMP292)
Aldehyde dehydrogenase substrate	0.341	COMP2413	(0.296 COMP1892) (0.211 COMP19) (0.194 COMP2418) (0.173 COMP1934) (0.115 COMP2419)
Aldehyde oxidase substrate	0.331	COMP2418	(0.216 COMP2419) (0.189 COMP1934) (0.181 COMP1892) (0.176 COMP1122) (0.167 COMP2414) (0.159 COMP1482) (0.143 COMP2040)
Aldose reductase substrate	0.267	COMP2418	(0.167 COMP1934) (0.162 COMP2414) (0.140 COMP1482) (0.130 COMP1122/COMP2040)
Arylamine N-Acetyltransferase substrate	0.212	COMP2418	(0.193 COMP2419) (0.166 COMP1122) (0.140 COMP2040) (0.128 COMP1482) (0.087 COMP2414)
CYP1A2 inhibitor	0.883	COMP2040	(0.856 COMP1482) (0.832 COMP1122) (0.791 COMP2414) (0.333 COMP2419) (0.174 COMP1934)
CYP1A2 substrate	0.835	COMP2414	(0.759 COMP2040) (0.723 COMP1482) (0.632 COMP1122) (0.514 COMP2418) (0.479 COMP1934) (0.325 COMP2419) (0.315 COMP543) (0.284 COMP2413) (0.282 COMP1966) (0.272 COMP1892) (0.217 COMP112/COMP19) (0.202 COMP2417) (0.199 COMP2412)
CYP24 inhibitor	0.023	COMP1966	(0.021 COMP543)
CYP2A6 inhibitor	0.226	COMP2419	(0.114 COMP1892) (0.100 COMP1482) (0.097 COMP2040) (0.073 COMP1122)
CYP2B6 inhibitor	0.518	COMP2040	(0.497 COMP1482) (0.454 COMP1122) (0.388 COMP2414) (0.338 COMP2419) (0.314 COMP1892) (0.241 COMP2418) (0.239 COMP19) (0.180 COMP497) (0.166 COMP1934) (0.159 COMP1966) (0.157 COMP543)
CYP2C19 inhibitor	0.592	COMP2040	(0.587 COMP1482) (0.563 COMP2414) (0.546 COMP1122) (0.488 COMP112) (0.480 COMP543) (0.441 COMP2419) (0.388 COMP1892) (0.384 COMP1966) (0.228 COMP2417) (0.218 COMP2412)
CYP2C19 substrate	0.769	COMP1892	(0.592 COMP2418) (0.580 COMP2040) (0.571 COMP2414) (0.570 COMP19) (0.566 COMP1934) (0.558 COMP1482) (0.544 COMP543) (0.536 COMP1122) (0.496 COMP2413) (0.495 COMP1966) (0.402 COMP112) (0.335 COMP2412) (0.315 COMP2419) (0.304 COMP290) (0.212 COMP497) (0.197 COMP2415) (0.196 COMP2416/COMP292)
CYP2C9 inhibitor	0.575	COMP2040	(0.563 COMP1482) (0.518 COMP1122) (0.517 COMP2414) (0.357 COMP2418) (0.324 COMP2412) (0.272 COMP2419)
CYP2C9 substrate	0.822	COMP1892	(0.620 COMP2418) (0.594 COMP1934) (0.593 COMP543) (0.591 COMP2040) (0.590 COMP1122) (0.574 COMP2414) (0.567 COMP1482) (0.557 COMP19) (0.530 COMP1966) (0.529 COMP112) (0.478 COMP2413) (0.424 COMP2412) (0.369 COMP2419) (0.312 COMP1935) (0.244 COMP497) (0.224 COMP2415) (0.213 COMP2417) (0.208 COMP290)
CYP2D6 inhibitor	0.326	COMP2419	(0.209 COMP1966)
