Name	Activation_Prob	Compound	Another_Probs
1-Alkyl-2-acetylglycerophosphocholine esterase inhibitor	0.040	COMP2418/COMP2419	
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.013	COMP2419	
1.3-Beta-glucan synthase inhibitor	0.031	COMP290	(0.030 COMP1935/COMP2415) (0.029 COMP2416/COMP292) (0.028 COMP543)
11-Beta-hydroxysteroid dehydrogenase 1 inhibitor	0.300	COMP290	(0.295 COMP2416/COMP292) (0.236 COMP543) (0.208 COMP2415) (0.165 COMP1966) (0.150 COMP112) (0.145 COMP19) (0.124 COMP497) (0.049 COMP2412)
11-Beta-hydroxysteroid dehydrogenase 2 inhibitor	0.856	COMP2416/COMP292	(0.827 COMP290) (0.597 COMP2415) (0.098 COMP1966) (0.095 COMP112) (0.093 COMP543) (0.068 COMP2412) (0.042 COMP497) (0.035 COMP19)
12-Lipoxygenase inhibitor	0.780	COMP2414	(0.766 COMP2040) (0.760 COMP1122) (0.747 COMP1482) (0.471 COMP2412) (0.278 COMP2418) (0.271 COMP1934) (0.241 COMP1966) (0.233 COMP2419)
15-Lipoxygenase inhibitor	0.771	COMP2414	(0.758 COMP1122) (0.752 COMP2040) (0.726 COMP1482) (0.367 COMP2419) (0.310 COMP2412) (0.254 COMP1966) (0.228 COMP2418) (0.207 COMP1934)
2.3-Oxidosqualene-lanosterol cyclase inhibitor	0.147	COMP2416/COMP292	(0.094 COMP290) (0.081 COMP1892) (0.051 COMP19) (0.049 COMP1966) (0.044 COMP543)
3 Beta-hydroxy-delta 5-steroid dehydrogenase inhibitor	0.015	COMP543	(0.013 COMP1966/COMP497) (0.012 COMP112/COMP2416/COMP292)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.139	COMP543	(0.108 COMP1966) (0.077 COMP2418) (0.071 COMP2040) (0.070 COMP497) (0.069 COMP2412) (0.064 COMP1482) (0.055 COMP19) (0.053 COMP1122) (0.049 COMP290) (0.048 COMP2414)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.057	COMP2418	(0.051 COMP2419) (0.048 COMP1482) (0.044 COMP2040/COMP2414) (0.039 COMP1122)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.259	COMP2040	(0.239 COMP1482) (0.222 COMP1934) (0.191 COMP1122) (0.185 COMP2414) (0.119 COMP2418)
