Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.102	COMP1921	
AR expression inhibitor	0.712	COMP1922	(0.643 COMP1923) (0.636 COMP1921) (0.555 COMP218) (0.511 COMP1924) (0.375 COMP1925)
CTGF expression inhibitor	0.840	COMP1921	(0.811 COMP1922) (0.804 COMP1925) (0.764 COMP1923) (0.731 COMP218) (0.709 COMP1924)
GRP78 expression inhibitor	0.025	COMP1923	(0.023 COMP1924) (0.022 COMP1921/COMP1922)
ICAM1 expression inhibitor	0.484	COMP218	(0.366 COMP1921) (0.353 COMP1922) (0.326 COMP1923) (0.275 COMP1924)
LDLR expression enhancer	0.291	COMP218	(0.228 COMP1921) (0.219 COMP1924) (0.208 COMP1922) (0.194 COMP1923)
NOS2 expression inhibitor	0.774	COMP218	(0.696 COMP1921) (0.640 COMP1922) (0.607 COMP1924) (0.583 COMP1923) (0.487 COMP1925)
NOS3 expression enhancer	0.407	COMP1921	(0.371 COMP1922) (0.279 COMP1923) (0.193 COMP218) (0.139 COMP1924)
NOS3 expression inhibitor	0.590	COMP218	(0.584 COMP1921) (0.527 COMP1922) (0.428 COMP1923) (0.358 COMP1924) (0.329 COMP1925)
TNF expression inhibitor	0.773	COMP218	(0.667 COMP1921) (0.620 COMP1922) (0.586 COMP1924) (0.584 COMP1923) (0.448 COMP1925)
VCAM1 expression inhibitor	0.492	COMP218	(0.303 COMP1921) (0.300 COMP1924) (0.262 COMP1922) (0.253 COMP1925) (0.246 COMP1923)
VEGF expression inhibitor	0.369	COMP218	(0.335 COMP1921) (0.306 COMP1922) (0.285 COMP1924) (0.282 COMP1923) (0.209 COMP1925)
