Name	Activation_Prob	Compound	Another_Probs
1-Deoxy-D-xylulose-5-phosphate reductoisomerase inhibitor	0.014	COMP1923	(0.013 COMP1922)
12-Lipoxygenase inhibitor	0.709	COMP1922	(0.650 COMP1924) (0.648 COMP1923) (0.632 COMP1921) (0.557 COMP218) (0.486 COMP1925)
15-Lipoxygenase inhibitor	0.740	COMP218	(0.696 COMP1922) (0.643 COMP1923) (0.619 COMP1921) (0.605 COMP1924) (0.556 COMP1925)
3(or 17)beta-hydroxysteroid dehydrogenase inhibitor	0.194	COMP1921	(0.171 COMP1925) (0.134 COMP1923) (0.117 COMP1922) (0.105 COMP1924) (0.050 COMP218)
3-Hydroxyanthranilate 3.4-dioxygenase inhibitor	0.062	COMP1921/COMP1922/COMP1923	(0.053 COMP1924) (0.047 COMP218)
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.189	COMP1921	(0.166 COMP1922) (0.147 COMP1923) (0.107 COMP1924) (0.089 COMP218) (0.054 COMP1925)
3C-Like protease (SARS coronavirus) inhibitor	0.079	COMP1921	
3C-like protease (Human coronavirus) inhibitor	0.328	COMP218	(0.203 COMP1925) (0.175 COMP1924) (0.152 COMP1923) (0.145 COMP1921)
5 Hydroxytryptamine 1E antagonist	0.238	COMP1921	(0.223 COMP1923) (0.218 COMP1924) (0.200 COMP1922) (0.194 COMP218)
5 Hydroxytryptamine 3A agonist	0.187	COMP1921	(0.162 COMP1923) (0.127 COMP1922) (0.124 COMP1924)
5 Hydroxytryptamine 3E antagonist	0.202	COMP1923	(0.189 COMP1921) (0.179 COMP1922) (0.167 COMP1924)
5 Hydroxytryptamine 7 agonist	0.072	COMP1924	(0.057 COMP1921) (0.054 COMP1923)
5 Hydroxytryptamine release inhibitor	0.598	COMP218	(0.572 COMP1921) (0.540 COMP1924) (0.525 COMP1923) (0.491 COMP1922) (0.334 COMP1925)
5 Hydroxytryptamine release stimulant	0.655	COMP1924	(0.583 COMP1923) (0.522 COMP1921) (0.478 COMP1922) (0.462 COMP218) (0.211 COMP1925)
5 Hydroxytryptamine uptake stimulant	0.709	COMP218	(0.461 COMP1923) (0.430 COMP1924) (0.396 COMP1922) (0.375 COMP1921) (0.292 COMP1925)
5-Lipoxygenase inhibitor	0.558	COMP1922	(0.524 COMP1923) (0.504 COMP1921) (0.382 COMP1924) (0.325 COMP218) (0.261 COMP1925)
ABCA1 expression enhancer	0.102	COMP1921	
AMP-activated protein kinase stimulant	0.239	COMP1922	(0.205 COMP1923) (0.203 COMP1921) (0.181 COMP1924) (0.135 COMP218) (0.099 COMP1925)
AR expression inhibitor	0.712	COMP1922	(0.643 COMP1923) (0.636 COMP1921) (0.555 COMP218) (0.511 COMP1924) (0.375 COMP1925)
ATP citrate lysase inhibitor	0.167	COMP1921	(0.126 COMP1922) (0.089 COMP1923) (0.057 COMP218) (0.052 COMP1924) (0.029 COMP1925)
ATPase (Vacuolar H+) inhibitor	0.135	COMP218	(0.106 COMP1924) (0.101 COMP1922) (0.098 COMP1923) (0.091 COMP1921)
ATPase inhibitor	0.264	COMP218	(0.222 COMP1921) (0.212 COMP1922) (0.209 COMP1923) (0.206 COMP1924)
Abortion inducer	0.365	COMP1921	(0.312 COMP1924) (0.303 COMP1923) (0.269 COMP1922) (0.213 COMP218) (0.198 COMP1925)
Acaricide	0.316	COMP1923	(0.262 COMP1924) (0.243 COMP1921/COMP1922) (0.232 COMP218) (0.120 COMP1925)
Acetyl-CoA transferase 2 inhibitor	0.059	COMP218	
Acetylcholine M1 receptor antagonist	0.116	COMP1923	
Acetylcholine M5 receptor agonist	0.063	COMP1924	
Acetylcholine release stimulant	0.155	COMP1924	(0.133 COMP1923) (0.131 COMP1921) (0.115 COMP1922)
Acetylcholinesterase inhibitor	0.519	COMP218	(0.259 COMP1924) (0.253 COMP1921) (0.247 COMP1922) (0.234 COMP1923) (0.147 COMP1925)
Aconitate hydratase inhibitor	0.094	COMP1923	(0.081 COMP1921/COMP1922) (0.060 COMP1924) (0.047 COMP218)
Actinic keratosis treatment	0.136	COMP1921	(0.126 COMP1922) (0.116 COMP1923) (0.089 COMP218) (0.087 COMP1925)
Acyl-CoA dehydrogenase inhibitor	0.070	COMP1923	(0.060 COMP1921/COMP1922)
Adenine nucleotide translocase inhibitor	0.059	COMP1923	
Adenylate cyclase 1 inhibitor	0.067	COMP1923	(0.061 COMP1921) (0.055 COMP1924) (0.050 COMP1922)
Adenylate cyclase inhibitor	0.226	COMP1923	(0.186 COMP1921) (0.180 COMP1922) (0.135 COMP1925) (0.131 COMP1924)
Adenylate cyclase stimulant	0.208	COMP1923	(0.192 COMP1921) (0.189 COMP1922) (0.181 COMP1924) (0.176 COMP218) (0.139 COMP1925)
Adenylate kinase inhibitor	0.160	COMP1923	(0.144 COMP1921/COMP1922) (0.113 COMP1924) (0.091 COMP218)
Adrenaline agonist	0.082	COMP1923	
Alcohol dehydrogenase inhibitor	0.300	COMP1921	(0.213 COMP1922) (0.187 COMP1923) (0.135 COMP218) (0.122 COMP1924) (0.114 COMP1925)
Alcohol dehydrogenase substrate	0.339	COMP1925	(0.121 COMP1923) (0.110 COMP1921) (0.106 COMP1924) (0.104 COMP1922)
Alcohol oxidase inhibitor	0.378	COMP1923	(0.346 COMP1921) (0.215 COMP1922) (0.192 COMP1924) (0.079 COMP1925) (0.073 COMP218)
Aldehyde dehydrogenase inhibitor	0.549	COMP1921	(0.437 COMP1925) (0.362 COMP1923) (0.358 COMP1922) (0.319 COMP218) (0.315 COMP1924)
Aldehyde dehydrogenase substrate	0.337	COMP1925	(0.113 COMP1923) (0.111 COMP218) (0.104 COMP1924)
Aldehyde oxidase inhibitor	0.931	COMP1921	(0.900 COMP1925) (0.893 COMP1922) (0.866 COMP1923) (0.858 COMP1924) (0.853 COMP218)
Aldehyde oxidase substrate	0.241	COMP1925	(0.236 COMP1923) (0.205 COMP1924) (0.195 COMP1922) (0.182 COMP218) (0.179 COMP1921)
Aldose reductase inhibitor	0.247	COMP1922	(0.196 COMP1923) (0.183 COMP1921) (0.179 COMP218) (0.118 COMP1924) (0.104 COMP1925)
Aldose reductase substrate	0.298	COMP1923	(0.276 COMP1924) (0.264 COMP1921/COMP1922) (0.242 COMP1925) (0.137 COMP218)
Aldosterone antagonist	0.054	COMP1921	(0.046 COMP1923)
Alkaline phosphatase inhibitor	0.329	COMP218	(0.231 COMP1922) (0.230 COMP1921) (0.218 COMP1923) (0.202 COMP1924) (0.184 COMP1925)
Alkylator	0.313	COMP1921	(0.312 COMP1922) (0.288 COMP1924) (0.264 COMP1923) (0.227 COMP1925) (0.201 COMP218)
Alpha 1d adrenoreceptor agonist	0.054	COMP1923	(0.039 COMP1922) (0.035 COMP1921)
