Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.362	COMP77	(0.226 COMP1831) (0.137 COMP1100) (0.123 COMP930) (0.102 COMP320) (0.101 COMP242) (0.100 COMP1304/COMP175) (0.097 COMP1832) (0.084 COMP283)
AR expression inhibitor	0.849	COMP1835	(0.789 COMP320) (0.775 COMP857) (0.754 COMP242) (0.717 COMP1828) (0.712 COMP1830) (0.657 COMP1836) (0.654 COMP930) (0.649 COMP1834) (0.622 COMP215) (0.616 COMP283) (0.605 COMP1829) (0.570 COMP1304) (0.554 COMP1827) (0.537 COMP1831) (0.521 COMP1731) (0.485 COMP77) (0.456 COMP175) (0.450 COMP1100) (0.449 COMP212) (0.448 COMP867) (0.420 COMP1143) (0.366 COMP1825) (0.336 COMP1832) (0.188 COMP1826) (0.181 COMP1810)
CTGF expression inhibitor	0.865	COMP212	(0.862 COMP1143) (0.811 COMP77) (0.759 COMP215) (0.750 COMP1835) (0.715 COMP1825) (0.704 COMP857) (0.671 COMP1828) (0.633 COMP1100) (0.619 COMP242) (0.577 COMP1832) (0.554 COMP1836) (0.353 COMP283) (0.324 COMP175) (0.287 COMP1830) (0.283 COMP1826) (0.278 COMP1833) (0.276 COMP1827) (0.249 COMP1810) (0.246 COMP867) (0.244 COMP1834) (0.233 COMP1731)
GRP78 expression inhibitor	0.072	COMP1731	(0.046 COMP1825) (0.039 COMP175) (0.038 COMP1827) (0.032 COMP1100) (0.028 COMP857) (0.027 COMP1810) (0.026 COMP867) (0.023 COMP1826) (0.022 COMP215) (0.020 COMP212)
ICAM1 expression inhibitor	0.664	COMP930	(0.656 COMP1304) (0.652 COMP1829) (0.648 COMP1831) (0.605 COMP1731) (0.603 COMP1834) (0.596 COMP867) (0.589 COMP1827) (0.582 COMP1830) (0.569 COMP857) (0.542 COMP1828) (0.516 COMP215) (0.505 COMP320) (0.489 COMP1835) (0.471 COMP283) (0.470 COMP1100) (0.440 COMP1825) (0.416 COMP1832) (0.413 COMP77) (0.405 COMP1836) (0.404 COMP175) (0.374 COMP242) (0.337 COMP1110) (0.333 COMP1143) (0.331 COMP212) (0.197 COMP1826)
LDLR expression enhancer	0.365	COMP77	(0.289 COMP242) (0.252 COMP215) (0.251 COMP1836) (0.248 COMP1835) (0.242 COMP857) (0.229 COMP1100) (0.214 COMP1143) (0.187 COMP1832) (0.179 COMP1825) (0.153 COMP212) (0.147 COMP1830) (0.144 COMP320) (0.143 COMP175) (0.138 COMP930)
NOS2 expression inhibitor	0.937	COMP1828	(0.920 COMP1827) (0.834 COMP1836) (0.762 COMP242) (0.760 COMP867) (0.733 COMP215) (0.712 COMP1835/COMP320) (0.696 COMP283) (0.642 COMP1829) (0.603 COMP77) (0.602 COMP857) (0.583 COMP1731) (0.571 COMP930) (0.570 COMP1834) (0.505 COMP1830) (0.489 COMP1825) (0.477 COMP1143) (0.470 COMP1100) (0.457 COMP1304) (0.405 COMP212) (0.397 COMP1832) (0.386 COMP1831) (0.298 COMP175) (0.208 COMP1810) (0.167 COMP1826) (0.159 COMP1833)
NOS3 expression enhancer	0.756	COMP1731	(0.698 COMP1828) (0.605 COMP242) (0.514 COMP1827) (0.467 COMP867) (0.334 COMP1835) (0.323 COMP175) (0.319 COMP857) (0.306 COMP1836) (0.271 COMP215) (0.265 COMP1829) (0.263 COMP77) (0.199 COMP1100) (0.172 COMP283) (0.162 COMP212) (0.141 COMP1825) (0.137 COMP1143)
NOS3 expression inhibitor	0.943	COMP1731	(0.910 COMP77) (0.887 COMP867) (0.804 COMP1827) (0.760 COMP1828) (0.683 COMP1829) (0.667 COMP215) (0.624 COMP242) (0.595 COMP1832) (0.591 COMP857) (0.581 COMP1834) (0.529 COMP1835) (0.528 COMP1304) (0.527 COMP1830) (0.502 COMP930) (0.495 COMP1831) (0.487 COMP1825) (0.482 COMP175) (0.474 COMP1836) (0.444 COMP320) (0.412 COMP1100) (0.408 COMP283) (0.389 COMP212) (0.328 COMP1143) (0.241 COMP1110)
TNF expression inhibitor	0.931	COMP1828	(0.905 COMP1827) (0.899 COMP77) (0.813 COMP1836) (0.789 COMP867) (0.786 COMP283) (0.737 COMP215) (0.719 COMP1832) (0.715 COMP930) (0.662 COMP1731) (0.659 COMP857) (0.656 COMP1834) (0.637 COMP1829) (0.627 COMP1835) (0.573 COMP1304) (0.563 COMP1830) (0.557 COMP242) (0.554 COMP1825) (0.539 COMP1100/COMP320) (0.526 COMP1143) (0.509 COMP175) (0.490 COMP1831) (0.469 COMP212) (0.342 COMP1826) (0.296 COMP1833) (0.282 COMP1110) (0.261 COMP1810)
VCAM1 expression inhibitor	0.782	COMP867	(0.687 COMP1827) (0.621 COMP1828) (0.546 COMP1836) (0.529 COMP1731) (0.477 COMP1832) (0.424 COMP1100) (0.408 COMP215) (0.365 COMP1825) (0.318 COMP1143/COMP175) (0.317 COMP283) (0.306 COMP1835) (0.286 COMP857) (0.271 COMP212) (0.250 COMP1829) (0.247 COMP242) (0.224 COMP1826) (0.215 COMP1810) (0.204 COMP77) (0.165 COMP1833)
VEGF expression inhibitor	0.352	COMP215	(0.272 COMP1835) (0.256 COMP242) (0.255 COMP1836) (0.239 COMP1143) (0.227 COMP212) (0.218 COMP1100/COMP1825) (0.217 COMP1810) (0.207 COMP857) (0.203 COMP1833) (0.193 COMP1832) (0.178 COMP283) (0.174 COMP1827) (0.169 COMP175) (0.156 COMP1828)
