Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.727	COMP212	(0.525 COMP1143) (0.494 COMP1832) (0.332 COMP77) (0.246 COMP320) (0.221 COMP1731) (0.190 COMP1110) (0.165 COMP283) (0.141 COMP1100) (0.140 COMP1831) (0.124 COMP930) (0.117 COMP867) (0.116 COMP1304/COMP1834) (0.110 COMP1829) (0.109 COMP1827/COMP1830) (0.105 COMP175) (0.104 COMP857) (0.103 COMP1825)
Aldehyde dehydrogenase substrate	0.576	COMP212	(0.491 COMP1143) (0.294 COMP1832) (0.265 COMP1110) (0.201 COMP1731) (0.188 COMP1100) (0.130 COMP867) (0.121 COMP320) (0.112 COMP1826) (0.106 COMP1827) (0.105 COMP215) (0.103 COMP1810) (0.099 COMP175/COMP857)
Aldehyde oxidase substrate	0.648	COMP1143	(0.553 COMP212) (0.324 COMP1826) (0.280 COMP1810) (0.247 COMP1100) (0.227 COMP1833) (0.193 COMP215) (0.188 COMP1832) (0.175 COMP175) (0.171 COMP857) (0.155 COMP1835) (0.138 COMP1836) (0.137 COMP1110)
Aldose reductase substrate	0.954	COMP1731	(0.532 COMP1827) (0.478 COMP867) (0.323 COMP1828) (0.275 COMP1829) (0.249 COMP175) (0.218 COMP1110) (0.214 COMP1826) (0.210 COMP1825) (0.200 COMP1832) (0.197 COMP212) (0.180 COMP1100) (0.170 COMP1143) (0.166 COMP1833) (0.141 COMP1810) (0.138 COMP215) (0.131 COMP1835) (0.129 COMP1836)
Arylamine N-Acetyltransferase substrate	0.417	COMP1100	(0.245 COMP1826) (0.243 COMP1810) (0.164 COMP175) (0.157 COMP212) (0.151 COMP215) (0.110 COMP1731/COMP1835) (0.105 COMP1832) (0.094 COMP857) (0.092 COMP1833) (0.089 COMP1825)
CYP1A2 inhibitor	0.908	COMP283	(0.795 COMP1835) (0.707 COMP1836) (0.613 COMP215) (0.437 COMP1828) (0.381 COMP857) (0.342 COMP1143) (0.268 COMP212) (0.247 COMP242) (0.224 COMP1827) (0.221 COMP1833) (0.203 COMP1826) (0.187 COMP1100)
CYP1A2 substrate	0.888	COMP1836	(0.798 COMP215) (0.761 COMP857) (0.744 COMP212) (0.733 COMP1143) (0.616 COMP242) (0.595 COMP1835) (0.564 COMP1827) (0.481 COMP283) (0.458 COMP1810) (0.361 COMP1828) (0.352 COMP175) (0.321 COMP1825) (0.298 COMP1100) (0.288 COMP867) (0.269 COMP77) (0.251 COMP1731) (0.235 COMP1832) (0.209 COMP1833) (0.204 COMP1826)
CYP24 inhibitor	0.060	COMP77	(0.030 COMP175)
CYP2A6 inhibitor	0.644	COMP283	(0.277 COMP212) (0.255 COMP215) (0.171 COMP1143) (0.130 COMP857) (0.088 COMP1835) (0.071 COMP1825)
CYP2B6 inhibitor	0.535	COMP283	(0.443 COMP215) (0.268 COMP1835) (0.261 COMP1143) (0.260 COMP1832) (0.258 COMP212) (0.236 COMP1100) (0.202 COMP857) (0.193 COMP1836) (0.173 COMP1833) (0.161 COMP1826) (0.160 COMP1825) (0.155 COMP242) (0.152 COMP77)
CYP2C19 inhibitor	0.651	COMP283	(0.610 COMP1836) (0.570 COMP1835) (0.556 COMP242) (0.483 COMP215) (0.454 COMP1828) (0.425 COMP1143) (0.416 COMP212) (0.393 COMP1833) (0.369 COMP1100) (0.353 COMP857) (0.296 COMP1731) (0.294 COMP1826) (0.261 COMP77) (0.238 COMP1827) (0.227 COMP1832) (0.218 COMP1810) (0.217 COMP867)
CYP2C19 substrate	0.897	COMP77	(0.759 COMP1836) (0.756 COMP1827) (0.708 COMP1143) (0.697 COMP212) (0.687 COMP215) (0.627 COMP867) (0.558 COMP242) (0.519 COMP1828) (0.489 COMP1825) (0.423 COMP283) (0.375 COMP1835) (0.367 COMP1100) (0.353 COMP1832) (0.342 COMP1731) (0.337 COMP1810) (0.327 COMP175) (0.309 COMP857) (0.269 COMP320) (0.197 COMP930) (0.191 COMP1833) (0.190 COMP1826) (0.184 COMP1834)
CYP2C9 inhibitor	0.463	COMP1835	(0.454 COMP1836) (0.438 COMP1833) (0.417 COMP215) (0.389 COMP242) (0.383 COMP1826) (0.372 COMP1100) (0.299 COMP283) (0.275 COMP1810) (0.267 COMP857) (0.233 COMP1143) (0.230 COMP212)
