Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.720	COMP215	(0.564 COMP1100) (0.556 COMP1836) (0.525 COMP857) (0.426 COMP1143) (0.415 COMP1832) (0.409 COMP1835) (0.384 COMP212) (0.382 COMP242) (0.379 COMP175) (0.374 COMP1825/COMP1827) (0.313 COMP1810) (0.302 COMP1826) (0.283 COMP283) (0.281 COMP320) (0.221 COMP1833) (0.209 COMP1731)
Adenosine uptake inhibitor	0.038	COMP1731	
Antiviral (CMV)	0.306	COMP1110	(0.174 COMP1832) (0.131 COMP1731) (0.109 COMP320) (0.103 COMP1831) (0.100 COMP1829)
Apical sodium codependent bile acid transporter inhibitor	0.129	COMP242	(0.092 COMP1831) (0.037 COMP77) (0.027 COMP1731) (0.025 COMP1832)
Electron transport complex I inhibitor	0.429	COMP1825	(0.212 COMP1836) (0.179 COMP1835) (0.143 COMP1143) (0.140 COMP215/COMP242) (0.129 COMP1832) (0.128 COMP857)
Endocannabinoid uptake inhibitor	0.197	COMP1832	(0.103 COMP1143/COMP212) (0.087 COMP1100) (0.068 COMP857) (0.066 COMP215) (0.064 COMP1825)
Equilibrative nucleoside transport protein inhibitor	0.252	COMP1110	(0.104 COMP1731) (0.067 COMP1827) (0.063 COMP867) (0.054 COMP1832)
Excitatory amino acid transporter 2 inhibitor	0.023	COMP1832	
Excitatory amino acid transporter 3 inhibitor	0.024	COMP1832	
Excitatory amino acid transporter EAAC1 inhibitor	0.405	COMP1100	(0.399 COMP1810) (0.337 COMP1826) (0.329 COMP175) (0.269 COMP212) (0.219 COMP1832) (0.209 COMP1825) (0.193 COMP215) (0.185 COMP857) (0.161 COMP1731) (0.154 COMP1833) (0.125 COMP1143) (0.109 COMP1835)
Folate transporter 1 inhibitor	0.015	COMP1826	
GABA transporter 1 inhibitor	0.020	COMP1100	(0.018 COMP175/COMP212) (0.014 COMP1832)
GABA transporter 2 inhibitor	0.049	COMP1100	(0.031 COMP1832)
GABA transporter 3 inhibitor	0.109	COMP1143	(0.097 COMP212) (0.071 COMP1100) (0.053 COMP1832)
GABA transporter inhibitor	0.040	COMP212	(0.038 COMP1100) (0.029 COMP1143) (0.027 COMP175) (0.021 COMP1832) (0.019 COMP1826)
GABA uptake inhibitor	0.100	COMP1100	(0.083 COMP1832) (0.075 COMP175) (0.048 COMP1826) (0.046 COMP1810/COMP212) (0.040 COMP320)
Glycine transporter 2 inhibitor	0.064	COMP1832	
Ileal bile acid transport inhibitor	0.071	COMP1731/COMP77	(0.043 COMP1832) (0.030 COMP867) (0.015 COMP175/COMP1827)
Monocarboxylic acid transporter 1 inhibitor	0.026	COMP215	(0.022 COMP1100) (0.021 COMP175)
Monocarboxylic acid transporter inhibitor	0.026	COMP215	(0.022 COMP1100) (0.021 COMP175)
Multidrug resistance-associated protein 1 inhibitor	0.328	COMP1835	(0.251 COMP1836) (0.207 COMP1828) (0.195 COMP215) (0.146 COMP857) (0.127 COMP242) (0.100 COMP1827)
Nucleoside transporters inhibitor	0.195	COMP1110	(0.085 COMP1731) (0.050 COMP1835) (0.045 COMP1100/COMP1827) (0.044 COMP1143/COMP215) (0.032 COMP212) (0.030 COMP867)
P-glycoprotein inhibitor	0.627	COMP1835	(0.500 COMP867) (0.498 COMP1836) (0.495 COMP1828) (0.334 COMP857) (0.299 COMP215) (0.256 COMP242) (0.249 COMP1827) (0.241 COMP1832) (0.240 COMP283) (0.232 COMP77) (0.228 COMP1304) (0.226 COMP1834) (0.221 COMP320) (0.202 COMP930) (0.192 COMP1829) (0.187 COMP1831) (0.182 COMP1830) (0.154 COMP1143/COMP1731)
Phosphate transporter inhibitor	0.068	COMP1832	
