Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine 1B agonist	0.051	COMP2427	
5 Hydroxytryptamine 2A agonist	0.083	COMP2444	(0.057 COMP284)
5 Hydroxytryptamine 3 agonist	0.087	COMP2427	(0.069 COMP2441)
5 Hydroxytryptamine 3A agonist	0.147	COMP2441	(0.108 COMP2432) (0.106 COMP222) (0.097 COMP2429)
ATPase inhibitor	0.255	COMP2427	(0.253 COMP222) (0.240 COMP2445) (0.238 COMP216) (0.233 COMP2432) (0.218 COMP1448) (0.207 COMP2189) (0.203 COMP1561) (0.184 COMP2429) (0.176 COMP2447) (0.175 COMP2430) (0.171 COMP289) (0.166 COMP2444) (0.164 COMP314) (0.160 COMP284) (0.157 COMP2436) (0.151 COMP2437) (0.140 COMP1730) (0.136 COMP2433)
Acetylcholine M1 receptor antagonist	0.209	COMP2428	(0.154 COMP2427) (0.148 COMP2441) (0.134 COMP2430) (0.130 COMP2429)
Acetylcholinesterase inhibitor	0.574	COMP216	(0.502 COMP222) (0.437 COMP2432) (0.393 COMP1730) (0.391 COMP289) (0.369 COMP284) (0.359 COMP2433) (0.356 COMP1561) (0.277 COMP2427) (0.268 COMP314) (0.262 COMP2446) (0.236 COMP2428) (0.196 COMP2437) (0.174 COMP2444) (0.170 COMP2439) (0.168 COMP2431) (0.153 COMP2442) (0.147 COMP2440) (0.146 COMP2436) (0.139 COMP396) (0.137 COMP2430) (0.120 COMP2435/COMP392) (0.111 COMP2429) (0.109 COMP2445) (0.108 COMP1448) (0.104 COMP2443)
Aconitate hydratase inhibitor	0.212	COMP2189	(0.162 COMP1448) (0.129 COMP2447) (0.083 COMP2432) (0.077 COMP222) (0.057 COMP216) (0.051 COMP1730) (0.049 COMP1561/COMP2444)
Acyl-CoA dehydrogenase inhibitor	0.231	COMP2189	(0.143 COMP2447) (0.102 COMP1448) (0.062 COMP222/COMP2432)
Adenosine A2a receptor antagonist	0.079	COMP392	
Adenosine deaminase inhibitor	0.094	COMP2189	(0.086 COMP2447) (0.052 COMP1448)
Adenylate cyclase inhibitor	0.197	COMP1448	(0.160 COMP2189) (0.144 COMP2429) (0.118 COMP2430) (0.117 COMP2432) (0.098 COMP222) (0.097 COMP2447)
Adenylate kinase inhibitor	0.334	COMP2189	(0.210 COMP1448) (0.207 COMP2447) (0.141 COMP2432) (0.138 COMP2429) (0.136 COMP222) (0.102 COMP1730) (0.095 COMP216) (0.094 COMP2436)
Alcohol dehydrogenase inhibitor	0.400	COMP1448	(0.367 COMP2447) (0.228 COMP222) (0.200 COMP1561) (0.185 COMP2189) (0.160 COMP2432) (0.104 COMP216/COMP2429) (0.095 COMP1730)
Aldosterone antagonist	0.083	COMP1561	(0.058 COMP2432) (0.054 COMP2189) (0.052 COMP216) (0.046 COMP222) (0.043 COMP1448)
Alkaline phosphatase inhibitor	0.310	COMP222	(0.308 COMP2432) (0.290 COMP216) (0.270 COMP2433) (0.262 COMP284) (0.255 COMP289) (0.248 COMP1448) (0.243 COMP1730) (0.180 COMP314) (0.177 COMP2444) (0.141 COMP2440) (0.123 COMP2447) (0.107 COMP2439)
Alpha 1b adrenoreceptor antagonist	0.070	COMP2441	
Alpha 2a adrenoreceptor antagonist	0.081	COMP2427	(0.070 COMP2444) (0.069 COMP2441) (0.068 COMP2437)
Alpha-mannosidase inhibitor	0.360	COMP2189	(0.060 COMP2447) (0.056 COMP2432) (0.053 COMP222)
Aminopeptidase P inhibitor	0.022	COMP2189	
Androgen agonist	0.138	COMP222	(0.135 COMP1561) (0.101 COMP1730) (0.095 COMP2432) (0.091 COMP216) (0.069 COMP2433) (0.058 COMP289) (0.057 COMP2189) (0.055 COMP2429/COMP2435) (0.054 COMP2440/COMP2447)
Androgen antagonist	0.227	COMP222	(0.214 COMP2442) (0.154 COMP216) (0.153 COMP2432) (0.149 COMP2443) (0.138 COMP2189) (0.129 COMP1561) (0.112 COMP2444) (0.106 COMP2435) (0.098 COMP1730) (0.079 COMP2447) (0.078 COMP2429) (0.077 COMP1448/COMP2434)
Arginase inhibitor	0.063	COMP2447	(0.053 COMP2189) (0.047 COMP222) (0.043 COMP1448) (0.034 COMP2432)
Argininosuccinate synthase inhibitor	0.149	COMP1448	(0.140 COMP2447) (0.138 COMP2429) (0.128 COMP2189) (0.068 COMP2432) (0.063 COMP222)
Aryl hydrocarbon receptor agonist	0.677	COMP216	(0.608 COMP222) (0.584 COMP2433) (0.577 COMP2427) (0.559 COMP1730) (0.504 COMP314) (0.490 COMP2437) (0.486 COMP289) (0.464 COMP2432) (0.447 COMP284) (0.425 COMP2430) (0.403 COMP2429) (0.353 COMP2439) (0.318 COMP2431) (0.314 COMP1448) (0.306 COMP2428) (0.238 COMP392) (0.224 COMP396) (0.220 COMP2444) (0.213 COMP1561) (0.176 COMP2441)
Beta 1 adrenoreceptor agonist	0.046	COMP2447	(0.023 COMP2189) (0.022 COMP1448)
Beta 1 adrenoreceptor antagonist	0.086	COMP2189	(0.075 COMP2444) (0.067 COMP2447) (0.066 COMP2429)
Beta 2 adrenoreceptor agonist	0.083	COMP2447	(0.068 COMP2189) (0.062 COMP2444) (0.060 COMP1448)
Beta 2 adrenoreceptor antagonist	0.072	COMP2189	(0.071 COMP2447) (0.066 COMP2444) (0.052 COMP2429)
Butyrylcholinesterase inhibitor	0.425	COMP216	(0.343 COMP222) (0.281 COMP1561) (0.258 COMP2432) (0.250 COMP2427) (0.178 COMP2428) (0.155 COMP1730) (0.143 COMP289) (0.133 COMP2433) (0.117 COMP284) (0.115 COMP2430) (0.110 COMP314) (0.104 COMP2444) (0.092 COMP2437) (0.091 COMP2429)
CYP1A2 inhibitor	0.914	COMP314	(0.901 COMP284) (0.886 COMP289) (0.878 COMP2433) (0.794 COMP1730) (0.658 COMP216) (0.626 COMP2446) (0.610 COMP222) (0.609 COMP1561) (0.600 COMP2432) (0.593 COMP2436) (0.471 COMP2444) (0.445 COMP2427) (0.440 COMP2437) (0.396 COMP2440) (0.364 COMP2439) (0.352 COMP2430) (0.351 COMP396) (0.345 COMP2431) (0.331 COMP1448) (0.315 COMP392) (0.265 COMP2428) (0.261 COMP2429) (0.247 COMP2447)
CYP2C9 inhibitor	0.509	COMP289	(0.464 COMP1730) (0.444 COMP314) (0.436 COMP2430) (0.415 COMP1448) (0.414 COMP2447) (0.406 COMP222) (0.395 COMP216) (0.392 COMP2428) (0.390 COMP284) (0.368 COMP1561) (0.364 COMP2433) (0.351 COMP2436) (0.336 COMP2444) (0.334 COMP2427) (0.319 COMP2432) (0.314 COMP2429) (0.290 COMP2440) (0.260 COMP392) (0.254 COMP2439)
CYP2D6 inhibitor	0.407	COMP2430	(0.398 COMP2436) (0.339 COMP284) (0.324 COMP289) (0.323 COMP2433) (0.321 COMP2428) (0.317 COMP314) (0.316 COMP2427) (0.311 COMP1730) (0.269 COMP2439) (0.256 COMP392) (0.227 COMP2431) (0.203 COMP216) (0.199 COMP1561) (0.184 COMP396) (0.181 COMP2429/COMP2444)
CYP3A4 inhibitor	0.790	COMP2446	(0.728 COMP2436) (0.608 COMP314) (0.607 COMP284) (0.581 COMP289) (0.567 COMP2433) (0.516 COMP1730) (0.427 COMP1561) (0.367 COMP216) (0.350 COMP2439) (0.340 COMP2430) (0.324 COMP2427) (0.320 COMP222) (0.314 COMP392) (0.312 COMP2431) (0.300 COMP2432) (0.269 COMP2440) (0.250 COMP2428) (0.239 COMP396)
Ca2+-transporting ATPase inhibitor	0.217	COMP1448	(0.194 COMP2447) (0.192 COMP2189) (0.185 COMP2445) (0.176 COMP2432) (0.174 COMP222) (0.161 COMP2429) (0.157 COMP1561/COMP216) (0.155 COMP2437) (0.152 COMP2444) (0.147 COMP1730/COMP2442) (0.141 COMP2435) (0.138 COMP2433/COMP2441/COMP284/COMP289/COMP314) (0.132 COMP2427) (0.131 COMP2443)
Carbonic anhydrase I inhibitor	0.090	COMP222	(0.070 COMP216) (0.065 COMP1561)
Carbonic anhydrase II inhibitor	0.071	COMP222	(0.053 COMP216)
Carbonic anhydrase inhibitor	0.200	COMP222	(0.164 COMP216) (0.145 COMP1561) (0.137 COMP1730/COMP2432) (0.096 COMP2433) (0.093 COMP289) (0.081 COMP284)
Catalase inhibitor	0.257	COMP2189	(0.175 COMP2447) (0.158 COMP1448) (0.102 COMP2429) (0.088 COMP222) (0.080 COMP2432) (0.072 COMP2444)
Cyclooxygenase 1 inhibitor	0.294	COMP2432	(0.260 COMP2444) (0.209 COMP222) (0.183 COMP216) (0.181 COMP1561) (0.175 COMP1448) (0.146 COMP2447) (0.131 COMP2437) (0.130 COMP2427)
Cyclooxygenase 2 inhibitor	0.222	COMP2432	(0.214 COMP216) (0.205 COMP222) (0.188 COMP1561) (0.145 COMP1730) (0.135 COMP289) (0.132 COMP2444) (0.128 COMP2433) (0.119 COMP284) (0.113 COMP1448/COMP2427) (0.104 COMP2445)
Cyclooxygenase inhibitor	0.275	COMP2432	(0.242 COMP222) (0.239 COMP216) (0.213 COMP2444) (0.196 COMP1561) (0.146 COMP1730) (0.140 COMP289) (0.138 COMP1448) (0.131 COMP2433) (0.121 COMP2427/COMP284) (0.113 COMP2437)
Cystathionine beta-synthase inhibitor	0.760	COMP1448	(0.636 COMP222) (0.498 COMP2447) (0.443 COMP216) (0.420 COMP2432) (0.369 COMP2444) (0.331 COMP2437) (0.225 COMP2433) (0.219 COMP2441) (0.218 COMP1730) (0.207 COMP1561) (0.184 COMP2189) (0.183 COMP2442) (0.154 COMP284) (0.150 COMP289) (0.142 COMP2427) (0.138 COMP2443) (0.127 COMP2434) (0.123 COMP2429) (0.122 COMP2428) (0.121 COMP2435)
DNA polymerase beta inhibitor	0.557	COMP289	(0.550 COMP1730) (0.480 COMP2433) (0.451 COMP284) (0.427 COMP216) (0.420 COMP2432) (0.401 COMP2439) (0.398 COMP392) (0.390 COMP2446) (0.387 COMP222) (0.362 COMP2431) (0.361 COMP2427) (0.348 COMP314) (0.326 COMP396) (0.315 COMP1448) (0.293 COMP2444) (0.261 COMP2428) (0.218 COMP2440)
DOPA decarboxylase inhibitor	0.317	COMP1448	(0.274 COMP2447) (0.227 COMP222) (0.212 COMP2432) (0.199 COMP2430) (0.181 COMP2444) (0.150 COMP2189) (0.144 COMP216) (0.143 COMP2428) (0.141 COMP1730) (0.135 COMP2427) (0.121 COMP289) (0.113 COMP2437) (0.110 COMP2433/COMP284) (0.097 COMP2439) (0.093 COMP2431)
Dihydrofolate reductase inhibitor	0.057	COMP2444	(0.045 COMP2441) (0.041 COMP2431) (0.040 COMP2439)
Dopamine D2 agonist	0.059	COMP2443	(0.051 COMP2442) (0.042 COMP2435) (0.040 COMP2437)
Dopamine D2 antagonist	0.125	COMP2428	(0.096 COMP2430) (0.079 COMP2427) (0.066 COMP284) (0.061 COMP2433)
Electron transport complex I inhibitor	0.562	COMP2443	(0.459 COMP1561) (0.360 COMP2447) (0.261 COMP2446) (0.184 COMP2429) (0.182 COMP216) (0.169 COMP2438) (0.145 COMP2432) (0.144 COMP2445) (0.141 COMP2444) (0.139 COMP2428) (0.132 COMP222) (0.127 COMP1448) (0.123 COMP2440) (0.117 COMP2434) (0.116 COMP2435/COMP2437) (0.115 COMP2431) (0.112 COMP289/COMP396) (0.111 COMP2442) (0.108 COMP2439) (0.107 COMP2430) (0.106 COMP314) (0.104 COMP284) (0.103 COMP2436) (0.097 COMP2433)
Endothelin A receptor antagonist	0.136	COMP2427	(0.093 COMP2430) (0.068 COMP2428)
Estrogen agonist	0.284	COMP222	(0.154 COMP2444) (0.127 COMP2447) (0.101 COMP2432) (0.080 COMP1448) (0.070 COMP2442) (0.054 COMP2443) (0.052 COMP216) (0.049 COMP2435)
Excitatory amino acid transporter 2 inhibitor	0.026	COMP2189	
Fumarate hydratase inhibitor	0.141	COMP2189	(0.060 COMP2447) (0.047 COMP1448) (0.039 COMP2432) (0.037 COMP222)
GABA A receptor agonist	0.101	COMP2427	(0.084 COMP2441)
GABA A receptor antagonist	0.053	COMP2429	
GABA aminotransferase inhibitor	0.371	COMP1448	(0.323 COMP2433/COMP284) (0.194 COMP222) (0.189 COMP1730) (0.164 COMP289) (0.136 COMP2432) (0.129 COMP2447) (0.125 COMP216) (0.111 COMP2444) (0.109 COMP2440) (0.103 COMP2189) (0.099 COMP2436) (0.098 COMP2446) (0.095 COMP314) (0.084 COMP1561)
GABA transporter 1 inhibitor	0.016	COMP2189	
GRP78 expression inhibitor	0.029	COMP2189	(0.023 COMP2432) (0.022 COMP222) (0.021 COMP1448)
Glucocorticoid agonist	0.011	COMP2429	
Glucocorticoid antagonist	0.051	COMP2429	(0.036 COMP2430)
Glucose-6-phosphate isomerase inhibitor	0.320	COMP2189	(0.107 COMP222) (0.105 COMP1730) (0.093 COMP2432) (0.082 COMP2436) (0.078 COMP2433/COMP284/COMP289) (0.075 COMP314) (0.074 COMP216) (0.072 COMP1561) (0.062 COMP2447) (0.057 COMP2446) (0.055 COMP1448) (0.044 COMP2440/COMP2444)
