Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.166	COMP1448	(0.108 COMP2447) (0.090 COMP2446) (0.086 COMP1561) (0.085 COMP2444)
AR expression inhibitor	0.694	COMP1561	(0.602 COMP222) (0.565 COMP314) (0.528 COMP2444) (0.516 COMP2432) (0.506 COMP2433) (0.502 COMP1730) (0.492 COMP1448) (0.482 COMP284) (0.481 COMP2440) (0.477 COMP2447) (0.468 COMP2446) (0.444 COMP216) (0.436 COMP289) (0.430 COMP2442) (0.429 COMP2436) (0.424 COMP2443) (0.394 COMP2445) (0.385 COMP2437) (0.333 COMP2429) (0.330 COMP2438) (0.326 COMP2435) (0.305 COMP2434) (0.241 COMP2431) (0.219 COMP2439) (0.195 COMP2189/COMP392/COMP396) (0.181 COMP2430)
CTGF expression inhibitor	0.803	COMP2447	(0.758 COMP222) (0.737 COMP1448) (0.694 COMP2444) (0.660 COMP2432) (0.561 COMP216) (0.554 COMP1561) (0.551 COMP1730) (0.505 COMP2433) (0.474 COMP2429) (0.412 COMP2435) (0.369 COMP2189) (0.348 COMP2437) (0.346 COMP284) (0.341 COMP2434) (0.338 COMP289) (0.299 COMP2440) (0.286 COMP2428) (0.275 COMP2430) (0.260 COMP2427) (0.256 COMP2443/COMP2446) (0.253 COMP2442) (0.250 COMP314) (0.239 COMP2441) (0.222 COMP2445) (0.215 COMP396) (0.213 COMP2431) (0.210 COMP392) (0.206 COMP2439)
GRP78 expression inhibitor	0.029	COMP2189	(0.023 COMP2432) (0.022 COMP222) (0.021 COMP1448)
ICAM1 expression inhibitor	0.525	COMP2445	(0.519 COMP222) (0.477 COMP2433) (0.473 COMP216) (0.472 COMP1730) (0.465 COMP2444) (0.461 COMP1561) (0.459 COMP2446) (0.456 COMP284) (0.433 COMP2432) (0.425 COMP314) (0.422 COMP2447) (0.421 COMP289) (0.384 COMP392) (0.372 COMP2436) (0.359 COMP396) (0.353 COMP1448) (0.348 COMP2440) (0.340 COMP2438) (0.337 COMP2189) (0.308 COMP2439) (0.306 COMP2431)
LDLR expression enhancer	0.252	COMP216	(0.246 COMP2444) (0.241 COMP222) (0.222 COMP2447) (0.215 COMP1448) (0.212 COMP2427) (0.193 COMP2428) (0.181 COMP2432) (0.170 COMP284) (0.166 COMP289) (0.163 COMP2430) (0.160 COMP2433) (0.155 COMP2189) (0.151 COMP2437) (0.148 COMP2439) (0.140 COMP1561)
NOS2 expression inhibitor	0.764	COMP1561	(0.728 COMP222) (0.712 COMP314) (0.683 COMP2444) (0.635 COMP216) (0.624 COMP2436) (0.603 COMP2432) (0.584 COMP1730) (0.565 COMP289) (0.547 COMP2433) (0.515 COMP1448) (0.505 COMP284) (0.499 COMP2446) (0.493 COMP2447) (0.482 COMP2440) (0.467 COMP2445) (0.429 COMP2443) (0.415 COMP2438) (0.378 COMP2437) (0.357 COMP2189) (0.299 COMP2427) (0.291 COMP2442) (0.287 COMP2435) (0.286 COMP2430) (0.257 COMP2434) (0.243 COMP2428) (0.229 COMP2429) (0.179 COMP2431) (0.167 COMP2439) (0.162 COMP396)
NOS3 expression enhancer	0.368	COMP1561	(0.351 COMP2444) (0.314 COMP1448) (0.245 COMP222) (0.192 COMP2447) (0.183 COMP2432) (0.155 COMP2443) (0.147 COMP2440) (0.138 COMP314) (0.134 COMP2442)
NOS3 expression inhibitor	0.960	COMP2189	(0.737 COMP2446) (0.736 COMP1561) (0.674 COMP222) (0.531 COMP216) (0.512 COMP2432) (0.502 COMP2447) (0.493 COMP1730) (0.474 COMP284) (0.472 COMP2433) (0.453 COMP289) (0.443 COMP2436) (0.435 COMP1448) (0.431 COMP2444) (0.394 COMP2445) (0.391 COMP314) (0.360 COMP2442) (0.356 COMP2435) (0.341 COMP2443) (0.331 COMP2434) (0.265 COMP2440) (0.253 COMP2437) (0.226 COMP2438) (0.191 COMP2429)
TNF expression inhibitor	0.728	COMP222	(0.696 COMP2433) (0.628 COMP2447) (0.627 COMP216) (0.621 COMP284) (0.616 COMP2444) (0.600 COMP314) (0.583 COMP1448) (0.578 COMP1730/COMP2436) (0.554 COMP2432) (0.530 COMP1561/COMP289) (0.523 COMP2189) (0.510 COMP2446) (0.466 COMP2440) (0.435 COMP2445) (0.426 COMP2429) (0.350 COMP2437) (0.337 COMP2442) (0.328 COMP2443) (0.323 COMP2431) (0.321 COMP2439) (0.298 COMP2427) (0.289 COMP2438) (0.285 COMP396) (0.271 COMP2430) (0.270 COMP2435) (0.261 COMP392) (0.258 COMP2428)
