Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.523	COMP2189	(0.165 COMP2436/COMP314) (0.153 COMP2447) (0.137 COMP2444) (0.112 COMP2440) (0.111 COMP2443) (0.107 COMP2428) (0.105 COMP1448) (0.104 COMP2430)
Aldehyde dehydrogenase substrate	0.210	COMP2189	(0.209 COMP2447) (0.156 COMP2444) (0.121 COMP1448) (0.113 COMP2436) (0.110 COMP2429)
Aldehyde oxidase substrate	0.306	COMP2189	(0.187 COMP2437) (0.185 COMP1448) (0.180 COMP2432) (0.173 COMP2441) (0.157 COMP222) (0.155 COMP2427) (0.150 COMP216) (0.144 COMP2439) (0.142 COMP2431)
Aldose reductase substrate	0.968	COMP2189	(0.235 COMP1448) (0.174 COMP2432) (0.157 COMP2435) (0.150 COMP222) (0.149 COMP2436) (0.141 COMP2437) (0.134 COMP2434)
Arylamine N-Acetyltransferase substrate	0.326	COMP1448	(0.171 COMP222) (0.170 COMP2189) (0.168 COMP2447) (0.105 COMP2437) (0.089 COMP2432)
CYP1A2 inhibitor	0.914	COMP314	(0.901 COMP284) (0.886 COMP289) (0.878 COMP2433) (0.794 COMP1730) (0.658 COMP216) (0.626 COMP2446) (0.610 COMP222) (0.609 COMP1561) (0.600 COMP2432) (0.593 COMP2436) (0.471 COMP2444) (0.445 COMP2427) (0.440 COMP2437) (0.396 COMP2440) (0.364 COMP2439) (0.352 COMP2430) (0.351 COMP396) (0.345 COMP2431) (0.331 COMP1448) (0.315 COMP392) (0.265 COMP2428) (0.261 COMP2429) (0.247 COMP2447)
CYP1A2 substrate	0.818	COMP222	(0.741 COMP216) (0.684 COMP2432) (0.525 COMP2433) (0.521 COMP1730) (0.505 COMP2437) (0.499 COMP2444) (0.483 COMP1448) (0.463 COMP2436) (0.455 COMP1561) (0.447 COMP2427) (0.446 COMP284/COMP289) (0.401 COMP314) (0.371 COMP2446) (0.368 COMP2189) (0.347 COMP2443) (0.293 COMP2440) (0.268 COMP2447) (0.264 COMP2435) (0.261 COMP2428) (0.245 COMP2430) (0.242 COMP2441) (0.241 COMP2434) (0.219 COMP2429) (0.209 COMP2442)
CYP24 inhibitor	0.029	COMP2444	
CYP2A6 inhibitor	0.691	COMP2440	(0.655 COMP1730) (0.653 COMP314) (0.604 COMP289) (0.601 COMP284) (0.596 COMP2433) (0.366 COMP1561) (0.350 COMP2446) (0.323 COMP2436) (0.284 COMP222) (0.282 COMP216) (0.249 COMP2432) (0.160 COMP2445) (0.122 COMP2438) (0.102 COMP2427) (0.099 COMP392) (0.094 COMP2439) (0.089 COMP2431) (0.080 COMP396) (0.078 COMP2429) (0.077 COMP2430)
CYP2B6 inhibitor	0.710	COMP314	(0.583 COMP289) (0.551 COMP1730) (0.459 COMP2436) (0.450 COMP222) (0.433 COMP284) (0.417 COMP216) (0.415 COMP2433) (0.383 COMP2432) (0.336 COMP2440) (0.299 COMP2427) (0.298 COMP2431) (0.283 COMP1561/COMP2439) (0.257 COMP2444) (0.249 COMP2446) (0.240 COMP2189) (0.239 COMP2447) (0.235 COMP392) (0.231 COMP396) (0.216 COMP2429) (0.207 COMP2437) (0.205 COMP2428) (0.203 COMP2430) (0.174 COMP1448) (0.164 COMP2443)
CYP2C19 inhibitor	0.701	COMP284	(0.680 COMP2433) (0.671 COMP289) (0.640 COMP314) (0.614 COMP1730) (0.607 COMP2436) (0.554 COMP1561) (0.544 COMP2427) (0.531 COMP2443) (0.525 COMP2446) (0.516 COMP2432) (0.498 COMP216) (0.480 COMP222) (0.476 COMP2428) (0.475 COMP2444) (0.471 COMP2440) (0.467 COMP2430) (0.457 COMP2439) (0.441 COMP392) (0.436 COMP396) (0.417 COMP2447) (0.414 COMP2431) (0.337 COMP1448) (0.328 COMP2442) (0.326 COMP2189) (0.301 COMP2437) (0.288 COMP2429) (0.230 COMP2441)
CYP2C19 substrate	0.687	COMP222	(0.631 COMP216) (0.558 COMP2432) (0.527 COMP2444) (0.489 COMP1561) (0.454 COMP1448) (0.452 COMP2447) (0.406 COMP2433) (0.390 COMP2436) (0.377 COMP1730) (0.353 COMP314) (0.348 COMP284) (0.342 COMP289) (0.325 COMP2429) (0.314 COMP2437) (0.277 COMP2189) (0.256 COMP2446) (0.244 COMP2440) (0.233 COMP2443) (0.219 COMP2428) (0.214 COMP2442) (0.209 COMP2430) (0.178 COMP2427) (0.177 COMP2434/COMP2441)
CYP2C9 inhibitor	0.509	COMP289	(0.464 COMP1730) (0.444 COMP314) (0.436 COMP2430) (0.415 COMP1448) (0.414 COMP2447) (0.406 COMP222) (0.395 COMP216) (0.392 COMP2428) (0.390 COMP284) (0.368 COMP1561) (0.364 COMP2433) (0.351 COMP2436) (0.336 COMP2444) (0.334 COMP2427) (0.319 COMP2432) (0.314 COMP2429) (0.290 COMP2440) (0.260 COMP392) (0.254 COMP2439)
CYP2C9 substrate	0.798	COMP222	(0.719 COMP216) (0.699 COMP2432) (0.597 COMP1448) (0.587 COMP1561) (0.549 COMP289) (0.547 COMP2437) (0.538 COMP314) (0.537 COMP2436) (0.535 COMP284) (0.528 COMP2447) (0.500 COMP2443) (0.488 COMP1730) (0.481 COMP2444) (0.477 COMP2433) (0.411 COMP2429) (0.366 COMP2428) (0.361 COMP2427) (0.354 COMP2440) (0.334 COMP2430/COMP2435) (0.333 COMP2442) (0.320 COMP2434) (0.307 COMP2189) (0.300 COMP2446) (0.233 COMP2438)
