Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.490	COMP2447	(0.434 COMP1448) (0.364 COMP222) (0.314 COMP2432) (0.312 COMP216) (0.305 COMP2189) (0.204 COMP1561) (0.142 COMP2427) (0.138 COMP1730/COMP2444) (0.132 COMP2429)
Acetylcholine release stimulant	0.145	COMP2441	(0.128 COMP216) (0.123 COMP2439) (0.121 COMP2437/COMP2444) (0.115 COMP2431) (0.113 COMP2447) (0.109 COMP2429) (0.108 COMP2189) (0.107 COMP392/COMP396) (0.106 COMP1448)
Actinic keratosis treatment	0.242	COMP2445	(0.216 COMP1448) (0.209 COMP2447) (0.166 COMP1561) (0.139 COMP222) (0.126 COMP2438) (0.114 COMP2189) (0.110 COMP2432) (0.109 COMP2444) (0.089 COMP216)
Acute neurologic disorders treatment	0.405	COMP2429	(0.346 COMP2430) (0.339 COMP2189) (0.270 COMP2447) (0.214 COMP2441) (0.211 COMP1448)
Acute respiratory distress syndrome (ARDS) treatment	0.329	COMP2189	(0.139 COMP2444)
Alzheimer's disease treatment	0.471	COMP1561	(0.393 COMP222) (0.384 COMP216) (0.360 COMP2432) (0.294 COMP392) (0.278 COMP1730/COMP2444) (0.276 COMP2443)
Amyotrophic lateral sclerosis treatment	0.228	COMP1561	
Anabolic	0.174	COMP2447	(0.151 COMP1448) (0.143 COMP2189) (0.142 COMP222) (0.139 COMP2432) (0.125 COMP1561) (0.117 COMP2444) (0.110 COMP2429) (0.102 COMP216) (0.098 COMP1730) (0.093 COMP2440) (0.089 COMP2436) (0.088 COMP2438)
Analeptic	0.616	COMP222	(0.571 COMP2432) (0.568 COMP2447) (0.474 COMP2443) (0.464 COMP2436) (0.423 COMP216) (0.410 COMP2445) (0.388 COMP314) (0.374 COMP2189) (0.368 COMP1448) (0.309 COMP2444) (0.301 COMP284) (0.299 COMP2435) (0.297 COMP1561/COMP1730) (0.286 COMP289) (0.282 COMP2433) (0.272 COMP2438) (0.217 COMP2434) (0.191 COMP2427) (0.173 COMP2428/COMP2437)
Andropause treatment	0.070	COMP2432	(0.069 COMP2435) (0.068 COMP2434)
Anesthetic	0.254	COMP2189	(0.197 COMP2447) (0.132 COMP2432) (0.124 COMP2444) (0.116 COMP1448) (0.101 COMP222)
Anesthetic general	0.451	COMP2447	(0.353 COMP2432) (0.347 COMP2189) (0.292 COMP2444) (0.287 COMP222) (0.242 COMP216) (0.239 COMP1448) (0.191 COMP2427) (0.188 COMP2437) (0.177 COMP2429) (0.164 COMP2428)
Anesthetic inhalation	0.356	COMP2189	(0.066 COMP216) (0.058 COMP222/COMP2432) (0.057 COMP1730) (0.056 COMP2433/COMP284/COMP289) (0.052 COMP2431) (0.051 COMP2444) (0.048 COMP1561/COMP2439/COMP392/COMP396)
Anesthetic local	0.172	COMP2447	(0.160 COMP2189) (0.121 COMP2432) (0.120 COMP2444)
Angiogenesis inhibitor	0.302	COMP2431	(0.249 COMP2429) (0.245 COMP2437) (0.236 COMP2444) (0.194 COMP2439) (0.188 COMP2430)
Angiogenesis stimulant	0.329	COMP2447	(0.264 COMP1448) (0.234 COMP2444) (0.229 COMP2189) (0.216 COMP2443) (0.191 COMP2429) (0.188 COMP222) (0.170 COMP2432) (0.137 COMP2435)
Ankylosing spondylitis treatment	0.174	COMP2441	
Antiacne	0.305	COMP1448	(0.278 COMP2447) (0.136 COMP314) (0.127 COMP2434) (0.112 COMP222) (0.111 COMP1561)
Antialcoholic	0.223	COMP1448	(0.202 COMP2432) (0.194 COMP222) (0.172 COMP2442) (0.166 COMP2189)
Antiallergic	0.393	COMP2189	(0.385 COMP2434) (0.340 COMP2447)
Antiamyloidogenic	0.437	COMP2442	(0.422 COMP222) (0.402 COMP216) (0.400 COMP2444) (0.395 COMP2432) (0.373 COMP1448) (0.333 COMP2437) (0.317 COMP2447) (0.255 COMP1561) (0.192 COMP2434) (0.170 COMP2435) (0.167 COMP392) (0.157 COMP396) (0.155 COMP2427) (0.154 COMP1730) (0.149 COMP2429)
Antianemic	0.262	COMP1448	(0.246 COMP2189) (0.165 COMP222) (0.164 COMP2447) (0.161 COMP2432) (0.157 COMP2441) (0.144 COMP2437) (0.130 COMP1730) (0.126 COMP392) (0.123 COMP2439)
Antianginal	0.198	COMP1561/COMP2189	
Antianorexic	0.333	COMP2429	(0.299 COMP2430) (0.260 COMP2428) (0.206 COMP1448) (0.189 COMP2432) (0.165 COMP2189) (0.155 COMP2427) (0.146 COMP2447)
Antiarrhythmic	0.392	COMP2446	(0.238 COMP2189) (0.210 COMP1561) (0.204 COMP2428)
Antiarthritic	0.338	COMP1448/COMP2447	(0.320 COMP2189) (0.270 COMP2444)
Antiasthmatic	0.244	COMP2447	
