Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.541	COMP870	(0.521 COMP1295) (0.332 COMP77) (0.290 COMP1298/COMP402) (0.168 COMP1294) (0.149 COMP1290/COMP1297) (0.135 COMP271) (0.127 COMP1289/COMP1291) (0.122 COMP1296) (0.118 COMP1288/COMP1292/COMP1293/COMP1300) (0.114 COMP178)
Aldehyde dehydrogenase substrate	0.503	COMP870	(0.464 COMP1295) (0.218 COMP1298) (0.202 COMP271) (0.169 COMP1290/COMP1297) (0.147 COMP1294)
Aldehyde oxidase substrate	0.525	COMP870	(0.491 COMP1295) (0.303 COMP271) (0.230 COMP1299) (0.215 COMP1294) (0.210 COMP1298) (0.171 COMP1290/COMP1297) (0.165 COMP395)
Aldose reductase substrate	0.192	COMP1298	(0.172 COMP870) (0.171 COMP1294) (0.159 COMP271) (0.144 COMP1295) (0.133 COMP1290/COMP1297) (0.128 COMP402)
Arylamine N-Acetyltransferase substrate	0.238	COMP271	(0.099 COMP1299)
CYP1A2 inhibitor	0.793	COMP849	(0.653 COMP395) (0.308 COMP870) (0.274 COMP1290/COMP1297) (0.270 COMP1298) (0.266 COMP1295) (0.260 COMP271) (0.191 COMP1294)
CYP1A2 substrate	0.932	COMP849	(0.800 COMP1295) (0.754 COMP870) (0.705 COMP395) (0.537 COMP1298) (0.364 COMP1299) (0.354 COMP271) (0.298 COMP1294) (0.269 COMP77) (0.204 COMP1290/COMP1297) (0.193 COMP402)
CYP24 inhibitor	0.060	COMP77	(0.056 COMP402)
CYP2A6 inhibitor	0.271	COMP395	(0.190 COMP870) (0.128 COMP1295)
CYP2B6 inhibitor	0.410	COMP395	(0.269 COMP1298) (0.258 COMP1295) (0.244 COMP849) (0.243 COMP271) (0.226 COMP870) (0.221 COMP1294) (0.187 COMP1290/COMP1297) (0.165 COMP1299) (0.152 COMP77) (0.151 COMP402)
CYP2C19 inhibitor	0.658	COMP849	(0.480 COMP395) (0.401 COMP870) (0.400 COMP1294) (0.344 COMP271) (0.305 COMP1298) (0.282 COMP1295) (0.263 COMP1299) (0.261 COMP77) (0.258 COMP1290/COMP1297)
CYP2C19 substrate	0.897	COMP77	(0.809 COMP849) (0.768 COMP1295) (0.753 COMP402) (0.710 COMP870) (0.613 COMP395) (0.575 COMP1298) (0.511 COMP1299) (0.504 COMP1290/COMP1297) (0.473 COMP271) (0.391 COMP1294) (0.183 COMP1289) (0.174 COMP1292/COMP1293)
CYP2C9 inhibitor	0.515	COMP849	(0.357 COMP271) (0.356 COMP395) (0.327 COMP1294) (0.242 COMP1298) (0.217 COMP870)
CYP2C9 substrate	0.782	COMP1295	(0.744 COMP870) (0.717 COMP77) (0.714 COMP395) (0.619 COMP402) (0.567 COMP271) (0.509 COMP1289) (0.499 COMP1298) (0.486 COMP1292/COMP1293) (0.476 COMP1299) (0.463 COMP1290/COMP1297) (0.455 COMP1296/COMP849) (0.396 COMP1294) (0.360 COMP1288/COMP1300)
CYP2D6 inhibitor	0.213	COMP1299	(0.206 COMP1298)
CYP2D6 substrate	0.568	COMP1295	(0.542 COMP395) (0.537 COMP1298) (0.521 COMP870) (0.446 COMP849) (0.437 COMP77) (0.436 COMP1299) (0.323 COMP271) (0.304 COMP402) (0.302 COMP1294) (0.257 COMP1290/COMP1297)
CYP3A4 inhibitor	0.351	COMP395	(0.330 COMP849) (0.201 COMP1298) (0.199 COMP1290/COMP1297) (0.191 COMP1299)
CYP3A4 substrate	0.883	COMP77	(0.863 COMP402) (0.659 COMP1295) (0.633 COMP870) (0.632 COMP849) (0.473 COMP1298) (0.472 COMP395) (0.458 COMP1299) (0.429 COMP1289) (0.392 COMP1294) (0.373 COMP1292/COMP1293) (0.346 COMP271) (0.339 COMP1296) (0.331 COMP1288/COMP1300) (0.293 COMP1290/COMP1297) (0.261 COMP178)
FMO1 substrate	0.734	COMP1295	(0.627 COMP271) (0.587 COMP870) (0.529 COMP1298) (0.489 COMP1299) (0.453 COMP395) (0.423 COMP1294) (0.314 COMP1290/COMP1297) (0.250 COMP849)
FMO3 substrate	0.436	COMP271	(0.434 COMP1299) (0.328 COMP1295) (0.310 COMP395) (0.309 COMP1298) (0.280 COMP870) (0.221 COMP1294) (0.219 COMP1290/COMP1297)
Flavin-containing monooxygenase substrate	0.519	COMP1295	(0.403 COMP1299) (0.341 COMP271) (0.333 COMP1298) (0.296 COMP870) (0.245 COMP395) (0.195 COMP1294)
GST A substrate	0.606	COMP1295	(0.564 COMP1290/COMP1297) (0.537 COMP1298/COMP271/COMP870) (0.440 COMP395) (0.418 COMP1294) (0.365 COMP1299) (0.318 COMP849)
