Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.928	COMP478/COMP499/COMP513/COMP624	(0.920 COMP1) (0.830 COMP1061) (0.792 COMP1177/COMP524) (0.788 COMP685) (0.759 COMP691) (0.669 COMP708) (0.639 COMP476) (0.638 COMP473) (0.580 COMP141) (0.569 COMP1425) (0.488 COMP20) (0.481 COMP295) (0.474 COMP297) (0.422 COMP480) (0.421 COMP40) (0.400 COMP27) (0.352 COMP16/COMP18/COMP54) (0.330 COMP1560) (0.325 COMP8) (0.235 COMP3066) (0.212 COMP6) (0.179 COMP1934) (0.143 COMP3063) (0.132 COMP179/COMP505) (0.131 COMP501/COMP616) (0.130 COMP1427) (0.129 COMP1555) (0.127 COMP3061) (0.126 COMP3062) (0.125 COMP1564/COMP2412) (0.122 COMP544) (0.121 COMP3064)
Aldehyde dehydrogenase substrate	0.934	COMP478/COMP499/COMP513/COMP624	(0.783 COMP1) (0.698 COMP1061) (0.422 COMP685) (0.362 COMP708) (0.351 COMP141) (0.336 COMP20) (0.327 COMP473) (0.314 COMP295) (0.311 COMP40/COMP691) (0.309 COMP297) (0.301 COMP27) (0.294 COMP16/COMP18/COMP54) (0.268 COMP1425) (0.247 COMP1560) (0.234 COMP3066/COMP480) (0.203 COMP1177/COMP524) (0.185 COMP6) (0.173 COMP1934) (0.146 COMP8) (0.142 COMP476) (0.121 COMP3062) (0.120 COMP3063) (0.111 COMP179/COMP505) (0.107 COMP3061)
Aldehyde oxidase substrate	0.332	COMP478/COMP499/COMP513/COMP624	(0.257 COMP1578) (0.255 COMP16/COMP18/COMP54) (0.250 COMP1560) (0.241 COMP480) (0.239 COMP9) (0.216 COMP505) (0.212 COMP473) (0.189 COMP1934) (0.186 COMP40) (0.184 COMP179) (0.183 COMP1573/COMP1577/COMP3068) (0.181 COMP1061) (0.180 COMP501) (0.176 COMP616) (0.170 COMP1/COMP1559) (0.166 COMP20/COMP27) (0.165 COMP1569/COMP1576) (0.161 COMP2131) (0.160 COMP1755) (0.156 COMP544) (0.155 COMP336) (0.154 COMP1581) (0.149 COMP1558/COMP1580) (0.147 COMP1557/COMP1568/COMP1570/COMP1575) (0.146 COMP1583) (0.144 COMP1571) (0.142 COMP1566) (0.137 COMP1556)
Aldose reductase substrate	0.992	COMP478/COMP499/COMP513/COMP624	(0.949 COMP1061) (0.737 COMP1) (0.461 COMP1562) (0.413 COMP3061) (0.403 COMP3062) (0.379 COMP3063) (0.336 COMP335) (0.300 COMP1425) (0.291 COMP480) (0.248 COMP16/COMP18/COMP54) (0.214 COMP473) (0.194 COMP40) (0.179 COMP20/COMP27) (0.167 COMP1934) (0.152 COMP1177/COMP524) (0.136 COMP501) (0.130 COMP1559/COMP1576/COMP1581/COMP1755) (0.128 COMP1578/COMP336)
Arylamine N-Acetyltransferase substrate	0.418	COMP27	(0.390 COMP20) (0.381 COMP40) (0.318 COMP16/COMP18/COMP54) (0.193 COMP1755) (0.188 COMP1578) (0.180 COMP1581) (0.158 COMP1573/COMP1577/COMP3068) (0.156 COMP1559) (0.155 COMP1576) (0.143 COMP480) (0.133 COMP179) (0.131 COMP473) (0.123 COMP505) (0.118 COMP1567) (0.112 COMP1570/COMP1575) (0.110 COMP1556) (0.106 COMP336) (0.104 COMP1563) (0.097 COMP501) (0.094 COMP9) (0.084 COMP1565/COMP1579) (0.078 COMP1566) (0.073 COMP1569) (0.071 COMP2131) (0.066 COMP1557/COMP1568)
CYP1A2 inhibitor	0.933	COMP1570/COMP1575	(0.931 COMP100) (0.929 COMP1565/COMP1579) (0.920 COMP1556) (0.917 COMP1557/COMP1568) (0.914 COMP1566) (0.913 COMP1567) (0.902 COMP1563) (0.896 COMP1558) (0.889 COMP1574) (0.881 COMP1572) (0.837 COMP1573/COMP1577/COMP3068) (0.836 COMP1755) (0.833 COMP1583) (0.823 COMP336) (0.819 COMP1581) (0.816 COMP1559) (0.810 COMP1576) (0.790 COMP1580) (0.777 COMP1569) (0.772 COMP2131) (0.721 COMP1582) (0.609 COMP1561) (0.366 COMP685) (0.267 COMP335) (0.264 COMP476) (0.243 COMP691) (0.237 COMP1578) (0.227 COMP6) (0.219 COMP179) (0.215 COMP480/COMP505) (0.213 COMP708) (0.200 COMP1562) (0.197 COMP473) (0.196 COMP1177/COMP524) (0.178 COMP27) (0.174 COMP1934/COMP616) (0.173 COMP9)
CYP1A2 substrate	0.935	COMP685	(0.903 COMP708) (0.872 COMP1578) (0.716 COMP1562) (0.674 COMP1755) (0.659 COMP335) (0.646 COMP1581) (0.631 COMP336) (0.624 COMP1573/COMP1577/COMP3068) (0.621 COMP1576) (0.615 COMP1565/COMP1579) (0.602 COMP1559) (0.600 COMP27) (0.578 COMP1567) (0.573 COMP1570/COMP1575) (0.570 COMP1563) (0.555 COMP100) (0.553 COMP1556) (0.549 COMP1566) (0.543 COMP1557/COMP1568) (0.532 COMP40) (0.519 COMP2131) (0.513 COMP1583/COMP20) (0.502 COMP1569) (0.488 COMP473) (0.481 COMP1572) (0.479 COMP1934) (0.473 COMP179) (0.468 COMP1580) (0.456 COMP1574) (0.455 COMP1561) (0.447 COMP505) (0.444 COMP1558) (0.428 COMP16/COMP18/COMP54) (0.427 COMP1) (0.423 COMP480) (0.410 COMP616) (0.389 COMP9) (0.380 COMP1582) (0.374 COMP476) (0.360 COMP6) (0.347 COMP691) (0.343 COMP297) (0.342 COMP478/COMP499/COMP513/COMP624) (0.340 COMP1177/COMP524) (0.328 COMP501) (0.299 COMP1571) (0.280 COMP1425) (0.279 COMP3066) (0.266 COMP295/COMP544) (0.250 COMP1061) (0.240 COMP8) (0.235 COMP141/COMP1560) (0.200 COMP3064) (0.199 COMP2412) (0.194 COMP3065)
CYP24 inhibitor	0.048	COMP297	(0.043 COMP708) (0.034 COMP616) (0.025 COMP141) (0.024 COMP9) (0.022 COMP179) (0.021 COMP6)
CYP2A6 inhibitor	0.366	COMP1561	(0.311 COMP1582) (0.252 COMP141) (0.229 COMP295) (0.205 COMP476) (0.192 COMP691) (0.183 COMP1) (0.167 COMP1177/COMP524) (0.164 COMP9) (0.155 COMP1558) (0.152 COMP6) (0.151 COMP616) (0.145 COMP336) (0.129 COMP297) (0.123 COMP1572) (0.118 COMP100) (0.113 COMP544) (0.111 COMP480) (0.110 COMP1569/COMP2131) (0.103 COMP1574) (0.098 COMP501) (0.097 COMP1583) (0.093 COMP179) (0.092 COMP1563) (0.091 COMP478/COMP499/COMP513/COMP624) (0.089 COMP505) (0.082 COMP1567/COMP1580) (0.080 COMP1581/COMP1755) (0.074 COMP8) (0.073 COMP1559/COMP16/COMP18/COMP54) (0.072 COMP1576) (0.068 COMP1556/COMP1566) (0.067 COMP1061) (0.066 COMP1578/COMP40)
CYP2B6 inhibitor	0.646	COMP685	(0.576 COMP691) (0.556 COMP1177/COMP524) (0.543 COMP708) (0.471 COMP336) (0.467 COMP1755) (0.451 COMP1573/COMP1577/COMP1581/COMP3068) (0.438 COMP1559) (0.435 COMP1576) (0.430 COMP27) (0.418 COMP1583) (0.414 COMP1569) (0.411 COMP2131) (0.391 COMP40) (0.388 COMP100/COMP1558) (0.375 COMP20) (0.371 COMP1563/COMP1566) (0.369 COMP1557/COMP1568/COMP1570/COMP1575/COMP476) (0.367 COMP473) (0.357 COMP1556/COMP1567) (0.349 COMP141) (0.348 COMP1425) (0.340 COMP1572/COMP1574) (0.337 COMP1565/COMP1579) (0.330 COMP16/COMP18/COMP54) (0.319 COMP1) (0.299 COMP1582) (0.298 COMP1578/COMP616) (0.285 COMP505) (0.283 COMP1561) (0.279 COMP8) (0.267 COMP179/COMP6) (0.260 COMP1560/COMP9) (0.259 COMP1580) (0.254 COMP1061) (0.250 COMP478/COMP499/COMP513/COMP624) (0.235 COMP480) (0.234 COMP544) (0.229 COMP295) (0.222 COMP501) (0.206 COMP297) (0.166 COMP1934) (0.161 COMP1427/COMP1571)
