Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.402	COMP31	(0.382 COMP3070) (0.279 COMP3071) (0.266 COMP3069)
Carcinogenic	0.705	COMP31	(0.600 COMP3071) (0.396 COMP3070) (0.171 COMP3069)
Carcinogenic. group 1	0.528	COMP31	(0.208 COMP3071)
Carcinogenic. group 2A	0.226	COMP31	(0.139 COMP3071)
Carcinogenic. group 2B	0.228	COMP31	(0.189 COMP3071)
Carcinogenic. group 3	0.842	COMP3071	(0.377 COMP3070) (0.343 COMP31)
Cardiodepressant	0.401	COMP31	
Cytotoxic	0.493	COMP3069	(0.428 COMP3070) (0.326 COMP3071) (0.230 COMP31)
DNA damaging	0.433	COMP3071	(0.359 COMP3070) (0.267 COMP31) (0.171 COMP3069)
Embryotoxic	0.659	COMP31	(0.296 COMP3069) (0.204 COMP3070)
Eye irritation. high	0.606	COMP31	
Genotoxic	0.305	COMP3071	(0.287 COMP31) (0.158 COMP3069) (0.151 COMP3070)
Hypoglycemic	0.807	COMP31	(0.377 COMP3070) (0.308 COMP3069) (0.267 COMP3071)
Mutagenic	0.614	COMP31	(0.450 COMP3071) (0.191 COMP3070)
Pneumotoxic	0.443	COMP3071	(0.362 COMP3070) (0.340 COMP31) (0.222 COMP3069)
Sedative	0.252	COMP31	
Sensitization	0.492	COMP31	(0.394 COMP3069) (0.290 COMP3070) (0.170 COMP3071)
Skin irritative effect	0.630	COMP31	
Teratogen	0.665	COMP31	(0.339 COMP3069) (0.218 COMP3070)
Ulceration	0.561	COMP31	(0.279 COMP3071)
