Name	Activation_Prob	Compound	Another_Probs
5 Hydroxytryptamine uptake stimulant	0.295	COMP31	(0.186 COMP3071)
Antiviral (CMV)	0.175	COMP31	
Apical sodium codependent bile acid transporter inhibitor	0.072	COMP31	
Electron transport complex I inhibitor	0.095	COMP3071	
Endocannabinoid uptake inhibitor	0.121	COMP31	
Equilibrative nucleoside transport protein inhibitor	0.065	COMP31	
Excitatory amino acid transporter 1 inhibitor	0.019	COMP3069	(0.015 COMP31)
Excitatory amino acid transporter 2 inhibitor	0.026	COMP31	
Excitatory amino acid transporter 3 inhibitor	0.026	COMP31	
Excitatory amino acid transporter EAAC1 inhibitor	0.374	COMP31	(0.117 COMP3071)
GABA transporter 1 inhibitor	0.016	COMP31	
GABA transporter 3 inhibitor	0.038	COMP31	
GABA transporter inhibitor	0.024	COMP31	
GABA uptake inhibitor	0.069	COMP31	
Ileal bile acid transport inhibitor	0.056	COMP31	
Monocarboxylic acid transporter 1 inhibitor	0.022	COMP31	
Monocarboxylic acid transporter inhibitor	0.022	COMP31	
Multidrug resistance-associated protein 1 inhibitor	0.099	COMP3070	
Nucleoside transporters inhibitor	0.065	COMP31	
P-glycoprotein inhibitor	0.244	COMP31	(0.167 COMP3069) (0.158 COMP3070)
Sodium-dependent vitamin C transporter 2 inhibitor	0.102	COMP31	
Sodium/bile acid cotransporter inhibitor	0.348	COMP31	(0.333 COMP3069)
Sodium/glucose cotransporter 1 inhibitor	0.033	COMP31	
Sodium/glucose cotransporter 2 inhibitor	0.053	COMP31	
Sodium/glucose cotransporter inhibitor	0.042	COMP31	
Sodium/hydrogen exchanger 3 inhibitor	0.029	COMP31	
Sodium/hydrogen exchanger 5 inhibitor	0.090	COMP3069	
Urate transporter 1 inhibitor	0.036	COMP3071	
Vesicle monoamine transporter inhibitor	0.175	COMP31	
Vesicular acetylcholine transporter inhibitor	0.030	COMP31	
Vesicular glutamate transport inhibitor	0.026	COMP31	
