Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.332	COMP522	(0.157 COMP525) (0.154 COMP474) (0.139 COMP179) (0.133 COMP136) (0.127 COMP505) (0.104 COMP8) (0.098 COMP153)
AR expression inhibitor	0.725	COMP310	(0.706 COMP296/COMP524) (0.658 COMP8) (0.640 COMP474) (0.568 COMP309) (0.536 COMP136) (0.530 COMP522) (0.529 COMP523) (0.458 COMP10) (0.445 COMP161) (0.424 COMP404) (0.387 COMP179/COMP505) (0.338 COMP153) (0.235 COMP525)
CTGF expression inhibitor	0.710	COMP505	(0.635 COMP179) (0.629 COMP310) (0.563 COMP161) (0.457 COMP404) (0.408 COMP474) (0.380 COMP525) (0.353 COMP136) (0.302 COMP296/COMP524) (0.267 COMP8) (0.228 COMP153) (0.193 COMP523)
GRP78 expression inhibitor	0.039	COMP10/COMP474	(0.030 COMP136) (0.028 COMP309/COMP310) (0.020 COMP179/COMP505)
ICAM1 expression inhibitor	0.628	COMP404	(0.589 COMP309) (0.572 COMP310) (0.557 COMP10) (0.498 COMP153) (0.493 COMP474) (0.449 COMP161) (0.426 COMP505) (0.395 COMP179) (0.376 COMP523) (0.371 COMP136) (0.340 COMP296/COMP524) (0.325 COMP525) (0.247 COMP522) (0.246 COMP8)
LDLR expression enhancer	0.280	COMP525	(0.278 COMP404) (0.273 COMP296/COMP524) (0.262 COMP179) (0.255 COMP505) (0.228 COMP474) (0.214 COMP8) (0.208 COMP153) (0.187 COMP161) (0.173 COMP523) (0.158 COMP136)
NOS2 expression inhibitor	0.938	COMP310	(0.821 COMP404) (0.640 COMP296/COMP524) (0.633 COMP309) (0.625 COMP523) (0.578 COMP153) (0.522 COMP474) (0.509 COMP161) (0.495 COMP505) (0.491 COMP10) (0.488 COMP8) (0.485 COMP179) (0.442 COMP522) (0.432 COMP525) (0.358 COMP136)
NOS3 expression enhancer	0.660	COMP310	(0.462 COMP309) (0.452 COMP10) (0.350 COMP404) (0.294 COMP474) (0.171 COMP8) (0.160 COMP179) (0.132 COMP505)
NOS3 expression inhibitor	0.815	COMP310	(0.651 COMP10) (0.634 COMP474) (0.571 COMP309) (0.556 COMP8) (0.460 COMP179/COMP505) (0.437 COMP136) (0.426 COMP161) (0.403 COMP522) (0.402 COMP404) (0.384 COMP296/COMP524) (0.293 COMP525) (0.264 COMP523)
TNF expression inhibitor	0.941	COMP310	(0.887 COMP296/COMP524) (0.870 COMP8) (0.657 COMP474) (0.634 COMP153) (0.609 COMP404) (0.607 COMP505) (0.605 COMP10/COMP523) (0.587 COMP161) (0.583 COMP179) (0.527 COMP136) (0.523 COMP309) (0.515 COMP525) (0.346 COMP522)
VCAM1 expression inhibitor	0.668	COMP310	(0.615 COMP404) (0.452 COMP10) (0.401 COMP296/COMP524) (0.356 COMP161/COMP505) (0.342 COMP525) (0.338 COMP523) (0.323 COMP8) (0.319 COMP309) (0.318 COMP179) (0.275 COMP153) (0.218 COMP474) (0.190 COMP136) (0.162 COMP522)
VEGF expression inhibitor	0.264	COMP505	(0.263 COMP525) (0.255 COMP179) (0.246 COMP404) (0.216 COMP310/COMP474) (0.199 COMP136) (0.168 COMP161)
VEGFR2 expression inhibitor	0.064	COMP525	(0.055 COMP505)
