Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.691	COMP179	(0.631 COMP505) (0.535 COMP525) (0.412 COMP161) (0.244 COMP474) (0.229 COMP136/COMP404) (0.214 COMP153) (0.200 COMP296/COMP524) (0.180 COMP523) (0.179 COMP10) (0.166 COMP522) (0.138 COMP310) (0.126 COMP309) (0.109 COMP8)
Acetylcholine release stimulant	0.138	COMP525	(0.113 COMP505) (0.103 COMP136/COMP179) (0.102 COMP404)
Actinic keratosis treatment	0.254	COMP179	(0.217 COMP474) (0.212 COMP505) (0.211 COMP522) (0.187 COMP525) (0.184 COMP523) (0.178 COMP153) (0.172 COMP161) (0.155 COMP136) (0.143 COMP310) (0.130 COMP404) (0.096 COMP8) (0.092 COMP10) (0.087 COMP296/COMP524)
Acute neurologic disorders treatment	0.372	COMP296/COMP524	(0.254 COMP8) (0.240 COMP474) (0.174 COMP136)
Acute respiratory distress syndrome (ARDS) treatment	0.402	COMP8	(0.347 COMP310) (0.337 COMP10) (0.256 COMP309) (0.149 COMP522) (0.131 COMP505)
Age-related macular degeneration treatment	0.221	COMP525	(0.211 COMP179) (0.207 COMP505) (0.174 COMP474)
Alzheimer's disease treatment	0.678	COMP404	(0.421 COMP310) (0.420 COMP296/COMP524) (0.340 COMP309) (0.326 COMP153)
Amyotrophic lateral sclerosis treatment	0.322	COMP136	(0.216 COMP474) (0.179 COMP8)
Anabolic	0.211	COMP474	(0.198 COMP136) (0.190 COMP8) (0.183 COMP153) (0.172 COMP161) (0.171 COMP523) (0.156 COMP505) (0.152 COMP296/COMP524) (0.147 COMP179/COMP522) (0.108 COMP404) (0.106 COMP525) (0.089 COMP310) (0.087 COMP10)
Analeptic	0.862	COMP474	(0.859 COMP136) (0.582 COMP179) (0.568 COMP8) (0.537 COMP505) (0.524 COMP10) (0.522 COMP310) (0.475 COMP525) (0.439 COMP523) (0.432 COMP161) (0.368 COMP404) (0.353 COMP153) (0.327 COMP309) (0.312 COMP296/COMP524) (0.245 COMP522)
Analgesic	0.685	COMP161	(0.266 COMP474)
Andropause treatment	0.084	COMP8	(0.077 COMP474) (0.069 COMP10)
