Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.182	COMP683	(0.175 COMP192) (0.165 COMP307) (0.144 COMP715/COMP721/COMP810) (0.128 COMP1491) (0.107 COMP1493) (0.102 COMP1492) (0.089 COMP1302) (0.087 COMP308)
AR expression inhibitor	0.914	COMP307	(0.806 COMP308) (0.805 COMP715/COMP721/COMP810) (0.771 COMP1262/COMP1270/COMP301/COMP56) (0.758 COMP305) (0.725 COMP310) (0.685 COMP306) (0.653 COMP311) (0.649 COMP1302) (0.637 COMP916) (0.634 COMP1490) (0.631 COMP683) (0.575 COMP1487/COMP1494) (0.568 COMP309) (0.565 COMP314) (0.560 COMP313) (0.542 COMP885) (0.538 COMP1486/COMP1488) (0.533 COMP1491) (0.529 COMP1492) (0.351 COMP1493) (0.337 COMP4) (0.313 COMP312) (0.269 COMP192)
CTGF expression inhibitor	0.922	COMP307	(0.905 COMP308) (0.783 COMP715/COMP721/COMP810) (0.701 COMP1491) (0.684 COMP1492) (0.664 COMP1262/COMP1270/COMP301/COMP56) (0.652 COMP683) (0.629 COMP310) (0.618 COMP305) (0.605 COMP306) (0.585 COMP916) (0.553 COMP192) (0.447 COMP1493) (0.351 COMP311) (0.250 COMP314) (0.243 COMP1487/COMP1494) (0.233 COMP1488) (0.231 COMP313) (0.224 COMP1302) (0.203 COMP4) (0.200 COMP1486)
GRP78 expression inhibitor	0.033	COMP683	(0.029 COMP192) (0.028 COMP309/COMP310) (0.026 COMP1488) (0.025 COMP305) (0.024 COMP916) (0.022 COMP306) (0.020 COMP1262/COMP1270/COMP301/COMP56)
ICAM1 expression inhibitor	0.626	COMP1490	(0.619 COMP1302) (0.589 COMP309) (0.581 COMP305) (0.578 COMP1262/COMP1270/COMP301/COMP56) (0.572 COMP310) (0.547 COMP306) (0.532 COMP311) (0.512 COMP1488) (0.508 COMP916) (0.470 COMP1487/COMP1494) (0.446 COMP683) (0.435 COMP313) (0.432 COMP308) (0.429 COMP715/COMP721/COMP810) (0.427 COMP307) (0.425 COMP314) (0.390 COMP1486) (0.372 COMP885) (0.357 COMP192) (0.323 COMP1492) (0.280 COMP1491) (0.257 COMP312) (0.218 COMP4)
LDLR expression enhancer	0.393	COMP715/COMP721/COMP810	(0.375 COMP308) (0.272 COMP683) (0.248 COMP4) (0.244 COMP916) (0.225 COMP312) (0.204 COMP307) (0.192 COMP1491) (0.179 COMP192) (0.165 COMP1492) (0.163 COMP313) (0.154 COMP306) (0.151 COMP1486) (0.139 COMP1487/COMP1493/COMP1494)
NOS2 expression inhibitor	0.958	COMP1262/COMP1270/COMP301/COMP56	(0.952 COMP306) (0.949 COMP305) (0.938 COMP310) (0.924 COMP311) (0.893 COMP308) (0.873 COMP307) (0.822 COMP715/COMP721/COMP810) (0.731 COMP1490) (0.712 COMP314) (0.678 COMP313) (0.653 COMP916) (0.633 COMP309) (0.594 COMP4) (0.578 COMP1491) (0.557 COMP1492) (0.546 COMP1488) (0.522 COMP1302) (0.491 COMP312) (0.447 COMP1493) (0.419 COMP192) (0.411 COMP683) (0.404 COMP1487/COMP1494) (0.403 COMP885) (0.401 COMP1486)
NOS3 expression enhancer	0.728	COMP307	(0.721 COMP1262/COMP1270/COMP301/COMP56) (0.718 COMP305) (0.668 COMP715/COMP721/COMP810) (0.660 COMP310) (0.600 COMP306) (0.484 COMP311) (0.474 COMP308) (0.462 COMP309) (0.435 COMP683) (0.346 COMP1488) (0.282 COMP1490) (0.183 COMP4) (0.157 COMP1487/COMP1494) (0.156 COMP1491) (0.152 COMP885) (0.138 COMP314) (0.136 COMP313) (0.128 COMP1302) (0.125 COMP1492/COMP916) (0.123 COMP312) (0.120 COMP1486)
NOS3 expression inhibitor	0.841	COMP305	(0.837 COMP1262/COMP1270/COMP301/COMP56) (0.818 COMP307) (0.815 COMP310) (0.764 COMP306) (0.698 COMP311) (0.694 COMP1490) (0.674 COMP715/COMP721/COMP810) (0.631 COMP308) (0.609 COMP1302) (0.601 COMP1488) (0.571 COMP309) (0.509 COMP885) (0.475 COMP1487/COMP1494) (0.443 COMP1486) (0.436 COMP1492) (0.433 COMP683) (0.432 COMP1491) (0.395 COMP192) (0.391 COMP314) (0.386 COMP313) (0.383 COMP916) (0.246 COMP1493)
TNF expression inhibitor	0.956	COMP306	(0.951 COMP1262/COMP1270/COMP301/COMP56) (0.941 COMP310) (0.937 COMP305) (0.912 COMP311) (0.860 COMP308) (0.750 COMP1490) (0.725 COMP313) (0.695 COMP715/COMP721/COMP810) (0.694 COMP1302) (0.621 COMP916) (0.613 COMP307) (0.600 COMP314) (0.594 COMP1488) (0.584 COMP683) (0.569 COMP1487/COMP1494) (0.558 COMP1486) (0.523 COMP309) (0.511 COMP885) (0.460 COMP192) (0.458 COMP1492) (0.454 COMP1491) (0.446 COMP4) (0.393 COMP312) (0.273 COMP1493)
