Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.285	COMP192	(0.176 COMP4) (0.165 COMP314) (0.154 COMP313) (0.143 COMP312/COMP683) (0.136 COMP1488) (0.133 COMP309) (0.115 COMP1302) (0.113 COMP1490) (0.109 COMP307) (0.108 COMP715/COMP721/COMP810/COMP885)
Aldehyde dehydrogenase substrate	0.207	COMP192	(0.206 COMP683) (0.122 COMP1488) (0.116 COMP307) (0.106 COMP916) (0.099 COMP306/COMP308)
Aldehyde oxidase substrate	0.313	COMP192	(0.295 COMP683) (0.197 COMP1489) (0.164 COMP308) (0.162 COMP916) (0.159 COMP1493) (0.141 COMP1491) (0.139 COMP715/COMP721/COMP810)
Aldose reductase substrate	0.532	COMP309	(0.507 COMP310) (0.482 COMP305) (0.464 COMP1488) (0.442 COMP1262/COMP1270/COMP301/COMP56) (0.431 COMP306) (0.380 COMP311) (0.281 COMP1490) (0.259 COMP885) (0.249 COMP192) (0.186 COMP307) (0.152 COMP683) (0.132 COMP1491)
Arylamine N-Acetyltransferase substrate	0.332	COMP683	(0.137 COMP192) (0.135 COMP308/COMP310) (0.102 COMP307)
CYP1A2 inhibitor	0.968	COMP313	(0.914 COMP314) (0.908 COMP308) (0.866 COMP307) (0.478 COMP4) (0.437 COMP1491) (0.436 COMP306) (0.431 COMP916) (0.403 COMP1492) (0.400 COMP1493) (0.397 COMP1262/COMP1270/COMP301/COMP56) (0.362 COMP310) (0.355 COMP305) (0.345 COMP312) (0.299 COMP715/COMP721/COMP810) (0.232 COMP192) (0.205 COMP683) (0.178 COMP1489)
CYP1A2 substrate	0.920	COMP307	(0.792 COMP4) (0.755 COMP308) (0.706 COMP715/COMP721/COMP810) (0.602 COMP312/COMP916) (0.572 COMP1262/COMP1270/COMP301/COMP56) (0.565 COMP192) (0.559 COMP305) (0.453 COMP310) (0.450 COMP885) (0.429 COMP306) (0.405 COMP313) (0.401 COMP314) (0.397 COMP683) (0.361 COMP1489) (0.335 COMP1488) (0.328 COMP1487/COMP1494) (0.321 COMP1491) (0.276 COMP1486) (0.265 COMP1493) (0.252 COMP1492) (0.220 COMP311)
CYP2A6 inhibitor	0.653	COMP314	(0.594 COMP313) (0.195 COMP1493) (0.192 COMP4) (0.161 COMP307/COMP312) (0.085 COMP1491/COMP192) (0.079 COMP916) (0.066 COMP308)
CYP2B6 inhibitor	0.710	COMP314	(0.566 COMP313) (0.533 COMP308) (0.458 COMP307) (0.337 COMP1491) (0.320 COMP1493) (0.319 COMP1492) (0.281 COMP192) (0.255 COMP4) (0.232 COMP312) (0.210 COMP683) (0.205 COMP916) (0.196 COMP715/COMP721/COMP810)
CYP2C19 inhibitor	0.702	COMP313	(0.649 COMP307) (0.640 COMP314) (0.612 COMP4) (0.575 COMP308) (0.557 COMP1492) (0.527 COMP715/COMP721/COMP810) (0.522 COMP1491/COMP312) (0.491 COMP1493) (0.401 COMP306) (0.372 COMP310) (0.354 COMP1262/COMP1270/COMP301/COMP56) (0.343 COMP916) (0.339 COMP305) (0.330 COMP192) (0.319 COMP1488) (0.294 COMP683) (0.260 COMP885) (0.257 COMP1489)
CYP2C19 substrate	0.720	COMP307	(0.668 COMP715/COMP721/COMP810) (0.648 COMP1262/COMP1270/COMP301/COMP56) (0.640 COMP306) (0.620 COMP310) (0.613 COMP305) (0.595 COMP308) (0.495 COMP683) (0.442 COMP192) (0.378 COMP313) (0.355 COMP311/COMP4) (0.353 COMP314) (0.319 COMP916) (0.303 COMP1489) (0.295 COMP312) (0.260 COMP885) (0.243 COMP1492) (0.242 COMP1491) (0.223 COMP1302) (0.205 COMP1488) (0.200 COMP1486) (0.189 COMP1487/COMP1494) (0.187 COMP1493)
CYP2C9 inhibitor	0.616	COMP307	(0.565 COMP308) (0.444 COMP314) (0.408 COMP4) (0.382 COMP715/COMP721/COMP810) (0.370 COMP683) (0.342 COMP1492) (0.341 COMP313) (0.323 COMP1491) (0.308 COMP312) (0.298 COMP192) (0.279 COMP1493)
CYP2C9 substrate	0.767	COMP307	(0.750 COMP1262/COMP1270/COMP301/COMP56) (0.741 COMP305) (0.711 COMP4) (0.679 COMP310) (0.664 COMP306) (0.641 COMP916) (0.625 COMP312) (0.607 COMP683) (0.592 COMP308) (0.581 COMP715/COMP721/COMP810) (0.538 COMP314) (0.527 COMP313) (0.414 COMP1488) (0.392 COMP192) (0.349 COMP311) (0.291 COMP1489) (0.271 COMP885) (0.262 COMP1302) (0.258 COMP1491) (0.238 COMP309) (0.229 COMP1486) (0.226 COMP1487/COMP1494) (0.217 COMP1493) (0.200 COMP1492)
CYP2D6 inhibitor	0.407	COMP4	(0.330 COMP313) (0.317 COMP314) (0.281 COMP312) (0.263 COMP1489) (0.252 COMP1493) (0.200 COMP192) (0.197 COMP1492) (0.193 COMP1491)
CYP2D6 substrate	0.671	COMP4	(0.627 COMP715/COMP721/COMP810) (0.603 COMP307) (0.602 COMP312) (0.599 COMP1489) (0.461 COMP308) (0.413 COMP192) (0.403 COMP305) (0.391 COMP1262/COMP1270/COMP301/COMP310/COMP56) (0.372 COMP306) (0.366 COMP313) (0.327 COMP314) (0.307 COMP683) (0.300 COMP916) (0.264 COMP1492) (0.259 COMP1491) (0.195 COMP1493)
CYP3A4 inhibitor	0.660	COMP313	(0.608 COMP314) (0.534 COMP4) (0.511 COMP312) (0.391 COMP307) (0.306 COMP308) (0.265 COMP715/COMP721/COMP810) (0.221 COMP192) (0.206 COMP916) (0.195 COMP1493) (0.193 COMP1262/COMP1270/COMP301/COMP56) (0.192 COMP305)
CYP3A4 substrate	0.757	COMP1487/COMP1494	(0.688 COMP885) (0.678 COMP1486) (0.673 COMP1262/COMP1270/COMP301/COMP305/COMP56) (0.666 COMP310) (0.650 COMP715/COMP721/COMP810) (0.641 COMP306) (0.638 COMP307) (0.613 COMP4) (0.585 COMP309) (0.581 COMP311) (0.539 COMP1488) (0.514 COMP192) (0.502 COMP308) (0.494 COMP916) (0.476 COMP312) (0.391 COMP683) (0.356 COMP1302) (0.349 COMP1490) (0.280 COMP1491) (0.264 COMP314) (0.254 COMP1489) (0.238 COMP1492) (0.226 COMP1493) (0.215 COMP313)
FMO1 substrate	0.638	COMP683	(0.589 COMP192) (0.428 COMP916) (0.424 COMP308) (0.375 COMP312) (0.373 COMP1489) (0.336 COMP4) (0.323 COMP307) (0.315 COMP1493) (0.295 COMP1491) (0.293 COMP715/COMP721/COMP810) (0.266 COMP1492) (0.263 COMP314) (0.219 COMP313)
FMO3 substrate	0.489	COMP683	(0.475 COMP1489) (0.451 COMP192) (0.344 COMP916) (0.319 COMP1493) (0.288 COMP1491) (0.278 COMP715/COMP721/COMP810) (0.266 COMP308) (0.251 COMP4) (0.237 COMP312) (0.219 COMP1492) (0.214 COMP307)
Flavin-containing monooxygenase substrate	0.433	COMP192	(0.432 COMP1489/COMP683) (0.235 COMP1493) (0.233 COMP916) (0.232 COMP715/COMP721/COMP810) (0.215 COMP308) (0.197 COMP1491) (0.179 COMP307)
GST A substrate	0.789	COMP192	(0.677 COMP683) (0.585 COMP1491) (0.561 COMP1493) (0.552 COMP916) (0.489 COMP1492) (0.478 COMP307) (0.438 COMP715/COMP721/COMP810) (0.384 COMP1488) (0.374 COMP314) (0.346 COMP4) (0.336 COMP312) (0.322 COMP885) (0.294 COMP308) (0.264 COMP313) (0.208 COMP1487/COMP1494) (0.195 COMP1486)
