Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.135	COMP1116	
AR expression inhibitor	0.651	COMP1116	(0.239 COMP1972)
CTGF expression inhibitor	0.648	COMP1972	(0.387 COMP1116)
ICAM1 expression inhibitor	0.392	COMP1116	(0.206 COMP1972)
LDLR expression enhancer	0.203	COMP1116	
NOS2 expression inhibitor	0.568	COMP1116	(0.202 COMP1972)
NOS3 expression enhancer	0.134	COMP1116	
NOS3 expression inhibitor	0.395	COMP1116	
TNF expression inhibitor	0.890	COMP1116	(0.214 COMP1972)
VCAM1 expression inhibitor	0.370	COMP1116	
VEGF expression inhibitor	0.212	COMP1972	
