Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.553	COMP1671	(0.538 COMP499/COMP57) (0.492 COMP167) (0.432 COMP1673/COMP1674) (0.412 COMP1254/COMP1659) (0.405 COMP1610/COMP436) (0.346 COMP697/COMP889) (0.332 COMP522) (0.312 COMP1612) (0.231 COMP1119/COMP55) (0.220 COMP33) (0.216 COMP1656) (0.193 COMP1669/COMP24/COMP52) (0.182 COMP548) (0.175 COMP192) (0.174 COMP9) (0.171 COMP60) (0.169 COMP126) (0.168 COMP112/COMP134) (0.163 COMP593) (0.161 COMP1678) (0.157 COMP525) (0.154 COMP1192/COMP474/COMP543/COMP905) (0.151 COMP864/COMP878) (0.146 COMP114/COMP131/COMP1427) (0.144 COMP124) (0.141 COMP48) (0.140 COMP1425/COMP1428) (0.139 COMP19/COMP633) (0.138 COMP725) (0.137 COMP1100) (0.136 COMP122) (0.126 COMP1644/COMP616) (0.123 COMP113/COMP132/COMP142) (0.122 COMP158/COMP172) (0.120 COMP1244) (0.119 COMP322) (0.118 COMP143/COMP149/COMP1675) (0.117 COMP1196) (0.112 COMP1672) (0.110 COMP1637) (0.107 COMP1616) (0.105 COMP1108) (0.104 COMP11/COMP8) (0.102 COMP1647) (0.100 COMP1304) (0.099 COMP1/COMP1663/COMP6/COMP640) (0.098 COMP1181/COMP153) (0.097 COMP1509) (0.096 COMP1664) (0.095 COMP1112/COMP1651) (0.094 COMP544) (0.091 COMP1617) (0.090 COMP141/COMP264/COMP547) (0.089 COMP1627) (0.086 COMP774) (0.083 COMP1653)
AR expression inhibitor	0.991	COMP499/COMP57	(0.987 COMP1673/COMP1674) (0.937 COMP48) (0.901 COMP1119) (0.894 COMP774) (0.884 COMP1) (0.856 COMP1254/COMP1659) (0.852 COMP1671) (0.793 COMP46) (0.771 COMP301/COMP56) (0.742 COMP119/COMP157/COMP160/COMP162/COMP169) (0.731 COMP302) (0.709 COMP1647) (0.706 COMP1177/COMP1179/COMP1672/COMP296/COMP524) (0.670 COMP1425/COMP1428) (0.658 COMP11/COMP8) (0.652 COMP697/COMP889) (0.651 COMP1651) (0.640 COMP1192/COMP474/COMP543/COMP905) (0.626 COMP633) (0.618 COMP1623) (0.614 COMP548) (0.596 COMP112/COMP134) (0.577 COMP1509) (0.570 COMP1304/COMP1612) (0.566 COMP1629) (0.560 COMP1632) (0.540 COMP60) (0.535 COMP1644) (0.530 COMP522) (0.529 COMP1668/COMP523) (0.523 COMP725) (0.522 COMP1610/COMP436) (0.511 COMP1614/COMP1682) (0.506 COMP1681) (0.504 COMP1669/COMP24/COMP52/COMP593) (0.503 COMP1624) (0.499 COMP122) (0.486 COMP1678) (0.484 COMP1627) (0.482 COMP1637) (0.479 COMP120) (0.478 COMP1622) (0.471 COMP141/COMP264/COMP547) (0.469 COMP1640) (0.467 COMP1615/COMP1635) (0.466 COMP1655) (0.455 COMP1634) (0.450 COMP1100/COMP143/COMP149/COMP1675) (0.445 COMP123/COMP161) (0.431 COMP1641) (0.423 COMP1670) (0.422 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.418 COMP1680) (0.416 COMP1617) (0.414 COMP1643) (0.411 COMP55) (0.409 COMP1618) (0.408 COMP1628/COMP1638/COMP165/COMP1666/COMP173) (0.401 COMP33) (0.398 COMP1071/COMP1088/COMP1661) (0.381 COMP1108) (0.374 COMP1665) (0.363 COMP322) (0.360 COMP1112) (0.346 COMP1626) (0.343 COMP124/COMP1620/COMP1631/COMP1676) (0.340 COMP1636) (0.338 COMP1181/COMP153/COMP864/COMP878) (0.336 COMP1663) (0.335 COMP1677) (0.334 COMP1658/COMP1660/COMP666) (0.320 COMP113/COMP132/COMP142) (0.307 COMP1630/COMP1649) (0.301 COMP1653) (0.296 COMP126) (0.288 COMP1196) (0.280 COMP1619/COMP1639) (0.278 COMP1648/COMP616) (0.276 COMP901) (0.275 COMP1650) (0.269 COMP1613/COMP192) (0.268 COMP167/COMP6) (0.267 COMP1664) (0.261 COMP1603/COMP19) (0.260 COMP1621) (0.257 COMP1679) (0.255 COMP114/COMP131/COMP1427) (0.246 COMP1616) (0.243 COMP640) (0.235 COMP525) (0.231 COMP1085/COMP1107/COMP1667) (0.229 COMP1656) (0.227 COMP300) (0.225 COMP1244) (0.222 COMP9) (0.213 COMP1625) (0.190 COMP139) (0.185 COMP1654)
CTGF expression inhibitor	0.928	COMP48	(0.857 COMP1610/COMP436) (0.855 COMP1637) (0.814 COMP901) (0.807 COMP697/COMP889) (0.786 COMP1672) (0.769 COMP1623) (0.766 COMP593) (0.716 COMP1673/COMP1674) (0.714 COMP1655) (0.707 COMP1654) (0.704 COMP499/COMP57/COMP60) (0.687 COMP1670) (0.683 COMP725) (0.678 COMP1627) (0.669 COMP1669/COMP24/COMP52) (0.664 COMP301/COMP56) (0.633 COMP1100/COMP1641) (0.628 COMP1612) (0.627 COMP1112) (0.610 COMP322) (0.608 COMP46) (0.598 COMP1616) (0.585 COMP1658/COMP1660/COMP666) (0.581 COMP122) (0.565 COMP33) (0.563 COMP123/COMP161) (0.553 COMP192) (0.551 COMP19/COMP774) (0.537 COMP1626) (0.529 COMP1621) (0.521 COMP55) (0.500 COMP1632) (0.497 COMP1680) (0.496 COMP1634) (0.492 COMP1657) (0.491 COMP640) (0.483 COMP1677) (0.472 COMP1651) (0.463 COMP1) (0.460 COMP1656) (0.457 COMP1681) (0.450 COMP864/COMP878) (0.448 COMP1622) (0.443 COMP604) (0.439 COMP1653) (0.436 COMP9) (0.434 COMP1640) (0.432 COMP1624) (0.426 COMP1160) (0.425 COMP143/COMP149/COMP1675) (0.419 COMP1629) (0.416 COMP1615/COMP1635) (0.413 COMP544) (0.408 COMP1192/COMP474/COMP543/COMP905) (0.390 COMP139) (0.380 COMP525) (0.376 COMP1613/COMP616) (0.366 COMP1643/COMP1648) (0.363 COMP1425/COMP1428/COMP1664) (0.358 COMP1620/COMP1631/COMP1676) (0.353 COMP114/COMP131/COMP1427) (0.351 COMP1671) (0.344 COMP120) (0.342 COMP6) (0.332 COMP1196) (0.328 COMP1662) (0.324 COMP1614/COMP1682) (0.315 COMP1628/COMP1638/COMP1666) (0.302 COMP1177/COMP1179/COMP296/COMP524) (0.283 COMP158/COMP172) (0.278 COMP112/COMP134/COMP1663) (0.268 COMP167) (0.267 COMP11/COMP8) (0.266 COMP1244) (0.265 COMP633) (0.264 COMP141/COMP264/COMP547) (0.258 COMP1650/COMP300) (0.257 COMP1254/COMP1659) (0.254 COMP1509) (0.246 COMP1630/COMP1649/COMP1665) (0.231 COMP1071/COMP1088/COMP126/COMP1661) (0.228 COMP1181/COMP153) (0.227 COMP1625) (0.224 COMP1619/COMP1639) (0.223 COMP113/COMP132/COMP142) (0.222 COMP119/COMP157/COMP160/COMP162/COMP169) (0.217 COMP1603) (0.213 COMP1618/COMP302) (0.206 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.202 COMP124) (0.197 COMP1085/COMP1107/COMP1667) (0.194 COMP1119) (0.193 COMP1668/COMP1679/COMP523)
GRP78 expression inhibitor	0.039	COMP1192/COMP474/COMP543/COMP905	(0.038 COMP33/COMP55) (0.036 COMP1112) (0.034 COMP1653) (0.033 COMP593) (0.032 COMP1100/COMP864/COMP878) (0.031 COMP122) (0.030 COMP1669/COMP24/COMP322/COMP52/COMP60/COMP725) (0.029 COMP192) (0.027 COMP1616/COMP1656) (0.025 COMP114/COMP131/COMP1427/COMP1657/COMP1663/COMP19) (0.024 COMP1612/COMP901) (0.023 COMP112/COMP134) (0.022 COMP9) (0.021 COMP1509/COMP1621/COMP1627/COMP1634/COMP1648/COMP1662/COMP697/COMP889) (0.020 COMP1196/COMP139/COMP1658/COMP1660/COMP1671/COMP301/COMP544/COMP56/COMP616/COMP666)
ICAM1 expression inhibitor	0.686	COMP1647	(0.656 COMP1304) (0.611 COMP46) (0.578 COMP301/COMP56) (0.560 COMP48) (0.524 COMP1614/COMP1682) (0.512 COMP1509) (0.502 COMP112/COMP134) (0.500 COMP1627) (0.498 COMP1181/COMP153) (0.496 COMP158/COMP172) (0.493 COMP1192/COMP474/COMP543/COMP725/COMP905) (0.491 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.476 COMP697/COMP889) (0.471 COMP633) (0.470 COMP1100/COMP165/COMP173/COMP774) (0.469 COMP1656) (0.463 COMP60) (0.460 COMP1622) (0.453 COMP1196) (0.449 COMP123/COMP161) (0.448 COMP1612) (0.445 COMP1610/COMP436) (0.442 COMP1680) (0.441 COMP1244) (0.437 COMP1655) (0.436 COMP593) (0.434 COMP1651) (0.433 COMP1425/COMP1428) (0.428 COMP1644) (0.427 COMP6) (0.424 COMP1637) (0.423 COMP548) (0.420 COMP1678) (0.419 COMP1634) (0.417 COMP1641) (0.415 COMP1663) (0.414 COMP33) (0.413 COMP1617) (0.412 COMP616) (0.411 COMP1640/COMP1670) (0.409 COMP1643) (0.407 COMP1632) (0.405 COMP1664/COMP544) (0.403 COMP1681) (0.401 COMP1650) (0.399 COMP122/COMP1623/COMP1628/COMP1638/COMP1666) (0.398 COMP143/COMP149/COMP1675) (0.397 COMP1603) (0.396 COMP1662) (0.394 COMP901) (0.390 COMP1624) (0.389 COMP1619/COMP1639) (0.388 COMP1615/COMP1635) (0.386 COMP114/COMP131/COMP1427/COMP1677) (0.381 COMP1671/COMP19) (0.379 COMP1629) (0.378 COMP1620/COMP1631/COMP1676) (0.376 COMP1668/COMP523) (0.374 COMP167) (0.372 COMP322) (0.371 COMP1618) (0.366 COMP1254/COMP1659) (0.360 COMP126/COMP9) (0.357 COMP1679/COMP192) (0.355 COMP1630/COMP1649/COMP1665) (0.353 COMP141/COMP264/COMP547) (0.344 COMP1071/COMP1088/COMP1661) (0.340 COMP1177/COMP1179/COMP296/COMP524) (0.337 COMP124) (0.335 COMP1672/COMP1673/COMP1674) (0.333 COMP1119) (0.332 COMP1669/COMP24/COMP52) (0.331 COMP1625) (0.326 COMP864/COMP878) (0.325 COMP525) (0.323 COMP1626) (0.320 COMP1085/COMP1107/COMP1667) (0.318 COMP300) (0.314 COMP1636) (0.311 COMP113/COMP132/COMP142) (0.309 COMP120) (0.308 COMP1653) (0.306 COMP1616) (0.304 COMP640) (0.292 COMP1108) (0.290 COMP55) (0.267 COMP1648) (0.264 COMP1613) (0.247 COMP522) (0.246 COMP11/COMP8) (0.242 COMP1112) (0.238 COMP1) (0.229 COMP1657) (0.218 COMP1621) (0.201 COMP302)
LDLR expression enhancer	0.467	COMP1610/COMP436	(0.354 COMP1671) (0.349 COMP48) (0.335 COMP1119) (0.308 COMP1651) (0.301 COMP122) (0.290 COMP1630/COMP1649) (0.280 COMP525) (0.279 COMP1626) (0.277 COMP1085/COMP1107/COMP1667/COMP1677) (0.275 COMP1254/COMP1659) (0.273 COMP1177/COMP1179/COMP296/COMP524) (0.272 COMP120) (0.268 COMP1634) (0.262 COMP60) (0.261 COMP1623) (0.260 COMP1681) (0.254 COMP1641) (0.253 COMP1620/COMP1631/COMP1637/COMP1665/COMP1670/COMP1676) (0.251 COMP1622) (0.249 COMP697/COMP889) (0.247 COMP725) (0.246 COMP1615/COMP1635) (0.245 COMP1425/COMP1428) (0.244 COMP119/COMP157/COMP160/COMP162/COMP169) (0.239 COMP1644) (0.236 COMP1625) (0.235 COMP302) (0.234 COMP1071/COMP1088/COMP1661) (0.230 COMP1619/COMP1639) (0.229 COMP1100/COMP616) (0.228 COMP1192/COMP474/COMP543/COMP905) (0.227 COMP1680) (0.225 COMP1112/COMP544) (0.224 COMP1603) (0.223 COMP1/COMP9) (0.222 COMP1628/COMP1638/COMP1666) (0.220 COMP112/COMP134/COMP1632/COMP33) (0.219 COMP1616) (0.215 COMP1655) (0.214 COMP11/COMP8) (0.211 COMP126/COMP1624/COMP1627) (0.208 COMP1181/COMP153/COMP322) (0.206 COMP1244/COMP548) (0.198 COMP1629) (0.196 COMP1653/COMP1658/COMP1660/COMP1669/COMP24/COMP52/COMP666) (0.195 COMP1679) (0.194 COMP158/COMP172) (0.191 COMP143/COMP149/COMP1675) (0.190 COMP1640/COMP1657) (0.189 COMP124/COMP1650) (0.187 COMP123/COMP161) (0.180 COMP1643) (0.179 COMP192) (0.178 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652/COMP593/COMP633) (0.177 COMP1656) (0.176 COMP864/COMP878) (0.175 COMP1647) (0.173 COMP1662/COMP1668/COMP523) (0.166 COMP1614/COMP1682/COMP6) (0.164 COMP1663) (0.163 COMP1613) (0.162 COMP1621) (0.158 COMP1636) (0.155 COMP1612) (0.152 COMP1648/COMP165/COMP1672/COMP1673/COMP1674/COMP173) (0.149 COMP1196) (0.147 COMP113/COMP132/COMP142) (0.141 COMP19) (0.137 COMP640/COMP774) (0.136 COMP1654/COMP300)
NOS2 expression inhibitor	0.967	COMP46	(0.958 COMP301/COMP56) (0.903 COMP48) (0.853 COMP1626) (0.774 COMP1677) (0.748 COMP1623) (0.743 COMP1630/COMP1649) (0.718 COMP1071/COMP1088/COMP1641/COMP1661) (0.714 COMP1670) (0.706 COMP1644) (0.700 COMP1647) (0.685 COMP1634/COMP1651/COMP1665) (0.684 COMP1632) (0.681 COMP548) (0.679 COMP1119) (0.668 COMP1681) (0.667 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.663 COMP1655) (0.661 COMP1610/COMP1619/COMP1639/COMP436) (0.660 COMP1085/COMP1107/COMP1667) (0.652 COMP1628/COMP1638/COMP1666) (0.649 COMP1614/COMP1682) (0.640 COMP1177/COMP1179/COMP296/COMP524) (0.639 COMP1624/COMP1640/COMP1680) (0.631 COMP1615/COMP1635) (0.630 COMP1629) (0.625 COMP1668/COMP523) (0.613 COMP1622) (0.604 COMP141/COMP264/COMP547) (0.578 COMP1181/COMP153) (0.576 COMP1254/COMP1659) (0.568 COMP1620/COMP1631/COMP1676) (0.563 COMP120/COMP302) (0.561 COMP1650) (0.559 COMP1625/COMP1671) (0.558 COMP1637/COMP697/COMP889) (0.552 COMP1643) (0.548 COMP119/COMP157/COMP160/COMP162/COMP169) (0.547 COMP1636) (0.536 COMP1603) (0.530 COMP633) (0.527 COMP725) (0.522 COMP1192/COMP1425/COMP1428/COMP474/COMP543/COMP905) (0.509 COMP123/COMP161) (0.503 COMP1509/COMP1679) (0.502 COMP1627) (0.488 COMP11/COMP8) (0.476 COMP1196) (0.473 COMP143/COMP149/COMP1675) (0.472 COMP1669/COMP24/COMP52) (0.470 COMP1100) (0.467 COMP1) (0.466 COMP774) (0.457 COMP1304/COMP158/COMP172/COMP60) (0.445 COMP593) (0.442 COMP522) (0.432 COMP525) (0.430 COMP122) (0.424 COMP1663) (0.423 COMP1678) (0.422 COMP1612) (0.419 COMP192) (0.418 COMP1108) (0.413 COMP1653) (0.410 COMP112/COMP134) (0.402 COMP6) (0.397 COMP616) (0.394 COMP1664) (0.393 COMP1621) (0.392 COMP1658/COMP1660/COMP666) (0.384 COMP165/COMP173/COMP901) (0.383 COMP1618) (0.381 COMP1112/COMP1616) (0.376 COMP1613/COMP1662/COMP19) (0.374 COMP1244) (0.372 COMP124) (0.371 COMP126) (0.369 COMP544) (0.364 COMP864/COMP878) (0.361 COMP322) (0.358 COMP9) (0.355 COMP1672/COMP1673/COMP1674) (0.351 COMP113/COMP132/COMP142) (0.334 COMP33) (0.322 COMP1657) (0.321 COMP55) (0.314 COMP1648) (0.313 COMP640) (0.305 COMP1656) (0.296 COMP300) (0.290 COMP499/COMP57) (0.271 COMP114/COMP1160/COMP131/COMP1427) (0.242 COMP1654) (0.237 COMP167) (0.226 COMP139) (0.216 COMP1617) (0.202 COMP604)
NOS3 expression enhancer	0.767	COMP774	(0.722 COMP46) (0.721 COMP301/COMP56) (0.703 COMP48) (0.672 COMP697/COMP889) (0.420 COMP1656) (0.381 COMP60) (0.374 COMP1651) (0.326 COMP120) (0.324 COMP1610/COMP436) (0.298 COMP1112) (0.294 COMP1192/COMP474/COMP543/COMP905) (0.292 COMP1671) (0.288 COMP33) (0.275 COMP725) (0.261 COMP122) (0.253 COMP1254/COMP1659) (0.239 COMP1632) (0.218 COMP1425/COMP1428) (0.211 COMP1637) (0.206 COMP1655) (0.203 COMP302) (0.199 COMP1100/COMP322) (0.195 COMP1634) (0.194 COMP1623) (0.190 COMP1612) (0.176 COMP1657) (0.175 COMP1640) (0.172 COMP1624) (0.171 COMP11/COMP8) (0.165 COMP1614/COMP1629/COMP1682) (0.164 COMP1119) (0.161 COMP1681) (0.152 COMP1670) (0.148 COMP1680) (0.141 COMP1627) (0.140 COMP633) (0.139 COMP864/COMP878) (0.137 COMP1644) (0.135 COMP1626/COMP1643) (0.131 COMP616) (0.129 COMP1641/COMP9) (0.127 COMP1615/COMP1635) (0.125 COMP119/COMP157/COMP160/COMP162/COMP169)
NOS3 expression inhibitor	0.926	COMP1610/COMP436	(0.837 COMP301/COMP56) (0.827 COMP48) (0.823 COMP1627) (0.757 COMP46) (0.664 COMP593) (0.634 COMP1192/COMP474/COMP543/COMP905) (0.590 COMP1678) (0.576 COMP1509) (0.568 COMP864/COMP878) (0.564 COMP774) (0.557 COMP1622/COMP55) (0.556 COMP11/COMP8) (0.553 COMP1612/COMP1672/COMP1673/COMP1674) (0.543 COMP1647) (0.528 COMP1304) (0.526 COMP697/COMP889) (0.523 COMP112/COMP134) (0.517 COMP1637) (0.514 COMP1653) (0.508 COMP119/COMP157/COMP160/COMP162/COMP169) (0.477 COMP725) (0.471 COMP1119/COMP1632) (0.451 COMP60) (0.449 COMP1254/COMP1640/COMP1659) (0.447 COMP1624) (0.440 COMP1425/COMP1428) (0.439 COMP1669/COMP24/COMP52/COMP901) (0.438 COMP1629) (0.434 COMP1616) (0.432 COMP1626) (0.426 COMP123/COMP161) (0.425 COMP1643) (0.417 COMP1244) (0.415 COMP1655) (0.414 COMP1613) (0.412 COMP1100) (0.411 COMP1671) (0.405 COMP1658/COMP1660/COMP666) (0.404 COMP1628/COMP1638/COMP1666) (0.403 COMP522) (0.395 COMP192) (0.390 COMP126) (0.384 COMP1177/COMP1179/COMP296/COMP524) (0.379 COMP1614/COMP1682) (0.376 COMP1651/COMP1670) (0.372 COMP33) (0.368 COMP322) (0.366 COMP1623) (0.363 COMP633) (0.362 COMP122) (0.359 COMP1641) (0.356 COMP1680) (0.352 COMP1618) (0.347 COMP1634) (0.346 COMP1617) (0.344 COMP9) (0.343 COMP158/COMP172) (0.342 COMP548) (0.327 COMP1644) (0.326 COMP1071/COMP1088/COMP1661) (0.325 COMP1681) (0.317 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.315 COMP616) (0.314 COMP114/COMP131/COMP1427) (0.309 COMP499/COMP57) (0.304 COMP1615/COMP1635) (0.300 COMP300) (0.299 COMP1621) (0.298 COMP143/COMP149/COMP1675) (0.297 COMP1636) (0.293 COMP525) (0.287 COMP544) (0.281 COMP1657) (0.272 COMP1648/COMP167) (0.270 COMP19) (0.269 COMP1677) (0.268 COMP1108) (0.266 COMP302) (0.264 COMP1668/COMP523) (0.261 COMP1654/COMP640) (0.251 COMP1112) (0.248 COMP1679) (0.247 COMP120) (0.243 COMP1663) (0.242 COMP1664) (0.240 COMP1620/COMP1631/COMP1676) (0.239 COMP165/COMP173) (0.238 COMP139) (0.227 COMP1/COMP1603) (0.226 COMP113/COMP132/COMP142) (0.224 COMP1650) (0.213 COMP1619/COMP1639) (0.202 COMP124) (0.200 COMP141/COMP264/COMP547) (0.196 COMP1196) (0.195 COMP1630/COMP1649/COMP1656/COMP1665)
TNF expression inhibitor	0.951	COMP301/COMP56	(0.932 COMP1610/COMP436) (0.904 COMP119/COMP157/COMP160/COMP162/COMP169) (0.901 COMP1671) (0.892 COMP1627) (0.887 COMP1177/COMP1179/COMP296/COMP524) (0.877 COMP48) (0.870 COMP11/COMP8) (0.869 COMP46) (0.868 COMP1647) (0.845 COMP1119) (0.827 COMP1623) (0.821 COMP1612) (0.805 COMP633) (0.774 COMP1425/COMP1428) (0.772 COMP697/COMP889) (0.763 COMP593) (0.749 COMP1254/COMP1659) (0.733 COMP1658/COMP1660/COMP666/COMP864/COMP878) (0.687 COMP1632) (0.686 COMP1614/COMP1682) (0.685 COMP1644) (0.665 COMP901) (0.658 COMP302) (0.657 COMP1192/COMP474/COMP543/COMP905) (0.648 COMP1651) (0.644 COMP1624) (0.642 COMP1637) (0.636 COMP774) (0.634 COMP1181/COMP153/COMP1634) (0.633 COMP1640) (0.629 COMP112/COMP134/COMP1629) (0.619 COMP60) (0.618 COMP548) (0.617 COMP1669/COMP24/COMP52) (0.615 COMP1509) (0.611 COMP1681) (0.606 COMP1622/COMP1626) (0.605 COMP1653/COMP1668/COMP523) (0.601 COMP1) (0.600 COMP1680) (0.599 COMP725) (0.598 COMP143/COMP149/COMP1675) (0.596 COMP1670) (0.590 COMP1641) (0.587 COMP123/COMP161) (0.586 COMP122/COMP1613) (0.585 COMP1615/COMP1628/COMP1635/COMP1638/COMP1666) (0.582 COMP158/COMP172) (0.579 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.573 COMP1304) (0.572 COMP55) (0.567 COMP1655/COMP1677) (0.552 COMP1620/COMP1631/COMP1676) (0.548 COMP1643/COMP1678) (0.542 COMP1672/COMP1673/COMP1674) (0.539 COMP1100) (0.535 COMP120/COMP1244/COMP126/COMP616) (0.530 COMP1071/COMP1088/COMP1661) (0.526 COMP1108) (0.520 COMP1664) (0.517 COMP322) (0.515 COMP525) (0.508 COMP1196/COMP33) (0.507 COMP1656) (0.504 COMP1630/COMP1649) (0.499 COMP544) (0.496 COMP6) (0.493 COMP141/COMP264/COMP547) (0.487 COMP1112) (0.476 COMP1621) (0.475 COMP19) (0.469 COMP1663/COMP9) (0.460 COMP192) (0.456 COMP124) (0.452 COMP1616) (0.448 COMP1665/COMP499/COMP57) (0.438 COMP1617) (0.432 COMP1619/COMP1639) (0.431 COMP1085/COMP1107/COMP1667) (0.426 COMP113/COMP132/COMP142) (0.418 COMP1679) (0.417 COMP1648) (0.412 COMP1657) (0.397 COMP1618) (0.393 COMP1662) (0.391 COMP165/COMP173/COMP640) (0.386 COMP1650) (0.385 COMP1625) (0.384 COMP300) (0.377 COMP1603) (0.346 COMP522) (0.342 COMP114/COMP131/COMP1427) (0.336 COMP1654) (0.317 COMP1636) (0.316 COMP167) (0.268 COMP139) (0.254 COMP604) (0.220 COMP1160)
