Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.933	COMP1672	(0.928 COMP499/COMP57) (0.920 COMP1) (0.909 COMP1673/COMP1674) (0.792 COMP1177/COMP1179/COMP296/COMP524) (0.658 COMP1654) (0.654 COMP1658/COMP1660/COMP666) (0.607 COMP139) (0.589 COMP1621) (0.580 COMP141/COMP264/COMP547) (0.569 COMP1425/COMP1428) (0.500 COMP1668/COMP523) (0.488 COMP1627) (0.472 COMP1119) (0.456 COMP1671) (0.443 COMP1653) (0.408 COMP522/COMP604) (0.405 COMP548) (0.399 COMP1254/COMP1659) (0.387 COMP1616) (0.379 COMP1509) (0.378 COMP633) (0.371 COMP302) (0.365 COMP119/COMP157/COMP160/COMP162/COMP169) (0.363 COMP1669/COMP24/COMP52) (0.357 COMP1613) (0.353 COMP1610/COMP436) (0.352 COMP593) (0.342 COMP143/COMP149/COMP1675) (0.335 COMP1160) (0.325 COMP11/COMP8) (0.307 COMP697/COMP889) (0.303 COMP1612) (0.302 COMP864/COMP878) (0.287 COMP1678) (0.285 COMP192) (0.277 COMP19) (0.252 COMP640) (0.214 COMP1108) (0.213 COMP1192/COMP474/COMP543/COMP905) (0.212 COMP6) (0.201 COMP1637) (0.197 COMP1664) (0.186 COMP123/COMP161) (0.183 COMP55) (0.180 COMP1677) (0.179 COMP1647) (0.178 COMP1651) (0.171 COMP1623) (0.165 COMP1626) (0.153 COMP1655) (0.152 COMP60) (0.149 COMP901) (0.146 COMP1196/COMP1244) (0.145 COMP33) (0.144 COMP158/COMP172/COMP725) (0.141 COMP1100/COMP112/COMP134) (0.140 COMP126) (0.137 COMP1670/COMP774) (0.132 COMP1641) (0.131 COMP616) (0.130 COMP114/COMP131/COMP1427/COMP1663) (0.129 COMP1644) (0.127 COMP1181/COMP120/COMP153) (0.126 COMP1603) (0.124 COMP124) (0.123 COMP1630/COMP1649/COMP1665) (0.122 COMP122/COMP544) (0.121 COMP1650) (0.118 COMP1643) (0.117 COMP1625/COMP322) (0.116 COMP1106/COMP1304/COMP1633/COMP1642/COMP1645/COMP1646/COMP1648/COMP1652) (0.115 COMP1634) (0.113 COMP1619/COMP1639) (0.112 COMP1112) (0.111 COMP1071/COMP1088/COMP1628/COMP1638/COMP1661/COMP1666) (0.110 COMP1617) (0.108 COMP1681) (0.107 COMP1085/COMP1107/COMP1667) (0.106 COMP300) (0.105 COMP1656) (0.104 COMP1679/COMP1680)
Aldehyde dehydrogenase substrate	0.934	COMP499/COMP57	(0.902 COMP1673/COMP1674) (0.809 COMP1672) (0.783 COMP1) (0.548 COMP1654) (0.351 COMP141/COMP264/COMP547) (0.341 COMP604) (0.338 COMP1160) (0.336 COMP1627) (0.335 COMP139) (0.297 COMP1668/COMP523) (0.294 COMP593) (0.280 COMP522) (0.268 COMP1425/COMP1428) (0.265 COMP1669/COMP24/COMP52) (0.260 COMP548) (0.259 COMP1616) (0.257 COMP1509) (0.249 COMP1612) (0.236 COMP1637) (0.218 COMP640) (0.217 COMP60) (0.215 COMP864/COMP878) (0.211 COMP143/COMP149/COMP1675/COMP19/COMP697/COMP889) (0.210 COMP1254/COMP1659) (0.207 COMP192) (0.204 COMP33) (0.203 COMP1119/COMP1177/COMP1179/COMP296/COMP524) (0.202 COMP633) (0.199 COMP725) (0.198 COMP1658/COMP1660/COMP666) (0.193 COMP1653) (0.189 COMP55) (0.188 COMP1100) (0.186 COMP1671) (0.185 COMP6) (0.179 COMP122) (0.176 COMP1655) (0.171 COMP1664) (0.168 COMP1670) (0.157 COMP1626) (0.156 COMP1641) (0.149 COMP322) (0.146 COMP11/COMP8) (0.139 COMP1678) (0.129 COMP302) (0.123 COMP1112) (0.122 COMP119/COMP1244/COMP157/COMP160/COMP162/COMP169) (0.121 COMP120) (0.118 COMP774) (0.116 COMP123/COMP161/COMP1623) (0.115 COMP158/COMP172) (0.111 COMP1196) (0.110 COMP1651/COMP1677) (0.109 COMP1108) (0.106 COMP1648) (0.103 COMP1621) (0.102 COMP1634) (0.098 COMP1657)
Aldehyde oxidase substrate	0.563	COMP1654	(0.357 COMP1112) (0.332 COMP499/COMP57) (0.322 COMP60) (0.318 COMP33) (0.313 COMP192) (0.312 COMP1653) (0.289 COMP864/COMP878) (0.279 COMP1616/COMP322) (0.262 COMP1655) (0.259 COMP122) (0.255 COMP593) (0.247 COMP1100/COMP1673/COMP1674) (0.246 COMP1670) (0.243 COMP1656) (0.239 COMP9) (0.232 COMP1621) (0.224 COMP1641) (0.223 COMP55) (0.218 COMP725) (0.217 COMP1160) (0.212 COMP604) (0.205 COMP120) (0.201 COMP1657) (0.198 COMP1669/COMP1672/COMP24/COMP52) (0.193 COMP139) (0.190 COMP1637) (0.180 COMP697/COMP889) (0.176 COMP616/COMP640) (0.170 COMP1) (0.166 COMP1627) (0.165 COMP1612/COMP1626) (0.162 COMP525) (0.160 COMP1613) (0.158 COMP1658/COMP1660/COMP666) (0.156 COMP544) (0.149 COMP1254/COMP1659) (0.143 COMP1677) (0.142 COMP123/COMP1244/COMP161) (0.139 COMP1634/COMP1662/COMP48) (0.135 COMP633)
Aldose reductase substrate	0.992	COMP499/COMP57	(0.987 COMP1673/COMP1674) (0.797 COMP1672) (0.737 COMP1) (0.507 COMP1612) (0.442 COMP301/COMP56) (0.379 COMP46) (0.362 COMP1653) (0.358 COMP864/COMP878) (0.312 COMP1669/COMP24/COMP52) (0.300 COMP1425/COMP1428) (0.267 COMP774) (0.258 COMP55) (0.249 COMP192) (0.248 COMP593) (0.247 COMP1618) (0.233 COMP1112) (0.229 COMP1616) (0.224 COMP633) (0.218 COMP139) (0.214 COMP1624) (0.212 COMP1632) (0.204 COMP697/COMP889) (0.203 COMP1629) (0.201 COMP33) (0.192 COMP1655) (0.189 COMP901) (0.187 COMP1640) (0.180 COMP1100/COMP1670/COMP1671) (0.179 COMP1627) (0.177 COMP1614/COMP1682) (0.172 COMP1641) (0.170 COMP1626) (0.165 COMP60) (0.164 COMP1610/COMP436) (0.161 COMP322) (0.160 COMP122) (0.152 COMP1177/COMP1179/COMP296/COMP524) (0.151 COMP725) (0.149 COMP1071/COMP1088/COMP1661) (0.135 COMP1677) (0.134 COMP1623) (0.125 COMP1622)
Arylamine N-Acetyltransferase substrate	0.442	COMP725	(0.417 COMP1100) (0.390 COMP1627) (0.350 COMP60) (0.333 COMP33) (0.318 COMP593) (0.278 COMP1112) (0.263 COMP864/COMP878) (0.253 COMP1653) (0.234 COMP322) (0.219 COMP697/COMP889) (0.214 COMP122) (0.172 COMP55) (0.170 COMP1637) (0.137 COMP192) (0.132 COMP1669/COMP24/COMP52) (0.131 COMP1612) (0.129 COMP1254/COMP1659) (0.128 COMP1657) (0.121 COMP1671) (0.119 COMP1656) (0.118 COMP1616) (0.114 COMP48) (0.099 COMP1655) (0.098 COMP1672/COMP1673/COMP1674) (0.094 COMP1119/COMP9) (0.077 COMP1658/COMP1660/COMP666) (0.066 COMP1621/COMP302)
CYP1A2 inhibitor	0.945	COMP48	(0.734 COMP1622) (0.397 COMP301/COMP56) (0.384 COMP120) (0.372 COMP1665) (0.352 COMP697/COMP889) (0.351 COMP1630/COMP1649) (0.341 COMP1681) (0.336 COMP1085/COMP1107/COMP1667) (0.328 COMP1623) (0.323 COMP1615/COMP1635) (0.318 COMP1634) (0.317 COMP1112) (0.313 COMP1677) (0.311 COMP1621) (0.301 COMP1625) (0.292 COMP1620/COMP1631/COMP1676) (0.280 COMP46) (0.265 COMP525) (0.263 COMP1637) (0.250 COMP1651) (0.247 COMP1613/COMP1658/COMP1660/COMP666) (0.240 COMP122) (0.237 COMP1656) (0.233 COMP1641/COMP1670) (0.232 COMP192) (0.227 COMP6) (0.223 COMP1119) (0.221 COMP1254/COMP1659) (0.217 COMP60) (0.214 COMP1626) (0.213 COMP725) (0.196 COMP1177/COMP1179/COMP296/COMP524) (0.192 COMP1616) (0.190 COMP1657) (0.187 COMP1100/COMP1671) (0.184 COMP1655) (0.182 COMP604) (0.178 COMP322) (0.176 COMP1160) (0.174 COMP616) (0.173 COMP9)
CYP1A2 substrate	0.912	COMP48	(0.789 COMP1622) (0.642 COMP1654) (0.590 COMP1672) (0.574 COMP697/COMP889) (0.572 COMP301/COMP56) (0.565 COMP192) (0.557 COMP46) (0.545 COMP1613) (0.535 COMP120) (0.531 COMP1603) (0.513 COMP1627) (0.485 COMP1621) (0.470 COMP1637) (0.462 COMP1112) (0.458 COMP525) (0.443 COMP1673/COMP1674) (0.438 COMP1254/COMP1659) (0.430 COMP1658/COMP1660/COMP666/COMP864/COMP878) (0.428 COMP593) (0.427 COMP1) (0.426 COMP1677) (0.420 COMP1616) (0.410 COMP616) (0.400 COMP1651) (0.389 COMP9) (0.382 COMP1610/COMP436) (0.373 COMP122) (0.365 COMP1653) (0.360 COMP6) (0.359 COMP60) (0.342 COMP499/COMP57) (0.340 COMP1177/COMP1179/COMP296/COMP524) (0.336 COMP1655) (0.332 COMP1670) (0.323 COMP1643) (0.320 COMP725) (0.319 COMP1671) (0.317 COMP1119) (0.316 COMP901) (0.315 COMP1192/COMP474/COMP543/COMP905) (0.313 COMP33) (0.308 COMP1657) (0.306 COMP1669/COMP24/COMP52) (0.305 COMP1629) (0.304 COMP1681) (0.298 COMP1100) (0.296 COMP1644) (0.295 COMP1632) (0.292 COMP1509) (0.291 COMP1615/COMP1635) (0.290 COMP1663) (0.289 COMP1656) (0.288 COMP123/COMP161/COMP640) (0.282 COMP1634) (0.281 COMP1626) (0.280 COMP1425/COMP1428) (0.279 COMP1641) (0.276 COMP1650) (0.275 COMP1665/COMP322) (0.271 COMP1628/COMP1638/COMP1666) (0.270 COMP1160) (0.269 COMP1624) (0.266 COMP1625/COMP544) (0.264 COMP774) (0.261 COMP1071/COMP1088/COMP1661/COMP1680) (0.259 COMP1630/COMP1649) (0.248 COMP1196) (0.246 COMP1612/COMP604) (0.245 COMP139) (0.244 COMP1623) (0.241 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.240 COMP11/COMP8) (0.237 COMP55) (0.236 COMP1619/COMP1639) (0.235 COMP141/COMP1620/COMP1631/COMP1676/COMP264/COMP547) (0.228 COMP1085/COMP1107/COMP1667) (0.223 COMP522) (0.220 COMP300) (0.217 COMP112/COMP134/COMP19) (0.208 COMP302) (0.207 COMP1662) (0.204 COMP1648) (0.196 COMP1640) (0.193 COMP1244) (0.189 COMP1636) (0.181 COMP158/COMP172)
CYP24 inhibitor	0.285	COMP126	(0.132 COMP548) (0.089 COMP1244) (0.070 COMP158/COMP172) (0.068 COMP124) (0.066 COMP1610/COMP436) (0.053 COMP1181/COMP153) (0.052 COMP165/COMP173) (0.049 COMP113/COMP132/COMP142) (0.045 COMP1626) (0.039 COMP1662) (0.034 COMP616) (0.027 COMP300) (0.025 COMP141/COMP264/COMP547) (0.024 COMP525/COMP9) (0.023 COMP123/COMP161) (0.021 COMP1192/COMP1196/COMP1678/COMP474/COMP543/COMP6/COMP905) (0.020 COMP1620/COMP1631/COMP1676)
CYP2A6 inhibitor	0.329	COMP604	(0.258 COMP1654) (0.255 COMP1622) (0.252 COMP141/COMP264/COMP547) (0.246 COMP1112) (0.200 COMP1119) (0.188 COMP1621) (0.183 COMP1/COMP1160) (0.182 COMP1668/COMP302/COMP523) (0.167 COMP1177/COMP1179/COMP296/COMP524) (0.164 COMP1656/COMP9) (0.158 COMP300) (0.156 COMP1254/COMP1659) (0.152 COMP1613/COMP6) (0.151 COMP616) (0.150 COMP120) (0.140 COMP1658/COMP1660/COMP666) (0.134 COMP1671) (0.133 COMP1509) (0.125 COMP1663) (0.124 COMP1653) (0.122 COMP322) (0.115 COMP1657) (0.113 COMP544) (0.111 COMP525) (0.110 COMP1637) (0.108 COMP139) (0.101 COMP119/COMP157/COMP160/COMP162/COMP169) (0.093 COMP48) (0.091 COMP499/COMP57) (0.090 COMP1623) (0.089 COMP33) (0.088 COMP1648) (0.087 COMP522) (0.085 COMP192) (0.084 COMP1196) (0.080 COMP1616/COMP1672/COMP1673/COMP1674) (0.079 COMP1244) (0.078 COMP1662) (0.074 COMP11/COMP8) (0.073 COMP593) (0.068 COMP548) (0.067 COMP158/COMP172)
CYP2B6 inhibitor	0.556	COMP1177/COMP1179/COMP296/COMP524	(0.522 COMP1119) (0.482 COMP1671) (0.478 COMP1626) (0.449 COMP1254/COMP1659) (0.426 COMP1637) (0.391 COMP1622) (0.386 COMP548) (0.375 COMP1627) (0.374 COMP48) (0.349 COMP141/COMP264/COMP302/COMP547) (0.348 COMP1425/COMP1428) (0.345 COMP1112) (0.337 COMP1623) (0.330 COMP593) (0.328 COMP1616) (0.325 COMP1668/COMP523) (0.321 COMP1658/COMP1660/COMP666) (0.319 COMP1) (0.317 COMP697/COMP889) (0.309 COMP119/COMP157/COMP160/COMP162/COMP169) (0.308 COMP1677) (0.298 COMP616) (0.295 COMP1670/COMP1672/COMP1673/COMP1674) (0.294 COMP1663) (0.291 COMP1655) (0.288 COMP300) (0.281 COMP120/COMP192) (0.279 COMP11/COMP8) (0.274 COMP126/COMP143/COMP149/COMP1675) (0.270 COMP1641) (0.269 COMP1244) (0.267 COMP1651/COMP1653/COMP6) (0.261 COMP123/COMP161) (0.260 COMP9) (0.258 COMP1621) (0.257 COMP604) (0.255 COMP1160) (0.253 COMP1634) (0.252 COMP1656/COMP725) (0.250 COMP499/COMP57) (0.249 COMP525) (0.246 COMP633) (0.245 COMP1196) (0.244 COMP124) (0.239 COMP19/COMP322/COMP522/COMP640) (0.238 COMP60) (0.236 COMP1100) (0.235 COMP1612) (0.234 COMP544) (0.229 COMP1620/COMP1631/COMP1676) (0.228 COMP1657) (0.226 COMP113/COMP132/COMP142/COMP158/COMP1681/COMP172) (0.222 COMP1625) (0.218 COMP1669/COMP24/COMP52) (0.217 COMP1615/COMP1635) (0.216 COMP165/COMP173) (0.210 COMP33/COMP864/COMP878) (0.207 COMP122/COMP1648) (0.198 COMP1610/COMP436) (0.197 COMP1181/COMP153) (0.193 COMP1654) (0.188 COMP1613/COMP1630/COMP1649/COMP1665) (0.186 COMP1662) (0.185 COMP55) (0.178 COMP1108) (0.175 COMP1085/COMP1107/COMP1667) (0.171 COMP1632) (0.168 COMP139) (0.161 COMP114/COMP131/COMP1427/COMP1509) (0.158 COMP1624) (0.157 COMP1192/COMP474/COMP543/COMP905) (0.155 COMP1680) (0.153 COMP1678) (0.148 COMP1629) (0.146 COMP1664)
