Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.613	COMP1610/COMP436	(0.541 COMP11/COMP8) (0.540 COMP119/COMP157/COMP160/COMP162/COMP169) (0.539 COMP1671) (0.532 COMP1177/COMP1179/COMP296/COMP524) (0.515 COMP1425/COMP1428) (0.507 COMP593) (0.506 COMP1627/COMP548) (0.497 COMP1509) (0.486 COMP1612) (0.468 COMP633) (0.463 COMP1644) (0.459 COMP1669/COMP24/COMP52) (0.455 COMP1637) (0.454 COMP1668/COMP523) (0.448 COMP112/COMP1192/COMP134/COMP1643/COMP474/COMP543/COMP905) (0.445 COMP1108) (0.443 COMP1640) (0.442 COMP124) (0.441 COMP864/COMP878) (0.439 COMP1653) (0.438 COMP1647/COMP725) (0.437 COMP1628/COMP1638/COMP1666) (0.435 COMP522) (0.433 COMP1617) (0.432 COMP55) (0.431 COMP1304) (0.429 COMP1679/COMP697/COMP889) (0.427 COMP1119) (0.426 COMP113/COMP132/COMP142) (0.423 COMP1100/COMP33) (0.419 COMP60) (0.417 COMP1616/COMP1672/COMP1673/COMP1674) (0.416 COMP126/COMP165/COMP173) (0.413 COMP122/COMP143/COMP149/COMP1675) (0.411 COMP1254/COMP1659) (0.410 COMP302) (0.408 COMP1648) (0.407 COMP1) (0.406 COMP1677) (0.405 COMP141/COMP264/COMP547) (0.399 COMP1624) (0.396 COMP1663) (0.390 COMP1071/COMP1088/COMP1661) (0.389 COMP1658/COMP1660/COMP666) (0.388 COMP1632) (0.387 COMP1630/COMP1649/COMP1665) (0.385 COMP322) (0.383 COMP1634) (0.379 COMP1629/COMP1678) (0.373 COMP1615/COMP1635) (0.371 COMP1650) (0.369 COMP1625) (0.366 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652/COMP6) (0.364 COMP1620/COMP1631/COMP1676) (0.363 COMP1655) (0.361 COMP1244/COMP1641) (0.358 COMP499/COMP57) (0.357 COMP1623) (0.356 COMP1619/COMP1639) (0.353 COMP1085/COMP1107/COMP1667/COMP192) (0.349 COMP123/COMP161) (0.346 COMP1196/COMP1681) (0.345 COMP1112) (0.342 COMP1670/COMP1680) (0.336 COMP1614/COMP1682) (0.334 COMP1181/COMP153) (0.330 COMP120/COMP1657) (0.327 COMP114/COMP131/COMP1427) (0.326 COMP640) (0.323 COMP19) (0.321 COMP1626) (0.305 COMP1662) (0.295 COMP774) (0.294 COMP300) (0.292 COMP1603) (0.290 COMP1613) (0.286 COMP1621) (0.284 COMP1656/COMP1664) (0.277 COMP616) (0.274 COMP1636) (0.269 COMP167) (0.259 COMP158/COMP172) (0.254 COMP1651) (0.232 COMP9) (0.227 COMP901) (0.225 COMP604) (0.215 COMP525) (0.211 COMP1618) (0.207 COMP139/COMP1622) (0.205 COMP544) (0.201 COMP48) (0.184 COMP1160) (0.174 COMP1654)
Carcinogenic	0.940	COMP46	(0.924 COMP119/COMP157/COMP160/COMP162/COMP169) (0.912 COMP301/COMP56) (0.899 COMP901) (0.890 COMP11/COMP8) (0.884 COMP1610/COMP436) (0.881 COMP1119) (0.873 COMP1) (0.867 COMP302) (0.836 COMP1177/COMP1179/COMP296/COMP524) (0.822 COMP633) (0.816 COMP1254/COMP1659) (0.812 COMP1671/COMP1672) (0.811 COMP1673/COMP1674) (0.806 COMP1425/COMP1428) (0.792 COMP123/COMP161) (0.789 COMP774) (0.775 COMP1627) (0.753 COMP48) (0.731 COMP499/COMP57) (0.723 COMP139) (0.693 COMP55) (0.671 COMP141/COMP264/COMP547) (0.657 COMP1668/COMP523) (0.647 COMP1612/COMP548) (0.609 COMP113/COMP132/COMP142) (0.605 COMP864/COMP878) (0.602 COMP593) (0.597 COMP697/COMP889) (0.590 COMP1614/COMP1682) (0.559 COMP1658/COMP1660/COMP666) (0.528 COMP1509) (0.526 COMP1160) (0.518 COMP1669/COMP24/COMP52) (0.514 COMP1623) (0.497 COMP124) (0.489 COMP158/COMP172) (0.471 COMP725) (0.458 COMP1304/COMP604) (0.449 COMP1626) (0.445 COMP60) (0.444 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.443 COMP640) (0.439 COMP1647) (0.433 COMP1100/COMP1632) (0.432 COMP1651) (0.430 COMP1655) (0.422 COMP114/COMP131/COMP1427) (0.420 COMP1654) (0.415 COMP1644) (0.414 COMP1621) (0.403 COMP1653) (0.400 COMP1637) (0.398 COMP1108) (0.379 COMP1244) (0.377 COMP112/COMP134) (0.367 COMP1192/COMP474/COMP543/COMP905) (0.365 COMP1662/COMP322) (0.361 COMP33) (0.353 COMP1629) (0.345 COMP143/COMP149/COMP1675) (0.342 COMP1112) (0.337 COMP1656/COMP192) (0.331 COMP1071/COMP1088/COMP1661) (0.329 COMP1181/COMP153/COMP6) (0.326 COMP120) (0.324 COMP1624) (0.323 COMP122) (0.320 COMP126) (0.306 COMP1622) (0.301 COMP1613) (0.287 COMP1670) (0.286 COMP1636) (0.284 COMP1603/COMP1643) (0.283 COMP1640/COMP9) (0.282 COMP1677) (0.279 COMP1616) (0.274 COMP1196) (0.273 COMP1678) (0.269 COMP1641) (0.268 COMP1664) (0.261 COMP1657) (0.257 COMP522) (0.248 COMP1634/COMP19/COMP616) (0.243 COMP1663) (0.227 COMP1681) (0.223 COMP1650) (0.220 COMP1628/COMP1638/COMP1666) (0.214 COMP1665/COMP544) (0.213 COMP1648) (0.205 COMP1615/COMP1635) (0.204 COMP1680) (0.202 COMP1625) (0.199 COMP525) (0.187 COMP165/COMP173) (0.179 COMP1679) (0.178 COMP1619/COMP1639) (0.168 COMP1630/COMP1649) (0.164 COMP1085/COMP1107/COMP1667) (0.163 COMP1618) (0.162 COMP1620/COMP1631/COMP1676) (0.153 COMP300)
Carcinogenic. group 1	0.932	COMP1603	(0.657 COMP1112) (0.461 COMP593) (0.460 COMP864/COMP878) (0.453 COMP1653) (0.449 COMP1616) (0.438 COMP1637) (0.426 COMP192) (0.418 COMP1622) (0.393 COMP1627/COMP301/COMP56) (0.392 COMP1657) (0.362 COMP33) (0.361 COMP322) (0.341 COMP120) (0.333 COMP1656) (0.332 COMP1669/COMP24/COMP52) (0.329 COMP122) (0.328 COMP55) (0.315 COMP640) (0.309 COMP1621) (0.306 COMP1100) (0.304 COMP697/COMP889) (0.298 COMP604) (0.292 COMP1625) (0.291 COMP725/COMP9) (0.289 COMP1648) (0.277 COMP1254/COMP1659) (0.274 COMP1612) (0.270 COMP1662/COMP901) (0.268 COMP1655/COMP48) (0.267 COMP499/COMP57) (0.266 COMP1650/COMP60) (0.257 COMP1672/COMP1673/COMP1674) (0.254 COMP139/COMP1658/COMP1660/COMP1677/COMP666) (0.253 COMP1654) (0.252 COMP1670) (0.246 COMP1641) (0.242 COMP616) (0.234 COMP1613) (0.230 COMP1626) (0.228 COMP544) (0.227 COMP525) (0.226 COMP302) (0.223 COMP1160) (0.222 COMP1630/COMP1649/COMP1665) (0.220 COMP1085/COMP1107/COMP1667) (0.218 COMP1244) (0.212 COMP1671) (0.210 COMP1620/COMP1631/COMP1676) (0.206 COMP1119) (0.205 COMP1177/COMP1179/COMP296/COMP524) (0.203 COMP1619/COMP1639) (0.199 COMP1634) (0.197 COMP6) (0.195 COMP141/COMP264/COMP547) (0.193 COMP1615/COMP1635/COMP46) (0.191 COMP11/COMP8) (0.189 COMP1425/COMP1428) (0.178 COMP1/COMP1680) (0.177 COMP1509/COMP1681) (0.165 COMP126) (0.163 COMP113/COMP132/COMP142) (0.162 COMP119/COMP157/COMP160/COMP162/COMP169) (0.161 COMP123/COMP161) (0.158 COMP114/COMP131/COMP1427/COMP1623/COMP1663/COMP1679) (0.157 COMP19) (0.156 COMP633) (0.154 COMP1192/COMP474/COMP543/COMP905) (0.151 COMP124) (0.148 COMP158/COMP172/COMP300) (0.144 COMP1071/COMP1088/COMP1661) (0.143 COMP1651) (0.139 COMP1624/COMP1668/COMP523) (0.138 COMP522) (0.137 COMP1643) (0.135 COMP1196) (0.133 COMP1632) (0.132 COMP1664) (0.129 COMP1629/COMP165/COMP173)
Carcinogenic. group 2A	0.848	COMP1603	(0.543 COMP1112) (0.391 COMP1622) (0.271 COMP1657) (0.249 COMP1656) (0.242 COMP120) (0.238 COMP192) (0.232 COMP1254/COMP1659) (0.229 COMP33) (0.228 COMP1653) (0.225 COMP322) (0.194 COMP1616) (0.189 COMP302) (0.187 COMP9) (0.185 COMP122/COMP604) (0.180 COMP901) (0.178 COMP1621) (0.172 COMP1662) (0.171 COMP1119) (0.169 COMP1100) (0.165 COMP139) (0.158 COMP301/COMP56) (0.152 COMP1613) (0.151 COMP1654) (0.148 COMP11/COMP8) (0.147 COMP60) (0.145 COMP499/COMP57) (0.144 COMP1160/COMP1625/COMP616) (0.137 COMP6) (0.136 COMP1177/COMP1179/COMP296/COMP524) (0.134 COMP525) (0.132 COMP1658/COMP1660/COMP666) (0.131 COMP640) (0.130 COMP725) (0.127 COMP544) (0.124 COMP1650) (0.122 COMP114/COMP131/COMP1427/COMP1672/COMP1673/COMP1674/COMP593) (0.121 COMP697/COMP889) (0.118 COMP55) (0.117 COMP864/COMP878) (0.111 COMP119/COMP157/COMP160/COMP162/COMP169) (0.106 COMP141/COMP264/COMP547) (0.104 COMP1) (0.095 COMP1085/COMP1107/COMP1667) (0.093 COMP1669/COMP24/COMP52) (0.092 COMP1620/COMP1631/COMP1655/COMP1676) (0.091 COMP113/COMP132/COMP142) (0.090 COMP1425/COMP1428/COMP1648/COMP1663) (0.088 COMP1244) (0.085 COMP1637) (0.084 COMP1670) (0.083 COMP1671/COMP46) (0.082 COMP1627) (0.080 COMP1641/COMP1677) (0.078 COMP1619/COMP1639) (0.077 COMP1192/COMP474/COMP543/COMP905) (0.076 COMP124/COMP1630/COMP1649/COMP1665) (0.073 COMP123/COMP161)
Carcinogenic. group 2B	0.718	COMP113/COMP132/COMP142	(0.495 COMP697/COMP889) (0.474 COMP604) (0.451 COMP1112) (0.356 COMP1254/COMP1659) (0.351 COMP1653) (0.344 COMP302) (0.335 COMP120) (0.330 COMP1656) (0.294 COMP1100) (0.278 COMP1108) (0.264 COMP46) (0.261 COMP1662) (0.257 COMP499/COMP57) (0.255 COMP192) (0.235 COMP55/COMP725) (0.234 COMP60) (0.232 COMP1160) (0.231 COMP124) (0.230 COMP33) (0.229 COMP864/COMP878) (0.228 COMP139) (0.226 COMP48) (0.223 COMP322) (0.221 COMP1612) (0.214 COMP1616) (0.211 COMP11/COMP8) (0.206 COMP1119) (0.203 COMP593) (0.202 COMP301/COMP56) (0.199 COMP1672/COMP1673/COMP1674) (0.193 COMP1669/COMP24/COMP52) (0.189 COMP1655) (0.188 COMP1637) (0.185 COMP633) (0.183 COMP9) (0.179 COMP1654) (0.174 COMP1) (0.170 COMP1671) (0.166 COMP1425/COMP1428) (0.165 COMP1614/COMP1621/COMP1682) (0.163 COMP1677) (0.162 COMP114/COMP131/COMP1427) (0.161 COMP1648) (0.160 COMP1623) (0.158 COMP1622) (0.155 COMP119/COMP157/COMP160/COMP162/COMP169) (0.153 COMP1657) (0.151 COMP112/COMP134/COMP901) (0.149 COMP1192/COMP474/COMP543/COMP905) (0.145 COMP141/COMP264/COMP547) (0.140 COMP1613/COMP1632) (0.139 COMP122) (0.138 COMP1177/COMP1179/COMP1664/COMP296/COMP524) (0.136 COMP774) (0.135 COMP1670) (0.130 COMP616) (0.126 COMP1181/COMP153) (0.125 COMP1634) (0.124 COMP1658/COMP1660/COMP666) (0.121 COMP525) (0.119 COMP1627/COMP1651) (0.117 COMP123/COMP161) (0.116 COMP1663) (0.114 COMP1244/COMP1641) (0.112 COMP19/COMP6) (0.108 COMP544) (0.107 COMP640) (0.104 COMP1196) (0.098 COMP1625) (0.096 COMP126) (0.094 COMP1509/COMP1624) (0.093 COMP167) (0.087 COMP158/COMP172)
Carcinogenic. group 3	0.772	COMP141/COMP264/COMP547	(0.751 COMP48) (0.739 COMP1672) (0.738 COMP1673/COMP1674) (0.721 COMP499/COMP57) (0.697 COMP604) (0.662 COMP1160) (0.519 COMP697/COMP889) (0.487 COMP1662) (0.463 COMP1112) (0.462 COMP640) (0.458 COMP139) (0.451 COMP33) (0.432 COMP60) (0.431 COMP593) (0.395 COMP301/COMP56) (0.391 COMP1668/COMP523) (0.390 COMP1657) (0.377 COMP1653) (0.371 COMP1509) (0.362 COMP725) (0.358 COMP1100) (0.356 COMP1656) (0.339 COMP1622) (0.338 COMP1612) (0.337 COMP322) (0.332 COMP123/COMP161) (0.327 COMP1637) (0.322 COMP9) (0.319 COMP1610/COMP436) (0.317 COMP1627) (0.315 COMP6) (0.309 COMP1) (0.304 COMP548) (0.300 COMP302) (0.298 COMP864/COMP878) (0.295 COMP120) (0.286 COMP1658/COMP1660/COMP46/COMP666) (0.274 COMP11/COMP8) (0.268 COMP1254/COMP1659/COMP1664) (0.256 COMP1621/COMP192) (0.253 COMP1669/COMP24/COMP52/COMP522) (0.252 COMP19) (0.248 COMP1614/COMP1682) (0.244 COMP616) (0.241 COMP122) (0.235 COMP544) (0.234 COMP633) (0.229 COMP158/COMP172) (0.227 COMP774) (0.225 COMP1654) (0.215 COMP1671) (0.207 COMP1616) (0.205 COMP55) (0.183 COMP114/COMP131/COMP1427) (0.182 COMP1655) (0.181 COMP1196) (0.178 COMP112/COMP1181/COMP134/COMP153) (0.175 COMP119/COMP157/COMP160/COMP162/COMP1648/COMP169) (0.174 COMP1613) (0.164 COMP1425/COMP1428) (0.163 COMP1119) (0.162 COMP901) (0.159 COMP1634) (0.157 COMP1623) (0.152 COMP1244/COMP1663) (0.149 COMP1177/COMP1179/COMP296/COMP524) (0.148 COMP113/COMP132/COMP142) (0.147 COMP525) (0.144 COMP124) (0.141 COMP1632) (0.137 COMP143/COMP149/COMP1675) (0.136 COMP1651) (0.131 COMP1192/COMP474/COMP543/COMP905) (0.123 COMP126) (0.114 COMP1624) (0.111 COMP1615/COMP1620/COMP1631/COMP1635/COMP1676) (0.105 COMP1681) (0.102 COMP1625) (0.099 COMP1670) (0.098 COMP1106/COMP1629/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652)
Cardiodepressant	0.609	COMP1677	(0.584 COMP120) (0.568 COMP112/COMP134) (0.554 COMP1637) (0.547 COMP1192/COMP474/COMP543/COMP905) (0.531 COMP1610/COMP436) (0.510 COMP1653) (0.500 COMP1647) (0.465 COMP60) (0.462 COMP640) (0.455 COMP192) (0.454 COMP1641) (0.449 COMP1670) (0.448 COMP1665) (0.443 COMP1630/COMP1649) (0.422 COMP1655) (0.414 COMP864/COMP878) (0.412 COMP593) (0.405 COMP1085/COMP1107/COMP1667) (0.403 COMP1616) (0.400 COMP33) (0.399 COMP1656) (0.398 COMP122) (0.392 COMP725) (0.384 COMP1100) (0.376 COMP1613) (0.375 COMP1626) (0.365 COMP1612) (0.361 COMP1681) (0.358 COMP1625) (0.356 COMP1112) (0.351 COMP1304/COMP1623) (0.350 COMP1619/COMP1639) (0.348 COMP1657) (0.347 COMP1615/COMP1635) (0.345 COMP322) (0.341 COMP1658/COMP1660/COMP666) (0.337 COMP55) (0.329 COMP48) (0.326 COMP1634) (0.325 COMP1621) (0.302 COMP1650) (0.294 COMP1669/COMP24/COMP52) (0.293 COMP1620/COMP1631/COMP1676) (0.286 COMP633) (0.280 COMP1628/COMP1638/COMP1666) (0.279 COMP525) (0.277 COMP9) (0.272 COMP901) (0.264 COMP114/COMP131/COMP1427) (0.250 COMP697/COMP889) (0.248 COMP1680) (0.243 COMP11/COMP8) (0.238 COMP1071/COMP1088/COMP1661) (0.235 COMP1648) (0.230 COMP1622) (0.228 COMP1643) (0.226 COMP113/COMP132/COMP142) (0.224 COMP499/COMP57) (0.220 COMP1679) (0.219 COMP124) (0.207 COMP1603) (0.205 COMP774) (0.200 COMP1425/COMP1428/COMP1627/COMP616) (0.174 COMP1663) (0.162 COMP1254/COMP1659) (0.148 COMP119/COMP157/COMP160/COMP162/COMP169) (0.144 COMP1629) (0.140 COMP1108) (0.135 COMP301/COMP56) (0.133 COMP1651)
Cytotoxic	0.658	COMP46	(0.650 COMP1610/COMP436) (0.640 COMP1647) (0.626 COMP301/COMP56) (0.560 COMP1614/COMP1682) (0.549 COMP143/COMP149/COMP1675) (0.523 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.520 COMP1304) (0.509 COMP1636) (0.506 COMP1) (0.504 COMP1629/COMP1632) (0.502 COMP1603) (0.499 COMP633) (0.488 COMP1679) (0.480 COMP774) (0.479 COMP1672) (0.477 COMP1624/COMP1627) (0.475 COMP1680) (0.472 COMP1509) (0.470 COMP158/COMP172) (0.469 COMP1623) (0.457 COMP1181/COMP153) (0.456 COMP1644) (0.454 COMP48) (0.451 COMP1612) (0.447 COMP1425/COMP1428) (0.442 COMP1640) (0.435 COMP1678) (0.422 COMP1119) (0.408 COMP1681/COMP548) (0.406 COMP119/COMP157/COMP160/COMP162/COMP1651/COMP169) (0.399 COMP1673/COMP1674) (0.391 COMP1669/COMP24/COMP52) (0.390 COMP1628/COMP1638/COMP1666/COMP864/COMP878) (0.388 COMP1615/COMP1634/COMP1635) (0.387 COMP19) (0.376 COMP1618/COMP1671) (0.371 COMP1071/COMP1088/COMP11/COMP1661/COMP8) (0.369 COMP1192/COMP474/COMP543/COMP905) (0.366 COMP1643) (0.361 COMP1254/COMP1659/COMP1664) (0.360 COMP593) (0.357 COMP1668/COMP523) (0.356 COMP1244) (0.355 COMP126) (0.350 COMP112/COMP134) (0.349 COMP123/COMP161) (0.348 COMP1654) (0.340 COMP302) (0.331 COMP1619/COMP1639) (0.330 COMP499/COMP57) (0.329 COMP1177/COMP1179/COMP296/COMP524/COMP544) (0.322 COMP141/COMP264/COMP547) (0.321 COMP901) (0.319 COMP6) (0.316 COMP120) (0.309 COMP1626) (0.305 COMP1650) (0.297 COMP1620/COMP1631/COMP1676) (0.292 COMP1637) (0.289 COMP1196) (0.288 COMP697/COMP889) (0.286 COMP1658/COMP1660/COMP666) (0.284 COMP60) (0.283 COMP1622) (0.279 COMP1662) (0.273 COMP122) (0.271 COMP1617/COMP1653) (0.270 COMP1665) (0.265 COMP1641) (0.263 COMP616/COMP725) (0.257 COMP1630/COMP1649) (0.254 COMP165/COMP173) (0.252 COMP124) (0.247 COMP1655/COMP1670) (0.243 COMP1648) (0.232 COMP300) (0.228 COMP525/COMP640) (0.227 COMP1663) (0.223 COMP1100) (0.220 COMP1621) (0.215 COMP33) (0.214 COMP114/COMP131/COMP139/COMP1427/COMP9) (0.212 COMP55) (0.208 COMP1112) (0.206 COMP1657) (0.199 COMP322) (0.198 COMP1085/COMP1107/COMP1667) (0.192 COMP1108) (0.190 COMP1677) (0.185 COMP113/COMP132/COMP142) (0.182 COMP192) (0.179 COMP1625) (0.178 COMP522) (0.171 COMP1613) (0.165 COMP1656) (0.158 COMP1616) (0.139 COMP167) (0.138 COMP1160) (0.134 COMP604)
DNA damaging	0.876	COMP46	(0.824 COMP301/COMP56) (0.801 COMP1603) (0.480 COMP1665) (0.479 COMP48) (0.467 COMP112/COMP134) (0.452 COMP1630/COMP1649) (0.439 COMP1085/COMP1107/COMP1667) (0.428 COMP1622) (0.413 COMP1071/COMP1088/COMP1661) (0.400 COMP1625/COMP1681) (0.397 COMP697/COMP889) (0.382 COMP1615/COMP1635) (0.380 COMP1192/COMP474/COMP543/COMP905) (0.371 COMP544) (0.362 COMP1619/COMP1639) (0.359 COMP1634) (0.349 COMP1620/COMP1629/COMP1631/COMP1676) (0.346 COMP1628/COMP1638/COMP1666) (0.342 COMP1679) (0.339 COMP158/COMP172) (0.337 COMP1644) (0.334 COMP593) (0.330 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.327 COMP1640) (0.325 COMP1632) (0.319 COMP1244) (0.318 COMP1624/COMP1650) (0.313 COMP122) (0.311 COMP1610/COMP436) (0.309 COMP1112) (0.307 COMP774) (0.306 COMP1614/COMP1682) (0.302 COMP19) (0.300 COMP1643/COMP1654) (0.297 COMP1637) (0.296 COMP1636) (0.292 COMP1680) (0.290 COMP616) (0.284 COMP120) (0.277 COMP1616) (0.276 COMP1623) (0.272 COMP640) (0.266 COMP1657) (0.264 COMP1664) (0.260 COMP1662) (0.248 COMP1181/COMP153) (0.242 COMP60/COMP633) (0.232 COMP525) (0.230 COMP322) (0.229 COMP9) (0.227 COMP123/COMP161) (0.226 COMP33) (0.223 COMP1656) (0.217 COMP1177/COMP1179/COMP1671/COMP296/COMP524) (0.212 COMP1653) (0.207 COMP1658/COMP1660/COMP1677/COMP666) (0.204 COMP192) (0.200 COMP1651) (0.194 COMP1618/COMP6) (0.193 COMP1612) (0.186 COMP1626) (0.184 COMP725) (0.181 COMP1100) (0.180 COMP1627/COMP1648) (0.178 COMP1641) (0.174 COMP165/COMP173) (0.170 COMP1669/COMP24/COMP52) (0.165 COMP864/COMP878) (0.162 COMP1425/COMP1428) (0.160 COMP113/COMP132/COMP142/COMP1670) (0.159 COMP1613)
Embryotoxic	0.919	COMP1610/COMP436	(0.836 COMP901) (0.806 COMP774) (0.797 COMP46) (0.768 COMP301/COMP56) (0.764 COMP1) (0.756 COMP1671) (0.753 COMP1509) (0.744 COMP112/COMP134) (0.742 COMP1177/COMP1179/COMP296/COMP524) (0.739 COMP1673/COMP1674) (0.724 COMP633) (0.712 COMP499/COMP57) (0.711 COMP1119) (0.705 COMP55) (0.689 COMP302) (0.685 COMP1192/COMP474/COMP543/COMP905) (0.682 COMP1668/COMP523) (0.673 COMP119/COMP157/COMP160/COMP162/COMP169) (0.671 COMP593) (0.668 COMP1254/COMP1659) (0.667 COMP1658/COMP1660/COMP666) (0.666 COMP548) (0.650 COMP141/COMP264/COMP547) (0.649 COMP1614/COMP1682) (0.644 COMP1425/COMP1428) (0.642 COMP640) (0.636 COMP1672) (0.633 COMP11/COMP8) (0.628 COMP1669/COMP24/COMP52) (0.626 COMP1627) (0.618 COMP1612) (0.589 COMP1653) (0.568 COMP725) (0.532 COMP1632) (0.527 COMP1100) (0.513 COMP697/COMP889) (0.485 COMP1637) (0.479 COMP192) (0.477 COMP1640) (0.475 COMP1664) (0.472 COMP1678) (0.471 COMP60) (0.464 COMP1624/COMP1629) (0.461 COMP1623/COMP48) (0.447 COMP1613) (0.436 COMP864/COMP878) (0.423 COMP33) (0.397 COMP123/COMP161) (0.396 COMP1657) (0.389 COMP1634) (0.380 COMP1662) (0.376 COMP122) (0.375 COMP1680) (0.368 COMP1603) (0.367 COMP1651) (0.358 COMP1616) (0.356 COMP1644) (0.351 COMP522) (0.343 COMP6) (0.338 COMP126) (0.337 COMP1681) (0.325 COMP1647) (0.324 COMP1615/COMP1635) (0.318 COMP143/COMP149/COMP1675) (0.304 COMP120) (0.303 COMP1112/COMP1196) (0.301 COMP1648) (0.299 COMP300) (0.297 COMP544) (0.291 COMP1106/COMP1633/COMP1642/COMP1645/COMP1646/COMP1652) (0.290 COMP158/COMP172) (0.289 COMP1655) (0.280 COMP1656) (0.276 COMP1618/COMP322) (0.268 COMP19) (0.263 COMP1620/COMP1631/COMP1676) (0.262 COMP1663) (0.257 COMP1621) (0.249 COMP9) (0.245 COMP1181/COMP153/COMP616) (0.243 COMP1108) (0.240 COMP1244) (0.232 COMP124) (0.226 COMP1654) (0.223 COMP1641) (0.215 COMP113/COMP132/COMP142) (0.209 COMP1071/COMP1088/COMP1661) (0.206 COMP1670) (0.194 COMP1304) (0.192 COMP1622) (0.186 COMP1643) (0.185 COMP165/COMP173) (0.171 COMP1628/COMP1638/COMP1666) (0.170 COMP114/COMP131/COMP1427) (0.165 COMP525) (0.156 COMP1650) (0.149 COMP1626) (0.143 COMP1619/COMP1630/COMP1639/COMP1649) (0.141 COMP139/COMP1636) (0.134 COMP1679)
