Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.380	COMP378/COMP380/COMP384	(0.295 COMP774) (0.278 COMP383) (0.213 COMP218) (0.176 COMP1466)
Carcinogenic	0.789	COMP774	(0.746 COMP217) (0.666 COMP383) (0.515 COMP218) (0.362 COMP378/COMP380/COMP384)
Carcinogenic. group 1	0.766	COMP217	(0.544 COMP218) (0.155 COMP378/COMP380/COMP384) (0.148 COMP1466) (0.145 COMP383)
Carcinogenic. group 2A	0.675	COMP217	(0.263 COMP218)
Carcinogenic. group 2B	0.185	COMP218	(0.136 COMP774) (0.123 COMP217)
Carcinogenic. group 3	0.466	COMP218	(0.253 COMP217) (0.227 COMP774)
Cardiodepressant	0.597	COMP378/COMP380/COMP384	(0.357 COMP383) (0.265 COMP218) (0.205 COMP774)
Cytotoxic	0.604	COMP217	(0.480 COMP774) (0.402 COMP218) (0.248 COMP1466) (0.240 COMP383) (0.162 COMP378/COMP380/COMP384)
DNA damaging	0.719	COMP217	(0.505 COMP218) (0.307 COMP774) (0.162 COMP383)
Embryotoxic	0.837	COMP383	(0.806 COMP774) (0.729 COMP378/COMP380/COMP384) (0.710 COMP217) (0.291 COMP218) (0.245 COMP1466)
Eye irritation. high	0.699	COMP378/COMP380/COMP384	(0.663 COMP383) (0.187 COMP774) (0.177 COMP218) (0.159 COMP217)
Genotoxic	0.673	COMP217	(0.481 COMP218) (0.279 COMP774)
Hypoglycemic	0.713	COMP217	(0.384 COMP218) (0.381 COMP774) (0.165 COMP378/COMP380/COMP384)
Mutagenic	0.762	COMP217	(0.740 COMP774) (0.494 COMP383) (0.434 COMP218) (0.242 COMP378/COMP380/COMP384)
Pneumotoxic	0.491	COMP378/COMP380/COMP384	(0.457 COMP218) (0.364 COMP383) (0.288 COMP1466) (0.260 COMP774)
Sedative	0.716	COMP383	(0.545 COMP378/COMP380/COMP384) (0.321 COMP217) (0.175 COMP218)
Sensitization	0.868	COMP774	(0.549 COMP378/COMP380/COMP384) (0.500 COMP217) (0.427 COMP383) (0.362 COMP218)
Skin irritative effect	0.714	COMP383	(0.382 COMP378/COMP380/COMP384) (0.267 COMP774) (0.120 COMP218)
Teratogen	0.834	COMP774	(0.829 COMP383) (0.762 COMP217) (0.720 COMP378/COMP380/COMP384) (0.342 COMP218) (0.273 COMP1466)
Toxic. respiratory center	0.182	COMP383	(0.175 COMP378/COMP380/COMP384)
Ulceration	0.698	COMP218	(0.688 COMP378/COMP380/COMP384) (0.632 COMP217) (0.523 COMP383) (0.461 COMP774)
