Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.112	COMP2473	
AR expression inhibitor	0.512	COMP2473	(0.404 COMP2474)
CTGF expression inhibitor	0.745	COMP2473	(0.398 COMP2474) (0.231 COMP2478)
ICAM1 expression inhibitor	0.450	COMP2473	(0.294 COMP2474) (0.217 COMP2478)
LDLR expression enhancer	0.219	COMP2474	(0.212 COMP2473)
NOS2 expression inhibitor	0.583	COMP2473	(0.446 COMP2474) (0.148 COMP2478)
NOS3 expression enhancer	0.424	COMP2473	(0.185 COMP2474)
NOS3 expression inhibitor	0.449	COMP2473	(0.436 COMP2478) (0.406 COMP2476) (0.388 COMP2479) (0.379 COMP2474) (0.304 COMP2475) (0.229 COMP2470/COMP2471/COMP2472/COMP2477) (0.228 COMP2480)
TNF expression inhibitor	0.673	COMP2473	(0.488 COMP2474) (0.282 COMP2478) (0.231 COMP2475) (0.215 COMP2479) (0.209 COMP2480)
VCAM1 expression inhibitor	0.499	COMP2473	(0.242 COMP2474)
VEGF expression inhibitor	0.234	COMP2473	(0.196 COMP2474) (0.157 COMP2470/COMP2471/COMP2472/COMP2477)
