Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.103	COMP59	(0.100 COMP1475) (0.099 COMP1225) (0.098 COMP849) (0.096 COMP1469/COMP1479/COMP1480) (0.095 COMP1471) (0.094 COMP1478) (0.093 COMP1474/COMP1482) (0.091 COMP1483) (0.090 COMP79) (0.089 COMP336) (0.086 COMP556) (0.085 COMP1473)
AR expression inhibitor	0.857	COMP1225	(0.853 COMP1480) (0.847 COMP1479) (0.842 COMP1474/COMP1478) (0.829 COMP1483) (0.774 COMP1482) (0.767 COMP79) (0.736 COMP336) (0.728 COMP556) (0.717 COMP1473) (0.700 COMP59) (0.643 COMP849) (0.626 COMP1471) (0.619 COMP1469) (0.480 COMP1470) (0.471 COMP1476) (0.467 COMP1481) (0.453 COMP1468) (0.436 COMP866) (0.403 COMP1472/COMP1477) (0.256 COMP1484)
CTGF expression inhibitor	0.878	COMP1478	(0.873 COMP1482) (0.871 COMP1225/COMP79) (0.868 COMP1480) (0.794 COMP1473) (0.788 COMP1483) (0.778 COMP336) (0.772 COMP1479) (0.771 COMP556) (0.766 COMP1474) (0.755 COMP59) (0.711 COMP866) (0.706 COMP849) (0.687 COMP1470) (0.679 COMP1476) (0.668 COMP1481) (0.667 COMP1469) (0.650 COMP1471) (0.396 COMP1484) (0.355 COMP1468) (0.295 COMP1475) (0.285 COMP1472) (0.244 COMP1477)
ICAM1 expression inhibitor	0.543	COMP866	(0.507 COMP1225) (0.504 COMP1470) (0.501 COMP1480) (0.499 COMP1478/COMP1479/COMP1481) (0.497 COMP1476) (0.491 COMP1474) (0.490 COMP1483) (0.447 COMP1468) (0.442 COMP59) (0.427 COMP849) (0.424 COMP1472) (0.423 COMP1471) (0.414 COMP1482) (0.411 COMP1469) (0.402 COMP79) (0.390 COMP1477) (0.373 COMP336) (0.368 COMP1473) (0.362 COMP1484) (0.355 COMP556) (0.246 COMP1475)
LDLR expression enhancer	0.333	COMP1473	(0.327 COMP1478) (0.317 COMP1482) (0.314 COMP1483) (0.308 COMP79) (0.305 COMP336) (0.299 COMP1225) (0.297 COMP556) (0.292 COMP1480) (0.289 COMP1479) (0.287 COMP1471/COMP849) (0.282 COMP1474) (0.273 COMP1469) (0.249 COMP59) (0.234 COMP1481) (0.230 COMP1470) (0.224 COMP1476) (0.220 COMP866) (0.185 COMP1484) (0.181 COMP1472/COMP1477) (0.175 COMP1475) (0.153 COMP1468)
NOS2 expression inhibitor	0.907	COMP849	(0.892 COMP1478) (0.879 COMP59) (0.876 COMP1469) (0.866 COMP1225/COMP1471) (0.845 COMP1480) (0.844 COMP1470/COMP1481) (0.820 COMP1476) (0.803 COMP1482) (0.780 COMP79) (0.748 COMP1483) (0.716 COMP1479) (0.695 COMP1474) (0.694 COMP1473) (0.655 COMP336) (0.629 COMP556) (0.575 COMP866) (0.439 COMP1484) (0.426 COMP1472/COMP1477) (0.422 COMP1468) (0.348 COMP1475)
NOS3 expression enhancer	0.483	COMP59	(0.482 COMP1225) (0.480 COMP1480) (0.457 COMP1478) (0.399 COMP1479) (0.396 COMP1474) (0.394 COMP1482) (0.392 COMP79) (0.386 COMP849) (0.380 COMP1483) (0.360 COMP1469) (0.349 COMP1471) (0.312 COMP336) (0.310 COMP556) (0.300 COMP1473) (0.282 COMP1468) (0.236 COMP1470) (0.234 COMP1476) (0.222 COMP1481) (0.203 COMP1472) (0.183 COMP866) (0.154 COMP1477)
NOS3 expression inhibitor	0.869	COMP866	(0.647 COMP1225) (0.640 COMP1480) (0.636 COMP1478) (0.622 COMP59) (0.609 COMP1470) (0.603 COMP1476) (0.590 COMP1482) (0.589 COMP1479) (0.587 COMP1481) (0.583 COMP79) (0.582 COMP1474) (0.580 COMP1483) (0.561 COMP849) (0.543 COMP1471) (0.535 COMP1469) (0.515 COMP336) (0.511 COMP1473) (0.506 COMP556) (0.386 COMP1468) (0.376 COMP1484) (0.329 COMP1472) (0.266 COMP1477) (0.234 COMP1475)
TNF expression inhibitor	0.885	COMP849	(0.884 COMP1471) (0.869 COMP59) (0.855 COMP1469) (0.783 COMP1478) (0.769 COMP1482) (0.753 COMP1225) (0.745 COMP79) (0.730 COMP1480) (0.727 COMP1470) (0.712 COMP1481) (0.704 COMP1476) (0.697 COMP1473) (0.682 COMP1483) (0.667 COMP336) (0.653 COMP1479) (0.646 COMP556) (0.633 COMP1474) (0.580 COMP866) (0.472 COMP1468) (0.452 COMP1472/COMP1477) (0.433 COMP1484) (0.296 COMP1475)
VCAM1 expression inhibitor	0.724	COMP1481	(0.716 COMP1470) (0.707 COMP1476) (0.636 COMP1471) (0.609 COMP849) (0.588 COMP1469) (0.545 COMP59) (0.517 COMP866) (0.409 COMP1473) (0.405 COMP1482) (0.396 COMP79) (0.390 COMP336) (0.381 COMP556) (0.357 COMP1478) (0.345 COMP1483) (0.342 COMP1225) (0.335 COMP1480) (0.331 COMP1479) (0.324 COMP1474) (0.322 COMP1484) (0.268 COMP1472/COMP1477) (0.245 COMP1475) (0.235 COMP1468)
VEGF expression inhibitor	0.455	COMP1482	(0.436 COMP79) (0.413 COMP1478) (0.390 COMP1225) (0.387 COMP1473) (0.376 COMP1480) (0.367 COMP336) (0.354 COMP556) (0.338 COMP1483) (0.326 COMP849) (0.322 COMP1479) (0.312 COMP1474) (0.311 COMP59) (0.304 COMP1469) (0.291 COMP1471) (0.226 COMP1470) (0.225 COMP1481) (0.220 COMP1476) (0.214 COMP866) (0.188 COMP1475) (0.186 COMP1484)
