Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.159	COMP1477	(0.140 COMP1470) (0.139 COMP1468/COMP1476) (0.138 COMP1481) (0.132 COMP1472) (0.117 COMP866)
Aldehyde dehydrogenase substrate	0.158	COMP1477	(0.152 COMP1470/COMP1481) (0.151 COMP1476) (0.149 COMP866) (0.118 COMP1468) (0.117 COMP1472)
Aldehyde oxidase substrate	0.166	COMP79	(0.162 COMP556) (0.160 COMP1473) (0.159 COMP1482) (0.155 COMP336) (0.148 COMP866) (0.134 COMP1480)
Aldose reductase substrate	0.145	COMP1471	(0.142 COMP79) (0.140 COMP1482) (0.131 COMP556) (0.129 COMP1469) (0.128 COMP336) (0.125 COMP1476/COMP866)
Arylamine N-Acetyltransferase substrate	0.128	COMP1482	(0.127 COMP79) (0.111 COMP866) (0.106 COMP336) (0.104 COMP556) (0.082 COMP1473)
CYP1A2 inhibitor	0.965	COMP1478	(0.947 COMP1225) (0.946 COMP1483) (0.943 COMP1480) (0.926 COMP1479) (0.922 COMP1474) (0.856 COMP1482) (0.855 COMP1473) (0.852 COMP79) (0.823 COMP336) (0.818 COMP556) (0.793 COMP849) (0.785 COMP1481) (0.765 COMP1470) (0.760 COMP1469/COMP1476) (0.758 COMP1471) (0.715 COMP1484) (0.695 COMP59) (0.339 COMP1475) (0.313 COMP866)
CYP1A2 substrate	0.932	COMP59/COMP849	(0.927 COMP1469) (0.924 COMP1471) (0.794 COMP1480) (0.782 COMP1225) (0.769 COMP1478) (0.740 COMP79) (0.723 COMP1482) (0.706 COMP1474) (0.691 COMP1479) (0.677 COMP1483) (0.646 COMP556) (0.631 COMP336) (0.615 COMP1473) (0.575 COMP866) (0.467 COMP1476) (0.463 COMP1481) (0.453 COMP1470) (0.255 COMP1484) (0.206 COMP1475)
CYP24 inhibitor	0.042	COMP1484	(0.025 COMP1481) (0.024 COMP1470/COMP1476)
CYP2A6 inhibitor	0.160	COMP556	(0.145 COMP336) (0.143 COMP1474) (0.129 COMP1479) (0.115 COMP79) (0.111 COMP1473) (0.100 COMP1482) (0.099 COMP1480) (0.095 COMP1483) (0.085 COMP1225) (0.067 COMP1475/COMP1484)
CYP2B6 inhibitor	0.497	COMP1482	(0.495 COMP79) (0.475 COMP1473) (0.471 COMP336) (0.468 COMP556) (0.353 COMP1478) (0.349 COMP1225) (0.347 COMP1480) (0.332 COMP1483) (0.328 COMP1479) (0.327 COMP1474) (0.244 COMP849) (0.239 COMP866) (0.237 COMP1471) (0.235 COMP59) (0.231 COMP1481) (0.229 COMP1469) (0.228 COMP1470) (0.226 COMP1476) (0.204 COMP1468) (0.201 COMP1472) (0.178 COMP1484) (0.167 COMP1475) (0.160 COMP1477)
CYP2C19 inhibitor	0.658	COMP849	(0.657 COMP1469) (0.656 COMP1480) (0.652 COMP1225) (0.646 COMP1478) (0.640 COMP1471) (0.626 COMP1474) (0.622 COMP1479) (0.618 COMP59) (0.615 COMP1483) (0.596 COMP1481) (0.592 COMP79) (0.591 COMP1476) (0.587 COMP1482) (0.586 COMP1470) (0.557 COMP556) (0.553 COMP336) (0.546 COMP1473) (0.494 COMP1484) (0.481 COMP1475) (0.424 COMP866) (0.324 COMP1472) (0.278 COMP1468)
CYP2C19 substrate	0.809	COMP849	(0.787 COMP1471) (0.785 COMP1469) (0.781 COMP59) (0.558 COMP1482) (0.555 COMP79) (0.543 COMP866) (0.526 COMP1478) (0.523 COMP1225) (0.520 COMP1480) (0.492 COMP1481) (0.491 COMP1473) (0.486 COMP336) (0.483 COMP556) (0.474 COMP1470) (0.471 COMP1476) (0.435 COMP1483) (0.428 COMP1479) (0.423 COMP1474) (0.314 COMP1477) (0.274 COMP1472) (0.272 COMP1468) (0.185 COMP1475) (0.179 COMP1484)
CYP2C9 inhibitor	0.583	COMP1480	(0.580 COMP1225) (0.566 COMP79) (0.563 COMP1482) (0.558 COMP1478) (0.534 COMP1474) (0.530 COMP1479) (0.517 COMP556) (0.515 COMP849) (0.514 COMP336) (0.508 COMP1483) (0.507 COMP1469) (0.491 COMP1473/COMP59) (0.487 COMP1471) (0.431 COMP1481) (0.427 COMP1476) (0.424 COMP1470) (0.385 COMP866)
CYP2C9 substrate	0.592	COMP1480	(0.585 COMP1478) (0.584 COMP1225) (0.575 COMP79) (0.567 COMP1482) (0.530 COMP866) (0.503 COMP1476) (0.499 COMP1481) (0.495 COMP1470) (0.476 COMP1474) (0.469 COMP1479/COMP1483) (0.460 COMP556) (0.456 COMP59) (0.455 COMP849) (0.453 COMP1473/COMP336) (0.440 COMP1469) (0.417 COMP1471) (0.377 COMP1477) (0.306 COMP1484) (0.297 COMP1468) (0.283 COMP1472) (0.222 COMP1475)
CYP2D6 inhibitor	0.288	COMP866	(0.263 COMP1476) (0.258 COMP1481) (0.256 COMP1470) (0.191 COMP1474) (0.185 COMP1479) (0.178 COMP556)
CYP2D6 substrate	0.617	COMP866	(0.480 COMP1481) (0.467 COMP1470) (0.466 COMP1476/COMP1482) (0.464 COMP79) (0.446 COMP849) (0.439 COMP1225) (0.438 COMP1480) (0.424 COMP1478) (0.422 COMP1471) (0.415 COMP1469) (0.402 COMP59) (0.398 COMP336) (0.397 COMP556) (0.384 COMP1473) (0.374 COMP1479) (0.372 COMP1474) (0.361 COMP1483) (0.326 COMP1472) (0.318 COMP1468) (0.241 COMP1484) (0.233 COMP1477) (0.220 COMP1475)
