Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.244	COMP336	(0.241 COMP556) (0.230 COMP866) (0.205 COMP1482) (0.203 COMP79) (0.174 COMP1473/COMP1479) (0.172 COMP1474) (0.152 COMP1484) (0.148 COMP1470/COMP59) (0.146 COMP1476) (0.142 COMP1225) (0.141 COMP1471) (0.140 COMP1480) (0.131 COMP1481) (0.129 COMP1475) (0.119 COMP1483) (0.117 COMP1469) (0.113 COMP1468)
Acetylcholine release stimulant	0.152	COMP1476	(0.151 COMP1481) (0.150 COMP1470) (0.135 COMP556) (0.134 COMP1473) (0.133 COMP336) (0.114 COMP79) (0.113 COMP866) (0.112 COMP1474/COMP1482) (0.111 COMP1483) (0.110 COMP1479) (0.100 COMP1475)
Actinic keratosis treatment	0.145	COMP1468	(0.140 COMP59) (0.117 COMP1482) (0.113 COMP79) (0.110 COMP1477) (0.109 COMP866) (0.103 COMP1225) (0.102 COMP1472) (0.099 COMP1480/COMP849) (0.097 COMP1469) (0.096 COMP336) (0.094 COMP1471) (0.093 COMP556) (0.087 COMP1470/COMP1478) (0.086 COMP1479) (0.085 COMP1476) (0.084 COMP1474/COMP1481) (0.082 COMP1473)
Alzheimer's disease treatment	0.540	COMP59	(0.500 COMP849) (0.496 COMP1469) (0.487 COMP1471) (0.408 COMP336) (0.400 COMP1482) (0.398 COMP556) (0.393 COMP1473) (0.392 COMP79) (0.335 COMP1470) (0.328 COMP1481) (0.326 COMP1476) (0.321 COMP1225) (0.316 COMP1479) (0.314 COMP1478) (0.313 COMP1480) (0.309 COMP1483) (0.307 COMP1474) (0.244 COMP1484)
Anabolic	0.152	COMP866	(0.144 COMP59) (0.126 COMP1468) (0.123 COMP1482/COMP849) (0.118 COMP79) (0.116 COMP1469) (0.114 COMP1471) (0.109 COMP1470) (0.107 COMP1481) (0.106 COMP1225) (0.105 COMP1476) (0.104 COMP1478) (0.102 COMP1480) (0.100 COMP336) (0.098 COMP1475) (0.097 COMP1473) (0.096 COMP1472) (0.095 COMP556)
Analeptic	0.500	COMP59	(0.478 COMP866) (0.466 COMP1471) (0.416 COMP849) (0.387 COMP1469) (0.323 COMP1468) (0.293 COMP1477) (0.264 COMP1470) (0.263 COMP1476) (0.256 COMP1472) (0.249 COMP1482) (0.248 COMP79) (0.242 COMP1481) (0.231 COMP1475) (0.217 COMP1225) (0.214 COMP1480) (0.207 COMP336) (0.205 COMP556) (0.198 COMP1484) (0.189 COMP1478) (0.181 COMP1473) (0.175 COMP1479) (0.173 COMP1474)
Analgesic. opioid	0.125	COMP59	(0.101 COMP1471) (0.095 COMP849) (0.079 COMP1469)
Anesthetic	0.174	COMP866	
Anesthetic general	0.336	COMP1475	(0.269 COMP866) (0.212 COMP1484) (0.190 COMP1480) (0.185 COMP1476) (0.178 COMP1225) (0.174 COMP1470) (0.168 COMP1481) (0.163 COMP1478) (0.155 COMP79) (0.154 COMP1474) (0.146 COMP1482) (0.145 COMP1479) (0.135 COMP59)
Anesthetic inhalation	0.061	COMP336/COMP556	(0.056 COMP866) (0.052 COMP1473/COMP1474/COMP1475/COMP1479/COMP1482/COMP1484/COMP79) (0.048 COMP1470/COMP1476)
Anesthetic local	0.176	COMP866	
Angiogenesis inhibitor	0.307	COMP1473	(0.278 COMP1470) (0.271 COMP1481) (0.264 COMP1476) (0.254 COMP1478/COMP1482) (0.247 COMP1483) (0.246 COMP336/COMP849) (0.241 COMP79) (0.237 COMP1469) (0.230 COMP556) (0.220 COMP1471) (0.208 COMP1225) (0.201 COMP59) (0.197 COMP1480) (0.195 COMP1479)
Angiogenesis stimulant	0.333	COMP1470	(0.330 COMP1476) (0.327 COMP1481) (0.321 COMP1482) (0.317 COMP79) (0.313 COMP1225) (0.310 COMP1480) (0.304 COMP1478) (0.265 COMP59) (0.255 COMP849) (0.248 COMP336) (0.244 COMP1479) (0.243 COMP556) (0.241 COMP866) (0.239 COMP1469/COMP1473) (0.238 COMP1474) (0.236 COMP1483) (0.228 COMP1471)
Antiacne	0.312	COMP1468	(0.310 COMP1477) (0.265 COMP1472) (0.159 COMP866) (0.142 COMP1470) (0.136 COMP1476) (0.135 COMP1481)
Antialcoholic	0.248	COMP59	(0.220 COMP849) (0.213 COMP1469) (0.211 COMP1471) (0.190 COMP1482) (0.189 COMP79) (0.183 COMP1225) (0.182 COMP1480) (0.174 COMP866) (0.168 COMP336) (0.167 COMP556) (0.162 COMP1479) (0.161 COMP1474) (0.159 COMP1478)
Antiallergic	0.363	COMP1483	(0.311 COMP1473) (0.301 COMP1478) (0.278 COMP1479) (0.255 COMP1474) (0.227 COMP1471) (0.220 COMP1225) (0.211 COMP336) (0.208 COMP866) (0.202 COMP1480) (0.190 COMP556)
Antiamyloidogenic	0.646	COMP849	(0.640 COMP1471) (0.631 COMP1481) (0.630 COMP1470) (0.621 COMP1469) (0.619 COMP1476) (0.586 COMP59) (0.561 COMP1484) (0.552 COMP1482) (0.540 COMP79) (0.530 COMP1478) (0.522 COMP1473) (0.493 COMP1225) (0.485 COMP336) (0.478 COMP1480) (0.470 COMP556) (0.459 COMP1483) (0.429 COMP1479) (0.411 COMP1474) (0.410 COMP1475) (0.303 COMP866)
Antianemic	0.141	COMP866	
Antianorexic	0.167	COMP1475	(0.129 COMP556) (0.125 COMP79) (0.118 COMP336) (0.116 COMP1469) (0.115 COMP1482)
Antiarrhythmic	0.319	COMP866	(0.187 COMP1471) (0.181 COMP1469) (0.172 COMP849) (0.165 COMP1473) (0.159 COMP59) (0.155 COMP336) (0.148 COMP556)
Antiarthritic	0.351	COMP866	(0.242 COMP1475)
Antibacterial	0.560	COMP1468	(0.528 COMP1472) (0.517 COMP59) (0.485 COMP849) (0.480 COMP1469) (0.463 COMP1471) (0.459 COMP1225) (0.457 COMP1480) (0.454 COMP1484) (0.452 COMP1477) (0.439 COMP1470) (0.437 COMP1476) (0.436 COMP1482) (0.434 COMP79) (0.432 COMP1478) (0.425 COMP1481) (0.416 COMP866) (0.359 COMP1479) (0.356 COMP1474) (0.333 COMP336) (0.330 COMP556) (0.328 COMP1483) (0.306 COMP1475) (0.302 COMP1473)
Antibiotic	0.119	COMP1468	(0.098 COMP1472) (0.089 COMP59) (0.087 COMP1484) (0.075 COMP1477) (0.074 COMP1469/COMP849) (0.072 COMP1471) (0.070 COMP1482) (0.069 COMP79) (0.067 COMP1225) (0.066 COMP1480) (0.065 COMP866)
Antibiotic Anthracycline-like	0.024	COMP1482	(0.023 COMP79) (0.022 COMP1471) (0.021 COMP1469/COMP849) (0.020 COMP1225/COMP1480/COMP336/COMP556/COMP59/COMP866) (0.019 COMP1470/COMP1476) (0.018 COMP1481)
Antibiotic Glycopeptide-like	0.052	COMP59	(0.050 COMP1482) (0.048 COMP79) (0.041 COMP1225/COMP1478)
Antibiotic Tetracycline-like	0.016	COMP1482/COMP866	(0.015 COMP1225/COMP1480/COMP79)
Anticataract	0.132	COMP1480	(0.126 COMP1225) (0.112 COMP79) (0.106 COMP1482) (0.104 COMP1474) (0.099 COMP1479) (0.097 COMP1478) (0.088 COMP556) (0.084 COMP336)
Anticholelithogenic	0.144	COMP866	(0.137 COMP1481) (0.135 COMP1470) (0.132 COMP1476) (0.098 COMP336) (0.097 COMP1482) (0.095 COMP556) (0.094 COMP79) (0.088 COMP1473) (0.086 COMP1471) (0.079 COMP59) (0.076 COMP849) (0.072 COMP1469) (0.071 COMP1479) (0.070 COMP1225/COMP1474) (0.069 COMP1480) (0.065 COMP1483) (0.064 COMP1478)
