Name	Activation_Prob	Compound	Another_Probs
Alcohol dehydrogenase substrate	0.541	COMP870	(0.525 COMP1143) (0.421 COMP40/COMP843) (0.406 COMP1519) (0.345 COMP1460) (0.332 COMP1520/COMP77) (0.312 COMP285) (0.262 COMP1130) (0.254 COMP887) (0.246 COMP1517) (0.243 COMP1513) (0.242 COMP1516) (0.220 COMP1518) (0.160 COMP1531/COMP1532) (0.152 COMP1534) (0.149 COMP38) (0.147 COMP37/COMP39) (0.144 COMP1512/COMP1515/COMP1524/COMP1528/COMP1533/COMP929) (0.135 COMP271) (0.132 COMP34/COMP36) (0.129 COMP1527/COMP273/COMP404/COMP883/COMP897/COMP898) (0.127 COMP1530) (0.125 COMP1082) (0.123 COMP1526) (0.119 COMP1514) (0.106 COMP1521)
Aldehyde dehydrogenase substrate	0.503	COMP870	(0.491 COMP1143) (0.386 COMP1460) (0.311 COMP40/COMP843) (0.284 COMP1519) (0.272 COMP1520) (0.219 COMP1130) (0.206 COMP887) (0.202 COMP271) (0.197 COMP1104) (0.185 COMP1531/COMP1532) (0.169 COMP1526) (0.162 COMP323) (0.149 COMP1525) (0.141 COMP38) (0.132 COMP37/COMP39) (0.119 COMP1530) (0.114 COMP1517) (0.109 COMP1082) (0.108 COMP273/COMP34/COMP36/COMP404/COMP883/COMP897/COMP898) (0.106 COMP1516) (0.104 COMP1521) (0.103 COMP1514) (0.101 COMP1528/COMP1533)
Aldehyde oxidase substrate	0.648	COMP1143	(0.525 COMP870) (0.518 COMP1460) (0.404 COMP1082) (0.303 COMP271) (0.296 COMP1522/COMP323) (0.232 COMP1526) (0.205 COMP887) (0.204 COMP273/COMP404/COMP883/COMP897/COMP898) (0.186 COMP40/COMP843) (0.183 COMP1511) (0.174 COMP1513) (0.165 COMP1104) (0.160 COMP1531/COMP1532) (0.137 COMP1529)
Aldose reductase substrate	0.448	COMP1521	(0.435 COMP1530) (0.398 COMP1514) (0.354 COMP1525) (0.326 COMP692/COMP785) (0.293 COMP1130) (0.217 COMP1104) (0.194 COMP40/COMP843) (0.187 COMP34/COMP36/COMP37/COMP38/COMP39) (0.180 COMP887) (0.172 COMP870) (0.170 COMP1143) (0.159 COMP271) (0.131 COMP1528/COMP1533) (0.130 COMP1526) (0.128 COMP273/COMP404/COMP883/COMP897/COMP898)
Arylamine N-Acetyltransferase substrate	0.632	COMP1522	(0.381 COMP40/COMP843) (0.314 COMP323) (0.248 COMP692/COMP785) (0.238 COMP271) (0.196 COMP1082) (0.158 COMP1511) (0.156 COMP1520) (0.145 COMP1526) (0.134 COMP1513) (0.115 COMP887) (0.114 COMP1460) (0.102 COMP1521)
CYP1A2 inhibitor	0.978	COMP1529	(0.817 COMP1511) (0.471 COMP1513) (0.430 COMP887) (0.416 COMP1531/COMP1532) (0.390 COMP1534) (0.342 COMP1143) (0.326 COMP1521) (0.308 COMP870) (0.302 COMP273/COMP404/COMP883/COMP897/COMP898) (0.294 COMP692/COMP785) (0.281 COMP1523) (0.268 COMP1522) (0.266 COMP1512/COMP1515/COMP1524/COMP929) (0.260 COMP271) (0.250 COMP1082) (0.248 COMP1526) (0.233 COMP1460) (0.201 COMP323) (0.191 COMP1517) (0.180 COMP1527)
CYP1A2 substrate	0.901	COMP1529	(0.775 COMP1522) (0.754 COMP870) (0.750 COMP1511) (0.733 COMP1143) (0.644 COMP1513) (0.642 COMP1519) (0.564 COMP887) (0.532 COMP40/COMP843) (0.519 COMP1460) (0.476 COMP692/COMP785) (0.401 COMP1526) (0.390 COMP1521) (0.385 COMP1534) (0.361 COMP273/COMP404/COMP883/COMP897/COMP898) (0.354 COMP271) (0.337 COMP1531/COMP1532) (0.319 COMP1514) (0.313 COMP1512/COMP1515/COMP1520/COMP1524/COMP929) (0.308 COMP323) (0.296 COMP1528/COMP1533) (0.276 COMP1082) (0.269 COMP77) (0.236 COMP1130/COMP285) (0.230 COMP34/COMP36) (0.227 COMP1527) (0.220 COMP1530) (0.200 COMP37/COMP39) (0.187 COMP1525) (0.182 COMP1523)
CYP24 inhibitor	0.060	COMP285/COMP77	
CYP2A6 inhibitor	0.414	COMP1460	(0.228 COMP1082) (0.190 COMP870) (0.171 COMP1143) (0.127 COMP1513) (0.102 COMP323) (0.066 COMP40/COMP843)
CYP2B6 inhibitor	0.453	COMP1513	(0.451 COMP1511) (0.391 COMP40/COMP843) (0.366 COMP1529) (0.346 COMP1520) (0.320 COMP887) (0.278 COMP1082) (0.273 COMP1531/COMP1532) (0.261 COMP1143) (0.259 COMP1526) (0.243 COMP271) (0.226 COMP870) (0.223 COMP1534) (0.210 COMP273/COMP404/COMP883/COMP897/COMP898) (0.203 COMP1130) (0.201 COMP1516) (0.200 COMP1517) (0.188 COMP1512/COMP1515/COMP1524/COMP929) (0.171 COMP1519) (0.167 COMP1460) (0.158 COMP323) (0.154 COMP1523) (0.152 COMP77) (0.150 COMP1518)
CYP2C19 inhibitor	0.719	COMP1534	(0.685 COMP1529) (0.675 COMP1512/COMP1515/COMP1524/COMP929) (0.575 COMP1513) (0.546 COMP273/COMP404/COMP883/COMP897/COMP898) (0.539 COMP1511) (0.504 COMP1528/COMP1533) (0.499 COMP1527) (0.480 COMP887) (0.464 COMP1531/COMP1532) (0.460 COMP1520) (0.425 COMP1143) (0.421 COMP1526) (0.418 COMP1104) (0.401 COMP870) (0.385 COMP1516) (0.384 COMP40/COMP843) (0.382 COMP1082) (0.356 COMP1460) (0.344 COMP271) (0.337 COMP1522) (0.333 COMP1518) (0.317 COMP323) (0.309 COMP1517) (0.302 COMP1521) (0.291 COMP1523) (0.261 COMP77) (0.219 COMP285)
CYP2C19 substrate	0.970	COMP1519	(0.929 COMP1518) (0.897 COMP77) (0.856 COMP34/COMP36) (0.832 COMP1516) (0.783 COMP285) (0.732 COMP37/COMP39) (0.729 COMP1517) (0.710 COMP870) (0.708 COMP1143) (0.632 COMP40/COMP843) (0.629 COMP1521/COMP38) (0.616 COMP1511) (0.566 COMP1520) (0.563 COMP692/COMP785) (0.552 COMP1529) (0.537 COMP887) (0.532 COMP1514) (0.500 COMP1526) (0.473 COMP271) (0.470 COMP1531/COMP1532) (0.428 COMP1513) (0.406 COMP1460) (0.377 COMP1130/COMP273/COMP404/COMP883/COMP897/COMP898) (0.314 COMP1530) (0.257 COMP323) (0.250 COMP1534) (0.248 COMP1082) (0.183 COMP1512/COMP1515/COMP1524/COMP929)
CYP2C9 inhibitor	0.670	COMP1529	(0.543 COMP1534) (0.540 COMP1511) (0.493 COMP1512/COMP1515/COMP1524/COMP929) (0.480 COMP1513) (0.429 COMP273/COMP404/COMP883/COMP897/COMP898) (0.428 COMP323) (0.406 COMP1526) (0.404 COMP1082) (0.357 COMP271) (0.351 COMP1531/COMP1532) (0.349 COMP1520) (0.341 COMP887) (0.279 COMP40/COMP843) (0.243 COMP1517) (0.239 COMP1523) (0.238 COMP1522) (0.234 COMP1516) (0.233 COMP1143) (0.227 COMP1460) (0.217 COMP870)
CYP2C9 substrate	0.927	COMP1519	(0.858 COMP692/COMP785) (0.773 COMP34/COMP36) (0.744 COMP870) (0.737 COMP40/COMP843) (0.721 COMP1143) (0.717 COMP77) (0.701 COMP1529) (0.699 COMP1521) (0.677 COMP285) (0.661 COMP1511) (0.651 COMP887) (0.635 COMP1518) (0.615 COMP37/COMP39) (0.602 COMP1514) (0.583 COMP1520) (0.582 COMP1526) (0.571 COMP1513) (0.567 COMP271) (0.531 COMP323) (0.513 COMP38) (0.495 COMP1530) (0.473 COMP1531/COMP1532) (0.465 COMP1460) (0.453 COMP1516) (0.409 COMP1082) (0.369 COMP273/COMP404/COMP883/COMP897/COMP898) (0.358 COMP1517) (0.317 COMP1130) (0.304 COMP1534) (0.249 COMP1512/COMP1515/COMP1524/COMP929) (0.224 COMP1522) (0.221 COMP1523) (0.211 COMP1528/COMP1533) (0.198 COMP1525)
CYP2D6 inhibitor	0.365	COMP1513	(0.343 COMP1512/COMP1515/COMP1524/COMP929) (0.327 COMP1523) (0.269 COMP1534) (0.208 COMP323)
CYP2D6 substrate	0.640	COMP1519	(0.548 COMP1513) (0.547 COMP1516) (0.521 COMP1143/COMP870) (0.513 COMP1523) (0.500 COMP1518) (0.475 COMP1517) (0.470 COMP887) (0.442 COMP40/COMP843) (0.437 COMP77) (0.427 COMP1529) (0.403 COMP1514) (0.376 COMP1522) (0.368 COMP1511) (0.358 COMP323) (0.356 COMP1526) (0.347 COMP37/COMP39) (0.343 COMP1460) (0.338 COMP692/COMP785) (0.328 COMP1520) (0.323 COMP271) (0.313 COMP1531/COMP1532) (0.312 COMP285) (0.307 COMP1534) (0.302 COMP1521) (0.301 COMP34/COMP36) (0.286 COMP38) (0.280 COMP1530) (0.278 COMP273/COMP404/COMP883/COMP897/COMP898) (0.247 COMP1512/COMP1515/COMP1524/COMP929) (0.221 COMP1130) (0.208 COMP1082)
CYP3A4 inhibitor	0.489	COMP1512/COMP1515/COMP1524/COMP929	(0.476 COMP1534) (0.470 COMP1527) (0.379 COMP1513/COMP1529) (0.338 COMP273/COMP404/COMP883/COMP897/COMP898) (0.288 COMP1511) (0.268 COMP1526) (0.267 COMP1522) (0.262 COMP1528/COMP1533) (0.243 COMP1523) (0.231 COMP1520) (0.224 COMP1082) (0.208 COMP1517) (0.193 COMP1516)
CYP3A4 substrate	0.899	COMP285	(0.883 COMP77) (0.788 COMP1519) (0.732 COMP692/COMP785) (0.651 COMP1521) (0.633 COMP870) (0.618 COMP34/COMP36) (0.609 COMP37/COMP39) (0.589 COMP1143) (0.561 COMP1514/COMP1530) (0.555 COMP40/COMP843) (0.545 COMP1529) (0.543 COMP1511) (0.514 COMP1513) (0.485 COMP38) (0.482 COMP1523) (0.466 COMP1518) (0.451 COMP1516) (0.416 COMP1526) (0.400 COMP1534/COMP273/COMP404/COMP883/COMP897/COMP898) (0.393 COMP1520) (0.386 COMP887) (0.351 COMP1522) (0.349 COMP1512/COMP1515/COMP1524/COMP929) (0.346 COMP1517/COMP271) (0.332 COMP323) (0.330 COMP1460) (0.327 COMP1130) (0.319 COMP1525) (0.303 COMP1527) (0.297 COMP1531/COMP1532) (0.264 COMP1528/COMP1533) (0.255 COMP1082)
FMO1 substrate	0.658	COMP40/COMP843	(0.636 COMP1082) (0.631 COMP1143) (0.627 COMP271) (0.587 COMP870) (0.575 COMP1520) (0.552 COMP887) (0.539 COMP1526) (0.522 COMP1130) (0.489 COMP1513) (0.470 COMP1531/COMP1532) (0.462 COMP1511) (0.446 COMP1460) (0.444 COMP323) (0.381 COMP1529) (0.339 COMP273/COMP404/COMP883/COMP897/COMP898) (0.204 COMP1512/COMP1515/COMP1524/COMP929) (0.200 COMP1522)
FMO3 substrate	0.749	COMP1522	(0.542 COMP1082) (0.528 COMP40/COMP843) (0.481 COMP323) (0.436 COMP271) (0.387 COMP1520) (0.383 COMP887) (0.374 COMP1526) (0.357 COMP1460) (0.338 COMP1513) (0.329 COMP1531/COMP1532) (0.328 COMP1143) (0.280 COMP870) (0.273 COMP1130) (0.251 COMP1511) (0.216 COMP273/COMP404/COMP883/COMP897/COMP898) (0.195 COMP1529)
