Name	Activation_Prob	Compound	Another_Probs
ABCA1 expression enhancer	0.405	COMP436	(0.240 COMP285) (0.163 COMP16/COMP18/COMP266/COMP53/COMP54) (0.141 COMP48) (0.119 COMP40) (0.104 COMP250) (0.103 COMP1407/COMP27) (0.101 COMP2152/COMP778) (0.097 COMP1832) (0.089 COMP20)
AR expression inhibitor	0.937	COMP48	(0.873 COMP2159) (0.831 COMP250) (0.810 COMP778) (0.797 COMP2152) (0.646 COMP2145/COMP2157) (0.626 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.556 COMP40) (0.526 COMP2156) (0.524 COMP1407/COMP27) (0.522 COMP436) (0.504 COMP16/COMP18/COMP266/COMP53/COMP54) (0.484 COMP20) (0.457 COMP285) (0.353 COMP1886) (0.345 COMP830) (0.336 COMP1832) (0.327 COMP2149/COMP2151) (0.321 COMP2148) (0.304 COMP2144) (0.210 COMP812)
CTGF expression inhibitor	0.928	COMP48	(0.874 COMP250) (0.857 COMP436) (0.819 COMP778) (0.789 COMP2152) (0.777 COMP40) (0.767 COMP285) (0.766 COMP16/COMP18/COMP266/COMP53/COMP54) (0.742 COMP1407/COMP27) (0.678 COMP20) (0.609 COMP2159) (0.591 COMP2145/COMP2157) (0.582 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.577 COMP1832) (0.501 COMP1886) (0.493 COMP830) (0.459 COMP2149/COMP2151) (0.253 COMP2156) (0.229 COMP812)
GRP78 expression inhibitor	0.063	COMP830	(0.056 COMP2149/COMP2151) (0.034 COMP812) (0.033 COMP16/COMP18/COMP266/COMP53/COMP54) (0.032 COMP1886) (0.023 COMP40) (0.021 COMP1407/COMP20/COMP27)
ICAM1 expression inhibitor	0.560	COMP48	(0.511 COMP1407/COMP27) (0.500 COMP20) (0.486 COMP2159) (0.477 COMP40) (0.457 COMP778) (0.454 COMP2152) (0.445 COMP436) (0.438 COMP250) (0.436 COMP16/COMP18/COMP266/COMP53/COMP54) (0.435 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.416 COMP1832) (0.415 COMP2145/COMP2157) (0.407 COMP812) (0.405 COMP285) (0.404 COMP2148) (0.343 COMP2156) (0.333 COMP830) (0.321 COMP1886) (0.289 COMP2149/COMP2151) (0.288 COMP2144) (0.249 COMP2160)
LDLR expression enhancer	0.467	COMP436	(0.375 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.349 COMP48) (0.315 COMP778) (0.286 COMP2152) (0.256 COMP285) (0.236 COMP2145/COMP2157) (0.226 COMP1407/COMP27) (0.211 COMP20) (0.210 COMP40) (0.203 COMP250) (0.187 COMP1832) (0.186 COMP1886) (0.178 COMP16/COMP18/COMP266/COMP53/COMP54) (0.136 COMP2159)
NOS2 expression inhibitor	0.949	COMP2159	(0.916 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.903 COMP48) (0.859 COMP2145/COMP2157) (0.857 COMP778) (0.802 COMP2152) (0.723 COMP250) (0.661 COMP436) (0.568 COMP2156) (0.542 COMP1407/COMP27) (0.515 COMP285/COMP40) (0.502 COMP20) (0.445 COMP16/COMP18/COMP266/COMP53/COMP54) (0.412 COMP1886) (0.406 COMP2160) (0.397 COMP1832) (0.385 COMP812) (0.366 COMP830) (0.331 COMP2149/COMP2151) (0.277 COMP2148) (0.181 COMP2144)
NOS3 expression enhancer	0.704	COMP2159	(0.703 COMP48) (0.641 COMP778) (0.623 COMP2152) (0.489 COMP250) (0.419 COMP2156) (0.409 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.366 COMP2145/COMP2157) (0.324 COMP285/COMP436) (0.170 COMP40) (0.141 COMP1407/COMP20/COMP27) (0.119 COMP1886)
NOS3 expression inhibitor	0.926	COMP436	(0.862 COMP285) (0.842 COMP1407/COMP27) (0.827 COMP48) (0.823 COMP20) (0.764 COMP40) (0.671 COMP778/COMP830) (0.669 COMP250) (0.668 COMP2152) (0.664 COMP16/COMP18/COMP266/COMP53/COMP54) (0.652 COMP2159) (0.601 COMP812) (0.595 COMP1832) (0.588 COMP2149/COMP2151) (0.561 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.541 COMP2145/COMP2157) (0.517 COMP2156) (0.413 COMP2148) (0.362 COMP1886) (0.293 COMP2144)
TNF expression inhibitor	0.932	COMP436	(0.892 COMP20) (0.881 COMP1407/COMP27) (0.877 COMP48) (0.857 COMP40) (0.797 COMP778) (0.763 COMP16/COMP18/COMP266/COMP53/COMP54) (0.760 COMP830) (0.756 COMP812) (0.755 COMP285) (0.747 COMP2152) (0.735 COMP250) (0.719 COMP1832) (0.674 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.671 COMP2149/COMP2151) (0.662 COMP2145/COMP2157) (0.615 COMP2159) (0.485 COMP1886/COMP2148) (0.440 COMP2156) (0.309 COMP2144) (0.279 COMP2160)
VCAM1 expression inhibitor	0.547	COMP1407/COMP27	(0.514 COMP40) (0.504 COMP20) (0.477 COMP1832) (0.453 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.423 COMP16/COMP18/COMP266/COMP53/COMP54) (0.391 COMP2152) (0.388 COMP778) (0.358 COMP2145/COMP2157) (0.349 COMP250) (0.306 COMP48) (0.297 COMP2159) (0.289 COMP830) (0.269 COMP2160) (0.254 COMP2149/COMP2151) (0.242 COMP436) (0.234 COMP1886) (0.209 COMP2148) (0.177 COMP2156) (0.165 COMP812)
VEGF expression inhibitor	0.433	COMP48	(0.366 COMP250) (0.337 COMP778) (0.317 COMP2152) (0.275 COMP2145/COMP2157) (0.260 COMP1886) (0.241 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.225 COMP16/COMP18/COMP266/COMP53/COMP54) (0.205 COMP2149/COMP2151/COMP830) (0.201 COMP2159) (0.195 COMP40) (0.193 COMP1832) (0.186 COMP436) (0.183 COMP1407/COMP27) (0.171 COMP20) (0.167 COMP2156)
