Name	Activation_Prob	Compound	Another_Probs
Acaricide	0.516	COMP1832	(0.472 COMP40) (0.462 COMP16/COMP18/COMP266/COMP53/COMP54) (0.436 COMP20) (0.420 COMP1407/COMP27) (0.251 COMP2160) (0.198 COMP2149/COMP2151) (0.187 COMP1886) (0.164 COMP2152) (0.126 COMP250) (0.123 COMP48) (0.113 COMP778)
Acetylcholine release stimulant	0.236	COMP1832	(0.149 COMP16/COMP18/COMP266/COMP53/COMP54) (0.126 COMP1886) (0.124 COMP40) (0.112 COMP1407/COMP27) (0.098 COMP20)
Actinic keratosis treatment	0.473	COMP436	(0.339 COMP2148) (0.275 COMP285) (0.249 COMP16/COMP18/COMP266/COMP53/COMP54) (0.240 COMP40) (0.233 COMP20) (0.230 COMP1832) (0.221 COMP1407/COMP27) (0.194 COMP2152) (0.189 COMP778) (0.169 COMP830) (0.143 COMP48) (0.141 COMP2149/COMP2151) (0.131 COMP2159) (0.114 COMP1886/COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.091 COMP250) (0.085 COMP2145/COMP2157)
Acute neurologic disorders treatment	0.591	COMP830	(0.524 COMP2149/COMP2151) (0.429 COMP812) (0.396 COMP16/COMP18/COMP266/COMP53/COMP54) (0.377 COMP40) (0.339 COMP1407/COMP1886/COMP27) (0.300 COMP20) (0.198 COMP1832) (0.197 COMP436)
Acute respiratory distress syndrome (ARDS) treatment	0.383	COMP20	(0.303 COMP1407/COMP27) (0.243 COMP40) (0.240 COMP830) (0.209 COMP16/COMP18/COMP266/COMP53/COMP54) (0.200 COMP812) (0.184 COMP1832/COMP436) (0.180 COMP285) (0.166 COMP2149/COMP2151)
Age-related macular degeneration treatment	0.286	COMP830	(0.248 COMP2149/COMP2151) (0.239 COMP16/COMP18/COMP266/COMP53/COMP54) (0.207 COMP436) (0.196 COMP812) (0.187 COMP1886) (0.185 COMP40) (0.179 COMP1832) (0.163 COMP1407/COMP27)
Allergic rhinitis treatment	0.330	COMP16/COMP18/COMP266/COMP53/COMP54	(0.265 COMP40) (0.161 COMP1407/COMP27) (0.113 COMP830) (0.106 COMP1832) (0.104 COMP20)
Alzheimer's disease treatment	0.663	COMP778	(0.647 COMP2152) (0.600 COMP285) (0.584 COMP2145/COMP2157) (0.554 COMP2143/COMP2146/COMP2147/COMP2153/COMP2154/COMP2155/COMP2158) (0.516 COMP2156) (0.509 COMP2159) (0.502 COMP48) (0.411 COMP436) (0.246 COMP250)
Amyotrophic lateral sclerosis treatment	0.806	COMP436	(0.701 COMP285) (0.245 COMP1832) (0.237 COMP20) (0.190 COMP1407/COMP27) (0.189 COMP16/COMP18/COMP266/COMP53/COMP54) (0.175 COMP40) (0.172 COMP48)
Anabolic	0.226	COMP436	(0.212 COMP285) (0.195 COMP20) (0.192 COMP1407/COMP27) (0.187 COMP40) (0.182 COMP16/COMP18/COMP266/COMP53/COMP54) (0.177 COMP2148) (0.162 COMP830) (0.161 COMP2149/COMP2151) (0.159 COMP1832) (0.155 COMP812) (0.147 COMP250) (0.144 COMP2152) (0.143 COMP1886) (0.142 COMP778) (0.133 COMP48)
