Name	Activation_Prob	Compound	Another_Probs
Abortion inducer	0.507	COMP266/COMP54	(0.489 COMP2168) (0.483 COMP2181) (0.476 COMP2186) (0.427 COMP2182) (0.408 COMP428) (0.373 COMP2166) (0.327 COMP739) (0.203 COMP2185) (0.165 COMP2183)
Carcinogenic	0.901	COMP2184	(0.871 COMP2187) (0.830 COMP739) (0.778 COMP2188) (0.647 COMP2186) (0.639 COMP2185) (0.602 COMP266/COMP54) (0.539 COMP428) (0.377 COMP2168) (0.228 COMP2166) (0.208 COMP2183) (0.146 COMP2181)
Carcinogenic. group 1	0.916	COMP2187	(0.461 COMP266/COMP54) (0.455 COMP428) (0.380 COMP2185) (0.311 COMP2188) (0.255 COMP2186) (0.173 COMP2184)
Carcinogenic. group 2A	0.606	COMP2187	(0.513 COMP2185) (0.185 COMP2188) (0.175 COMP2186) (0.144 COMP428) (0.122 COMP266/COMP54) (0.118 COMP2184)
Carcinogenic. group 2B	0.452	COMP2184	(0.222 COMP2188) (0.210 COMP2185) (0.203 COMP266/COMP54) (0.184 COMP428) (0.170 COMP2186) (0.158 COMP2187)
Carcinogenic. group 3	0.594	COMP2187	(0.578 COMP2185) (0.431 COMP266/COMP54) (0.329 COMP428) (0.196 COMP2184) (0.186 COMP2186) (0.167 COMP2188)
Cardiodepressant	0.590	COMP2185	(0.412 COMP266/COMP54) (0.376 COMP428) (0.369 COMP2168) (0.275 COMP2166) (0.240 COMP2182) (0.216 COMP2181) (0.142 COMP2188)
Cytotoxic	0.706	COMP2183	(0.651 COMP2184) (0.631 COMP2168) (0.630 COMP2187) (0.620 COMP2188) (0.597 COMP739) (0.572 COMP2166) (0.488 COMP2181) (0.470 COMP2182) (0.371 COMP2186) (0.360 COMP266/COMP54) (0.310 COMP428) (0.175 COMP2185)
DNA damaging	0.822	COMP2184	(0.773 COMP2188) (0.629 COMP2187) (0.443 COMP428) (0.334 COMP266/COMP54) (0.275 COMP2185) (0.212 COMP2183) (0.178 COMP2186)
Embryotoxic	0.996	COMP2183	(0.968 COMP2181) (0.950 COMP2182) (0.818 COMP2187) (0.800 COMP739) (0.792 COMP2184) (0.727 COMP2168) (0.696 COMP2188) (0.671 COMP266/COMP54) (0.670 COMP428) (0.563 COMP2186) (0.526 COMP2166) (0.445 COMP2185)
Eye irritation. high	0.862	COMP428	(0.856 COMP266/COMP54) (0.592 COMP2186) (0.360 COMP739) (0.303 COMP2185) (0.236 COMP2187) (0.164 COMP2184)
Genotoxic	0.958	COMP2184	(0.937 COMP2188) (0.731 COMP2187) (0.503 COMP2186) (0.389 COMP2185) (0.248 COMP266/COMP54) (0.187 COMP428) (0.135 COMP2166) (0.119 COMP2168)
Hypoglycemic	0.767	COMP2184	(0.763 COMP2187) (0.737 COMP2188) (0.529 COMP266/COMP54) (0.486 COMP2183) (0.472 COMP2186) (0.451 COMP2168) (0.405 COMP2166) (0.395 COMP428) (0.357 COMP2185) (0.326 COMP739)
Mutagenic	0.950	COMP2184	(0.871 COMP2187) (0.864 COMP2188) (0.776 COMP739) (0.442 COMP266/COMP54) (0.408 COMP2186) (0.396 COMP2185) (0.395 COMP428) (0.284 COMP2168) (0.234 COMP2183) (0.205 COMP2166)
Pneumotoxic	0.325	COMP266/COMP54	(0.300 COMP2185) (0.257 COMP2186) (0.188 COMP428) (0.148 COMP2187)
Sedative	0.431	COMP2187	(0.351 COMP266/COMP54) (0.278 COMP428) (0.262 COMP2185) (0.252 COMP2188) (0.191 COMP2184) (0.151 COMP2186)
Sensitization	0.651	COMP2168	(0.642 COMP739) (0.605 COMP2187) (0.577 COMP2188) (0.566 COMP266/COMP54) (0.548 COMP2166) (0.449 COMP2184) (0.437 COMP2183) (0.401 COMP2186) (0.365 COMP2185) (0.353 COMP2181) (0.346 COMP428) (0.267 COMP2182)
Skin irritative effect	0.765	COMP266/COMP54	(0.727 COMP2186) (0.690 COMP428) (0.206 COMP739) (0.204 COMP2185)
Teratogen	0.996	COMP2183	(0.968 COMP2181) (0.951 COMP2182) (0.846 COMP2187) (0.825 COMP739) (0.813 COMP2184) (0.749 COMP2188) (0.744 COMP2168) (0.695 COMP428) (0.693 COMP266/COMP54) (0.534 COMP2166) (0.481 COMP2185) (0.446 COMP2186)
Toxic. respiratory center	0.231	COMP2168	(0.214 COMP2181) (0.204 COMP2166) (0.200 COMP2182) (0.194 COMP266/COMP54)
Ulceration	0.716	COMP2184	(0.679 COMP266/COMP54) (0.575 COMP2188) (0.553 COMP2187) (0.539 COMP428) (0.444 COMP2186) (0.334 COMP2185)
