Name	Activation_Prob	Compound	Another_Probs
12-Lipoxygenase inhibitor	0.275	COMP2709	
15-Lipoxygenase inhibitor	0.400	COMP2709	
3-Oxoacyl-[acyl-carrier-protein] synthase inhibitor	0.057	COMP2709	
4-Hydroxyphenylpyruvate dioxygenase inhibitor	0.016	COMP2710	
5 Hydroxytryptamine release inhibitor	0.325	COMP2710	
5 Hydroxytryptamine uptake stimulant	0.213	COMP2710	(0.202 COMP2709)
5-Alpha-reductase inhibitor	0.115	COMP2709	
5-Lipoxygenase inhibitor	0.353	COMP2709	
ABCA1 expression enhancer	0.118	COMP2709	
AR expression inhibitor	0.724	COMP2709	(0.395 COMP2710)
Abortion inducer	0.226	COMP2710	(0.222 COMP2709)
Acaricide	0.118	COMP2710	
Acetyl-CoA carboxylase inhibitor	0.038	COMP2710	
Acetylcholinesterase inhibitor	0.174	COMP2709	
Alcohol dehydrogenase substrate	0.132	COMP2709	
Aldose reductase inhibitor	0.169	COMP2709	
Alkaline phosphatase inhibitor	0.114	COMP2709	
Alkylator	0.140	COMP2709	
Alpha-glucosidase inhibitor	0.779	COMP2709	
Alzheimer's disease treatment	0.615	COMP2709	
Amylase inhibitor	0.377	COMP2709	
Amyloid beta aggregation inhibitor	0.331	COMP2709	
Anabolic	0.129	COMP2709	(0.121 COMP2710)
Analeptic	0.415	COMP2709	
Analgesic. opioid	0.068	COMP2709	
Androgen antagonist	0.102	COMP2709	
Angiogenesis inhibitor	0.301	COMP2709	
Angiogenesis stimulant	0.229	COMP2709	
Antiacne	0.152	COMP2709	
Antiamyloidogenic	0.380	COMP2709	
Antibacterial	0.653	COMP2709	(0.466 COMP2710)
Antibiotic	0.119	COMP2710	(0.108 COMP2709)
Antidiabetic	0.659	COMP2709	
Antidiabetic (type 2)	0.228	COMP2709	
Antidiabetic symptomatic	0.173	COMP2709	
Antidiarrheal	0.209	COMP2709	
Antieczematic atopic	0.317	COMP2709	
Antifungal	0.743	COMP2710	(0.507 COMP2709)
Antifungal (Aspergillus)	0.303	COMP2710	
Antifungal (Cryptococcus)	0.122	COMP2709	
Antifungal (Pneumocystis)	0.109	COMP2710	
Antifungal enhancer	0.242	COMP2709	
Antihelmintic	0.271	COMP2709	
Antihemorrhagic	0.375	COMP2709	(0.140 COMP2710)
Antihypercholesterolemic	0.785	COMP2709	(0.261 COMP2710)
Antihyperlipoproteinemic	0.113	COMP2710	
Antihypertriglyceridemic	0.553	COMP2709	
Antihypotensive	0.347	COMP2709	(0.194 COMP2710)
Antihypoxic	0.318	COMP2709	
Antiinflammatory	0.882	COMP2709	(0.767 COMP2710)
Antileukemic	0.563	COMP2709	(0.545 COMP2710)
Antimitotic	0.289	COMP2710	
Antimutagenic	0.288	COMP2709	(0.199 COMP2710)
Antimycobacterial	0.212	COMP2709	
Antineoplastic (brain cancer)	0.516	COMP2709	(0.196 COMP2710)
Antineoplastic (breast cancer)	0.904	COMP2710	(0.715 COMP2709)
Antineoplastic (carcinoma)	0.346	COMP2709	(0.166 COMP2710)
Antineoplastic (cervical cancer)	0.447	COMP2709	
Antineoplastic (colon cancer)	0.446	COMP2709	(0.244 COMP2710)
Antineoplastic (colorectal cancer)	0.458	COMP2709	(0.274 COMP2710)
Antineoplastic (glioblastoma multiforme)	0.274	COMP2709	
Antineoplastic (glioma)	0.422	COMP2709	(0.172 COMP2710)
Antineoplastic (liver cancer)	0.267	COMP2709	
Antineoplastic (lung cancer)	0.475	COMP2709	(0.419 COMP2710)
Antineoplastic (lymphocytic leukemia)	0.241	COMP2709	
Antineoplastic (lymphoma)	0.184	COMP2709	
Antineoplastic (melanoma)	0.498	COMP2709	(0.164 COMP2710)
Antineoplastic (multiple myeloma)	0.190	COMP2709	
Antineoplastic (non-small cell lung cancer)	0.183	COMP2709	
Antineoplastic (osteosarcoma)	0.957	COMP2710	(0.245 COMP2709)
Antineoplastic (ovarian cancer)	0.514	COMP2709	
Antineoplastic (pancreatic cancer)	0.391	COMP2709	
Antineoplastic (renal cancer)	0.206	COMP2709	
Antineoplastic (sarcoma)	0.184	COMP2709	
Antineoplastic (squamous cell carcinoma)	0.441	COMP2709	(0.218 COMP2710)
Antineoplastic antibiotic	0.230	COMP2709	(0.132 COMP2710)
Antineoplastic enhancer	0.312	COMP2709	
Antineurogenic pain	0.401	COMP2709	
Antiosteoporotic	0.659	COMP2709	
Antioxidant	0.905	COMP2709	(0.336 COMP2710)
Antiparasitic	0.596	COMP2709	
Antiparkinsonian	0.219	COMP2709	
Antiprotozoal	0.482	COMP2710	(0.470 COMP2709)
Antiprotozoal (Leishmania)	0.506	COMP2709	(0.301 COMP2710)
Antiprotozoal (Plasmodium)	0.391	COMP2709	(0.213 COMP2710)
Antiprotozoal (Trypanosoma)	0.256	COMP2710	
Antipruritic. allergic	0.391	COMP2710	(0.239 COMP2709)
Antipruritic. non-allergic	0.174	COMP2710	(0.123 COMP2709)
Antipyretic	0.204	COMP2709	
Antithrombotic	0.303	COMP2709	
Antituberculosic	0.180	COMP2709	
Antitussive	0.151	COMP2709	
Antiulcerative	0.561	COMP2709	(0.179 COMP2710)
Antiviral (Coronavirus)	0.206	COMP2709	
Antiviral (Hepatitis A)	0.128	COMP2709	(0.084 COMP2710)
Antiviral (Herpes)	0.346	COMP2709	(0.297 COMP2710)
Antiviral (Influenza A)	0.125	COMP2710	(0.120 COMP2709)
Antiviral (Influenza)	0.173	COMP2709	
Antiviral (SARS coronavirus)	0.206	COMP2709	
Apoptosis agonist	0.908	COMP2709	(0.763 COMP2710)
Apoptosis antagonist	0.500	COMP2709	
Arachidonic acid antagonist	0.220	COMP2710	(0.183 COMP2709)
Aromatase inhibitor	0.197	COMP2709	(0.084 COMP2710)
Atherosclerosis treatment	0.695	COMP2709	
Beta glucuronidase inhibitor	0.194	COMP2709	
Bone diseases treatment	0.627	COMP2709	
Breast cancer-resistant protein inhibitor	0.182	COMP2709	
CDC25A inhibitor	0.075	COMP2709	
CF transmembrane conductance regulator agonist	0.138	COMP2710	
